series,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,41333.86961268457,41331.34415066687,41328.04839075239,41323.747564208636,41318.13547817929,41310.812876092394,41301.25930506942,41288.79658661588,41272.5414602189,41251.344319767566,41223.710178221394,41187.697078729696,41140.78615170323,41079.716484489225,41000.27711189417,40897.0481149965,40763.08368423067,40589.53316840656,40365.20338327062,40076.07951856786,39704.846709523525,39230.49452979413,38628.14696525339,37869.34220453049,36923.08122178186,35758.041528754584,34346.346307521424,32669.078950199822,30723.208832853157,28528.69230590075,26133.437742955844,23613.202909555166,21064.239095400502,18589.083211559446,16279.388682592042,14201.746525249011,12391.19877214896,10853.268707391591,9571.660510912696,8517.542945157322,7657.404495528919,6958.297188365862,6390.62865058586,5929.212279065576,5553.299925458233,5246.1267996153465,4994.289123678508,4787.120976286336,4616.142422406947,4474.600334195843,4357.099329376661,4259.310842730164,4177.746128962079,4109.579927898971,4052.513561903757,4004.6684336785524,3964.5028649958613,3930.7468471476172,3902.35056381256,3878.4435425671286,3858.3020486414343,3841.322906212465,3827.002362513196,3814.918933238478,3804.7194110271594,3796.107402509237,3788.833898710388
I,5.0,6.525462017701134,8.516129528640445,11.113730166666766,14.50307016267528,18.92505821703416,24.693617596599378,32.21761253082142,42.029216421638,54.82051358863959,71.49055241708292,93.20554142536656,121.47536016675679,158.24995534741205,206.0393368729865,268.0604663960599,348.4128038826781,452.2807589302499,586.1543922801407,758.0473785268754,977.6707118658355,1256.4887492220623,1607.5385639183899,2044.8356118576103,2582.12947223472,3230.7432708150504,3996.289837885198,4874.299227629761,5845.3094994504745,6870.764126512788,7891.865864155134,8833.727524724785,9615.945833934491,10167.91255098865,10444.024569758325,10432.861813149691,10156.837203619803,9663.399827653211,9012.328058601464,8263.980012636546,7471.322459737639,6676.165274953169,5908.600757742537,5188.296977714314,4526.549935778795,3928.4130744659215,3394.5681355095758,2922.8226557998323,2509.2366785192553,2148.9314310265086,1836.646149640388,1567.1054063588083,1335.2490388551323,1136.3654321472136,966.1587117129847,820.7720975955924,696.783246759165,591.1826152555761,501.3423755395182,424.98092167704567,360.12623126733087,305.0801274428341,258.3846456535363,218.79114579754705,185.23243884935653,156.7979595974077,132.7118714767752
R,0.0,1.0,2.305092403540227,4.008318309268316,6.23106434260167,9.131678375136726,12.916690018543559,17.855413537863434,24.29893604402772,32.70477932835532,43.66888204608324,57.96699252949983,76.60810081457313,100.9031728479245,132.5531639174069,173.7610312920042,227.37312457121618,297.0556853477518,387.5118371338018,504.7427155898299,656.352191295205,851.8863336683721,1103.1840835127846,1424.6917962964626,1833.6589186679846,2350.0848131149287,2996.233467277939,3795.4914348549783,4770.351280380931,5939.413180271025,7313.5660055735825,8891.93917840461,10658.684683349566,12581.873850136464,14615.456360334194,16704.26127428586,18790.833636915795,20822.201077639755,22754.881043170397,24557.34665489069,26210.142657418,27704.40714936553,29039.64020435616,30221.360355904668,31259.01975144753,32164.32973860329,32950.01235349647,33628.92598059839,34213.490511758355,34715.33784746221,35145.12413366751,35512.45336359559,35825.87444486735,36092.92425263838,36320.197339067825,36513.429081410424,36677.58350092954,36816.94015028137,36935.176673332484,37035.44514844039,37120.4413327758,37192.466579029264,37253.482604517834,37305.15953364854,37348.91776280805,37385.96425057792,37417.323842497404
G,5.0,7.525462017701134,10.821221932180672,15.122048475935081,20.73413450527695,28.056736592170882,37.61030761514293,50.07302606868485,66.32815246566571,87.52529291699491,115.15943446316616,151.17253395486637,198.0834609813299,259.15312819533654,338.5925007903934,441.8214976880641,575.7859284538943,749.3364442780016,973.6662294139423,1262.7900941167052,1634.0229031610404,2108.375082890434,2710.7226474311738,3469.527408154072,4415.788390902704,5580.828083929979,6992.523305163137,8669.79066248474,10615.660779831407,12810.177306783815,15205.43186972872,17725.6667031294,20274.630517284062,22749.786401125122,25059.480930092526,27137.123087435557,28947.670840535608,30485.600905292977,31767.20910177187,32821.326667527246,33681.46511715565,34380.57242431871,34948.24096209871,35409.65733361899,35785.569687226336,36092.74281306922,36344.58048900606,36551.74863639823,36722.72719027762,36864.269278488726,36981.77028330791,37079.558769954405,37161.12348372249,37229.289684785595,37286.35605078081,37334.20117900601,37374.366747688706,37408.12276553695,37436.51904887201,37460.42607011744,37480.56756404314,37497.54670647211,37511.86725017138,37523.9506794461,37534.150201657416,37542.76221017534,37550.03571397418
