series,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22
S,17416.277478199314,17406.58202076872,17396.18282355045,17385.031130439624,17373.07516255258,17360.25998559176,17346.52738034173,17331.81571817377,17316.05984374412,17299.190967409122,17281.136570249368,17261.8203249932,17241.16203655602,17219.077606361698,17195.47902508137,17170.274398905014,17143.368014943007,17114.660451825224,17084.048742008043,17051.42659269496,17016.68467260036,16979.71097201004,16940.391243683596,16898.60953206578,16854.248797985645,16807.191645479365,16757.321156529586,16704.521838324465,16648.680686059393,16589.688362294866,16527.44049141481,16461.83906478394,16392.79394878095,16320.224484010256,16244.061159720282,16164.247342865308,16080.741036461817,15993.516637068853,15902.566656563904,15807.903369125775,15709.56034073787,15607.593795872088,15502.083774592518,15393.13503340205,15280.877644981396,15165.46725571629,15047.084965670043,14925.93680342609,14802.252777869473,14676.285500239142,14548.30838227807,14418.613429532847,14287.50866221361,14155.315208865582,14022.364129757074,13888.993036720036,13755.54258363468,13622.352906401262,13489.76009282333,13358.092761254275,13227.668822239624,13098.792490008893,12971.751600976062,12846.815284959137,12724.232022262138,12604.228106737313,12487.006522098738,12372.746226663938,12261.601830834621,12153.703642350418,12049.158046892988,11948.048186088965,11850.434891350991,11756.357830201416,11665.836821562194,11578.873277734108,11495.451733165808,11415.541423356484,11339.09788108114,11266.064521331104,11196.37419071117,11129.95066134971,11066.710053517343,11006.562175007166,10949.411768831942,10895.159663897592,10843.703825998467,10794.940308749068,10748.764105934815,10705.069908257985,10663.752768607732,10624.70868083317,10587.835077585145,10553.031253154642,10520.198717410878
I,30.0,32.19545743059155,34.54579029121433,37.0610358292381,39.75174475897049,42.628985530047274,45.70434439756811,48.9899204661365,52.49831477925384,56.2426124194369,60.23635647433387,64.49351261191741,69.02842289611885,73.85574736640937,78.9903918051329,84.44742003020586,90.24194898466266,96.38902485628068,102.90347845939161,109.79975815762722,117.09173871282019,124.79250462493354,132.9141067951466,141.46729171417533,150.46120286576533,159.9030546556032,169.79777994147997,180.14765316122978,190.9518921359919,202.20624286652043,213.90255302994728,226.02834140333164,238.56637205548992,251.49424381231125,264.78400714920724,278.4018222168796,292.3076730661515,306.45515419257765,320.7913461493817,335.2567970501639,349.7856261755291,364.305764497428,378.7393446526412,393.003249679949,407.00982568061545,420.6677585255677,433.88310894042286,446.5604939492698,458.60439601856905,469.9205746442575,480.4175489442665,490.0081144534232,498.6108531593047,506.1515932175048,512.5647740216364,517.794673553265,521.796458250304,524.5370209211469,525.9955792687916,526.1640160206488,525.0469510301373,522.6615455033341,519.0370481603313,514.2141021371731,508.2438392998789,501.18679499973456,493.11168088837593,484.0940561010824,474.214937905129,463.55939191305026,452.21513939221757,440.27121534818644,427.8167062491128,414.9395908364094,401.7257017665289,388.25782015298284,374.61490968303735,360.87149207160087,347.0971613290458,333.35623074682087,319.70750368004764,306.2041571214962,292.89372567348954,279.81817276529523,267.0140357491958,254.5126317462471,242.3403117088094,230.51875103100605,219.06526608750772,207.99314724246102,197.31200008209856,187.02808783613654,177.14466912512674,167.66232627434803,158.57928044952595
R,0.0,7.5,15.548864357647888,24.18531193045147,33.450570887760996,43.38850707750362,54.04575346001543,65.47183955940746,77.71931967594158,90.84389837075504,104.90455147561427,119.96364059419774,136.0870187471771,153.3441244712068,171.80806131280914,191.55565926409236,212.66751427164382,235.2280015178095,259.3252577318797,285.0511273467276,312.50106688613437,341.7740015643394,372.9721277205728,406.20065441935947,441.5674773479033,479.18277806434463,519.1585417282454,561.6079867136153,606.6449000039228,654.3828730379207,704.9344337545508,758.4100720120376,814.9171573628705,874.558750376743,937.4323113298208,1003.6283131171226,1073.2287686713426,1146.3056869378804,1222.9194754860248,1303.1173120233702,1386.9315112859113,1474.3779178297934,1565.4543589541504,1660.1391951173107,1758.390007537298,1860.142463957452,1965.309403588844,2073.7801808239496,2185.420304311267,2300.0714033159093,2417.5515469769734,2537.65593421304,2660.1579628263958,2784.810676116222,2911.348574420598,3039.4897679260075,3168.9384363143236,3299.3875508768997,3430.5218061071864,3562.0207009243845,3693.5617049295465,3824.823442687081,3955.488829062914,4085.248091102997,4213.80161663729,4340.862576462259,4466.159275212193,4589.437195434287,4710.460709459558,4829.01444393584,4944.904291914103,5057.958076762157,5168.025880599204,5274.980057161482,5378.714954870585,5479.146380312217,5576.210835350463,5669.864562771222,5760.082435789122,5846.856726121384,5930.195783808089,6010.122659728101,6086.6736990084755,6159.897130426848,6229.851673618172,6296.6051825554705,6360.233340492032,6420.818418419234,6478.448106176986,6533.214422698863,6585.212709509478,6634.540709530003,6681.297731489038,6725.583898770319,6767.499480338906
G,30.0,39.69545743059155,50.09465464886222,61.24634775968957,73.20231564673148,86.01749260755088,99.75009785758353,114.46176002554395,130.21763445519542,147.08651079019194,165.14090794994814,184.45715320611515,205.11544164329595,227.1998718376162,250.79845311794207,276.0030792942983,302.90946325630654,331.61702637409024,362.2287361912713,394.85088550435484,429.5928055989546,466.566506189273,505.8862345157195,547.6679461335349,592.0286802136687,639.0858327199479,688.9563216697255,741.7556398748453,797.5967921399149,856.5891159044414,918.8369867844984,984.4384134153696,1053.4835294183608,1126.0529941890545,1202.2163184790284,1282.0301353340026,1365.5364417374944,1452.7608411304584,1543.7108216354068,1638.3741090735343,1736.7171374614404,1838.6836823272215,1944.1937036067916,2053.1424447972595,2165.399833217913,2280.810222483019,2399.192512529266,2520.340674773219,2644.0247003298355,2769.9919779601664,2897.96909592124,3027.6640486664633,3158.7688159857007,3290.962269333727,3423.9133484422346,3557.284441479272,3690.734894564627,3823.924571798046,3956.5173853759775,4088.1847169450325,4218.608655959683,4347.484988190415,4474.5258772232455,4599.46219324017,4722.045455937169,4842.049371461994,4959.2709561005695,5073.53125153537,5184.675647364687,5292.573835848891,5397.119431306321,5498.2292921103435,5595.842586848316,5689.919647997891,5780.440656637113,5867.404200465199,5950.8257450334995,6030.736054842822,6107.179597118167,6180.212956868204,6249.903287488136,6316.326816849596,6379.5674246819635,6439.715303192142,6496.865709367366,6551.117814301717,6602.573652200841,6651.33716945024,6697.513372264493,6741.2075699413235,6782.5247095915765,6821.568797366139,6858.4424006141635,6893.246225044666,6926.078760788431
