series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07
S,1001485.3623299181,995565.3943114689,988802.9433119268,981705.8019223701,974542.5555585861,967453.8763444666,960513.9093665525,953761.80670376,947217.8035576966,940891.5604089788,934786.6150937398,928902.8373654698,923237.830117175,917787.7588867684,912547.8616224987,907512.7740204269,902676.7450153268,898033.7846178862,893577.7686065648,889302.5147032824,885201.8392179745,881269.5998491616,877499.7283559012,873886.2556089392,870423.3307703254,867105.2358611894,863926.396652238,860881.390589107,857964.9523078717,855171.977182146,852497.5232581955,849936.8118693919,847485.2271704004,845138.3147908348,842891.779775212,840741.4839490205,838683.4428283464,836713.8221718284,834828.9342580168,833025.2339579817,831299.314661819,829647.9041081899,828067.8601579615,826556.1665461413,825109.9286404495,823726.3692298947,822402.8243624785,821136.7392475491,819925.664235259,954564.2360589947,1088949.9147206647,1223085.2049006314,1356971.3779313737,1490606.1090824034,1623981.941094793,1757085.3521204721,1889896.2005819487,2022387.3516130247,2154524.3360294956,2286264.9389727307,2417558.654549048,2548345.9729427267,2678557.4884432075,2808112.8327747453,2936919.4506070632,3064871.2455397802,3191847.1371051297,3317709.5837172843,3442303.1435885173,3565453.165190985,3686964.719698515,3806621.9078051797,3924187.6891667414,4039404.3903667675,4151995.0422703535,4261665.675740149,4339477.808830866,4306902.201013484,4272145.003017199,4235119.636814666,4195853.699863951,4154446.86922918,4111047.255373161,4065836.615090346,4019019.9415497743,3970817.37338895,3921457.5109341973,3871171.7555653527,3820189.51726661,3768734.22272198,3717020.0797178694,3665249.551240995,3613611.4826289145,3562279.815466171,3511412.815625116,3461152.740530588,3411625.871933952,3362942.844394727,3315199.2054240643,3268476.1500813593,3222841.3801213065,3178350.0451059085,3135045.7299033403,3092961.4594852,3052120.6977857193,3012538.3225471685,2974221.562538333,2937170.887323355,2901380.8429226913,2866840.8293046276,2833535.8177383463,2801447.007692511,2770552.4242391726,2740827.4578798516,2712245.349402137,2684777.6228484395,2658394.4699753285,2633065.0897380686,2608757.9863811755,2585441.229677831,2563082.6807602397,2541650.1868370255,2521111.74791686,2501435.6584610506,2482590.626680809,2464545.8739843187,2447271.216869814,2430737.133357604,2414914.8158591045,2399776.2121963794,2385294.0563126705,2371441.89005351,2358194.0772495214,2345525.8111957884,2333413.116498416,2321832.8461460713,2310763.6548053017,2300184.8060656334,2290076.1986576603,2280418.38081049,2271192.555979352,2262380.5822482496,2253964.9670684524,2245928.858542867,2238256.0341485343,2230930.887563652,2223938.414103359,2217264.195150844,2363979.9252214227,2510354.8410177957,2656412.0613835664,2802167.461811406,2947630.301500208,3092803.881075554,3237686.1660276987,3382270.337840459,3526545.2535196343,3670495.806694923,3814103.191283943,3957345.073186038,4100195.6776489257,4242625.80060879,4384602.7520250995,4526090.238432666,4667048.190905839,4807432.543569118,4947194.966822181,5086282.558655163,5224637.496860554,5362196.654631,5498891.181986706,5634646.055717508,5769379.601067379,5903002.9892498,6035419.716078784,6166525.068551557,6293986.879459342,6269048.198925053,6243426.903964763,6217050.116923947,6189880.345219552,6161902.999641897,6133118.824025483,6103539.2780739395,6073183.6939046215,6042077.494030433,6010251.040038565,5977738.851527372,5944579.038201155,5910812.85091519,5876484.295852358,5841639.779510481,5806327.76659367,5770598.441747418,5734503.371488582,5698095.165954879,5661427.14202637,5624552.990440631,5587526.450036069,5550400.992405265,5513229.520145021,5476064.081634135,5438955.604910063,5401953.6527922535,5365106.200943017,5328459.440089421,5292057.603169609,5255942.81772791,5220154.983475582,5184731.674565521,5149708.065805044,5115116.881753606,5080988.367423517,5047350.279120477,5014227.893825716,4981644.035429538,4949619.11607394,4918171.190845296,4887316.024072789,4857067.1655295435,4827436.034896996,4798432.012934424,4770062.537890732,4742333.205800773,4715247.873420218,4688808.762668361,4663016.565564477,4637870.548758499,4613368.656868737,4589507.613946905,4566283.022492618,4543689.459534953,4521720.56938714,4500369.152761551,4479627.25200587,4459486.232287521,4439936.858612443,4420969.368616318,4402573.541111618,4384738.760413006,4367454.076496825,4350708.261078374,4334489.859713683,4318787.240051113,4303588.636372796,4288882.190577045,4274655.989760924,4260898.100567511
E,49893.80440441509,44707.064626868894,41517.41217078909,39372.48892063183,37771.14547486765,36451.70506537596,35277.26902953412,34176.406306566634,33112.50376382966,32067.673327585308,31034.131578177603,30009.49582193132,28994.180629834274,27989.945641583876,26999.086378509008,26023.989615116687,25066.89757459983,24129.792269762765,23214.348735806285,22321.92718998793,21453.58646772968,20610.10831174078,19792.026382831114,18999.65643351487,18233.125636296565,17492.399995117936,16777.30933210218,16087.569677221796,15422.80308371303,14782.55500085078,14166.30939141115,13573.501804537067,13003.530618764986,12455.766662803062,11929.561408360978,11424.25391308443,10939.176674384516,10473.660537837839,10027.038787537464,9598.650530652667,9187.843474667221,8793.976183349278,8416.419886426384,8054.559908120556,7707.796771043301,7375.547024352941,7057.243838429211,6752.337402520122,6460.295156766016,6180.601885617539,6216.063443533625,6494.019493779552,6959.217743703731,7572.301508160053,8307.80770222365,9152.006089870967,10100.842610514032,11158.158954346714,12334.27594261916,13644.962584432034,15110.768632862013,16756.673245096088,18611.990939080668,20710.473182413094,23090.54518584463,25795.61951113021,28874.428849294596,32381.31877353938,36376.43735647926,40925.753031645734,46100.82649888175,51978.25902840582,58638.74095335083,66165.63344981124,74643.03663490334,84153.32935732939,94774.21080582838,106252.4202872511,117357.0907035112,128257.95247525668,138972.7773658685,149443.30141456478,159575.79722469038,169263.75543816973,178401.14004606172,186890.37392386846,194647.13960468475,201603.08822252875,207707.07723988933,212925.332103906,217240.81560964315,220652.02795213807,223171.42084260358,224823.5779077653,225643.2860002921,225673.59662507215,224963.95339612008,223568.44062701205,221544.19013541428,218949.96825087428,215844.9528140516,212287.7004594734,208335.29740147648,204042.68196271808,199462.12385058356,194642.84336409983,189630.7529949628,184468.30399960812,179194.42123329104,173844.51065999447,168450.525329028,163041.07711925774,157641.5831029761,152274.43690597464,146959.1968911631,141712.7843390474,136549.68602127075,131482.15665468058,126520.41768169148,121672.84965189421,116946.17618724403,112345.63810827701,107875.15679238911,103537.48623846465,99334.35363618132,95266.58849381353,91334.24057527496,87536.68704461057,83872.72932237443,80340.68023059078,76938.442047655,73663.576117087,70513.36465920648,67484.86542652707,64574.959825290534,61780.39509983234,59096.84090263554,56520.32192867453,54047.11266239491,51673.66741539742,49396.5745680535,47212.52732221296,45118.30562871921,43110.76559211461,41186.83379579528,39343.50478590722,37577.84050658241,35886.970865568874,34268.09487853738,33350.406217247386,32954.69686369219,32948.89510172706,33236.94559135447,33750.13415249468,34440.37799467931,35275.0818973815,36233.23104082942,37302.452026362414,38476.82557197732,39755.27808728045,41140.41562219008,42637.693413326335,44254.83830041931,46001.46049960342,47888.806386540775,49929.61576531829,52138.05619586691,54529.713850310945,57121.62550812205,59932.340043045464,62982.00039298544,66292.4387681821,69887.2789229238,73792.03983001938,78034.23516095623,82643.46266941783,87651.47696639986,93078.32924517378,97979.7408971839,102545.5563141157,106887.97413451063,111071.31342643088,115130.24234196125,119080.99579234411,122928.32227095892,126669.82282799899,130298.69346227086,133805.48677939974,137179.26833474266,140408.3966160913,143481.0662651996,146385.69956371386,149111.23786760448,151647.3643225133,153984.67680623732,156114.82255349838,158030.60144029738,159726.04228279568,161196.45502336233,162438.46088963634,163450.0022432538,164230.3337084652,164779.99617668655,165100.7753511527,165195.64658227857,165068.70782203012,164725.1025786955,164170.93477366536,163413.1773860603,162459.57671971765,161318.55404296395,159999.10623909385,158510.7069697714,156863.20970030405,155066.75377058185,153131.6745238525,151068.41833240114,148887.46318902256,146599.24536965124,144214.09251868742,141742.16336676243,139193.39416259047,136577.45178720274,133903.6934207481,131181.13254918598,128418.41103020946,125623.77688391281,122805.06743310818,119969.69738967688,117124.65146567169,114276.4810797748,111431.30472985219,108594.81160944927,105772.26805892114,102968.52645933176,100188.03619824203,97434.85636008173,94712.6698191251,92024.79843942971,89374.21911282718,86763.5803926458,84195.21950686982,81671.1795595542,79193.22675325126,76762.86748777388,74381.36521168088,72049.75692234337,69768.86922829728
I,23705.877774919845,30099.117459773013,35118.17346311768,39205.04322672453,42608.03564446623,45472.27751440949,47887.77936942856,49914.58873197314,51596.071044035074,52966.03274229633,54052.59909859186,54880.34871129766,55471.49521852129,55846.54165382566,56024.64102924617,56023.793546607856,55860.95411381712,55552.092057756294,55112.22683126482,54555.453087028916,53894.96243978,53143.065718215636,52311.21747116931,51410.04333218296,50449.3702067537,49438.25891564308,48385.038778920956,47297.34358229149,46182.14838333776,45045.80666256251,43894.08738564048,42732.21160916461,41564.88832664727,40396.349311521444,39230.38276787548,38070.36564710903,36919.294529650455,35779.815005679004,34654.24951796529,33544.62365406903,32452.69089481259,31379.955841759784,30327.695958910896,29296.98187346439,28288.696287731662,27303.55155950881,26342.106011746324,25404.779034506453,24491.865043210804,23603.54635727294,22739.90506256636,21951.34261674482,21272.146826634573,20724.675886654462,20322.955874315136,20075.657323961103,19988.474236934966,20065.970695813336,20312.98364446204,20735.677852806784,21342.345028296826,22144.02798326424,23155.036408807762,24393.405700814983,25881.33591397204,27645.634906516054,29718.17810646215,32136.38675387905,34943.71648695723,38190.13830222466,41932.58395422314,46235.31776576162,51170.18696177045,56816.69380990662,63261.82627571785,70599.58116415834,78930.11657794208,88358.48059044757,98939.21440542032,110517.9214566236,122980.78266619633,136226.05049931834,150150.44488799537,164643.38202240135,179585.43509843812,194849.12138855172,210300.95344713127,225804.12387889155,241221.4252568799,256418.14183838357,271264.7364962811,285639.21759278944,299429.11681620544,312533.0450038447,324861.82091471023,336339.1890318963,346902.1576742881,356500.9988082939,365098.9567926181,372671.7156680537,379206.674284491,384702.0762353897,389166.0378557803,392615.5129477874,395075.2278457489,396576.61524828826,397156.77017238847,396857.44659905066,395724.1089968389,393805.04899615084,391150.57407370256,387812.2721956726,383842.35394107923,379293.07165228727,374216.2135964415,368662.66992484743,362682.0663401271,356322.4607772875,349630.0980308835,342649.21707572305,335421.9057964398,327987.99792927067,320385.0071992497,312648.0938835234,304810.0593261841,296901.36425495124,288950.16709140455,280982.37879322027,273021.7311103453,265089.8554706638,257206.3700296186,249388.9727190239,241653.5384107457,234014.21856974726,226483.5420077153,219072.515563182,211790.7237272807,204646.2634917556,197645.9225182173,190795.32554157206,184099.05741761538,177560.76870845634,171183.26794876863,164968.60351708773,158918.13718758023,153032.61084652433,147312.2074460467,141756.60698107095,136365.03807603315,131136.32562923437,126173.95986220057,121543.35638466239,117282.74029565489,113411.31025590625,109935.30673709029,106852.47899622329,104155.33931025905,101833.50715162887,99875.37712024599,98269.28973242623,97004.34110123238,96070.9339581354,95461.14651271318,95168.97576981937,95190.49683214567,95523.96835413217,96169.9058263744,97131.13807461217,98412.85771299481,100022.67287315443,101970.66500837947,104269.45569046124,106934.28387900982,109983.09399825372,113436.63418868664,117318.56322137821,121655.56370294462,126477.45830694797,131815.01313408042,137539.5917498619,143564.41451385352,149828.30086088,156285.66106866964,162900.3193511736,169641.69613918973,176482.45074666748,183397.03401202257,190360.81266750462,197349.55663954862,204339.15960355042,211305.51155676902,218224.4718819739,225071.90963339302,231823.7890314363,238456.28512355563,244945.91892248412,251269.70409319166,257405.29905466695,263331.1595778004,269026.68783210346,274472.3745048859,279649.93117229687,284542.4105918806,289134.31303824164,293411.67723047175,297362.15480720566,300975.0676926794,304241.4480624486,307154.06095681,309707.40989954525,311897.726155849,313722.9425034456,315182.6525931043,316278.05713821325,317011.89829796174,317388.3837061089,317413.1016492271,317092.92891728185,316435.932838586,315451.26897402864,314149.07588575373,312540.3683169517,310636.9300259221,308451.20741270494,305996.2049638188,303285.3834231407,300332.5614775763,297151.82162740116,293757.4207951481,290163.7061154686,286385.03624293196,282435.7084163739,278329.8914279419,274081.5645629615,269704.46250341984,265212.026123314,260617.3590482207,255933.1898039461,251171.83933963222,246345.19367875604,241464.6814265154,236541.255843572,231585.38118340945,226607.02298304078,221615.64199386048,216620.19144048032,211629.1172998523,206650.36130032066
A,8045.828888264066,9252.3235459005,9925.130335346983,10283.556771844185,10449.361818709729,10491.702454107035,10451.154191502314,10352.461481384644,10211.394396465459,10038.506142345143,9841.231874662948,9625.08181438314,9394.33058357652,9152.421923599275,8902.210616182874,8646.110412764936,8386.187320039282,8124.2209414530125,7861.747035730269,7600.088932191554,7340.382225588889,7083.595293685095,6830.547084584164,6581.922985784158,6338.289223903546,6100.106041037066,5867.739784101289,5641.473987631291,5421.519504686701,5208.0237308895385,5001.078965042823,4800.729951662628,4606.980653582771,4419.800305281063,4239.128799163808,4064.881457566158,3896.9532427260956,3735.222455616299,3579.55397245356,3429.802065134326,3285.8128489346245,3147.4263977061496,3014.478563614217,2886.8025352890163,2764.2301651677653,2646.593093841665,2533.72369642155,2425.455873320729,2321.6257054336343,2222.071991467724,2126.6366831613286,2052.2740587425023,2008.4515117979088,1999.6277317730364,2027.1503162595686,2090.661223463438,2189.0994665330313,2321.38741017967,2486.8794830978613,2685.6413080173743,2918.6148950658517,3187.7131725809973,3495.875807863674,3847.1085675606823,4246.520542483452,4700.367290298829,5216.103046390198,5802.441272021012,6469.419615864989,7228.462589209309,8092.432723307708,9075.658636731388,10193.926373384142,11464.418798731858,12905.587108178255,14536.939038810013,16378.7306301171,18451.552707466053,20757.595116560467,23229.17904140044,25821.725195572515,28500.565756368473,31234.674558517923,33993.938894162406,36748.25595431358,39467.557551389196,42122.28035093364,44684.012932529935,47126.16634489458,49424.58047126499,51558.01833385565,53508.52604046894,55261.653110296356,56806.53931160732,58135.88150483107,59245.798317956716,60135.61251450169,60807.57122752668,61266.52330984362,61519.571295148824,61575.71320893114,61445.48697471707,61140.62763054104,60673.74514665887,60058.02841512245,59306.97902274647,58434.176748607984,57453.077350094434,56376.84210599445,55218.1977488186,53989.32481269974,52701.772016136674,51366.39405829407,49993.31010258651,48591.88022326797,47170.697174179426,45737.59098148816,44299.64404540088,42863.21464393535,41433.966952406154,40016.90591554286,38616.415527706624,37236.29928511116,35879.821768582005,34549.75049386535,33248.39732758726,31977.658910271275,30739.055653598865,29533.76898805594,28362.67663028432,27226.385718088404,26125.26372648329,25059.4671318021,24028.967834084346,23033.577382070725,22072.969071381107,21146.69800600626,20254.163933381667,19394.662319083895,18567.419277319226,17771.615574245367,17006.403253177094,16270.917287523864,15564.283885498233,14885.626537500082,14234.070534847622,13608.746443529326,13008.792851883274,12433.35860107007,11881.604634343083,11388.351276118408,10971.351343389244,10637.359893226901,10386.363700510692,10214.476138082158,10115.875040568746,10084.06314021724,10112.656213240774,10195.847935677635,10328.658457722406,10507.042573078377,10727.910496216915,10989.097642970344,11289.307869885144,11628.046157780853,12005.550803161894,12422.73110969309,12881.11382730792,13382.799779467205,13930.430963074603,14527.167691709315,15176.674930467168,15883.116732252784,16651.157554922178,17485.969163292837,18393.241763314247,19379.197953085226,20450.60799093204,21614.020178691157,22821.40908506062,24045.0557523282,25269.10967055021,26484.51611462632,27685.98547860905,28870.201045449954,30034.77678467507,31177.66818384474,32296.855516420175,33390.18977928052,34455.33464625659,35489.764019457136,36490.790712115326,37455.6114823115,38381.35950618796,39265.15892758181,40104.17826151302,40895.680719146054,41637.07030159859,42325.93298597373,42960.07262425256,43537.5413691575,44056.66457507916,44516.06022223474,44914.65299262982,45251.683194573445,45526.710791925696,45739.61484619127,45890.58872412374,45980.13146029277,46009.03569261269,45978.372608777514,45889.4743527639,45743.91434319322,45543.485949791946,45290.179961103044,44986.161256812185,44633.74507253899,44235.37321476286,43793.59054980555,43311.02205456454,42790.35067902631,42234.296232452914,41645.59546739456,41026.98349908871,40381.176662993,39710.85688066858,39018.65757436676,38307.15114373947,37578.837994253605,36836.137086204624,36081.37795567696,35316.79414430026,34544.51796305749,33766.576506524856,32984.888827546565,32201.264178228543,31417.40122102302,30634.88811331612,29855.203370070634,29079.71741147481,28309.694705974318,27546.296423306812,26790.583517020357,26043.52016126433,25305.97747223809,24578.73745043414,23862.497085602285,23157.872572092798
IH,0.0,948.2351109967939,2060.6454724234572,3266.412229282031,4519.234151765398,5787.212858789238,7047.334905137606,8282.409269336531,9479.306664488975,10627.900085001003,11720.392569026844,12750.86498065428,13714.952834442396,14609.601591840223,15432.871758542422,16183.777223475743,16862.147094990414,17468.505177744864,18003.9634748973,18470.127401191276,18869.011150896913,19202.9621076651,19474.59344286538,19686.724201960144,19842.32627026358,19944.477666771676,19996.321653315397,20001.031175183412,19961.778173739578,19881.70733422942,19763.91385433943,19611.424841744534,19427.18397199605,19214.03906156685,18974.732234468327,18711.892384333114,18428.02965696774,18125.531700896525,17806.66145515318,17473.55626438,17128.228131054228,16772.564933300244,16408.332454218376,16037.177084944919,15660.629078755872,15280.106247455853,14896.918004086796,14512.2696676904,14127.266956513886,13742.920605716059,13360.151054368236,12979.793154412919,12604.617209174188,12238.497554927777,11885.828779418733,11551.142205678396,11238.878468183297,10953.277207728977,10698.35128109343,10477.919572020566,10295.678832816657,10155.300553929701,10060.543447236754,10015.375699759848,10024.103776538124,10091.506345439186,10222.972997004068,10424.647961213,10703.579077749413,11067.871926276237,11526.848313479062,12091.207273798424,12773.1853975717,13586.711692468874,14547.550378315509,15673.423120945276,16984.100389746298,18501.45009275497,20249.43066283299,22251.868937778305,24524.11535533972,27075.485469173465,29910.325492860975,33028.4308000894,36425.193169306105,40091.672241456756,44014.69156114289,48177.00739299517,52557.56862916271,57131.86839884159,61872.37739771001,66749.0428556385,71729.83400284022,76781.31398344744,81869.21878240061,86959.02540648705,92016.49391825635,97008.17065975032,101901.84288126414,106666.93782441868,111274.86196441286,115699.27850271619,119916.32326456625,123904.76087097358,127646.08442097182,131124.5629519164,134327.24167066222,137243.90040058352,139866.97590645836,142191.45378001066,144214.73543112882,145936.48546877556,147358.46440335663,148484.35118700558,149319.55965404294,149871.05245099956,150147.15557051025,150157.37613908388,149912.22566513653,149423.05053793135,148701.87118507273,147761.23094890773,146614.05543193797,145273.522788252,143752.94520115815,142065.661585025,140224.94137967954,138243.89916609257,136135.41971981025,133912.0930309011,131586.15875330655,129169.45949972287,126673.4023679251,124108.92806836193,121486.48701867643,118816.02177650189,116106.95519561777,113368.18371068683,110608.06866428719,107834.43559811007,105054.5794687313,102275.27428169148,99502.78601879996,96742.88800792713,94000.878083659,91281.59703312074,88589.44792947172,85928.41603685547,83302.08903255769,80713.67734013591,78166.03440511138,75665.87777496972,73221.89302652857,70843.45612763496,68539.80572075036,66319.53805447854,64190.32935962166,62158.81519986694,60230.57523847082,58410.18619303573,56701.316508935255,55106.84427901036,53628.98581870728,52269.426581370506,51029.449166042075,49910.05533790839,48912.08048554142,48036.299958399555,47283.527397151425,46654.70558810561,46150.99061459374,45773.830195505965,45525.03713192993,45406.85875311604,45422.043180343,45573.90312291666,45866.37779108714,46304.09335932648,46892.42224099022,47637.44877427801,48539.52438280339,49595.495373783466,50800.0653283064,52146.625620310355,53627.75867072828,55235.53990248294,56961.71624766684,58797.80952508556,60735.17481123004,62765.032667407766,64878.48707745953,67066.53655646343,69320.0831094131,71629.9419363524,73986.85362024534,76381.4997645129,78804.52252625828,81246.54813099139,83698.21420102255,86150.20054915057,88593.26296101641,91018.26940045798,93416.23801399412,95778.37627758832,98096.12061712654,100361.17584054157,102565.55374167512,104701.61027148791,106762.08071893088,108740.11239955695,110629.29441271993,112423.68409596288,114117.82987601747,115706.79028790613,117186.14900528787,118552.02579491615,119801.08337456858,120930.53021595743,121938.11939103517,122822.14361109065,123581.42665260095,124215.31140168496,124723.64478008458,125106.75983994061,125365.45533242564,125500.97306686289,125514.97338271092,125409.50905721284,125186.99796713729,124850.19481444808,124402.16221352188,123846.24142227492,123186.0229818427,122425.31750982943,121568.126871133,120618.615928434,119581.08505205571,118459.94354644467,117259.68412833332,115984.85857002041,114640.05460039014,113229.87413648787,111758.91289983824,110231.74145435024,108652.88768668535,107026.82073542199,105357.93636225001,103650.54374677605
IN,950.8119869233043,1768.7473732146705,2728.8002964474163,3755.993013595048,4803.553914209885,5841.207098595533,6848.728591447568,7812.330936952411,8722.56191349881,9573.029585252716,10359.591225911605,11079.811126045104,11732.579783895408,12317.833711496029,12836.340643428493,13289.52922531333,13679.350413336451,14008.16255562179,14278.634928564394,14493.666186185093,14656.315211922683,14769.742506787135,14837.160661052647,14861.792730474817,14846.837527016343,14795.440970987896,14710.67275602695,14595.507662282247,14452.810923655701,14285.327116232542,14095.67208964071,13886.327512526896,13659.637648514848,13417.808020462237,13162.905658896025,12896.86066541614,12621.468853791564,12338.395260587122,12049.178343600486,11755.234710305034,11457.864240035657,11158.25548297484,10857.491236250953,10556.554212804273,10256.332732262461,9957.62637504482,9661.151551427623,9367.5469464886,9077.378809836748,8791.146065946132,8509.285226862377,8232.175094143438,7962.163068624908,7702.6437397571,7457.434059038454,7230.38012424752,7025.138302346332,6845.082359611702,6693.297635691829,6572.632295529522,6485.783732063001,6435.404945415998,6424.2210900686505,6455.150421505596,6531.426743406622,6656.722348637437,6835.271553116905,7071.99540637168,7372.6281553856725,7743.84563159638,8193.394986413989,8730.2241605192,9364.608172568178,10108.267799533873,10974.47456485758,11978.134262235733,13135.839680727695,14465.881967699725,15988.209412510485,17722.17009484529,19678.215541663543,21860.771536682958,24269.564395883735,26900.216253299877,29744.525679541493,32790.6473462766,36023.27815087219,39423.89960118035,42971.09400946599,46640.93361214639,50407.431292762725,54243.03608544848,58119.15436369626,62006.67752111569,65876.49831049722,69700.00029775832,73449.5077045018,77098.68594600171,80622.8861861914,83999.43005899593,87207.83323335634,90229.9686611796,93050.17211408158,95655.29398556182,98034.70233027526,100180.2427654078,102086.16121324932,103748.99556521598,105167.44224265662,106342.20336371448,107275.81983967237,107972.49525538099,108437.91486830435,108679.0635159902,108704.04567397211,108521.9103721697,108142.48317053131,107576.20692305626,106833.99262942116,105927.08128860335,104866.9173304353,103665.0339085739,102332.95009032133,100882.07977256463,99323.6519856703,97668.64211495932,95927.71346868457,94111.16854849558,92228.90932953873,90290.40582910614,88304.67223183834,86280.24984289281,84225.19615548545,82147.07934335963,80052.97751989042,77949.48214182683,75842.70497550764,73738.28808540394,71641.4098135943,69556.79706974217,67488.74177559222,65441.119946616665,63417.41234188351,61420.72592877156,59453.81563172884,57519.105991693716,55618.712474509186,53754.46224624743,51927.914290331835,50140.37878235425,48392.93566820187,46690.66482906709,45040.559964599786,43450.170559428654,41926.761086101,40476.83109956554,39105.88156331183,37818.34435471094,36617.61564386929,35506.15150635342,34485.5971327974,33556.930456610346,32720.607810380872,31976.70402118694,31325.042686629808,30765.314634125534,30297.184055052072,29920.382745921856,29634.79344538971,29440.523548474008,29337.970593952938,29327.880918304436,29411.40279185423,29590.135228284213,29866.173505626008,30242.152266411787,30721.286882744855,31307.413581078865,32005.028621423273,32819.23389685737,33749.25886713173,34790.96005676714,35938.31917065243,37184.330429793095,38521.51615359597,39942.21716542181,41438.74806417624,43003.472744915474,44628.83424498973,46307.359855450966,48031.65430995282,49794.38881457083,51588.290530330305,53406.135141374856,55240.74389082084,57084.98566985987,58931.78423512733,60774.13030086228,62605.09804178506,64417.86541018997,66205.73759178123,67962.17288375633,69680.81026564061,71355.49794185808,72980.32216044447,74549.63565130752,76058.08507731916,77500.63694997795,78872.60152631356,80169.65427317815,81387.85455724945,82523.66129224298,83573.94534740978,84535.99859194123,85407.53951714606,86186.71544111923,86872.10135819908,87462.69554712331,87957.91209695433,88357.5705482605,88661.8828785978,88871.43808608677,88987.18464302526,89010.41110333342,88942.72515362341,88786.03139831999,88542.50816509133,88214.5836084759,87804.91137762493,87316.34609913215,86751.91890859508,86114.81324541455,85408.34110493265,84635.91992082546,83801.05022915379,82907.29424402793,81958.25545380251,80957.55932637736,79908.8351927766,78815.69935990364,77681.73948636663,76510.50023964318,75305.47023866684,74070.07027320474,72807.64278015793,71521.44254713011,70214.628605234,68890.25726607883
