series,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,30869.701804449418,30867.218732193105,30864.058583163936,30860.04028012065,30854.93648910488,30848.463115592105,30840.26720333898,30829.913481749172,30816.870179990812,30800.49528220968,30780.02515782523,30754.568427957896,30723.108879048348,30684.521898449508,30637.60878894046,30581.151822112224,30513.989574678013,30435.10710145694,30343.729953057205,30239.406998268707,30122.06666095316,29992.035560566295,29850.016561780765,29697.031990621665,29534.34410420962,29363.367060618573,29185.582887546174,29002.46992159545,28815.447737562477,28625.83897700904,28434.846198017294,28243.540808957536,28052.860966009295,27863.615630932047,27676.492512912286,27492.068175662494,27310.81908628798,27133.132781857625,26959.31863140271,26789.617888158784,26624.212876663983,26463.235258627723,26306.773384426786,26154.878774706092,26007.57179705803,25864.846612011133,25726.67546468579,25593.01239627716,25463.796444877695,25338.95439927793,25218.40316306248,25102.051780025944,24989.8031659485,24881.555586241127,24777.20391396014,24676.640698213483,24579.757069019797,24486.443501201273,24396.590456850667,24310.088923266274,24226.830860951788,24146.70957428861,24069.620015767734,23995.45903318188,23924.125567894993,23855.52081119851,23789.548324807514,23726.114130724727,23665.126774987853,23606.497369200664,23550.13961321685,23495.969801886447,23443.90681837784,23393.872116244853,23345.78969211161,23299.58605059057,23255.190162826566,23212.53341986679,23171.549581889485,23132.174724179204,23094.34718061093,23058.007485296286,23023.09831295062,22989.564418457787,22957.352576038276,22926.411518364723,22896.691875915316,22868.14611680929,22840.72848732846,22814.394953294028,22789.103142437743,22764.812287880442,22741.48317280854,22719.07807641963,22697.560721191603,22676.896221515355,22657.051033718824,22637.99290749948,22619.69083877346,27407.972217624287,32190.76579047372,36966.396549456396,41733.41118172707,46489.858278281536,51233.08469516527,55959.45906661425,60663.98899732939,65339.78776671549,69977.33461807057,74563.4638880689,79080.02214294297,83502.16909892893,87796.40164201174,87112.73837519862,86276.14369655191,85274.78119849334,84104.05233095745,82767.76456879046,81277.94687414136,79653.39473679767,77917.41950952723,76095.4151830415,74212.73716318647,72293.1484318654,70357.86970697527,68425.13849247915,66510.13504766933,64625.13987280405,62779.81658802733,60981.54679252659,59235.770954067724,57546.30938332166,55915.65063009682,54345.202831365634,52835.50823723247,51386.42358969377,49997.27010887499,48666.95713094715,47394.08330445524,46177.018906642705,45013.97241575733,43903.04403958571,42842.26849073298,41829.648931688964,40863.18369256982,39940.88709070858,39060.80545019707,38221.02922609804,37419.70197717292,36655.02679770098,35925.27070888322,35228.767419575655,34563.91879139011,33929.19528175582,33323.13558803191,32744.345674268854,32191.497328141344,31663.326367599588,31158.6305938273,30676.267568261555,30215.152275989833,29774.254725191255,29352.59752193738,28949.25345120642,28563.343088058944,28194.03245729772,27840.5307553628,27502.088144508725,27177.99362631962,26867.572999213713,26570.18690266605,26285.228949351287,26012.123945205523
I,7.0,8.92307225631194,11.369375504974698,14.478128507862332,18.423669243006113,23.423149216338192,29.74520953215812,37.71931435939116,47.745070969000054,60.300363072613216,75.94645841125303,95.32747160568641,119.16082278677901,148.21493756267893,183.27085206671225,225.06615072961097,274.2231061054533,331.16773083809215,396.0514607707795,468.69029869761596,548.5354121173516,634.6836795348291,725.927983957574,820.8383164000684,917.8591375001088,1015.4074500911479,1111.9590271562568,1206.115270934479,1296.6482332926935,1382.525135182714,1462.915903359841,1537.1880201508106,1604.892821486988,1665.7467308452779,1719.610110397417,1766.4656388154167,1806.3974770847008,1839.571983348278,1866.2203751353304,1886.6234883684317,1901.0986207937583,1909.9883491665182,1913.6511554341337,1912.4536727200957,1906.7643565505489,1896.9483930734027,1883.3636689528723,1866.3576438452715,1846.2649837371162,1823.405830637913,1798.0846004023279,1770.5892154066773,1741.1906922515882,1710.1430165788338,1677.683247533516,1644.0318034774928,1609.3928883929807,1573.9550251400665,1537.891667479467,1501.3618676655026,1464.51098056675,1427.4713887845899,1390.3632362026965,1353.2951598923366,1316.3650123878385,1279.660568093295,1243.2602090368257,1207.2335863966655,1171.6422552218066,1136.5402805912502,1101.9748141277669,1067.9866403279461,1034.6106926103178,1001.8765393344786,969.8088403209624,938.4277746163264,907.7494404110246,877.7862281379176,848.5471678641923,820.0382521453391,792.2627355419855,765.2214120132719,738.9128713978764,713.3337361788804,688.4788797040819,664.3416270013104,640.9139392906119,618.1865832533897,596.1492860739505,574.7908772224666,554.0994179009542,534.0623190261801,514.6664485759877,495.8982290788184,477.74372598054117,460.1887275783453,443.2188171686098,426.8194380144665,410.9759516993315,395.6736903950409,399.68191973814635,410.6599291902197,429.72537145078974,458.4401699402177,498.9927617977169,554.4444122411268,629.0699874512617,728.8328040879826,862.0430254072253,1040.2555091491581,1279.456408948173,1601.5488455154705,2036.0439295495794,2621.652624855685,3331.9901923272873,4172.886176951349,5142.65151904939,6231.272478063478,7420.99608146412,8688.157800869052,10005.716913444829,11345.852322305765,12682.121361637492,13990.947251416748,15252.430918250951,16450.614829310114,17573.367200994893,18612.040267667428,19561.019614658067,20417.243234868063,21179.73771692078,21849.196685402945,22427.612121248,22917.9604856995,23323.94078240211,23649.759381462194,23899.955598767065,24079.262023612897,24192.494014452735,24244.46339646245,24239.91205939518,24183.46179709206,24079.577315944676,23932.539855059884,23746.42930418504,23525.11308097369,23272.24034396356,22991.24037958367,22685.324218326496,22357.48871399487,22010.52246691036,21647.013092534165,21269.355435668527,20879.760411106556,20480.264217471173,20072.73772467252,19658.895879099993,19240.307006147825,18818.401918430303,18394.48276128933,17969.731545930794,17545.218335566376,17121.909061956452,16700.672959299864,16282.289609950849,15867.455602334618,15456.790805986706,15050.844272108388,14650.09977061717,14254.980976547104,13865.856319957156,13483.043514351028,13106.813779092152
IH,6.0,4.90297599169617,4.13464627316483,3.6405034293651637,3.3841184655882808,3.3443965062986285,3.513770094542046,3.897154179187635,4.511514275429452,5.385906535677485,6.561833957563946,8.09372514433592,10.04928170183622,12.50936425170124,15.56701260367335,19.32515500420409,23.892600632558207,29.37807742813502,35.88240033893358,43.48930431271792,52.25594690344858,62.204414477692836,73.31559963270844,85.52649551143958,98.73135522321864,112.78647963743202,127.51782926227546,142.7303382850354,158.21776536711104,173.77208445703644,189.19170115262168,204.28808484384808,218.89067274314908,232.8501003424464,246.03993982500677,258.3571935507928,269.7218093971693,280.075473963382,289.37991133320463,297.61487876750846,304.77601275369693,310.8726431326214,315.9256615795341,319.9655043245179,323.0302876860044,325.1641183558728,326.41558780964476,326.836451051345,326.4804834907356,325.4025055053227,323.6575616569978,321.3002401946304,318.38411804059865,314.96131666323805,311.0821548710141,306.7948854703086,302.1455037898352,297.1776172056112,291.9323659407719,286.44838652305356,280.7618103326503,274.9062906481694,268.913052490173,262.81096036740814,256.62659975121704,250.38436874226335,244.1065769556459,237.8135491416538,231.5237314861871,225.2537989036312,219.01876195195737,212.83207227093027,206.705725675027,200.65036222804343,194.6753627909433,188.78894167238397,182.99823512617968,177.30938553495756,171.7276211972682,166.2573316989119,160.90213890040297,155.6649636132003,150.54808806921136,145.55321431253586,140.68151866066532,135.93370239543202,131.3100388527948,126.81041708581809,122.43438227758806,118.1811730808648,114.04975605945327,110.03885740298105,106.14699208232383,102.37249060759727,98.71352354466339,95.16812393967389,91.7342077944468,88.40959272857694,85.19201495721991,82.07914470654804,66.39332435099531,54.3548387261181,45.18006735203842,38.27508606803748,33.19557850179949,29.61747249950134,27.31635284508313,26.154398587438827,26.074204989252237,27.09940123248279,29.342451643876633,33.02034111864754,38.47876813065882,46.224560385023956,56.96360921242276,71.02385823765314,88.70524532499135,110.2248092090591,135.66786865204872,164.9552287320044,197.83285675896047,233.88462419125906,272.56329254479886,313.2319733967318,355.2081710508819,397.8042999783121,440.36101816137443,482.271934340736,522.9998334323493,562.0854858159855,599.1505024270353,633.8957475152272,666.0966775085732,695.5967457969248,722.2997662854648,746.16189944036,767.1837293669541,785.4027434798272,800.886405515658,813.7259231525404,824.0307476424302,831.9237991457056,837.537383059034,841.0097455547121,842.4822076167019,842.0968136012447,839.9944309072366,836.3132403389221,831.187561187429,824.7469602466728,817.1155994310932,808.4117820575177,798.747662988825,788.2290925945349,776.9555688030571,765.0202753820125,752.5101879929023,739.5062325469505,726.0834829721813,712.3113877243823,698.2540162747066,683.9703184217605,669.514390641657,654.9357448385225,640.2795758200908,625.5870246249349,610.89543549307,596.2386048207219,581.647020890875,567.148093539254,552.7663732139341,538.5237591271427,524.4396963897025
IN,0.28,0.5536370473306349,0.897978629268213,1.3323472369095761,1.8811950114825873,2.575391942560298,3.4537925646581993,4.565114093734792,5.9701452220079885,7.744277519779159,9.980304645123748,12.791362245563988,16.313779564987062,20.709484593492263,26.16746255930179,32.903645478605206,41.15856172625417,51.192164612603385,63.27554055872585,77.67967302632967,94.66202753552612,114.45226544595344,137.23870424186728,163.1570972448274,192.28291244568788,224.62768126347945,260.13935318102267,298.70609143966544,340.16265684175306,384.29844729714097,430.8663354506559,479.5916069447092,530.1804895521204,582.327940407168,635.724505630766,690.062178117791,745.0392573193988,800.3642652201358,855.7590019188995,910.9608382614803,965.7243467337071,1019.8223690300285,1073.046612049197,1125.207855393378,1176.1358439912324,1225.678930010183,1273.7035192349304,1320.0933688227037,1364.7487759159376,1407.5856900271112,1448.534776382206,1487.5404524624087,1524.5599157473034,1559.5621770605408,1592.5271108752363,1623.444531379506,1652.3133009667938,1679.1404760417483,1703.9404935678197,1726.7344005813318,1747.5491279184394,1766.4168086113405,1783.3741407785637,1798.4617943354444,1811.723860463217,1823.207342479849,1832.961686537016,1841.0383504120796,1847.4904085602388,1852.3721915306298,1855.7389578230031,1857.6465962619543,1858.151356987851,1857.30960920287,1855.1776238629818,1851.8113795690156,1847.266389979421,1841.597551141762,1834.8590072175157,1827.1040331539289,1818.3849329362977,1808.752952133119,1798.2582035243734,1786.9496046791346,1774.8748264223113,1762.0802512012863,1748.610940431279,1734.5106099632671,1719.8216128801605,1704.5849288855914,1688.8401596051613,1672.6255291723044,1655.9778895201548,1638.932729847009,1621.5241897662695,1603.7850756922292,1585.7468800508495,1567.4398029398906,1548.8927758955213,1530.1334874529778,1511.188410217087,1492.8341858326687,1475.3361784729082,1458.998428062993,1444.1805422090201,1431.321493980593,1420.9727314672257,1413.844165841046,1410.868108329192,1413.2880900739976,1422.7815774923988,1441.6273630059375,1472.9285786920263,1520.8982829041076,1591.2022315089155,1688.3220374645807,1816.870651631802,1981.2886339555932,2185.5150837845235,2432.689466199144,2724.9333213314485,3063.2383487592137,3447.4608679795197,3876.4027569720124,4347.950049635792,4859.2408564565585,5406.840022562255,5986.905185050649,6595.335387441441,7227.89829021034,7880.335252749373,8548.445474883441,9228.151363894804,9915.547668908297,10606.936943664503,11298.853725891026,11988.079560164071,12671.6507025508,13346.860063270111,14011.254685036696,14662.62982661195,15299.020524719355,15918.691341294343,16520.124864064674,17102.009413259766,17663.226312399995,18202.83700344578,18720.070223271847,19214.30940703423,19685.08044244052,20132.039865472125,20554.963561285073,20953.73601262579,21328.34012114286,21678.847613633723,22005.410034861394,22308.25032055617,22587.654938127143,22843.96657807572,23077.57737582417,23288.922641397243,23478.475072921203,23646.739429065765,23794.24763521561,23921.554298208932,24029.232604831428,24117.870579833005,24188.067679981938,24240.431701540827,24275.575979501653,24294.116857923735,24296.67141175419,24283.855401556415
D,0.01,0.14372778258483107,0.25300513382419637,0.34515798013802446,0.4262973886549372,0.5017224983895209,0.5762622865348161,0.6545770670774829,0.7414366982064778,0.8419891648986431,0.9620300546028596,1.1082799720753385,1.2886726248091942,1.5126506512353401,1.791458908389667,2.138415921216226,2.5691342756862867,3.1016516928157767,3.7564292179941052,4.5561748565185685,5.525462895168018,6.690141546212826,8.076551282061097,9.71060671002099,11.61681814285371,13.817339010453093,16.331119981696922,19.173232739576118,22.35440134731622,25.88075316866136,29.753779090258604,33.97047687002396,38.5236423024689,43.40226968487611,48.592024283784575,54.07575354713514,59.83400931519973,65.84555922944172,72.0878712443615,78.53756022222558,85.17078985586429,91.9636265842973,98.89234478969914,105.93368448714529,113.06506405330444,120.26475139996934,127.51199748728308,134.78713628043442,142.07165525826645,149.3482404440064,156.6007996954689,163.8144677016695,170.97559581253643,178.0717294985025,185.0915759113981,192.0249637068334,198.86279699721865,205.59700503718386,212.22048900097556,218.7270669946427,225.11141825376447,231.36902730881252,237.49612875331266,243.4896531229175,249.34717428440473,255.06685864057394,260.6474163782082,266.08805491998356,271.3884346858739,276.5486272237762,281.56907573147487,286.45055796152656,291.19415147614757,295.8012011998325,300.2732892024324,304.61220663408744,308.8199277251516,312.8985857585452,316.85045091839,320.6779099169364,324.38344730136413,327.9696283427487,331.4390834111056,334.79449374275254,338.03857850910424,341.17408309929715,344.2037685326117,347.1304019204304,349.95674790135445,352.68556097704203,355.3195786802717,357.86151551063364,360.3140575770785,362.6798578902816,364.96153225138835,367.16165568718225,369.2827593850507,371.3273280843053,373.29779788344206,375.1965544258025,377.10270351818383,378.64457600484644,379.906875056265,380.956105584735,381.8449796200365,382.61589069688193,383.3037063231947,383.9380823436684,384.545473944878,385.151003185619,385.7803408724097,386.4617696052405,387.2286110907172,388.1222152968823,389.1957024066549,390.51858573331754,392.1679945252968,394.2280235798175,396.78780805104856,399.9384644768797,403.7692702272956,408.363603193392,413.7951773858135,420.12499812844214,427.39928009043916,435.64838813458096,444.8867191145156,455.1133577824676,466.3133064809003,478.4590916420012,491.51257486797067,505.4268303159808,520.1479852221445,535.6169521784958,551.7710082472406,568.5451967314735,585.8735428353808,603.6900853280058,621.9297335600911,640.528963613379,659.4263697134284,678.5630879057123,697.8831088482001,717.333495767571,736.8645224236645,756.4297445167726,775.9860164867356,795.4934641801013,814.9154224585156,834.2183455216217,853.3716965383633,872.3478221278143,891.1218163031747,909.6713776843421,927.9766630867343,946.0201399966052,963.7864399353566,981.2622142867909,998.4359938019086,1015.2980526965118,1031.8402780091421,1048.0560446832733,1063.94009667159,1079.4884342257947,1094.6982074276884,1109.5676159319219,1124.0958148240725,1138.2828264464304,1152.1294580053366,1165.6372247458564,1178.8082784600576,1191.6453410825752,1204.151643120151
R,0.0,1.249659178388364,2.278215744247716,3.155387174490167,3.9400352358061124,4.684028693723959,5.4355666325444005,6.242163000852202,7.153457293959487,8.223985946768122,9.516019555641911,11.102537523857462,13.070368722655147,15.523468940801099,18.58622937087945,22.406615203555717,27.158827031451455,33.045078420832205,40.29602050578022,49.16935528752996,59.94629404476267,72.92574287843442,88.41640355444304,106.72729796139781,128.15747692793101,152.9857938283354,181.46158732199672,213.79694945521533,250.16101003807026,290.67640733482733,335.41788737874697,384.4128066824892,437.6432123553968,495.04913223760377,556.5327114001591,621.9628647557909,691.1801650449753,764.0017408305595,840.2260134149157,919.6371506709934,1002.009157648414,1087.1095579082357,1174.7026461700743,1264.552312818194,1356.4244551103016,1450.0889995988614,1545.3215662789005,1641.9048081725052,1739.6294611696705,1838.2951385571391,1937.7109032499397,2037.69564865809,2138.078316648894,2238.697978407178,2339.4038012981177,2440.0549222017994,2540.5202452827994,2640.678179823542,2740.416331609724,2839.63115941862,2938.227606426034,3036.1187148079057,3133.2252304569456,3229.4752035494407,3324.803589667759,3419.1518552949383,3512.467590734218,3604.7041328543173,3695.8201995074674,3785.7795369994747,3874.5505815983765,3962.106135740622,4048.4230593222433,4133.481976239348,4217.266996160495,4299.765451367043,4380.967648381084,4460.866634009453,4539.457975362578,4616.73955335511,4692.711369158449,4767.3753630508045,4840.7352450962435,4912.796337078341,4983.565425114994,5053.050622387385,5121.261241426821,5188.207675417239,5253.901287987924,5318.3543109894445,5381.579749765854,5443.591295456898,5504.403243885354,5564.030420606102,5622.488111714974,5679.792000036654,5735.95810633166,5791.002735182723,5844.94242524047,5897.793903527271,5949.574043516279,5997.673306286645,6042.860905120306,6085.749704924339,6126.836409250498,6166.533824194475,6205.197578493148,6243.149330016162,6280.698310533154,6318.163043246597,6355.8952067394275,6394.307904147511,6433.910986529502,6475.356457363931,6519.497083997055,6567.4606591240035,6620.544774515315,6680.21400240584,6748.078799911152,6825.856818929501,6915.3206447144785,7018.23843451311,7136.314653270152,7271.1371042249075,7424.13439000091,7596.545649645534,7789.402507501879,8003.521898358916,8239.50778596416,8497.759620941268,8778.485514971366,9081.71839456499,9407.333738033913,9755.067832055402,10124.535778172465,10515.248722785433,10926.629975995795,11358.029830085576,11808.738994750418,12278.000641096489,12765.021096883944,13268.979267555718,13789.034876125022,14324.335623868456,14874.02337594927,15437.239473803984,16013.129271003883,16600.845982531682,17199.55392982468,17808.4312560996,18426.67217876911,19053.48883842404,19688.112797027832,20329.796231720153,20977.81286497767,21631.45866682288,22290.0523602785,22952.93575729597,23619.473948896855,24289.05537020832,24961.09175840255,25635.0180192204,26310.292015731422,26986.394291218054,27662.82773653776,28339.117210983644,29014.809124504613,29689.470988138066,30362.69093863044,31034.07724245669,31703.25778378334,32369.87954033805,33033.60805064033
G,7.0,9.483072256311939,12.643221285479651,16.66152432876526,21.76531534453803,28.2386888573106,36.43460111043758,46.78832270024328,59.83162445860346,76.20652223973663,96.67664662418551,122.13337649151913,153.59292540106665,192.1799059999089,239.09301550895654,295.54998233719226,362.7122297714035,441.5947029924786,532.9718513922132,637.294806180712,754.635143496257,884.6662438831227,1026.685242668654,1179.6698138277543,1342.3577002398001,1513.3347438308479,1691.1189169032486,1874.2318828539715,2061.254066886944,2250.86282744038,2441.855606432124,2633.1609954918813,2823.840838440123,3013.086173517372,3200.2092915371336,3384.6336287869267,3565.8827181614442,3743.569022591798,3917.3831730467127,4087.0839162906404,4252.488927785442,4413.466545821702,4569.928420022639,4721.823029743332,4869.130007391393,5011.85519243829,5150.026339763632,5283.68940817226,5412.905359571727,5537.747405171493,5658.29864138694,5774.650024423476,5886.898638500921,5995.146218208294,6099.497890489283,6200.061106235941,6296.944735429628,6390.2583032481525,6480.111347598759,6566.612881183151,6649.870943497639,6729.9922301608185,6807.081788681692,6881.242771267548,6952.576236554437,7021.18099325092,7087.153479641915,7150.587673724701,7211.5750294615755,7270.204435248764,7326.5621912325805,7380.7320025629815,7432.794986071589,7482.829688204575,7530.912112337817,7577.115753858859,7621.511641622863,7664.168384582638,7705.1522225599465,7744.527080270229,7782.354623838502,7818.694319153147,7853.603491498813,7887.1373859916475,7919.34922841116,7950.290286084715,7980.009928534121,8008.555687640148,8035.97331712098,8062.306851155412,8087.598662011697,8111.889516568999,8135.218631640902,8157.623728029811,8179.141083257839,8199.805582934086,8219.65077073062,8238.708896949965,8257.010965675989,8274.586780507645,8297.650401340696,8327.876836040501,8366.71939745231,8416.129494580326,8478.760271379075,8558.243093612582,8659.570356579918,8789.6287808763,8957.939123203705,9177.667046887858,9466.96598569629,9850.676223392811,10362.300873992488,11045.964140805634,11882.558819452339,12883.921317510907,14054.6501850468,15390.937947213792,16880.755641862896,18505.307779206585,20241.283006477013,22063.28733296274,23945.965352817773,25865.55408413884,27800.832809028972,29733.564023525094,31648.56746833491,33533.56264320019,35378.88592797691,37177.15572347765,38922.931561936515,40612.39313268258,42243.05188590742,43813.499684638606,45323.19427877177,46772.27892631047,48161.43240712925,49491.74538505709,50764.619211549,51981.683609361535,53144.73010024691,54255.65847641853,55316.43402527126,56329.053584315276,57295.51882343442,58217.81542529566,59097.89706580717,59937.6732899062,60739.00053883132,61503.67571830326,62233.43180712102,62929.935096428584,63594.78372461413,64229.50723424842,64835.56692797233,65414.35684173538,65967.20518786288,66495.37614840464,67000.07192217692,67482.43494774267,67943.5502400144,68384.44779081298,68806.10499406685,69209.44906479781,69595.35942794528,69964.67005870651,70318.17176064143,70656.61437149551,70980.70888968461,71291.12951679052,71588.51561333818,71873.47356665295,72146.57857079871
H,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,67282.00071155476,62476.14351787228,57670.2863241898,52864.42913050732,48058.57193682484,43252.71474314236,38446.85754945988,33641.000355777396,28835.143162094915,24029.285968412434,19223.428774729953,14417.57158104747,9611.714387364987,4805.857193682505,2.1827872842550278e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta,22.439426692103744,22.43942669210374,22.405184697652953,22.36175653887946,22.30677779008547,22.23733584308021,22.149878921196382,22.040132022092823,21.90303614199683,21.732735740970814,21.522649246371,21.265666118744647,20.954516933374883,20.58235275290089,20.14353824159167,19.63460415750221,19.055224592181276,18.40900658576112,17.70384619542652,16.951657490761704,16.16742933706201,15.367763781321502,14.569211470128678,13.786765612451681,13.032790764469237,12.316499985570752,11.64393493788713,11.018305622512447,10.440521613193736,9.90977349973741,9.424071267920244,8.980692642528453,8.57652832035453,8.20833103338536,7.872884479659543,7.5671103074806805,7.2881298341364005,7.0332942159278,6.8001935969485645,6.586652929147039,6.39071987183005,6.210648446738806,6.0448808659177615,5.892029063425353,5.750856854506909,5.620263239533663,5.499267104979796,5.3869934058262725,5.282660811452897,5.185570738189011,5.095097661019688,5.010680584171732,4.931815548534875,4.858049058561095,4.788972319479764,4.72421618549181,4.663446729900719,4.606361358209562,4.552685394674184,4.502169081460194,4.454584937334014,4.4097254297275645,4.367400920095711,4.327437847800713,4.289677122383397,4.2539726980926895,4.2201903080172185,4.188206338162938,4.157906824410917,4.129186557524882,4.101948283307192,4.076101986667068,4.05156424980313,4.028257675945234,4.006110371175745,3.985055477781461,3.9650307533942755,3.9459781908791514,3.927843674536381,3.9105766687147,3.8941299353929564,3.878459277690479,3.863523306617772,3.8492832286866,3.8357026522679645,3.8227474108225707,3.8103854013361236,3.7985864364741357,3.7873221091319147,3.776565668197079,3.7662919044673178,3.7564770457768315,3.747098660483078,3.738135568552354,3.729567759560058,3.7213763169901455,3.7135433482793547,3.706051920106367,3.698885998474542,3.692030393180421,4.153041628147999,4.587689181454643,4.996562092585344,5.3801415421310175,5.7385184829351275,6.071295930398344,6.377458874661354,6.655204911330998,6.901731278967278,7.1129832597643725,7.283390822715859,7.405663660798465,7.470787593874514,7.468463432315694,7.153377748442971,6.802205635263291,6.424688094901069,6.033215621835936,5.640895233222253,5.259586484767363,4.898514603604262,4.563725401338612,4.258271114561625,3.982820288891274,3.736389454682777,3.517001765738674,3.32219112797524,3.1493454662673277,2.9959175422712443,2.8595401075763376,2.738077986043864,2.629641641840551,2.532579045937599,2.445456599544423,2.367035619585068,2.296248097574501,2.232173696138194,2.1740188997142598,2.121098634211885,2.072820343021468,2.028670343024496,1.9882022149480314,1.9510269654383723,1.9168047085565612,1.8852376375126334,1.8560640852039816,1.8290535001302688,1.8040021903457475,1.7807297113506824,1.7590757939722441,1.7388977254518498,1.7200681114160696,1.7024729584980915,1.6860100274365053,1.6705874148245068,1.6561223285967328,1.642540028065474,1.6297729040586597,1.6177596786408497,1.606444707158421,1.59577736805914,1.5857115281914376,1.5762050731695865,1.5672194939630308,1.5587195221847898,1.5506728076591758,1.5430496327790182,1.5358226589467916,1.5289667010569072,1.5224585265379584,1.5162766759505433,1.5104013025421013,1.5048140285063236
