state,SD 1W,SIR 1W,SD 2W,SIR 2W,SD 3W,SIR 3W,SD 4W,SIR 4W
AZ-Maricopa,156.98139798500927,2249.436000018576,422.3792685165128,4252.038164426757,933.680514919066,5584.586860185573,1545.5742343996785,6208.913968011948
CA-Los Angeles,1258.6627462265863,5153.847076716151,4221.691950409895,5529.664066300696,7156.060744558388,5050.303350863331,10255.226646163926,4425.296321796991
CT-Fairfield,277.9171306160101,1273.5006188627756,1146.4615564781675,2888.1562051490046,1424.1953409425057,3807.631074806168,1701.3627403383155,4606.681746785697
CT-Hartford,228.44377050694774,447.0778481637977,576.2414589816965,1065.1018893106402,1000.1892224608209,1686.3037713893523,1491.5960056558552,2304.662180395668
CT-New Haven,273.3203717854074,685.6216896724632,688.4554572585658,1486.981943299383,1150.750410703428,2222.4526636470196,1635.3701242080815,2885.736205597633
DC-District of Columbia,126.4249470527434,325.1002510031346,326.03508105336755,755.3244519491934,687.1438442845454,1331.0770927168016,1158.6817778407822,1990.0710998765603
FL-Broward,100.6112607856005,1182.3872609595771,144.16447051819426,1346.945861360844,165.44879874142643,1345.9463826926249,212.3285455676446,1255.781378007591
FL-Miami-Dade,80.76855600895381,531.724051529229,169.40632038640464,1075.9029426474785,258.334275639029,1858.0101914575043,386.56892752337194,2595.5598972758726
IL-Cook,868.2242961361723,3399.672864378731,3478.814678819106,8343.78544543414,7502.842642666248,14496.046766210484,11820.818554376747,20690.409796635155
IL-Lake,106.1472096355148,126.12269486086767,310.84799997006166,315.1338950620098,698.6053338929119,841.2986693994325,1167.6092060204073,1454.5074289425127
IN-Marion,216.69259031156406,384.45011555305473,452.55980182887885,886.3541165376802,936.7200316181854,1579.5547101936966,1492.3995086310454,2296.732448998108
LA-Jefferson,487.50597721870173,210.85034808364222,669.7328802307625,394.95803910613836,775.9673565910086,564.0606659836595,805.6494414967469,742.0824607918631
LA-Orleans,469.0964644401026,174.55298596367692,600.0437232552332,309.76012119171406,680.7982449915313,420.8328504147209,722.8244753632691,515.9222230738059
MD-Montgomery,29.613725426319665,56.97915580710455,265.8550536749016,401.3058686875794,790.7105462739722,1061.0153217211014,1477.451358979374,1862.0921263830305
MD-Prince George's,46.88120778468017,391.117128015303,225.84898836821574,1162.8932718968044,854.55064687929,2329.9346617483393,1581.981332722683,3546.849640167509
MA-Bristol,289.26486177577675,359.37184166901443,578.3848608996624,835.4811598471897,935.3456355181656,1377.8156817518354,1314.0032993839504,1921.6330690249358
MA-Essex,584.8748720136944,1284.4809384399239,1162.7353360861537,2456.54319454967,1762.7645236244027,3593.1779559831625,2268.8741291426827,4561.153693280891
MA-Middlesex,1040.7106770906685,2001.0051511041102,1724.2139250586865,3647.2240491151397,2254.1968191068045,5106.046851567826,2673.784681802888,6354.52539739262
MA-Norfolk,133.53136425925763,487.8303154298533,190.1875022311097,957.5986717721631,216.86367363685076,1396.6488133235723,201.09076558655772,1747.3953864146945
MA-Plymouth,396.9470554925862,765.9367373662419,687.0345953269973,1379.6515521939318,952.7935864809276,1946.7225282018237,1212.2257510727766,2468.8958033683866
MA-Suffolk,639.4912681677355,1435.3710267184088,1228.1856898871044,2824.2514196730854,1609.4369672922053,3975.4086455052375,1883.5217099731283,4929.980530065204
MA-Worcester,378.7788581862705,740.910958200455,781.7732180662431,1496.964266754511,1363.3431890301774,2412.9943785486103,1915.226657088508,3265.1970298538517
MI-Macomb,114.61184646600513,706.4847202946864,268.9418039871723,1186.8104723663755,398.32881889805907,1558.6417125525745,492.7552806235025,1830.035105564025
MI-Oakland,181.467285597277,749.0909475018832,260.3049683586859,1242.404081146024,293.74413225720497,1689.6219271105813,322.01887798752745,2050.3985322016542
MI-Wayne,139.73917510091314,1900.2966209126116,567.7319934933485,3107.5747774157967,1076.27487760296,4114.81338441753,1476.9276096343674,4867.727040154671
NJ-Bergen,493.2848888906707,1780.4737613847199,1027.0983126585106,2972.18484535728,1385.6856358356342,3808.8794301877524,1662.4714245011596,4424.7108842038015
NJ-Essex,369.4471985271033,1851.4575147873113,677.1783568071897,3131.9367544946263,917.7461804984052,4174.190174994889,1116.6816148531539,5016.9084611446715
NJ-Hudson,515.6569098343697,1920.4060303097342,1390.011706778199,3675.3351371801436,1984.8344493375391,4962.202026069875,2635.9777355945994,6127.653836008536
NJ-Middlesex,381.7772460726212,1097.4843782457788,1310.9419780250698,2448.579221860035,2216.9200250853514,3651.659236645838,2977.2777809355493,4614.4050604233835
NJ-Monmouth,111.73277225689469,444.0541304648913,501.4777419354352,962.9998921976608,821.3623218787427,1371.85780570907,1137.4808698349077,1739.9994962218452
