series,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,3181.1870625814577,3178.865262668859,3176.1113750018185,3172.8462110566843,3168.976568545194,3164.3929551244823,3158.9670263831163,3152.5487386187874,3144.9632363908117,3136.0075240379374,3125.4470124809245,3113.0120913629357,3098.3949558304303,3081.247020563393,3061.17738308642,3037.752952668051,3010.5010328611065,2978.915317586489,2942.466400554641,2900.617954291064,2852.849634521777,2798.6874153447184,2737.7413618184146,2669.7497245926056,2594.6266941248614,2512.509314052151,2423.79725183493,2329.177893039549,2229.6292211226837,2126.3947417584445,2020.9284955987896,1914.813491825933,1809.6624658642233,1707.0140598631303,1608.2388806214226,1514.467819593764,1426.5501464333179,1345.0427937284942,1270.2267709416456,1202.1431142191282,1140.6396292689196,1085.420526835125,1036.0930572695686,992.2075783947295,953.2895418920916,918.8633742708917,888.4691250185776,861.6731633946108,838.0742795103257,817.3064265039158,799.0391349058277,782.9764056264602,768.8546814225368,756.4403241132183,745.5268895139037,735.9323908580947,727.4966686143051,720.0789338745129,713.5555183045401,707.8178414119508,702.7705920413093,698.3301128972893,694.4229726078537,690.9847080240015,687.9587191805663,685.2952999877766,682.9507888722143,680.8868249720958,679.0696969490978,677.469772907615,676.0610012565201,674.8204735803419,673.7280416960152,672.7659820581697
I,6.0,7.121799912598696,8.451327597119647,10.026226022830029,11.890623329754249,14.096112084514939,16.702818408977986,19.780542491511095,23.409936221184473,27.683661329821778,32.70744062087042,38.600873614685234,45.49783442425374,53.54620280644001,62.90659972212531,73.74971019606924,86.25168796379975,100.58706564565722,116.91856954837365,135.38330190227578,156.07496129110774,179.0221882099446,204.16380409425966,231.3226805012166,260.18117486871756,290.26231996768485,320.9219181913685,351.356893348476,380.6341865956462,407.74182864075595,431.6597090722597,451.4427710306644,466.3052427862412,475.6926002300859,479.3292594257764,477.2344685682797,469.70524801506997,457.27155111687966,440.63326368035246,420.5902676667994,397.975699083648,373.59966170071294,348.20719892612664,322.4512380157404,296.87902691523016,271.92938915338414,247.93776057502134,225.14617008398386,203.71581995147218,183.74050896758772,165.25969877215817,148.27048829709406,132.73811484159856,118.6048491825974,105.79731394539252,94.23234981212303,83.82160209348793,74.4750164145826,66.10342870163888,58.62041985390043,51.94358525376176,45.99534734702946,40.7034181670592,36.00099911749957,31.8267881374349,28.12484970273757,24.844390877752435,21.939476602320386,19.368709304854413,17.094891485366283,15.08468483938804,13.308275547688595,11.739052322477507,10.353301495827555
R,0.0,1.2000000000000002,2.6243599825197395,4.314625501943669,6.3198707065096755,8.697995372460525,11.517217789363514,14.857781471159111,18.81388996946133,23.495877213698222,29.03260947966258,35.57409760383666,43.29427232677371,52.39383921162445,63.10307977291245,75.68439971733751,90.43434175655136,107.68467934931131,127.80209247844276,151.1858063881175,178.26246676857266,209.4774590267942,245.28189666878313,286.1146574876351,332.37919358787843,384.415428561622,442.467892555159,506.65227619343267,576.9236548631279,653.0504921822571,734.5988579104084,820.9307997248603,911.2193539309932,1004.4804024882415,1099.6189225342587,1195.484774419414,1290.93166813307,1384.8727177360838,1476.3270279594597,1564.4536806955302,1648.5717342288901,1728.1668740456198,1802.8868063857624,1872.5282461709878,1937.018493774136,1996.394299157182,2050.780176987859,2100.367729102863,2145.3969631196596,2186.140127109954,2222.8882289034714,2255.940168657903,2285.594266317322,2312.1418892856414,2335.862859122161,2357.0223219112395,2375.868791873664,2392.6331122923616,2407.528115575278,2420.7488013156058,2432.472885286386,2442.8616023371383,2452.060671806544,2460.201355439956,2467.401555263456,2473.766912890943,2479.3918828314904,2484.3607610070408,2488.7486563275047,2492.6223981884755,2496.041376485549,2499.0583134534263,2501.719968562964,2504.0677790274594
G,6.0,8.321799912598697,11.075687579639387,14.340851524773699,18.210494036263924,22.794107456975464,28.2200361983415,34.638323962670206,42.2238261906458,51.17953854352,61.740050100533004,74.1749712185219,88.79210675102746,105.94004201806447,126.00967949503777,149.4341099134068,176.68602972035114,208.27174499496857,244.72066202681646,286.5691082903933,334.3374280596804,388.49964723673884,449.44570076304285,517.4373379888517,592.560368456596,674.6777485293069,763.3898107465275,858.0091695419086,957.557841458774,1060.792320823013,1166.2585669826678,1272.3735707555245,1377.524596717234,1480.173002718327,1578.9481819600348,1672.7192429876934,1760.6369161481396,1842.1442688529633,1916.960291639812,1985.0439483623295,2046.547433312538,2101.7665357463325,2151.094005311889,2194.979484186728,2233.8975206893656,2268.3236883105656,2298.71793756288,2325.5138991868466,2349.1127830711316,2369.8806360775416,2388.1479276756295,2404.210656954997,2418.3323811589203,2430.7467384682386,2441.6601730675534,2451.254671723362,2459.6903939671515,2467.1081287069437,2473.6315442769164,2479.3692211695056,2484.416470540147,2488.8569496841674,2492.764089973603,2496.2023545574552,2499.2283434008905,2501.89176259368,2504.2362737092426,2506.300237609361,2508.117365632359,2509.7172896738416,2511.1260613249365,2512.366589001115,2513.4590208854415,2514.421080523287
