state,ratio,H1,H2,G30,G45,G60,D30,D45,D60,G_impr_45,G_impr_60,D_impr_45,D_impr_60
Kerala,0.9292364380294013,4775170.092895015,4437262.048106289,1764447.1329516051,1481179.4757225187,1201724.6413148185,9849.713946752334,8236.244397947667,6763.832062439658,0.16054187849495394,0.318922840547482,0.16380877226761126,0.3132965993728334
Delhi,0.4452947138257861,11693047.403071756,5206852.197102189,474.3528946491424,474.3528946491424,474.3528946491424,11.741858670891816,11.741858670891816,11.741858670891816,0.0,0.0,0.0,0.0
Telangana,0.275472886592557,2484634.172048998,684449.3475008453,193886.7068289367,159346.662568653,124413.98594188807,1166.135335050461,945.7471322544129,727.4119583145621,0.17814549963323612,0.35831606005017846,0.18899024510436557,0.37621994939113523
Rajesthan,0.3652977627255278,2476973.917405668,904833.0303577769,363143.7669943663,231789.92668422963,121851.1582776017,2848.774283609435,1636.7370882866126,787.2196776694236,0.36171305209865945,0.664454771491391,0.425459188639949,0.7236637236587218
Haryana,0.44276010241023966,1148378.1310124875,508456.0188927686,500129.64679147,431797.79585669725,340282.9001353638,5517.871257257562,4406.6612682787,3109.166932871185,0.13662827503458086,0.3196106203293215,0.20138381944256256,0.4365278224312047
Jammu and Kashmir,0.521981996835272,3686975.278497178,1924534.7181522402,302892.4390364626,277551.1019567878,246588.1497413413,3945.264454481766,3575.67334545841,3112.7607683552624,0.08366447561480439,0.18588872496861264,0.09367967934405652,0.21101340499007382
Karnataka,0.38130002749296965,15692934.471169086,5983716.345302144,1619968.0864130221,1302582.3760595252,958247.4977780553,19128.66815211942,14339.296008924292,9771.496289137263,0.1959209647495347,0.40847754606090225,0.2503766652810313,0.48917006602706936
Lakshdweep,0.12279220885235843,103218.57010688544,12674.43621800648,51.16734803867075,51.16734803867075,51.16734803867075,1.0484064797681185,1.0484064797681185,1.0484064797681185,0.0,0.0,0.0,0.0
Maharastra,0.3917354596531236,40653338.20245065,15925354.127170896,2769084.342319091,2112781.5633932436,1487712.0315519543,33247.01725072999,23059.611197246908,15324.562571898336,0.23701075799525761,0.4627422470252369,0.3064156395340818,0.5390695515230961
Punjab,0.3949071377493745,8548926.05883308,3376031.9207248124,395898.859428872,297375.8907962933,197937.19817433506,8662.856289264837,6047.261075024042,3730.69770828764,0.24885893527126857,0.5000308956184379,0.30193219498308965,0.5693455387329021
Tamil Nadu,0.5368692620504272,4487007.012061108,2408936.1433803393,2486973.2350072474,2205030.206257106,1892188.8070904291,37621.22467414744,31670.394044533976,25668.571674409497,0.11336793849706228,0.23915996342239887,0.15817748308716684,0.31771036438246436
Uttar Pradesh,0.3525307670167294,13886952.303608472,4895577.947115832,833498.9628077135,657939.4111718975,443910.06652210886,8236.69420224012,5748.913223342239,3358.8659867196293,0.21062959819941274,0.46741377454537036,0.3020363410142486,0.5922070306062688
Andhra Pradesh,0.45769267046033235,12542732.274520012,5740716.629594063,1039549.0426315493,860257.8011002478,659011.8789381802,5422.732859561471,4382.044682225325,3252.900755562414,0.17247020984929928,0.3660598471911095,0.19191212333116936,0.4001362708054419
Uttarakhand,0.3940974560909895,3393630.3874483383,1337421.1026064693,218539.42411162925,181574.06316371972,134302.09214156057,4605.307398587575,3607.8514785646494,2453.0230457205926,0.16914733393379744,0.3854559986716196,0.2165883476809476,0.4673486841566923
Odisha,0.37687700908976174,2581272.234298493,972822.1593088626,430626.47170479305,296027.1784030801,182898.23752086528,1342.852753651142,858.7202108196316,522.4841715600551,0.3125662311674715,0.5752740494638069,0.36052541242156366,0.6109147707077714
West Bengal,0.5251770088476174,39981072.247887865,20997139.933666237,891514.5406910151,724372.9609378872,554142.4203187989,6737.068480691596,5336.8853955546365,3968.5498544223374,0.1874804864355617,0.37842581918037843,0.20783269298061569,0.41093817499463137
Puducherry,0.4993774008081911,239961.64359193254,119831.42187060078,123271.47162286068,111450.48723650616,97075.22842260344,1903.6009523256866,1698.6670156917476,1442.789710734388,0.0958939179579189,0.2125085622438465,0.10765593302712162,0.24207344560755317
