county,daily release,daily release per 1000,slope
AL-Jefferson,681.3912736567013,21.836593289332836,0.3696627136485108
AL-Mobile,255.77726886508145,31.554670911346907,0.2797345040921534
AZ-Maricopa,1877.7064904860508,56.18808019828156,0.1409005009032008
AZ-Pima,583.8508583428504,13.553194961924198,0.0969523631279118
AZ-Yuma,246.13438490696362,23.026132076034898,0.0498563546798975
CA-Alameda,483.52284093541914,7.352419531254895,0.0450190084623371
CA-Contra Costa,544.5807702865567,9.707686358431038,0.0628263263159682
CA-Fresno,383.67509028625267,21.136076679461944,0.0790256535684598
CA-Kern,961.5207509855619,23.7661413640163,0.0872883687997046
CA-Los Angeles,30475.313679520168,60.7131962624169,0.0735360327174146
CA-Orange,5087.64706988127,36.61718894317515,0.1609143932936086
CA-Riverside,697.5345166270308,6.9318431043769015,0.1118895760883374
CA-Sacramento,256.45256317175546,39.222488836268376,0.094373437906909
CA-San Bernardino,516.0319004571746,46.97593218642827,0.1076165295156502
CA-San Diego,907.2844453869479,6.720295241780581,0.135623294044785
CA-San Joaquin,232.34119343918562,53.8285300248625,0.0796542693133808
CA-Santa Clara,333.8456388300616,3.502388259421515,0.0614965108515898
CA-Stanislaus,258.08226351562473,50.84453345965866,0.1008817879364648
CA-Tulare,273.88671542981496,11.749877859256962,0.0678887772192577
CO-Adams,414.8141907205588,16.343596967519904,0.1338722249838325
CO-Arapahoe,1108.6901083628475,33.7735014333287,0.1640117659842761
CO-Denver,1416.5326532654622,38.98610894359697,0.1253449822320467
CT-Fairfield,2055.0764453135757,43.570586926205735,0.1197182743134529
CT-Hartford,1676.1125596884663,37.59279952649859,0.1013081774904408
CT-New Haven,2180.9638810867827,51.03234466195559,0.1004828520106496
DE-New Castle,1573.3277231120167,62.15794110782781,0.1116146780169662
DE-Sussex,680.5512051767612,58.11265448295194,0.4167715498601006
DC-District of Columbia,1980.4268526125386,56.12269667013452,0.0713422924166769
FL-Broward,2182.001783594624,66.19628508715641,0.1759330194771554
FL-Duval,4216.100324980284,172.2137124009334,0.2220520019636125
FL-Hillsborough,9055.338934613768,133.48858100147348,0.1790571569787688
FL-Lee,2863.8581800821053,94.00438973684068,0.2602502148921736
FL-Miami-Dade,13130.914321054466,110.4004439315741,0.1501687042357489
FL-Orange,1651.4709550954296,105.25293031607016,0.274552944426534
FL-Palm Beach,6065.141779558446,88.63128269938818,0.1726926598743712
FL-Pinellas,2154.217499999435,140.7170559268782,0.3393480087243469
FL-Polk,155.0382925478311,5.0314866880428255,0.1420627153810789
GA-Cobb,3267.3833683453145,88.8491481719755,0.229922328624745
GA-DeKalb,2406.25607224141,86.83720144321306,0.1050255846278403
GA-Fulton,4966.947324535343,105.9896407810768,0.2383229657452302
GA-Gwinnett,1471.3617004652056,90.73056422943418,0.2032116325502631
IL-Cook,1418.0539070860514,5.53528896568006,0.1139146074075461
IL-DuPage,137.22075127813926,2.973618571430041,0.1752252315539764
IL-Kane,408.26300831503175,15.336615620687025,0.1455133615876505
IL-Lake,151.3639519571332,4.386903419933626,0.1589069517462355
IL-Will,1112.408456012109,32.2090402946424,0.1654377639394981
IN-Lake,682.5097933139684,29.421234265220708,0.2117616703077854
IN-Marion,540.7956956463065,11.213058001213094,0.1541148293185416
IA-Polk,172.10252718761913,7.022285624014113,0.263000094976843
KY-Jefferson,3058.319844848125,109.63413503512952,0.1802195098170322
LA-East Baton Rouge,750.5021685517207,60.424389018832706,0.2615557812938818
LA-Jefferson,1175.6565998943427,89.9481578103989,0.252305266271804
LA-Orleans,662.1543925699227,69.28313690607472,0.1761996512241835
MD-Anne Arundel,1859.2639821620091,73.31575557731642,0.1278148759222892
MD-Baltimore,2875.1264279133475,74.70282273472905,0.1113944973449026
MD-Baltimore City,2342.9992749712615,78.95665554503906,0.059331520521132
MD-Montgomery,2387.6648375469886,45.44954996244343,0.0651370430206139
MD-Prince George's,2819.488550031553,62.01264341719872,0.0622558181123695
MA-Bristol,322.9009259097103,12.021602710741119,0.0856302523789995
MA-Essex,2138.216265995544,54.89872318561497,0.0938827739978507
MA-Hampden,1250.678738520657,53.832057415057406,0.0689955136247038
MA-Middlesex,3560.3511211331597,57.714456594117,0.0636873236238716
MA-Norfolk,1383.9121173789986,58.15322089523009,0.0779484521657595
MA-Plymouth,975.6673496531081,50.06631660563983,0.1005159805689882
MA-Suffolk,2530.237132492477,62.94850355806025,0.0826845628989213
MA-Worcester,1543.3504182970585,37.161318103711636,0.0717849423070342
MI-Kent,1907.8040743039949,59.26968673648234,0.178712436397888
