county,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31
AL-Jefferson,78238,137326,171915,162502,124287,166343,168828,174158,177806,196215,113354,134438,161764,156407,181795,180429,187416,167208,133280,151093,160127,175710,162823,198703,161630,122058,166863,160662,162682,171504,204625,171164,118677,164019,159479,149342,152494,189333,179340,127696,144577,155944,169971,176410,196152,165611,129963,154750,150294,168033,171896,197825,172080,126010,157243,117252,181337,186718,204392,183962,131016,152469,174800,154591,170466,200820,183244,132441,160913,157596,158689,171277,185671,141867,90144,116416,99864,92528,89498,68745,38360,46069,66915,63741,33249,69524,72338,57453,45584,70891,67599,74980,74953,84330,65829,37837,63144,61602,65675,69629,74687,62805,22926,63861,68836,74430,73866,80390,66440,35381,73367,76513,74260,71202,85862,69342,52263,77423,78999,74872,85300,100424,77249,56319,87037,92854,94363,96603,97672,97936,61152,97960,101618,104559,107227,112279,96228,67987,103777,108884,114592,115538,118785,94358,71436,68059,98222,104434,119244,126742,108876,81400,105913,106539,111948,113038,120892,105981,78597,108423,116133,122007,127448,129537,110707,86005,118188,121485,123280,130450,139865,131535,81803,113727,117703,120733,127006,136988,116262,87407,115220,120438,108891,118116,113827,68529,67268,102015,106210,105117,112730,123677,113214,75389,110056,114537,113569,113197,122310,109104,80196,101171,103307,112419,119991,132387,116287,82973,106594,111163,112283,118349,127945,123075,91513,122555,125008,126824,125298,130990,114733,84430,115321,119169,120895,121382,133704,124270,89640,116745,122516,122778,126938,151356,131407,92861,115625,116201,119532,122145,116792,119799,79994,111440,123463,124829,134934,143129,121920,89150,81378,118420,123420,125429,138928,126620,91255,116581,115298,114332,125403,132866,123065,89329,102578,118188,124459,117755,143097,123361,96253,113990,122335,130831,132780,147275,128054,94628,120421,119715,131816,138790,143124,108716,93817,120613,126536,129601,134393,147662,123385,95870,122803,124519,128785,132331,149349,113298,97314,122305,130776,127916,132836,150370,117173
AL-Mobile,40791,70657,78912,71183,55540,77068,78080,79826,81748,89954,55873,60905,75353,72824,85182,85420,84758,73922,59124,66384,71253,80249,73563,92202,66460,48707,77611,70682,70046,77474,91254,71802,49893,74568,69880,67407,69877,87294,77298,54112,74591,71797,73914,80436,93820,81969,52426,72468,70090,73811,78321,89972,86610,68398,69980,53523,76196,76830,84956,74793,57357,76294,78804,68301,77526,85982,72773,54496,70780,69417,72178,77782,84601,61450,47283,61881,56734,51187,47722,39367,23029,28359,42272,36342,21478,39994,42655,35243,24714,36227,34787,38321,37803,42274,32016,22005,33741,32920,35384,37085,39856,33971,15369,32136,33499,37714,36991,39920,32639,24426,36122,38601,38827,33071,46477,36890,28738,39453,40056,37077,43925,51544,41370,31288,45013,46177,47911,49665,52028,48444,32375,48362,50406,51547,51468,56426,49952,37199,50917,53180,53263,59271,64759,54433,42361,38948,54961,53959,58940,64714,54921,43794,57239,55351,58762,60230,65980,53104,29489,51884,59298,59325,63230,63556,54273,45170,58385,56649,58862,62747,63907,59232,40466,56761,58306,59359,63194,65476,57369,44725,57727,59718,54390,57247,59993,36688,36946,51067,50913,48125,56828,61308,52477,38655,51417,55321,51206,56305,60764,52001,39592,51786,53528,56040,55275,59808,53672,40095,49833,53102,56028,58409,64112,55956,43589,58040,59787,59487,60196,64734,54323,42002,58161,58318,58118,60339,66219,58528,44286,57939,60572,59909,61760,73785,57741,43723,53918,55706,56720,59505,61564,53772,38489,53469,58062,58488,63066,69771,59725,44595,40033,55742,58193,59976,65610,58731,42929,58909,18034,18935,46342,53326,55117,39773,50333,55847,60958,61667,68258,55028,44160,55845,59245,61643,64747,71889,58864,42824,59918,57834,63855,64804,66903,55544,46098,58426,60781,62364,65269,71683,60006,46104,60389,59664,61758,64522,71607,57844,45321,60691,61318,47980,46168,68203,55603
AZ-Maricopa,441621,629462,689956,629807,517966,660657,682776,708748,712786,792315,676071,539903,657175,645789,723130,705069,743053,704001,566089,599386,633837,703172,660274,752425,591477,503613,665127,617715,628853,696876,802425,661826,438344,607930,578746,585330,597249,692512,647543,493747,613814,590982,620440,650369,733462,622219,520283,537386,581124,618552,661841,694173,595793,501980,631442,515091,706274,676031,706941,625133,487325,594277,613102,594025,623280,675896,593380,471631,531558,512404,506911,543859,602510,488230,394015,441702,409914,353398,345601,291166,195414,242269,311475,241706,178326,281910,287150,264417,214946,293230,274108,244033,250217,284087,245203,187221,233119,235908,242809,252895,269842,246762,140393,220926,234855,252467,251004,273947,253096,198203,247338,260519,263776,269977,297101,268619,213038,267345,270781,267847,272373,313150,265293,204014,265676,279466,278178,282635,320342,307888,230389,286843,298766,303031,310847,344383,326590,262827,327971,337572,349175,358543,386532,346053,279760,279076,342417,345733,357141,383126,358177,280757,353099,352741,364095,366538,401689,379439,302508,382045,384337,379451,379531,396477,372157,303664,359359,352805,366391,376192,395353,376093,277390,352645,359033,365694,371773,393410,352729,280551,341006,349989,323920,324956,338659,245045,229986,302084,301611,289705,316965,342591,300653,236653,306343,310172,315460,316725,346007,311378,250864,307651,325942,332918,334403,361650,334974,264109,315765,334849,343816,351163,376929,372885,314982,353499,366190,354014,357956,386056,359808,280668,338778,341412,342204,356536,399187,385064,311695,349023,367774,359270,383118,443364,406759,301328,329210,340893,341993,348572,354309,367085,270689,335987,370307,370912,389807,425856,397958,317873,307829,364451,383991,389658,427081,411608,306809,356804,345864,373053,368297,393748,396798,294268,322020,362770,388147,392548,437458,407241,316900,364827,379373,404296,401895,445866,404624,300889,359934,362812,402604,415777,452770,435417,347610,395249,404190,416682,431795,481006,448301,346576,397074,407521,424121,439241,491047,453429,348894,406569,415388,428257,443735,478645,398698
AZ-Pima,75084,111356,123373,110557,90142,117440,120571,126750,127481,138096,117076,92676,113449,112376,133587,125966,132921,129654,103791,104956,112143,126299,121686,139684,104070,90247,122117,109710,112662,123208,143894,113211,79007,111260,103131,104522,107368,121471,113464,85906,109134,103650,108237,114205,130676,108868,86980,100153,100531,107213,107129,105847,98813,82202,111271,96030,130166,125266,125283,108091,82724,104105,107474,103733,113001,121216,106401,82580,102738,96931,95703,98910,109071,84545,66806,76825,73318,62517,60747,52155,34491,42667,57023,44130,34628,51112,50442,46295,36823,51362,48802,44837,45173,51158,44128,33849,42313,42947,44442,46487,49416,40346,25570,39030,42375,46053,45344,48790,42497,34407,43836,46425,47168,48512,53418,46492,37155,49123,49264,48277,48848,54630,44827,35326,47559,48895,49111,50400,54868,53018,39271,48968,52328,53001,53673,59786,54127,43886,56161,58122,60207,61773,66299,56511,46519,45079,59129,59096,61161,65233,59752,48837,62109,62384,63870,64380,69747,62937,50361,64042,65802,64482,64594,67183,61437,51495,61706,60448,63111,65751,69755,64962,49145,62022,63010,64146,64968,70961,60372,48939,61315,62144,59517,59056,63573,46383,43805,57620,57245,53258,60110,65198,56155,44417,58841,58193,58740,60401,66194,56209,46613,56623,61727,64765,61052,68409,61638,49830,59276,66153,67731,68637,70253,65355,54278,62664,67244,65634,64575,68795,62012,48001,60630,60898,60001,62096,70273,67948,53785,61405,66404,65736,71144,87052,76508,55460,60284,62033,61475,62193,64363,63406,47106,59266,66660,66628,71577,76372,69701,55801,52949,64724,67205,68308,75838,69373,52067,60919,59198,65598,63615,65540,66507,49718,54060,59594,65436,65880,73524,69583,54587,61490,64169,68095,67060,75631,68881,50295,61308,62182,70540,72138,78912,73546,57887,66030,66617,68613,72405,78193,72266,57664,65970,68113,69050,72151,77898,72549,57519,68153,70680,71966,73931,79413,67135
AZ-Yuma,10821,15978,18026,15449,12988,17400,18470,19325,19339,21231,16568,13601,17535,17080,19897,19008,19532,17217,14029,14582,17060,18523,17763,20350,14688,12403,17999,16476,16916,18540,20961,15258,10510,16120,14974,15160,15300,17977,15615,12437,14939,15370,16091,16366,17275,13747,11242,12200,14212,15526,17141,17266,13821,12147,16246,13034,18794,18024,18324,14813,11875,15220,15781,15145,16839,17164,14353,11746,15437,14241,14868,15401,17701,13068,11401,12752,12209,10752,10877,9449,5840,6638,9301,6884,5020,8194,8034,6982,5644,8356,7973,7130,7464,8334,6580,4846,6887,6939,6550,7120,6963,6082,3573,5986,6640,6984,6999,7551,6380,5027,6769,7250,7113,7245,7990,6180,5321,7404,7236,7083,7454,8209,6759,5080,7414,7180,7479,7488,8094,7312,5586,7447,7539,7793,8269,8610,7869,6412,8600,8205,8738,8894,9833,8250,6546,6817,8650,8695,8906,9178,7869,6559,8465,8316,8680,8515,9426,8040,6485,8697,8716,8489,8615,9044,7853,6697,8091,7553,8013,8489,9069,8049,6309,8210,8111,8290,8437,9215,7496,6311,8268,8098,8220,8368,8301,6380,6049,7658,7160,6907,7836,8368,7045,5529,7427,7805,7987,8050,8557,6970,6019,7356,7773,8116,8347,9043,7386,6156,7969,8153,8386,8560,9062,7881,6801,8205,8925,8965,8667,9409,7431,6290,8122,8127,8100,8138,9217,7386,6164,7809,8582,8104,8603,10197,8259,6228,8033,7939,8186,8096,8190,7148,5805,8054,9460,9036,9889,10893,8815,7239,7830,8883,9209,9304,10239,8691,6825,8909,8358,9243,9007,9858,9218,7384,7957,8765,9512,9485,11055,9465,7952,9382,9101,9628,9703,11636,9847,7811,9564,9178,10231,11137,12140,10836,8453,9615,10089,10212,10584,12386,10995,8871,9659,9836,10010,10415,12195,11520,9141,9498,9780,10379,10845,11807,10109
CA-Alameda,96416,144161,156672,140007,124953,158460,166149,171480,171530,184900,151946,134002,153272,157052,171873,152249,173120,158424,131160,133824,161550,170359,168660,177554,136939,128444,162419,153863,159925,167345,181675,147331,102555,149058,153179,156017,156718,174218,151909,119548,154384,156706,158939,161941,172852,142822,126338,120542,148650,156874,162604,169093,147821,127795,162470,96966,171726,166930,171347,144124,120239,150007,153938,148052,147871,158761,130738,112927,137910,138771,137226,138904,144662,95199,79059,103568,63818,60051,59175,48484,31552,43457,56294,40670,32302,54534,54029,43727,40611,54438,52457,51307,50647,55496,41799,32948,45462,48023,48370,48052,51365,44208,29015,45129,47768,50634,48522,52594,45120,37929,47932,50654,52060,53264,58174,49416,42714,52927,54134,52786,53439,59793,50035,40290,52694,54588,54961,56733,59658,56845,46495,51503,54897,54586,55529,62484,57108,44278,56563,59748,59628,60061,66464,58618,51244,49066,61842,61847,64759,69305,57212,51073,60011,59478,63342,63760,69414,61645,52373,66771,68099,68436,67565,68904,62175,52710,64327,63877,66795,68954,73234,67752,54746,68931,69966,73568,73846,77866,67652,57318,68694,72171,67283,68917,71428,51577,50858,63760,63481,62527,66798,71738,63840,54542,65573,65318,67569,66920,72538,65546,55358,63925,66933,69471,69075,73588,68587,57559,66550,69519,70513,70932,76190,70381,61839,70888,72395,71242,74573,78021,71284,60409,73358,72533,72934,71750,76504,71663,57421,69654,72866,70885,75548,87124,77538,59520,68425,70560,69799,69551,68575,70919,56791,68776,76397,76158,79745,86983,81454,66413,61278,72991,70887,73131,78321,74212,59823,67826,67857,74909,72123,74811,75537,60440,63939,71716,76849,76009,82735,79324,66468,69627,69582,73100,67347,75826,73217,60159,66906,69039,74901,76649,82232,79889,68033,72800,74414,75732,76281,83756,81285,66774,69558,72035,74618,74064,82029,79765,66275,70266,72863,75575,75487,81655,77901
CA-Contra Costa,67336,96626,107033,97046,86779,105797,114647,118670,117662,130813,104532,90108,107103,111336,119147,108551,123711,106858,84216,91331,108535,114145,112692,124089,93659,87369,110919,105646,109965,115235,127814,102881,67935,101703,105073,107017,107330,120802,105798,84043,105634,109256,112758,114292,113435,93197,80663,82271,98960,107328,110249,116868,99723,84805,109995,58502,114730,110424,120286,101022,81634,103311,109778,105662,105011,112518,90253,76662,98636,100481,99990,102294,108802,70979,57315,70911,41961,41222,40557,33184,22061,33416,38937,28268,20737,38090,38983,33447,30399,39263,38134,37061,36920,41891,32640,25849,32091,33830,34577,34734,38513,36418,21322,32857,34966,36156,36147,38826,36192,30387,35387,36927,37951,38153,42605,39514,33318,38079,39477,38431,39011,44330,39422,32280,38391,40512,40087,41522,44451,46866,36614,36948,40410,39809,40340,47059,44736,35276,41110,44864,44289,44778,51248,47974,39641,37286,44715,45797,48324,53023,45386,39747,45905,45467,47392,49238,54073,51457,43992,52125,52555,51934,52985,54405,52137,44125,51202,52572,54235,55847,59200,57830,43313,52813,55094,56742,57322,60398,54898,46435,53064,55179,52976,54365,57394,38647,40145,50264,50486,49588,52491,55969,50847,42115,51510,50571,52325,51873,56016,50651,43452,49928,52070,52661,53193,56387,54033,45236,50989,53745,54792,55178,59092,54808,46838,52303,54598,53456,54952,59726,53502,45989,53361,54689,54694,53975,56551,52696,42875,48789,50293,50858,51475,59771,55996,42741,46547,48262,48713,50641,49714,55186,44162,49148,55266,55077,57540,64549,57698,45419,42430,50998,50056,52392,57512,57146,44340,48813,50287,54678,53015,56142,56404,44537,44832,51003,55056,54553,60787,59073,48596,49600,50404,52078,50696,57022,55684,45634,49583,51435,54417,56044,62504,61488,52814,54333,54891,56277,56446,62089,62097,51032,52057,53639,55559,55058,62426,61864,50489,52791,54776,56411,56716,62885,61171
CA-Fresno,56328,91347,98309,83283,70821,92494,97363,100572,102598,112388,85271,73365,95543,97106,108129,98567,108416,90055,72169,78903,100467,102640,102215,110039,77867,70282,98542,93030,93364,100822,114396,89257,55886,92971,92750,93890,94249,107578,89742,71579,86610,93683,96502,102235,108739,79959,68211,69381,90458,96599,102344,106220,85360,72800,99052,55535,105386,102613,111511,88374,72735,94473,97121,94109,97435,104223,82969,67570,88056,88733,89459,93123,103531,71826,54999,62450,60848,61591,44658,36198,22000,31000,42400,31779,20468,39754,40853,34405,28828,40409,40806,40756,41139,46103,36027,25392,37158,38123,36622,37871,40979,35318,20301,33543,38101,39573,39858,41754,35332,30016,37089,42113,41089,42058,45011,38290,32090,42470,43382,42153,43769,48702,39729,31413,43047,44306,44325,44062,47701,43804,35032,42180,43444,44354,45633,48778,42153,35879,44231,48309,47186,48234,52362,43872,36046,35522,50231,50405,51453,56777,49495,41448,54954,54191,56154,56193,60525,51513,43572,56307,56938,56467,57787,58895,54088,45806,56312,55375,56963,59373,61676,54499,42274,56127,57136,59220,59524,63956,52566,47047,56423,59979,58159,57741,60571,40043,39169,53999,52813,50562,55221,58710,48848,40645,53905,51080,51903,52684,56187,47960,39822,49704,51911,53416,54404,57319,49815,41104,51073,52829,53320,54936,58970,52358,44383,55270,55853,57194,57314,60903,52587,43660,56474,56012,55154,56417,60779,51331,43392,54784,55498,53999,56543,64627,55623,43865,51121,52237,51771,52586,52654,52518,39794,52001,58398,57218,61371,65833,58463,46918,44170,55564,57506,58021,62455,56930,45037,53081,51974,56035,54135,58327,55928,43185,46927,52990,57146,57467,63729,58073,47688,53725,54013,56480,56102,63386,58688,45920,53947,54812,58985,60834,66623,61715,51890,57080,58808,59426,60198,66502,61556,50467,55801,57236,58845,60141,66316,60453,49793,57302,57419,60167,61179,67781,58473
CA-Kern,48641,75639,83140,69168,60477,82464,84646,88111,87427,95573,70628,61566,78763,80788,89624,83184,90708,77073,64083,65690,83208,87308,86041,89407,65907,58872,83897,79332,80610,86008,95194,70701,48783,78136,76982,78266,79456,88830,73221,58369,71566,78041,80954,84298,89087,68136,58776,61591,75386,79918,85158,87928,67835,58478,81497,44358,87821,85962,92842,72609,58447,78654,80505,78385,81967,85219,64773,54649,73599,71162,74498,78557,86423,60086,51079,65017,62065,51892,46429,34543,21234,28682,39257,29628,18808,35887,37413,31458,26390,36416,36102,37586,37907,41767,32905,24968,32298,32821,30890,32779,37566,33001,20312,31268,34533,37181,36419,37763,31688,27073,35452,36928,37229,38450,42399,36156,30200,39789,39346,39440,39929,44365,36115,29851,39801,40255,39526,40384,43850,40386,32267,39110,39508,39943,40837,44629,38139,32642,40130,42378,42977,43798,49547,41601,35926,34583,45056,45919,47607,51602,42839,36813,47147,47759,49250,48536,52374,45339,39190,49553,49098,49264,49184,52292,45824,40227,48097,48007,49371,50465,54107,47239,37373,48286,50095,53488,51937,55138,44788,39816,49131,51395,49437,49558,52449,35183,34286,46461,44958,43413,46311,49247,40126,34168,45187,45071,46040,46520,49492,41101,36141,44213,45632,47012,47638,49717,41216,36039,43360,44923,45147,45624,50576,43897,38554,48048,48376,48550,48973,52933,44376,38105,48439,48396,48355,48926,52521,42702,37259,45402,46789,46236,49454,56398,45059,37773,43297,44145,43931,44953,45611,43323,34273,44461,49847,48773,52482,56632,48665,40638,39291,47055,48613,49976,54386,47614,39425,45625,44205,48118,46399,49140,45506,36840,40922,45745,48867,48730,54375,46943,40409,45936,46364,47740,47712,53651,46976,39058,45848,46232,49398,52061,55685,49724,42644,46841,49062,49151,50410,56805,51299,42893,46866,48051,48878,50671,55549,49704,41256,47647,48088,50719,51728,56641,47537
CA-Los Angeles,742990,1037377,1112794,1008256,894100,1084126,1132527,1172639,1186210,1251868,1072247,954920,1066405,1091545,1193630,1127853,1187717,1072451,958461,933040,1104296,1146663,1148087,1196290,927758,867425,1102120,1030423,1050721,1139816,1221494,984678,732396,1004078,1014736,1024597,1036359,1145727,1021502,815178,1028646,1040697,1070590,1098945,1152242,962986,854460,851571,1001145,1059608,1115113,1123424,955457,844198,1073889,671882,1137211,1101388,1122898,951239,778134,994161,1072382,1017995,1030547,1064629,906581,784264,953975,899180,944853,899910,958987,692459,572941,602794,556834,524452,488335,370020,251511,312868,418917,308722,243628,393217,384490,330324,284971,385156,365520,365024,361597,391267,325086,258619,312547,308119,318084,290494,334173,310696,194467,304640,327979,344014,343112,360269,310051,260862,344108,362738,372187,381802,409284,354704,295020,380600,387086,374491,371805,413759,345959,278120,366367,381324,382419,388279,416108,401765,332985,373802,388464,393230,397075,432856,392708,329998,388957,419712,416629,421717,458785,399639,342469,332319,425269,431593,445741,470982,424583,323900,408085,418216,471511,475930,507257,462352,398519,490650,496408,505978,511179,520799,478165,421916,493602,477377,495654,508866,536151,507103,400665,513930,530659,543133,545712,569146,504846,427486,510155,530823,493166,494278,513644,354924,358566,470563,465532,453055,492722,520106,460402,392351,490982,461740,482435,481615,508213,448500,383727,458639,489152,496346,496423,523324,482133,410946,473348,509672,516022,520345,552767,495731,432513,500102,518337,510689,515823,542621,486171,412224,507769,507952,503934,514982,543917,484525,418860,491507,502639,499766,530853,604638,529775,429121,479531,489001,478270,487460,481855,481875,380672,470487,515001,507508,543895,579232,512647,419450,401492,498907,508639,507653,542371,504228,419010,471654,463552,500212,484429,498256,486546,403826,421910,470263,503594,506092,553148,509745,441625,472583,472394,486155,471824,522456,494331,401103,462887,472977,509864,527292,551981,532936,456112,489546,501411,506843,513612,555047,526394,443151,476802,482474,493886,503999,540501,512922,429895,470291,478270,505544,508545,549161,499321
