series,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08
S,47286.3,47285.01462189042,47283.55710408835,47281.90453826656,47280.03100878834,47277.907209691126,47275.500016244194,47272.772006659645,47269.68092939584,47266.179111450176,47262.212803134076,47257.7214551087,47252.63692399839,47246.88260376938,47240.37248135783,47233.01011686575,47224.68755114583,47215.284146911596,47204.6653737963,47192.68155320386,47179.1665855028,47163.936690234455,47146.789199609666,47127.50145662891,47105.82988151119,47081.50928338668,47054.25250775955,47023.750523109375,46989.67306081418,46951.66992957928,46909.37312659657,46862.39986032499,46810.356581611515,46752.844088693186,46689.46372602285,46619.824636734316,46543.55195564967,46460.29574804835,46369.740415399145,46271.614211463304,46165.69845047819,46051.83595336545,45929.9382762044,45799.99130227344,45662.05885473686,45516.284096165014,45362.88861327407,45202.16922688146,45034.49270316245,44860.288659074016,44680.041041731834,44494.27861261627,44303.56488174099,44108.48791777569,43909.65041424889,43707.660327787155,43503.12233058238,43296.630243756714,43088.76054724131,42880.06699950605,42671.07634939203,42462.285083216084,42254.157122822595,42047.12237312636,41841.576009252145,41637.87839181059,41436.35550239244,41237.29979843442,41040.971395882276,40847.59949849048,40657.38400335166,40470.49722276697,40287.085672466616,40107.27188523215,39931.156217040254,39758.81861990426,39590.32036165623,39425.705678047474,39265.00334682915,39108.228176998455,38955.3824092531,38806.45702597924,38661.432970890375,38520.28227981561,38382.96912517351,38249.45077742405,38119.67848731763,37993.59829310206,37871.151757042964,37752.2766356924,37636.90748833052,37524.97622792717,37416.41261884218,37311.1447253193,37209.09931463966,37110.20221859656,37014.37865674031,36921.55352462603,36831.65165008279,36744.5980203118,36660.31798241814,36578.73741978476,36499.78290651181,36423.381841968294,36349.46256733753,36277.954465883005,36208.78804851642,36141.89502611515,36077.20836991182,36014.66236116313,35954.19263119843,35895.7361928508,35839.23146418282,35784.61828533634,35731.83792925991,35680.83310699749,35631.54796815864
I,6.0,6.805378109580669,7.71846566288511,8.753554231645834,9.92679937133036,11.256454518836453,12.76313160426394,14.47009066047125,16.40356067143341,18.5930937633862,21.071954578416573,23.87754623751938,27.05187364883134,30.642043985935267,34.70080287861255,39.287103140401086,44.46670060909054,50.3127687945935,56.90652040632128,64.3378193662578,72.70576151801677,82.11919586491966,92.69715082051917,104.56912173563285,117.87516711449828,132.7657518698525,149.40126734739238,167.951150609774,188.59252085618894,211.50825042259345,236.88439337149617,264.906908173352,295.7576342329635,329.6095164126578,366.62111776998154,406.9305176369114,450.6487573106015,497.8530643270713,548.5801518301136,602.8199436195456,660.5101091150968,721.5317974986237,785.7069308597845,852.7973503219575,922.5060098327799,994.480287618005,1068.3173474995024,1143.571346092154,1219.7621621237918,1296.385233242317,1372.9220319251167,1448.8506984866717,1523.6563734830172,1596.8408275696765,1667.9310648908995,1736.4866661613676,1802.1057300732334,1864.429358493042,1923.144706329003,1977.9866775579444,2028.7383934673328,2075.2305881658917,2117.340101506111,2154.987643081858,2188.134995509526,2216.78181331032,2240.9621576636437,2260.740889008572,2276.2100204400313,2287.4851161966208,2294.7018020397163,2298.01243846123,2297.582993684685,2293.5901414243745,2286.218598302318,2275.6587075741254,2262.1042692162227,2245.750611287682,2226.7928936029903,2205.4246319454505,2181.8364291351713,2156.214898078221,2128.741761320825,2099.593111489919,2068.9388172128215,2036.9420595852603,2003.7589849248593,1969.5384603464356,1934.4219195778203,1898.5432873621653,1862.0289717350684,1824.9979143996152,1787.5616903326368,1749.8246486289115,1711.8840874182383,1673.8304564678738,1635.7475818066955,1597.7129073764345,1559.7977493295634,1522.0675591541883,1484.582192315515,1447.3961795636537,1410.5589984715086,1374.1153431373098,1338.1053903170946,1302.5650605462472,1267.5262730691345,1233.0171936248778,1199.06247433821,1165.6834851398476,1132.8985362933643,1100.7230917375164,1069.1699730664957,1038.2495540676532,1007.9699458186697,978.3371724156002,949.355337461201
IH,142.0,64.27414496004123,29.25629903673523,13.501711116040886,6.438667005978243,3.3005546256295917,1.9386257395288098,1.3847382333836205,1.203243969856865,1.1987388971961392,1.2842886823121913,1.4220213356276432,1.5963548096546623,1.801942659256674,2.038258220370679,2.3071738218290916,2.6118918929048913,2.9564867855624124,3.3457227475524007,3.7849966994421322,4.280336910744363,4.838425631287006,5.466630146232076,6.1730338301922885,6.96646165200117,7.856495524599729,8.85347495718941,9.968478150295425,11.213278242046037,12.600269034447926,14.14235434005414,15.852795227023897,17.745010042350266,19.832323294454064,22.127661394051906,24.64319595962622,27.389938891092,30.377297598049807,33.61260340327887,37.1006308535562,40.843129957356446,44.83839664848532,49.0809084546276,53.561051929843046,58.26496558673651,63.17451681917669,68.26742395387319,73.5175257416062,78.89519117073951,84.36785344324251,89.900644240623,95.4570987791536,100.99989907108164,106.49162239049798,111.89546398435833,117.17590711074496,122.29931891232631,127.23445677860691,131.95287609516828,136.429236110712,140.64150570725457,144.5710749207835,148.20278105132886,151.52486015406166,154.528835724367,157.20935663221564,159.56399599482208,161.59302186947446,163.29914955274458,164.6872840169808,165.76425970292703,166.53858359575167,167.0201862948598,167.22018468019124,167.15065879821606,166.82444474653892,166.25494462534715,165.45595403951586,164.44150716607263,163.22573903510522,161.82276439460526,160.24657232793328,158.51093565409087,156.62933405442328,154.61488982463663,152.48031513929868,150.23786972976689,147.8993279094147,145.47595392684428,142.97848468418204,140.4171189200778,137.80151202292112,135.14077570689022,132.44348185011836,129.71766985926257,126.9708569871999,124.21005108983483,121.44176536368057,118.67203465774215,115.90643300118886,113.15009203236073,110.40772005488957,107.68362148326763,104.981716473239,102.30556056212151,99.65836417080467,97.0430118429336,94.46208111790206,91.9178609529593,89.41236962619537,86.94737206661209,84.52439657010132,82.14475087111953,79.80953754933407,77.51966875867734,75.27588027322231,73.07874485021715
IN,0.24,0.4512191054896268,0.6693238570555123,0.8977969030576218,1.1402749141624504,1.4006046722767718,1.6829017891821734,1.9916128080786875,2.3315814422691172,2.7081197044085736,3.127084673552163,3.594961631211703,4.118954266226049,4.707082594557205,5.368289155638097,6.112553921242598,6.951018173540929,7.896117361269682,8.961722609652469,10.163290121490178,11.51801714253663,13.045002451807232,14.765408455349753,16.702620891687214,18.882400886402507,21.333022620923575,24.085388222216817,27.17310967584165,30.632545687319283,34.50277957985466,38.82552268258151,43.644926448118525,49.00728600831804,54.96061834078204,61.554100002742814,68.83735280162581,76.85957105144837,85.66849131660464,95.30921467532909,105.82290219254547,117.24537583405568,129.60566855820534,142.92457764681654,157.21328324707181,172.47209842343597,188.68941685546545,205.8409191862649,223.88908899866942,242.78307512362952,262.45891963342626,282.84015196613495,303.8387308388261,325.3562985264683,347.28569802338995,369.51269346045825,391.9178283447221,414.37835468149353,436.77016841163095,458.96969215829813,480.85565418868146,502.3107218829954,523.2229580469225,543.487078402917,563.0054979995562,581.6891626949749,599.4581690597253,616.2421818959322,631.9806630775237,646.6229286519086,660.1280532298467,672.4646417804356,683.6104892076968,693.5521476791821,702.2844207607475,709.8098021252491,716.1378750681932,721.2846873827395,725.2721144034297,728.1272212884352,729.8816339240815,730.5709262392836,730.234030236197,728.9126736921899,726.6508492749854,723.494317739347,719.4901469373992,714.6862875697338,709.1311859227501,702.8734332696971,695.9614511483142,688.443211356193,680.365989215491,671.7761484412392,662.7189557925776,653.2384235848556,643.377178084426,633.1763517896849,622.6754976147784,611.9125230304813,600.9236422748447,589.7433448197559,578.4043783646597,566.9377447219923,555.3727070575504,543.7368070506939,532.0558906419895,520.3541411380488,508.6541185436058,496.97680408830774,485.34164900946956,473.7666267415963,462.2682877483925,450.8618163129876,439.56108867706683,428.3787319894419,417.3261835893739,406.4137502097379
D,0.01,6.975855039958768,10.128843607627385,11.564020636469518,12.22635135777755,12.542202209990295,12.704111964029739,12.79921186458108,12.867140637834876,12.926166152424505,12.98497066924583,13.047971857910946,13.117729565570881,13.196039257094792,13.284434125789861,13.384421529290611,13.49760067291631,13.625727858169965,13.77075925518251,13.934884745769429,14.120558959396444,14.33053224420229,14.567882748210504,14.83605002395502,15.138870156475308,15.480612142456096,15.86601502236065,16.300325044555624,16.78933190204826,17.339402822870913,17.95751301694447,18.65127069480749,19.428934592903257,20.299421688942868,21.272302598624307,22.357782046823303,23.566661841020867,24.91028398094112,26.400451949770012,28.049328871057796,29.869312085261278,31.872884780058055,34.072446549618064,36.48012608148019,39.1075804725435,41.96578684004627,45.06483280048164,48.41371293579213,52.020138479541885,55.8903671066208,60.029058917311744,64.43916353547431,69.12184179343635,74.07642387779987,79.30040419147758,84.78947166854778,90.53757295804864,96.53700483853423,102.7785314723911,109.25152166242337,115.94410111284259,122.8433147843797,129.93529472007828,137.2054291519255,144.63852922786364,152.21899027821254,159.9309451319111,167.75840756639343,175.68540450872896,183.69609608572168,191.7748830391499,199.9065013764504,208.07610441791562,216.26933263254168,224.47237183139623,232.67200041605807,240.8556264669454,249.01131550875203,257.1278098139446,265.1945401059954,273.20163050676075,281.139897541537,289.00084397454157,296.7766481999967,304.46014986216846,312.044832323701,319.52480254699384,326.89476889945695,334.15001734117743,341.2863864035304,348.30024132003024,355.1884476265508,361.94834450710573,368.57771812373795,375.07477513469104,381.43811657385197,387.66671223633205,393.7598756898367,399.71724000899223,405.538734309857,411.2245611442582,416.7751747981696,422.19126052489287,427.47371473214804,432.62362613213844,437.6422578550783,442.53103051939695,447.2915062457271,451.92537359671394,456.4344334205266,460.8205855726061,465.0858164875454,469.2321875709772,473.26182437986273,477.1769065585586,480.9796584974217,484.67234068043973
R,0.0,71.02878089451038,103.21996374734833,117.92837884622924,124.78689856241068,128.1429742821387,129.96121265880157,131.13233977384002,132.06354388276026,132.94477003240658,133.8688982623965,134.88604382902972,136.02816371132997,137.3202877337794,138.78573426176425,140.4486307214896,142.33523750572186,144.47475228880919,146.89990118499134,149.64745586318267,152.7587399665076,156.28015357332984,160.26372822002762,164.76771688962697,169.85721867943315,175.6048344554926,182.09134669129332,189.4064134101589,197.64926249821994,206.92936856095514,217.367089992356,229.0942391317059,242.25455351195242,257.0040315699821,273.51109221175466,291.9565148206969,312.5331152561639,335.44511472897767,360.907162742361,389.1429829999886,420.38362253003834,454.86529914917077,492.82686028474717,534.5068861461971,580.1404909476328,629.9558957022828,684.1708632857918,742.9890993503041,806.5967299398333,875.1589675003579,948.8170712189631,1027.685695743588,1111.8507053849894,1201.3675103629294,1296.259959223897,1396.5197989274484,1502.1066927925042,1612.9487677214593,1728.9436467038172,1849.959910974178,1975.8389284375378,2106.3969808659313,2241.427621496964,2380.7041964862337,2523.98246759112,2671.003278908934,2821.495216921248,2975.177220043613,3131.7611009643083,3290.953951980344,3452.46041008611,3615.9847645919012,3781.232895456741,3947.914035269993,4115.7423519025615,4284.438352290818,4453.7301106525065,4623.354326713139,4793.057221299398,4962.5952779909085,5131.735840471077,5300.257575836873,5467.950814467976,5634.617777165058,5800.072700187505,5964.141868590284,6126.663567911009,6287.48796381987,6446.4769188414875,6603.503754709405,6758.452968338104,6911.219908808248,7061.710422169945,7209.840470285357,7355.535729363294,7498.731173290084,7639.37064633714,7777.406429329232,7912.7988028904265,8045.515610948117,8175.531827269968,8302.829127433864,8427.395468286522,8549.224676631458,8668.316048600427,8784.673960902875,8898.307494914068,9009.230074352743,9117.459117111986,9223.015701640832,9325.924248127398,9426.212214605643,9523.909807995598,9619.049709989738,9711.666817614736,9801.79799822689,9889.481858639761
G,6.0,7.285378109580669,8.742895911651562,10.395461733443096,12.268991211659287,14.392790308871808,16.79998375580621,19.527993340354634,22.619070604154494,26.12088854982196,30.08719686592323,34.57854489129936,39.66307600161287,45.41739623062331,51.92751864217542,59.28988313425296,67.6124488541745,77.01585308840471,87.63462620369997,99.6184467961422,113.13341449720178,128.363309765546,145.51080039033909,164.7985433710943,186.47011848881036,210.79071661332443,238.04749224045253,268.54947689062556,302.62693918582244,340.63007042072206,382.9268734034323,429.90013967500784,481.9434183884875,539.4559113068188,602.8362739771552,672.4753632656837,748.7480443503267,832.0042519516446,922.5595846008526,1020.6857885366938,1126.6015495218087,1240.4640466345434,1362.3617237955941,1492.3086977265498,1630.2411452631288,1776.0159038349764,1929.411386725914,2090.130773118526,2257.8072968375363,2432.0113409259648,2612.25895826815,2798.021387383714,2988.7351182589937,3183.8120822242945,3382.6495857510918,3584.639672212832,3789.1776694176074,3995.6697562432746,4203.539452758679,4412.23300049394,4621.223650607964,4830.01491678391,5038.142877177401,5245.177626873637,5450.723990747853,5654.421608189409,5855.944497607558,6055.000201565578,6251.328604117723,6444.700501509516,6634.91599664834,6821.8027772330315,7005.214327533385,7185.028114767849,7361.143782959743,7533.481380095735,7701.979638343763,7866.594321952521,8027.2966531708435,8184.071823001543,8336.9175907469,8485.842974020763,8630.867029109624,8772.017720184384,8909.330874826479,9042.849222575944,9172.621512682363,9298.701706897928,9421.148242957028,9540.023364307599,9655.392511669475,9767.323772072828,9875.88738115782,9981.155274680705,10083.200685360345,10182.09778140344,10277.921343259692,10370.746475373966,10460.64834991721,10547.7019796882,10631.98201758186,10713.56258021524,10792.517093488188,10868.918158031709,10942.837432662478,11014.345534116997,11083.511951483584,11150.404973884859,11215.091630088182,11277.637638836875,11338.10736880158,11396.563807149201,11453.068535817181,11507.681714663659,11560.462070740086,11611.466893002511,11660.752031841359
H,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204,23504.814897671204
beta,4.284593698602235,4.2845936986022295,4.2835457463749655,4.2823580709044755,4.281012254718605,4.279487512952645,4.277760406195606,4.275804523416958,4.273590133303932,4.27108380272406,4.268247981608747,4.265040554387686,4.261414359256625,4.257316678110385,4.252688702006757,4.24746497964323,4.24157285962867,4.2349319414173054,4.227453554729131,4.21904029316684,4.209585634556971,4.198973688209858,4.187079117598512,4.173767295513784,4.1588947569441235,4.1423100218472015,4.123854864394475,4.103366105600823,4.08067800061396,4.055625278257089,4.028046866648748,3.9977903032086566,3.964716779310702,3.9287067099323814,3.8896656495896003,3.847530302866218,3.8022743088237543,3.753913423627492,3.7025096961125006,3.6481742373279884,3.5910682349300505,3.531401958846526,3.469431640944502,3.405454275833153,3.3398005633115075,3.2728263727038045,3.2049032334689787,3.13640842810423,3.067715273967986,2.9991841315892076,2.9311545787872784,2.863939059403538,2.7978181722134567,2.7330376281118034,2.6698067863898642,2.608298592741501,2.548650685710974,2.490967412998716,2.4353224994461757,2.3817621280313857,2.330308226950026,2.2809617936664677,2.2337061257852358,2.188509865234781,2.1453297944371115,2.104113349835174,2.0648008391678725,2.027327364570088,1.9916244645953267,1.9576214954093307,1.9252467754944518,1.8944285199843391,1.8650955908621494,1.8371780882337736,1.8106078061477036,1.7853185742912392,1.7612465045785353,1.7383301593195795,1.7165106554262592,1.6957317170368915,1.6759396870585999,1.6570835064514753,1.6391146686090268,1.6219871549163303,1.6056573564757333,1.59008398606227,1.5752279835885719,1.561052417703886,1.5475223856066178,1.5346049126988104,1.522268853340088,1.5104847936552965,1.4992249571034857,1.488463113316677,1.4781744905568994,1.4683356920126256,1.4589246160550273,1.4499203804957854,1.4413032508273287,1.4330545723801233,1.4251567062970694,1.4175929692000397,1.4103475764060585,1.403405588539194,1.396752861377475,1.390375998771153,1.384262308468496,1.3783997606873397,1.3727769492743174,1.3673830552986075,1.3622078129327422,1.357241477479357,1.3524747954094052,1.3478989762841975,1.3435056664404863,1.3392869243246246,1.3352351973685157
