series,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19
S,44728.09470068945,44726.78137126138,44725.22966013296,44723.39702025521,44721.23359420101,44718.68106878875,44715.671393452554,44712.12536358314,44707.95107865494,44703.04229723059,44697.27672774774,44690.51431612983,44682.59561922257,44673.340386747885,44662.54651274935,44649.98955764442,44635.42307908101,44618.58003626438,44599.17553805253,44576.91117781297,44551.481125802806,44522.580024227245,44489.912550774716,44453.20429560338,44412.213362094524,44366.74189466404,44316.646605587535,44261.84735929527,44202.3329988888,44138.16385699537,44069.47074066312,43996.450554432,43919.35905865892,43838.501497121615,43754.22194102977,43666.892187621874,43576.900945725356,43484.643875340225,43390.514861499425,43294.898724973325,43198.16542340536,43100.66568494391,43002.72794273628,42904.65639791024,42806.73002363895,42709.202325983235,42612.30169172558,42516.232174043354,42421.17458978174,42327.287824743304,42234.71026430395,42143.561285033684,42053.94275858871,41965.9405320057,41879.62585890233,41795.05676428394,41712.27933201034,41631.328908812095,41552.23122235305,41475.00341346726,41399.65498456604,41326.188667488415,41254.60121489601,41184.88411980395,41117.02426808014,41051.00452880441,40986.804287310355,40924.399925574384,40863.76525440112,40804.87190160214,40747.68966009452,40692.186799567775,40638.33034509147,40586.086325766686,40535.419996267265,40486.29603387267,40438.67871336599,40392.53206195781,40347.819996199854,40304.50644267093,40262.555444051526,40221.93125205095,40182.598408512305,40144.52181589397,40107.666798211336,40071.99915341829,40037.48519811313,40004.09180536797,39971.786436403134,39940.53716675756,39910.31270754297,39881.08242231203,39852.816340018704,39825.48516450232,39799.06028088427,39773.513759228015,39748.81835577862,39724.94751206647,39701.8753521319,39679.57667810167,39658.02696432536,39637.20235025877,39617.07963226264,39597.63625446803
I,5.0,5.91332942806823,6.991974202245,8.26525614381576,9.76746170650531,11.538590182249425,13.625178303860693,16.081193908970807,18.968983324449468,22.360246082846263,26.336995879065658,30.992447826645275,36.43174890777501,42.772441469840146,50.14452015078386,58.689913643655046,68.56119911556851,79.9193460029575,92.93029653457282,107.76023305136343,124.56946641742262,143.5050106795877,164.6920832777509,188.22497178686754,214.1579075527724,242.49674237903795,273.1922920652153,306.13615499226415,341.15962299935484,378.0359950528346,416.4862317808593,456.1875194695122,496.78401368502807,537.8988541275313,579.1465018891719,620.1445351459328,660.5242142307767,699.9393474774455,738.073213520047,774.643492964543,809.4053150953483,842.1526283491646,872.7181602888629,900.9722522917899,926.8208463797438,950.2028763250796,971.0872804767281,989.4698157208193,1005.3698147247703,1018.8269945852238,1029.8983954577593,1038.6555030914017,1045.1815892890627,1049.5692887289488,1051.9184187339997,1052.3340398536668,1050.924748938976,1047.8011922221,1043.0747833033702,1036.8566095248927,1029.256509664121,1020.3823059686154,1010.3391740835353,999.2291352489049,987.150656152805,974.1983429363048,960.4627169954614,946.0300613717961,930.9823276353114,915.3970942234637,899.3475681932082,882.9026232644924,866.1268678796423,849.0807377740548,831.8206082515497,814.398921986019,796.8643287338157,779.261833843287,761.6329528937847,744.0158701912057,726.4455991953146,708.9541432602641,691.5706553380834,674.3215955293718,657.2308855696529,640.3200595171247,623.6084100609213,607.1131300012066,590.8494485659462,574.8307623262476,559.068760554735,543.5735449412977,528.3537436393184,513.4166196645518,498.76817370944104,484.41324146893874,470.3555856008201,456.597982464902,443.1423038022789,429.9895935283239,417.14013982236685,404.5935427031726,392.3487772830496,380.40425289501576
IH,104.0,94.68519368461088,86.25911841130882,78.64707810420805,71.78238339387586,65.60581768088863,60.06518197667489,55.114914370303715,50.715780056252,46.83462761645006,43.44420658838028,40.523040161867996,38.05534501290584,36.030987689763876,34.44546352913178,33.29987977820651,32.600919531497155,32.360757543756606,32.59689349687383,33.33186374185173,34.59279010588068,36.41072551482409,38.819762470119635,41.8558830982239,45.55554907701428,49.9540555131733,55.08370248837289,60.971867629525875,67.63908776015411,75.09727249371029,83.34817380936548,92.38222182543157,102.17780964599768,112.7010733807799,123.90617288477945,135.73604030380983,148.12353196437212,160.99289748175366,174.26146909534972,187.84147334117642,201.64187424400217,215.5701697468187,229.53407860658783,243.44307135734442,257.2097145952796,270.7508117503674,283.98833513472516,296.8501532322873,309.27056400824705,321.1906497165684,332.558471592601,343.32912427874373,353.4646701721651,362.93397339737135,371.7124520412353,379.7817658464537,387.1294549007401,393.7485431048115,399.6371184416866,404.79790036600536,409.23780302720564,412.9675015605087,416.0010073386918,418.3552568805484,420.0497180573961,421.1060163212974,421.547582889305,421.3993261468909,420.6873269698093,419.43855819583223,417.680628095161,415.44154738043227,412.7495190543738,409.63275020636354,406.1192847302707,402.23685583770873,398.0127571766986,393.47373132999076,388.64587445489224,383.5545558330154,378.22435112012283,372.6789881199383,366.94130394865255,361.03321250652436,354.9756812274848,348.7887161353399,342.4913542946691,336.1016628047109,329.63674354449904,323.1127429365455,316.5448660538709,309.9473944507394,303.3337071507154,296.7163042764033,290.10683285329264,283.51611436541987,276.95417368303623,270.43026902213893,263.95292263261746,257.52995194595627,251.16850094500035,244.87507154733436,238.65555482046184,232.5152618713182
IN,0.2,0.3619977968648631,0.5297474049329396,0.7087685305598737,0.9047049479418601,1.1234995101568224,1.3715658344107675,1.6559603493027377,1.9845573977718955,2.366228963932543,2.8110292384883486,3.330382552951758,3.937271094542626,4.646416171189069,5.474443574043114,6.440019796311313,7.563941639588888,8.869157370761743,10.380693610674122,12.125459335674757,14.131897813823525,16.429460213490835,19.047882218505702,22.01625810280666,25.36192541078905,29.10919650610497,33.2779982076384,37.88250365116003,42.92985685575585,48.41909607175613,54.340374251176584,60.67455381874808,67.39322100075927,74.45912717615026,81.82702696018625,89.44485053332652,97.25512504236667,105.19654852263196,113.20561939136806,121.21823321142114,129.17117331908875,137.00344008452277,144.6573824169664,152.07961267048725,159.22170109507488,166.0406578075792,172.4992188271055,178.56595827357415,184.2152518057432,189.42711729617278,194.18695812561893,198.48523279950885,202.31707224230556,205.68186342857678,208.58281520160344,211.02651938201316,213.022517693879,214.58288270263262,215.72181890257315,216.45528832162398,216.8006635202548,216.7764096321737,216.40179610218078,215.69663799410446,214.68106614097044,213.37532496329806,211.79959646434475,209.97384870027295,207.91770689827342,205.6503453389857,203.1903981160083,200.55588692216722,197.76416407892822,194.83186911322406,191.77489728799054,188.60837860326137,185.34666589935242,182.00333080906734,178.59116641941034,175.1221956131044,171.60768416495077,168.058157766829,164.48342224737996,160.89258633786616,157.29408641429535,153.69571271772233,150.1046366199147,146.52743856057202,142.97013633536955,139.43821346163276,135.93664739083493,132.4699373747444,129.0421318253268,125.65685503781363,122.31733317204848,119.0264194096641,115.78661822415137,112.60010871776046,109.46876699370239,106.39418754455531,103.37770364835805,100.4204067728083,97.52316499546852,94.68664045409417
D,0.01,1.2952833375694828,2.4654497006211136,3.5314824660777306,4.503441879884118,5.390564007837704,6.201353087769123,6.943668256641229,7.624805574830846,8.251576219620649,8.830381666704252,9.367286617107824,9.868090350835786,10.338397089783342,10.78368582164704,11.209379863270602,11.620916215405177,12.023814471782838,12.423744687764726,12.826593188419139,13.2385248141647,13.666039590348612,14.116021309704568,14.595775096928124,15.113050761595463,15.676048724696571,16.29340560157256,16.974157187918138,17.727677625655847,18.563594860910904,19.491684024690528,20.52174189982536,21.66344699982416,22.92621080951019,24.319026307034346,25.850319955407524,27.527812944928165,29.358396671233436,31.34802636931353,33.50163562516576,35.82307327699188,38.315063095473576,40.979185665210224,43.81588111364687,46.824470760400075,50.00319537992233,53.3492675623854,56.85893559327732,60.52755632120431,64.34967461659389,68.31910721528448,72.4290289682224,76.67205976377808,81.04035063869901,85.52566783721369,90.11947380813383,94.81300434231808,99.59734124487845,104.46348010684838,109.40239288961166,114.40508516291492,119.46264794497654,124.56630418260559,129.70744998207232,134.87769075950663,140.0688725246021,145.2731085450639,150.48280166314385,155.690662551217,160.88972420199528,166.0733529518344,171.2352563337216,176.36948805085768,181.47045035307312,186.53289408733275,191.5519166808852,196.52295830169814,201.44179642611448,206.3045390285157,211.1076165924772,215.8477731276795,220.52205636188836,225.12780726278078,229.66264903038868,234.12447568754078,238.51144038296445,242.82194350970488,247.0546207302486,251.20833098921293,255.2821445846784,259.27533136018525,263.1873490710718,267.01783197117385,270.76657965890456,274.4335462153628,278.01882966133775,281.52266175486005,284.94539814625557,288.28750890345356,291.5495694165542,294.73225168733507,297.83631600644003,300.8626030184201,303.81202617254644
R,0.0,8.26752518095478,15.82875083738259,22.755095189579407,29.113114560228475,34.965160519567576,40.37002803417591,45.38360022109187,50.05949568120247,54.44972457600993,58.60535956906799,62.57722740103855,66.4166261008135,70.17607152098347,73.91007486448504,77.67594996358126,81.53464510637087,85.55158903580639,89.7975343070315,94.34937355916438,99.29089573535018,104.71344046394935,110.71640063865,117.40751700124129,124.90290579275059,133.32676290239633,142.81069673911037,153.4926579333074,165.51545655972677,179.02488521486364,194.16749616023515,211.08810924393146,229.92715069891634,250.81793807385935,273.88403161850215,299.2367671290921,326.9730707816436,357.17363519615367,389.9015108139371,425.20114057380886,463.0978413486529,503.5977144695485,546.6879509755323,592.3374853459273,640.4979442199946,691.1048334432596,744.078906962919,799.3276638261344,856.7469240477442,916.2224397315853,977.6315039942339,1040.844526517884,1105.7265506334224,1172.138692490149,1239.9394879730596,1308.9861375152313,1379.1356428031881,1450.2458326029207,1522.1762775819032,1594.7890961200399,1667.949654748897,1741.527168094743,1815.395204086413,1889.432100779849,1963.5213014986134,2037.5516151395134,2111.417408484902,2185.0187372329447,2258.2614222336965,2331.057077127008,2403.3230932386946,2474.982587220834,2545.964316534155,2616.2025674760253,2685.6370200650163,2754.212593708879,2821.879277211867,2888.5919463231485,2954.310171692966,3018.99801978869,3082.62384902983,3145.1601031295527,3206.583103380216,3266.872841391297,3326.0127735791048,3383.9896185179714,3440.7931580910795,3496.4160432247104,3550.853604851257,3604.1036706227574,3656.1663877868227,3707.044052539537,3756.7409460841805,3805.2631775494206,3852.618533855002,3898.81633655604,3943.8673056479292,3987.7834302718875,4030.577846225461,4072.264720152351,4112.859140260989,4152.377013400889,4190.834968309376,4228.250264828412
G,5.0,6.31332942806823,7.865040556490459,9.697680434240818,11.861106488435627,14.413631900700167,17.42330723689139,20.96933710631036,25.143622034506684,30.052403458859438,35.81797294170653,42.5803845596114,50.49908146687276,59.75431394155989,70.54818794009083,83.10514304502473,97.6716216084306,114.51466442506506,133.91916263691698,156.1835228764734,181.61357488664166,210.51467646220055,243.18214991473076,279.89040508606746,320.8813385949217,366.35280602540905,416.4480951019094,471.24734139417546,530.7617018006473,594.9308436940755,663.623960026327,736.6441462574487,813.7356420305256,894.5932035678311,978.8727596596742,1066.2025130675688,1156.1937549640872,1248.4508253492181,1342.5798391900153,1438.195975716115,1534.9292772840838,1632.429015745528,1730.3667579531595,1828.4383027791955,1926.3646770504927,2023.892374706208,2120.793008963863,2216.8625266460926,2311.9201109077094,2405.8068759461444,2498.384436385498,2589.533415655761,2679.1519421007342,2767.1541686837454,2853.468841787112,2938.0379364054993,3020.815368679102,3101.765791877344,3180.863478336382,3258.091287222174,3333.4397161233937,3406.9060332010176,3478.4934857934268,3548.210580885479,3616.0704326092914,3682.0901718850155,3746.290413379076,3808.694775115048,3869.329446288307,3928.222799087284,3985.4050405949056,4040.9079011216463,4094.7643555979557,4147.00837492274,4197.674704422159,4246.798666816752,4294.41598732343,4340.562638731607,4385.274704489568,4428.588258018492,4470.539256637897,4511.163448638472,4550.496292177112,4588.572884795447,4625.427902478078,4661.095547271122,4695.609502576289,4729.002895321448,4761.308264286284,4792.557533931861,4822.781993146448,4852.0122783773895,4880.278360670714,4907.609536187093,4934.034419805146,4959.5809414614,4984.276344910796,5008.147188622944,5031.219348557513,5053.51802258774,5075.067736364049,5095.892350430644,5116.015068426775,5135.458446221384
H,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897,22363.91942294897
beta,6.2479735882382474,6.247973588238224,6.242047463029827,6.235060161495471,6.226827968490438,6.217137822640404,6.2057435844933515,6.192362210043568,6.176670002766335,6.158299198504427,6.136835239066774,6.111815211451009,6.082728065224389,6.0490173591994445,6.0100874091176975,5.965313777594202,5.914059019958461,5.855694417879125,5.789628037119591,5.715338790430239,5.632415264102404,5.540596938507518,5.439814254401687,5.330223001408232,5.21222804996303,5.086491811614352,4.953924158249111,4.815652776821431,4.672975710772114,4.527300546553779,4.380076697107628,4.232728035701312,4.08659259925642,3.9428744357567678,3.8026104050828002,3.6666524227669868,3.53566372466013,3.410126483217175,3.290357561967712,3.1765292340726354,3.0686921187417053,2.966798207659997,2.8707225052073473,2.780282390066547,2.6952542725191635,2.615387460185932,2.540415367061749,2.470064328916038,2.4040603472106943,2.342134095940168,2.2840245091336895,2.2294812343892767,2.1782661987855416,2.1301544936011614,2.084934746809181,2.0424091189937825,2.0023930297807677,1.9647146980574524,1.929214559809738,1.895744611789562,1.8641677168654054,1.8343568972435882,1.806194634275152,1.7795721878460642,1.7543889440216123,1.7305517963777806,1.7079745640599653,1.686577447867826,1.666286524420795,1.647033277591418,1.6287541658094598,1.6113902234662358,1.5948866944306057,1.5791926955826248,1.5642609082463221,1.5500472954348805,1.5365108428915488,1.5236133220045611,1.5113190727841164,1.4995948052069465,1.488409417354025,1.4777338288858732,1.4675408285152758,1.4578049342474606,1.4485022652617543,1.4396104244061223,1.4311083903664041,1.4229764186556288,1.4151959506456644,1.4077495299339091,1.4006207254021332,1.3937940603833325,1.3872549474058855,1.3809896280329432,1.3749851173590648,1.3692291527661835,1.3637101465772308,1.358417142278654,1.3533397740128754,1.3484682290686483,1.3437932131217771,1.3393059180007596,1.3349979917719528,1.3308615109570594
