series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03
S,1105297.2306198422,1093643.270591918,1084019.625451157,1075248.4600134427,1066977.571366218,1059072.9241983832,1051477.7241024978,1044166.0662513312,1037125.0258327764,1030347.0919880139,1023826.8128170616,1017559.2858006463,1011539.4973872292,1005762.0647884479,1000221.1698438269,994910.582741699,989823.7247730386,984953.7446300057,980293.5955908995,975836.1075548047,971574.0513411055,967500.1944654536,963607.3485205859,959888.4087345336,956336.386468087,952944.4354663145,949705.8726606262,946614.1942644492,943663.0878369685,940846.4409165964,938158.3467546462,935593.1076130877,933145.2360295533,930809.4543983095,928580.6931676312,926454.0879115268,924424.9754965657,922488.8895321568,920641.5552644557,918878.884049681,917196.9675215147,915592.0715490469,914060.6300660393,912599.2388387794,911204.6492282202,909873.761992162,908603.6211647419,907391.408043249,906234.4353061011,1035342.7711749978,1164236.530511849,1292916.6699593032,1421382.4699317757,1549629.7133287555,1677649.4256058286,1805427.0420849586,1932941.849536731,2060166.559856545,2187066.8996331785,2313601.1302792523,2439719.44299844,2565363.198407369,2690464.0016770186,2814942.6215957943,2938707.7776294574,3061654.8345929333,3183664.4613526133,3304601.328782716,3424312.942817477,3542628.7295389627,3659359.5082094134,3774297.5011559203,3887217.031706545,3997876.0480593313,4106018.578120615,4211378.166452411,4313682.271707775,4412657.517913115,4463568.11465633,4425503.138414952,4385323.842457294,4343025.178383065,4298727.240868984,4252620.5725398045,4204935.541282437,4155923.665808337,4105845.261242947,4054960.7381134443,4003524.2519912096,3951779.0295448555,3899953.9857845763,3848261.380959824,3796895.3295924915,3746031.007936325,3695824.4274773775,3646412.658540261,3597914.402637749,3550430.825873898,3504046.578644298,3458830.938957945,3414839.0277755014,3372113.054701298,3330683.5611265963,3290570.635503411,3251785.0818802374,3214329.5282334867,3178199.46557953,3143384.2124588415,3109867.8022542205,3077629.7930437485,3046646.001393786,3016889.1627565864,2988329.522030161,2960935.358434211,2934673.4492148515,2909509.4768635435,2885408.3845646423,2862334.6845068843,2840252.7235359754,2819126.910411763,2798921.9086832157,2779602.7989223474,2761135.2137759295,2743485.449010096,2726620.5534443003,2710508.4004022554,2695117.7430517618,2680418.255764773,2666380.5634049946,2758055.8610821622,2849547.924361041,2940885.579318632,3032085.8807577807,3123156.6847455474,3214098.694264252,3304907.064030853,3395573.102425525,3486084.74061538,3576427.257904681,3666583.8194397464,3756535.8665603315,3846263.392470164,3935745.1294039944,4024958.668048404,4113880.5255290093,4202486.174686645,4290750.044504786,4378645.499301255,4466144.802551823,4553219.069878021,4639838.214726338,4725970.8895243425,4811584.424566213,4873283.265431936,4852833.330273146,4832472.189432514,4812168.63485425,4791909.782130495,4771694.447395656,4751528.828886515,4731423.682496975,4711392.468857825,4691450.134084461,4671612.305129587,4651894.757377755,4632313.061769757,4612882.350953401,4593617.164887309,4574531.349946009,4555637.994451481,4536949.389348646,4518477.006526354,4500231.489760782,4482222.654879757,4464459.496810972,4446950.20187746,4429702.164166596,4412722.005106422,4396015.595589426,4379588.080124078,4363443.902591594,4347586.833254464,4332019.996714165,4316745.900554328
E,28774.038253603663,34672.069703046895,37359.95021042841,38657.67020362292,39195.51885342383,39259.53534132389,39001.298965854425,38511.17768067288,37848.48231318879,37055.24526151539,36163.03184788362,35196.5437197028,34175.65226488423,33116.6230564653,32032.903291344588,30935.66185438044,29834.182315720365,28736.163768643597,27647.960601707706,26574.77945742905,25520.844526691282,24489.538301374752,23483.522566129323,22504.843009687844,21555.019970584708,20635.12727614348,19745.860760048,18887.597780122458,18060.448862167083,17264.302443289067,16498.86356461997,15763.68725989812,15058.207297786244,14381.760858638874,13733.609658551499,13112.957973428473,12518.967962430064,11950.772642684635,11407.486824922355,10888.216282147792,10392.065390137233,9918.143448993362,9465.569868825663,9033.478379499637,8621.020403989005,8227.367716883185,7851.714493780931,7493.278843401574,7151.303902051119,6825.058559395758,6778.651526602436,6955.147597607398,7310.677053772874,7813.643344114436,8443.527902629246,9189.506809462891,10049.069901768586,11026.784022243088,12133.28777375705,13384.556800324372,14801.441203753666,16409.45084029488,18238.748046830915,20324.29790042805,22706.120423281143,25429.584724947734,28545.680274203354,32111.19465188174,36188.72065040434,40846.409917497884,46157.387936241386,52198.74917955287,59050.065221486395,66791.36535149824,75500.59017522084,85250.5724852092,96105.66158717795,108118.16904553797,121324.86487189979,135120.14178078886,148270.1456123384,160909.0045197096,173018.87272329198,184515.02634656854,195289.86432669038,205236.15918056158,214259.3366849004,222283.64574359718,229254.7433865392,235140.0862573994,239927.95259730256,243625.62021652333,246257.05680732807,247860.37385798353,248485.22384211706,248190.26796579928,247040.80172050724,245106.5943644726,242459.9742947997,239174.17379812896,235321.93289924806,230974.3521406483,226199.9773995782,221064.09564679724,215628.2183191003,209949.72824175042,204081.66639958517,198072.63599009218,191966.8028355409,185803.97317792964,179619.73197187672,173445.62690893243,167309.38546759635,161235.15422882367,155243.75149030215,149352.92583383562,143577.6147405557,137930.19860907624,132420.7466190283,127057.25180771657,121845.85350448487,116791.04591059854,111895.87213723529,107162.10343542618,102590.40368367553,98180.479454664,93931.21617388265,89840.80102098618,85906.8333185713,82126.42321125361,79285.47679417604,77167.2386543354,75610.08417945517,74493.91871178601,73729.82428829971,73252.2182678439,73012.48342913408,72975.10510214702,73114.32479722887,73411.6508840579,73854.01458530013,74432.40952422838,75140.8919192931,75975.84852496987,76935.4624465623,78019.32452387543,79228.15130205032,80563.58065494118,82028.02365987543,83624.55693902879,85356.8438453315,87229.07593733625,89245.92843198897,91412.52495576892,93576.39403698542,95218.61068764124,96474.73377124457,97434.88144981215,98159.44420002433,98689.34994827192,99052.78178414366,99269.58034452182,99354.13188138361,99317.26399857634,99167.48992552228,98911.82435787436,98556.3170718807,98106.40034204086,97567.1133604318,96943.24533695502,96239.42483002094,95460.17356211602,94609.93684775742,93693.09871372987,92713.98711081699,91676.87283570012,90585.96459501059,89445.4018494296,88259.2465418003,87031.47445217575,85765.96667697292,84466.50156085308,83136.7472933764,81780.25530113274
I,25908.31605941431,26628.27165662605,28155.447311699987,29878.19518942873,31553.768350545117,33071.61921383636,34381.25032094359,35462.82459351416,36313.30845915153,36939.262003931115,37352.792596355765,37569.14163784769,37605.1744546829,37478.40114638854,37206.32718871824,36806.01893296051,36293.814927217005,35685.13939858175,34994.38898676599,34234.87277475818,33418.79134760663,32557.24438221725,31660.25887914929,30736.832019173584,29794.98401393362,28841.817373743244,27883.579831993397,26925.72880708428,25972.99579135925,25029.44946177077,24098.556630499254,23183.2404116761,22285.935185263403,21408.63810091931,20552.95699129548,19720.154662155637,18911.189601293692,18126.75320386051,17367.303652014773,16633.09661480765,15924.212952386917,15240.58361902323,14582.011963819139,13948.193627652518,13338.73423107159,12753.165041423596,12190.95679921245,11651.531874141905,11134.274910986338,10638.542114716289,10163.669313480745,9749.866889721328,9422.776333947168,9197.581035566604,9082.404046739386,9081.033072867658,9195.040310509175,9425.384466956148,9773.591623448228,10242.61120429568,10837.435506836831,11565.558785314764,12437.337216961669,13466.29602049064,14669.415644395436,16067.415773225657,17685.043940612046,19551.364555835677,21700.03384492241,24169.53638089789,27003.349588279583,30249.994280771596,33962.92278612727,38200.192794897346,43023.876275971,48499.1601555308,54693.11005993943,61673.09048634811,69504.86319649755,78250.4178592215,87869.3292359933,98136.47039467799,108879.7732574145,119949.13923410901,131202.95620386925,142503.34677035164,153715.68929088005,164710.10374684635,175363.67675002606,185562.76596273165,195205.03383642694,204201.0381085262,212475.31243019926,219966.93509375196,226629.62291529722,232431.4097459889,237353.98019196797,241391.73245267477,244550.64223237595,246846.99427544826,248306.04059568522,248960.63593860224,248849.89218381958,248017.8847932066,246512.43639617486,244383.99539616163,241684.62119701324,238467.08232179037,234784.06931084036,230687.5207843002,226228.05835624985,221454.52410037888,216413.612892322,211149.59109483927,205704.0926168593,200115.98328169208,194421.284608061,188653.14847414906,182841.87464334458,177014.96373367708,171197.19887242,165410.74996200667,159675.2951690086,154008.1549160389,148424.43429359846,142937.170405725,137557.4817138642,132294.7169443885,127156.60157550307,122149.38031938739,117277.95436701733,112667.86672525266,108393.15315104178,104492.25571548424,100979.54969662095,97853.61556991257,95103.11164440263,92710.81931342969,90656.51059473843,88918.88693707867,87476.8550763878,86310.33484106605,85400.7408239144,84731.24046860215,84286.86203903097,84054.50459461364,84022.88652873969,84182.45795580151,84525.29413124765,85044.9813154476,85736.50241529486,86596.12688916178,87621.30743526494,88810.58464694205,90163.49992574714,91656.11855229059,93187.82159382864,94693.3789876921,96130.84824884661,97473.63817804628,98705.2979224692,99816.09204386586,100800.74746470843,101656.9700873974,102384.46727146763,102984.30289298945,103458.4710452825,103809.61338726044,104040.83074900317,104155.5564591987,104157.46996958098,104050.4366838105,103838.46474177805,103525.67271184886,103116.26426010169,102614.50726411898,102024.71576151105,101351.2337301813,100598.42009435807,99770.63460794774,98872.22443154221,97907.51132257018,96880.77942038991,95796.26364347793
A,7657.612625722143,8474.09585589368,9506.787618921411,10595.166125038731,11672.178049820961,12703.882974860506,13671.59551045774,14564.759656062031,15377.628095892062,16107.532990733658,16753.897729075743,17317.62361781543,17800.680796170884,18205.818479229263,18536.349873367166,18795.98697722839,18988.71074356971,19118.667596989413,19190.086392353456,19207.211701380256,19174.25041453668,19095.329349610107,18974.462033097494,18815.523157674823,18622.22947035363,18398.126041473013,18146.577022161644,17870.760128128597,17573.66419738621,17258.089263200585,16926.648664225482,16581.77278356601,16225.714069063222,15860.553039664957,15488.205028391636,15110.427451990743,14728.827431648931,14344.869618747045,13959.884105172096,13575.074319646354,13191.524830343078,12810.208990126768,12431.996374433487,12057.659973403106,11687.883109664333,11323.266061396043,10964.332377157167,10611.5348746787,10265.261320508405,9925.839791234936,9593.54372011759,9280.68171946364,8996.165789660205,8746.327874078692,8535.647295776222,8367.376470858006,8244.062909298671,8167.974341558962,8141.439831914876,8167.122892449967,8248.24335377067,8388.763735191826,8593.553729166566,8868.54368570959,9220.874999468453,9659.052252728134,10193.098914321095,10834.715320098761,11597.43451913706,12496.768336133757,13550.332717795847,14777.938251489712,16201.628955760163,17845.650470886663,19736.328155467,21901.836881419305,24371.847977984464,27177.045021213904,30348.508825562538,33916.98242284257,37883.57732261616,42193.02455142123,46799.76084304252,51660.36363999909,56730.360191397915,61963.251638466034,67310.6614717048,72723.03475719281,78150.57358197204,83544.22979821207,88856.6512464244,94043.02197602247,99061.76482081568,103875.09300187195,108449.40976112385,112755.56329337602,116768.96958169062,120469.61890527296,123841.98332744851,126874.84280743657,129561.04705082868,131897.22909084344,133883.48509123886,135523.0331509692,136821.8620990553,137788.37949085436,138433.06632131917,138768.1444017572,138807.26093106857,138565.19354372987,138057.5780379087,137300.66007362574,136311.07137333436,135105.63034291656,133701.16654536,132114.3680869937,130361.65070190761,128459.04712944727,126422.11525883232,124265.86345156345,122004.69143523653,119652.34518189453,117221.88423164857,114725.65999076226,112175.30361663934,109581.72219514835,106955.10201434814,104304.91783964774,101639.94719615053,98968.28876240316,96297.38407450695,93670.05778247667,91116.46514477246,88657.42969330843,86306.94373497914,84074.03419352324,81964.14958712852,79980.16635205397,78123.153611988,76392.93563074528,74788.50418254927,73308.32002357743,71950.53272494685,70713.14062056759,69594.10697278447,68591.44422562674,67703.27505863245,66927.87661013693,66263.71250537796,65709.45604746614,65264.00699111687,64926.50363170491,64696.33143938876,64573.12910028142,64556.79255718217,64640.266285925194,64793.2706110878,64993.67611191339,65224.90127659997,65474.19602043345,65731.50499230863,65988.71117520549,66239.12945289043,66477.16482303101,66698.0792919607,66897.83067198042,67072.9590657255,67220.50506500139,67337.94910985803,67423.16502232787,67474.38308440048,67490.15958738123,67469.35081214084,67411.09008555797,67314.76701505487,67180.0083077736,67006.65978457329,66794.76933529747,66544.57065295347,66256.46764535543,65931.01946326761,65568.92611072678,65171.0146204456,64738.22578798529
IH,0.0,1036.3326423765723,2049.7653072133985,3073.7291787235395,4115.521788971555,5172.36674980017,6237.204271929585,7301.306850426478,8355.588875102645,9391.296635092209,10400.375508153378,11375.656977425248,12310.939788738444,13201.006655012188,14041.60096127631,14829.378655899116,15561.845161728332,16237.283887316476,16854.680843702452,17413.64849108438,17914.350985682497,18357.432318067513,18743.948339952185,19075.303311147334,19353.19132618097,19579.542776919276,19756.47585665024,19886.253000397348,19971.242076716935,20013.882091028063,20016.65312428317,19982.050209294586,19912.560836928256,19810.645782972388,19678.722951626227,19519.153941499957,19334.23305338407,19126.178474730885,18897.125392917602,18649.120807245235,18384.11982774008,18103.983266760362,17810.476346868367,17505.26836518956,17189.9331703933,16865.95032339469,16534.70682683919,16197.499321364912,15855.536658544564,15509.942771309108,15161.759772583311,14811.951221862915,14463.041026080822,14118.452844872303,13782.0468817184,13457.81569315131,13149.704172356664,12861.523306540163,12596.932317353372,12359.468926785761,12152.61235198581,11979.86793873833,11844.865936294787,11751.469743393323,11703.891039087675,11706.81061772362,11765.50455622647,11885.975631963422,12075.089745793823,12340.716537200939,12691.872445946636,13138.863217171911,13693.421319035471,14368.832030168789,15180.040191117438,16143.727987031414,17278.352877268047,18604.134182564747,20142.977148144702,21918.32473074131,23954.930005034003,26274.69421117501,28889.420952867604,31803.442279415307,35014.87018911343,38516.24637974857,42294.969516039535,46333.68202369865,50610.69702280824,55100.49296357023,59774.27576360082,64600.59425214523,69545.98853228582,74575.64922424588,79654.066570961,84745.65091785764,89815.3093799995,94828.96709057542,99754.02496006276,104559.74915620589,109217.59041591632,113701.43375724064,117987.7811527589,122055.87126628424,125887.74147433657,129468.23813704195,132784.9815009202,135828.29176157754,138591.08273956744,141068.72937623045,143258.91488210027,145161.46290698746,146778.1595810067,148112.5697269087,149169.85098820025,149956.56907197842,150480.51678323795,150750.53903802403,150776.3655924918,150568.45281742775,150137.8354847398,149495.98921387055,148654.70395080574,147625.96861823398,146421.86687969166,145054.48380006317,143535.823056215,141877.7342513921,140091.8498118887,138189.5308911503,136181.82167177476,134079.41143698306,131897.47794766663,129653.40324144388,127365.23992329226,125050.71504208913,122726.61453910949,120408.43330920105,118110.20452893827,115844.45220046901,113622.22361500977,111453.17123112323,109345.66278064979,107306.90514880295,105343.07239787538,103459.43172316466,101660.46352450796,99949.97342950017,98331.1952238341,96806.88438368858,95379.40237674025,94050.79218342307,92822.84564695315,91697.16333108401,90675.20757802513,89758.34943605225,88946.93416893316,88237.26505939396,87623.22060106168,87097.30696392324,86651.34050511164,86276.88779457472,85965.54669247195,85709.1232826686,85499.74064454304,85329.90309772229,85192.53144429866,85080.97940099146,84989.03790551233,84910.9316723273,84841.31085333481,84775.23965953433,84708.18314346655,84635.99291239303,84554.8922618742,84461.46103773893,84352.62041777738,84225.61773055098,84078.01138273762,83907.65593862854,83712.68737927907,83491.50856009801,83242.77488150125,82965.38018579925
IN,2686.503086865798,4847.800514722317,6661.223012018756,8278.482212680768,9758.207036021897,11122.393487832296,12377.274424893045,13522.627976203223,14556.218685978625,15475.933566008474,16280.75294579583,16971.111943920765,17548.94103617568,18017.54210554274,18381.387193270562,18645.889255961934,18817.172684617737,18901.858752847053,18906.87366896207,18839.28240858608,18706.14881425189,18514.420873781037,18270.839213503205,17981.866408288297,17653.634555229324,17291.90857678662,16902.062843727155,16489.068893030933,16057.492231152053,15611.496438897446,15154.853017925512,14690.955632409015,14222.837597947228,13753.191650785648,13284.391192769648,12818.51235121365,12357.356318674309,11902.471546562801,11455.175459947359,11016.575440230208,10587.588889109365,10168.962242802025,9761.288851289431,9365.02567462788,8980.508778333968,8607.967633560369,8247.53824618432,7899.275152879416,7563.162332473663,7239.123088059178,6927.028959970068,6626.707732364373,6342.19038011072,6079.378666261963,5844.594978254285,5643.767991342622,5482.06009471323,5363.78746670539,5292.521892883686,5271.295125780658,5302.852050487237,5389.918597637105,5535.464883614421,5742.954233261684,6016.575365119838,6361.458860581846,6783.880763161337,7291.456301597906,7893.325710449495,8600.332232535617,9425.189848739554,10382.635274903698,11489.555484043743,12765.078697605953,14230.613768624558,15909.820574415478,17828.49294441384,20014.336284540634,22496.624858768824,25305.72888874729,28472.509157923036,32017.60143010879,35934.26320296796,40199.227916549666,44778.21344689737,49628.95561031594,54703.15590278089,59947.99879464043,65307.52647132423,70723.97553205631,76139.09131833665,81495.39617782609,86737.37470822776,91812.53934171033,96672.34658270933,101272.94385812744,105575.7370238676,109547.77783666793,113161.97849919446,116397.16645794851,119237.99695777579,121674.74355996591,123702.98812102988,125323.23185132748,126540.44827903216,127363.59747537515,127805.11896751015,127880.41856122803,127607.36197025239,127005.78582321534,126097.03438533821,124903.52825476819,123448.36941643574,121754.98538363217,119846.81373886278,117747.02719910763,115478.2983662155,113062.6025647471,110521.05659744865,107873.79084098055,105139.85183920326,102337.13240625523,99482.32620594457,96590.90380829274,93677.10732095483,90753.96083725354,87833.29412031206,84925.77714285755,82040.96331518787,79187.33945178452,76372.38074391554,73602.60921649662,70896.28974497975,68275.79342746495,65763.10402170464,63377.39811871446,61133.956132290834,59043.895137233456,57114.373400073,55349.052267434105,53748.668796281585,52311.62873313192,51034.567330591,49912.850471308295,48941.0045849412,48113.07371289846,47422.90780204655,46864.38930142247,46431.60637494415,46118.98119984146,45921.36134793232,45834.08144392315,45853.00135359005,45974.52619359015,46195.61254284583,46513.76440934086,46924.49190667605,47413.749463531654,47963.47350708707,48554.782725457,49169.72975012367,49792.17005182598,50408.10582873399,51005.72903999089,51575.30221053813,52108.961176372824,52600.489517060974,53045.092882095014,53439.18812705831,53780.214138096984,54066.46650478767,54296.95555759435,54471.28591939621,54589.55512328425,54652.268700285815,54660.269240643946,54614.67715771899,54516.841160615644,54368.296727438574,54170.731142173434,53925.9539029905,53635.8715237959,53302.46593373848,52927.77583297067
D,3743.0,3743.0,3744.0363326423767,3746.08609794959,3749.1598271283137,3753.275348917285,3758.447715667085,3764.684919939015,3771.9862267894414,3780.341815664544,3789.733112299636,3800.1334878077896,3811.5091447852146,3823.8200845739525,3837.0210912289654,3851.0626921902413,3865.8920708461405,3881.453916007869,3897.691199895186,3914.5458807388886,3931.9595292299723,3949.873880215655,3968.2313125337228,3986.975260873675,4006.050564184823,4025.4037555110035,4044.983298287923,4064.739774144573,4084.62602714497,4104.597269221687,4124.611151312715,4144.627804436999,4164.6098546462945,4184.522415483221,4204.333061266195,4224.0117842178215,4243.530938159321,4262.865171212706,4281.991349687436,4300.888475080354,4319.5375958875975,4337.921715715339,4356.025698982099,4373.836175328966,4391.341443694157,4408.53137686455,4425.397327187944,4441.932034014784,4458.129533336149,4473.985069994693,4489.495012766001,4504.656772538584,4519.4687237604485,4533.931764786529,4548.050217631401,4561.83226451312,4575.290080206271,4588.439784378629,4601.3013076851685,4613.898240002522,4626.257708929308,4638.410321281294,4650.390189220033,4662.235055156328,4673.986524899721,4685.690415938808,4697.397226556531,4709.162731112758,4721.048706744721,4733.123796490515,4745.464513027717,4758.156385473663,4771.295248690835,4784.988670009871,4799.3575020400385,4814.537542231156,4830.681270218189,4847.959623095456,4866.563757278021,4886.706734426164,4908.625059156906,4932.57998916194,4958.854683373115,4987.744104325983,5019.547546605399,5054.562416794512,5093.078663174259,5135.3736326903,5181.707314713998,5232.3180117368065,5287.418504700377,5347.192780463978,5411.793374716122,5481.339363248409,5555.915012472655,5635.569079043616,5720.314729961474,5810.130039341472,5904.959006432047,6004.71303139211,6109.272780548316,6218.490370964233,6332.191804721474,6450.1795858742325,6572.235457140516,6698.123198614853,6827.591436751894,6960.376418252815,7096.204710014393,7234.79579275396,7375.86452213019,7519.12343701229,7664.284899919277,7811.063059500284,7959.175629227193,8108.345480215395,8258.302049287373,8408.782566070611,8559.533105108634,8710.309470701124,8860.877923518554,9011.015759003292,9160.511748217164,9309.166452167969,9456.792420786203,9603.214287665896,9748.268771465959,9891.804594522173,10033.682328773564,10173.774178585452,10311.963709476604,10448.145531148379,10582.22494258536,10714.122420533027,10843.775823774471,10971.141063697763,11096.191778739854,11218.918393278966,11339.326826588163,11457.437031117102,11573.281483317573,11686.903706932582,11798.356878163704,11907.702540944354,12015.009446093156,12120.352518491034,12223.811950214198,12325.472413738704,12425.422387168206,12523.753582392039,12620.560466775729,12715.93986915247,12809.99066133589,12902.813506982842,12994.510670313926,13085.18587789195,13174.944227328006,13263.891161496938,13352.128426556332,13439.751647157393,13526.848954121317,13613.500294626427,13699.777182421001,13785.742729113474,13871.451852396141,13956.951593040685,14042.281496138407,14127.474027582706,14212.555006983697,14297.54404488921,14382.454976561537,14467.29628741487,14552.071527074408,14636.779710217874,14721.415703130268,14805.97059539214,14890.43205642988,14974.784676847657,15059.010294578211,15143.088305960948,15226.995961899578,15310.708649278855,15394.200157838954,15477.442932720456
R,0.0,1021.8596808646478,2569.8654013668465,4588.911624561215,7044.775373318793,9910.703330494518,13161.905333204975,16773.252717299078,20718.462156568803,24969.996384488983,29499.304088822842,34277.20346028224,39274.30577278183,44461.42432978839,49809.94120241549,55292.119535128615,60881.35796871048,66552.38869505638,72281.42336116203,78046.25237666663,83826.30368634364,89602.66707472825,95358.08978049707,101076.94874406912,106745.20427689407,112350.33937855715,117881.28837195355,123328.35799809074,128683.14362255318,133938.442761444,139088.16773793582,144127.25893107962,149051.59977426016,153857.93439867438,158543.78859391637,163107.3945694153,167547.6198432922,171863.90045549287,176056.17859633098,180124.84465660967,184070.68363832927,187894.8258129801,191598.7014751907,195183.9996109672,198652.6302800816,202006.6904997637,205248.43341034415,208380.24050171772,211404.59668144668,214324.06797015885,217141.2816169163,219858.90843584284,222480.4309840147,225010.82125910517,227456.7830833824,229826.73551922452,232130.66279521343,234379.9164502883,236587.0252094135,238765.5460151617,240929.97420426868,243095.72064706363,245279.15748820305,247497.73082749394,249770.13733043734,252116.56161248588,254558.97171728933,257121.4706641956,259830.70253889158,262716.31168851914,265811.4530632131,269153.35047179245,272783.8973898053,276750.2919315145,281105.6937112757,285909.8857165017,291229.91926439205,297140.7150271707,303725.5885229531,311076.66500571545,319295.14698707854,328489.55235811486,338769.9193054925,350242.5897766621,363006.75265042426,377151.91803285887,392755.9530650073,409883.5290253238,428584.9293188408,448895.20776687196,470833.6967860662,494403.8613661024,519593.4855713695,546375.1680182967,574707.0936753749,604534.0424369791,635788.5905716899,668392.4592745304,702257.9648728214,737289.5273529281,773385.1973619286,810438.1662778705,848338.2289576905,886973.1740395635,926230.0819323569,965996.5156641479,1006161.5944348029,1046616.9439238932,1087257.5210859291,1127982.3142955261,1168694.9222880437,1209304.0173991425,1249723.700176658,1289873.7535666022,1329679.8056137706,1369073.4100200674,1407992.0540235268,1446379.1029490354,1484183.690485204,1521360.5633036043,1557869.888094615,1593677.0284814571,1628752.2986186438,1663070.6996064151,1696611.6441777872,1729358.6744546574,1761299.1769355838,1792424.0982788661,1822727.664886364,1852207.1087797568,1880862.4017936257,1908695.9996892598,1935714.9333253528,1961932.5020771178,1987368.5791188127,2012049.125424152,2036005.3030135063,2059272.4351661638,2081888.9625637028,2103895.4806763413,2125333.901606863,2146246.7562148664,2166676.635722588,2186665.7625995926,2206255.6758459453,2225487.014115978,2244399.3802693654,2263031.2721125977,2281420.065784174,2299602.040111609,2317612.4321270157,2335485.5156565513,2353254.6964399116,2370952.61856797,2388611.27815031,2406262.1410528994,2423935.7946012076,2441660.001370221,2459458.162078723,2477348.7713647513,2495345.439329302,2513457.215172111,2531689.0531474845,2550042.3266441906,2568515.337160373,2587103.790174818,2605801.2251407686,2624599.395742275,2643488.6015296993,2662457.97460928,2681495.726167224,2700589.35787035,2719725.8429821613,2738891.7815977675,2758073.5338723212,2777257.334575729,2796429.3917949395,2815575.9721452114,2834683.4744512634,2853738.4935182366,2872727.875327011,2891638.7647527694,2910458.6467131,2929175.3814961417
