series,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,64911.47315016819,64908.32218836294,64904.7300778948,64900.6361174168,64895.971570864574,64890.65869884192,64884.60970182051,64877.725576157805,64869.894887506096,64860.99247099835,64850.87807392564,64839.39496475762,64826.36854259239,64811.60499371189,64794.89005703945,64775.98797796788,64754.64075002298,64730.567765550695,64703.46601895373,64673.01102717203,64638.85864950538,64600.6479990142,64558.00563621784,64510.55121755923,64457.904730810325,64399.69538249383,64335.572105411295,64265.21552748826,64188.3510909168,64104.76284328171,64014.307256483116,63916.926286701855,63812.65879429912,63701.64942034422,63584.15408436723,63460.54143283654,63331.28982199769,63196.97973876881,63058.28191314737,62915.94171179838,62770.76068277196,62623.576311976496,62475.24113404483,62326.60231157153,62178.482671169986,62031.66398774502,61886.873070858564,61744.77096001138,61605.945305262016,61470.905814578524,61340.082500126606,61213.82635526399,61092.412039404364,60976.04213237405,60864.85253474956,60758.91862692449,60658.26184903172,60562.856419410164,60472.63596571443,60387.49989624658,60307.31938725135,60231.94290349047,60161.201203976576,60094.91181247002,60032.88295376831,59974.916972700295,60305.63705496358,60639.57172192532,60971.41595795585,61301.04555274786,61628.331147166544,61953.13829536366,62275.32758756185,62594.7548420142,62911.27137496285,63224.72435757405,63534.957268769824,63841.81045255972,64145.121787849384,64444.72747771647,64740.46296375315,65032.16396923953,65319.66767260755,65602.8140098694,65881.44710143007,66155.4167950158,66424.58031239586,66688.80398325282,66947.96504509877,67201.95348370569,67450.67388431038,67694.04726008222,67932.01282122964,68164.52964589217,68391.5782128256,68613.16175601099,68829.30740282977,69040.06706040751,69245.51801912807,69445.76324806521,69640.93136400006,69831.17626354452,70016.67641636662,70197.63382626302,70374.27267547321,70546.83767580887,70715.59215753291,70880.81593316924,71042.80297831979,71201.85897495458,71358.29876444979,71512.44375788489,71664.61934986144,71815.15237952085,71964.36867871946,72112.59074270289,72260.1355533593,72407.3125794798,72554.42197265431,72701.7529717033,72849.58252307553,72998.17411958223,73147.77685530059,73298.62469053995,73450.93591746368,73604.91281430781,73760.74147411832,73918.5917925068,74078.61759804768,74240.95690854696,74405.73229643847,74573.05134693666,74743.00719323107,74915.67911388054,75091.13317859815,75269.4229297572,75450.59008815006,75634.66527275543,75821.668725486,76011.6110330695,76204.4938393453,76400.31054231954,76599.04697130491,76800.68204037288,77005.1883751596,77212.5329107962,77422.67745937816,77635.57924595218,77851.19141248621,78069.4634897045,78290.34183702007,78513.77005108845,78739.68934374406,78968.03889027017,79198.75614910133,79431.77715416758,79667.03678116827,79904.46898911477,80144.00703850877,80385.5836875311,80629.13136760802,80874.58233970015,81121.86883262746,81370.92316470262,81289.28849830855,81157.6694196496,81028.68907028242
I,7.0,7.983905014663881,9.10436182888118,10.379798146126557,11.830971547272712,13.481216822667022,15.356704921077462,17.486708915163312,19.903870238343465,22.644455723368676,25.748592575431697,29.26046425933894,33.228445314704324,37.705147329492945,42.747341778987874,48.415718381712686,54.774430427979524,61.89037184173776,69.83212549986973,78.66851988643865,88.46673323513784,99.28989301223169,111.19413625299569,124.22512519146483,138.41405463919799,153.7732433815338,170.2914702810512,187.92929291090087,206.61466514613886,226.23923947542744,246.65578624496737,267.67717080897813,289.0772873991766,310.59424725921394,331.93595857311965,352.7880282370646,372.82368304300394,391.71518141024217,409.1460007670114,424.82297078666835,438.4874992927647,449.9251110979904,458.9726794207521,465.5229502319836,469.5262091369276,470.9891840089423,469.9714852523298,466.58003917091224,460.96205931462737,453.29712702060226,443.7889247203195,432.65709773947106,420.129627648568,406.4359971754069,391.80132513995306,376.4415583640071,360.5597312120066,344.3432445568943,327.9620744796032,311.5677952963971,295.29328907355534,279.2530117911816,263.5436919486334,248.2453481330886,233.42252577701672,219.12566833617515,205.3925531875044,213.02292867950703,221.136663716753,229.756165845324,238.90427207392344,248.60409630853007,258.8788482493892,269.75162125573775,281.24514689034606,293.38151418423126,306.1818521317932,319.665974557158,333.85198730018124,348.75585866759377,364.39095528700034,380.7675468860406,397.89228508206975,415.767662981917,434.3914642139451,453.75621188634136,473.84862980971644,494.64913004573,516.1313423397567,538.261702147977,560.9991146574882,584.2947123060247,608.0917227329535,632.3254627561554,656.9234718244186,681.8057954388171,706.8854253153254,732.0688986738221,757.2570541375085,782.3459365111138,807.2278374134487,831.7924536311712,855.9281404039302,879.5232329017883,902.4674061379308,924.6530416483695,945.9765685785417,966.3397473864057,985.6508661711736,1003.825822564105,1020.7890680091313,1036.4743959045234,1050.8255602285808,1063.7967166745707,1075.3526837185611,1085.4690262033382,1094.131968739289,1101.3381503372987,1107.0942350840608,1111.4163962792647,1114.3296932551032,1115.8673611105155,1116.070033868782,1114.984921187007,1112.6649578072365,1109.167943549211,1104.555689914818,1098.8931874120071,1092.247805611407,1084.6885358111967,1076.2852840808273,1067.108220443653,1057.227188089862,1046.711174818186,1035.627847409237,1024.0431483456837,1012.0209532164736,999.622786268244,986.907590885686,973.9315512786055,960.7479613088723,947.4071361859983,933.9563626759781,920.4398834847811,906.8989115770171,893.3716703545807,879.8934558339716,866.4967172106365,853.2111524720916,840.0638160085194,827.0792354614558,814.2795353411559,801.684565225724,789.3120306258909,777.1776248553018,765.2951604851933,753.6766991830352,742.3326789364252,731.2720378461079,720.5023338357539,710.0298597716749,699.859753613867,689.9961033316764,680.4420464141234,671.199863887729,661.4541962576474,651.1223829343055
IH,0.0,0.7697243629161783,1.6144805905857575,2.5460517074578837,3.577739459013643,4.724555081577104,6.003429050745929,7.433440268260081,9.036064621461897,10.835442110639004,12.858660732914194,15.136053974495228,17.701507027136124,20.592764637467,23.851730749766904,27.524746755755,31.662831186329917,36.32185908167615,41.56265413955872,47.45096125049712,54.05726150489764,61.456386699812576,69.72688649000486,78.95009955426482,89.20888163141434,100.58594932010854,113.16181045324481,127.01227078477017,142.20553331989237,158.7989407108115,176.8354513866254,196.33998370643434,217.31580512944697,239.74117962484112,263.56651007705307,288.71221736575455,315.06757969665864,342.49071287231277,370.8098062539216,399.82564561126395,429.315361469012,459.0372503856156,488.73643743306405,518.1510899138437,547.0188608972749,575.0832384662052,602.0995007775343,627.8400231538584,652.0987444407368,674.694668082713,695.4743415478966,714.3133199307566,731.1166716228305,745.818623568534,758.3814702125043,768.7938845221674,777.0687730691296,783.2408122082583,787.3637911890576,789.5078727505872,789.7568642986467,788.2055746959302,784.9573141865144,780.1215788401504,773.8119466408169,766.1442002042648,757.2346811425707,726.0862776109258,696.3959518883145,668.1046930261681,641.1563398559626,615.4974599879064,591.0772324702231,567.8473336337332,545.7618256399769,524.7770472472134,504.85150630851325,485.94577352120746,468.0223769587191,451.0456969359256,434.9818607893983,419.79863719584273,405.46532970741174,391.95266925265844,379.2327054377488,367.2786965846593,356.0649985612691,345.5669525915036,335.7607723800096,326.6234310421616,318.1325484922959,310.26628010558096,303.0032076254621,296.32223343192203,290.20247940807684,284.62319173592357,279.5636530087321,275.00310306082866,270.9206698799505,267.2953118794559,264.10577266630844,261.3305492474217,258.94787437597427,256.9357134577541,255.27177612503354,253.93354225352456,252.89830185963993,252.14320798427892,251.64534135921915,251.38178537552716,251.3297096411274,251.4664602354314,251.76965464865958,252.21727933517286,252.78778781379242,253.4601973109471,254.21418205931025,255.0301615281324,255.8893820630457,256.7739906431274,257.66709971156433,258.5528422936524,259.4164168730291,260.2441217458946,261.02337880667426,261.74274693164085,262.39192531539817,262.9617472761787,263.44416517827455,263.83222722341816,264.1200469383531,264.30276623478574,264.3765129425926,264.3383537202031,264.1862432303741,263.918970438117,263.53610284330796,263.0379294063827,262.4254028641639,261.70008206672765,260.8640748974538,259.9199822688846,258.8708436183164,257.720084260455,256.4714648909928,255.12903347538574,253.69707970195836,252.18009212810708,250.582718102974,248.9097265095797,247.16597333395353,245.35637003812562,243.48585468771168,241.55936576294707,239.58181856409664,237.55808410784059,235.49297040017208,233.391205963192,231.2574254876137,229.09615747947186,226.91181376815746,224.70868074319023,222.49091218882603,220.262523588439,218.02738777439885,215.78923180368847,213.5426525629404
IN,1.3973324276748609,2.5419655709487268,3.676004651763742,4.828623866011142,6.027399947469803,7.299066146963323,8.670179231018668,10.167717548880674,11.819624034392614,13.655304155121922,15.70608512010072,18.005638947647313,20.59036812666593,23.49974844505026,26.77661899679197,30.46740434022123,34.62224824351728,39.29503248211306,44.54324792456895,50.42767899643736,57.01185708784879,64.36123436006173,72.54202777558068,81.61968536611346,91.65693432065426,102.71138506253138,114.83268857420458,128.05927680103582,142.41475804436084,157.9040894146739,174.5097033454212,192.18781943607343,210.86521909639592,230.43678989519373,250.76415041097343,271.675637629489,292.9678739634984,314.4090313422345,335.7437830071599,356.6997926367456,376.9954519749947,396.3484600587517,414.4847550753325,431.1472744742164,446.10403400969517,459.1550784777004,470.13795639803504,478.93149404190183,485.45777574398636,489.6823630346531,491.61289326955887,491.29628150051053,488.8148038326782,484.281366659932,477.83426701813926,469.63172971954606,459.84647262822455,448.6605081068126,436.26034142089713,422.8326799060239,408.5607230841864,393.62106570438704,378.1812139812811,362.3976904621956,346.41468474364757,330.36319507796793,314.3605989283466,298.51058781883546,287.0501245411526,279.2818731062141,274.63907957398624,272.66204279303355,272.97880981237887,275.28932626207995,279.35241069728835,284.9750355573996,292.00349056011106,300.3160807632922,309.81707424767427,320.43166591213503,332.10176629066706,344.782459284506,358.43900163695196,373.0442609919384,388.57650939040707,405.0175058161561,422.3508155035525,440.5603256383179,459.6289271900371,479.53734119329954,500.26307505135094,521.7795005180986,544.0550500179536,567.0525319469843,590.728568595469,615.0331623584434,639.9093969707682,665.2932806368484,691.1137371588353,717.292749561064,743.7456583517109,770.381613575542,797.1041763449294,823.8120617669731,850.4000113085523,876.7597788636335,902.7812113112765,928.3534013673877,953.3658882014936,977.709879738936,1001.2794698828332,1023.9728241049427,1045.6933079574344,1066.3505349893908,1085.8613132127002,1104.1504725192854,1121.1515591497616,1136.807387284735,1151.0704419041676,1163.903131075444,1175.277889640658,1185.177139754054,1193.5931167735555,1200.527571566338,1205.9913623063117,1210.0039503069595,1212.592815356104,1213.792806430016,1213.6454436091292,1212.1981865543248,1209.5036840965251,1205.6190184117106,1200.6049559669455,1194.525215996097,1187.4457657571497,1179.4341502901657,1170.5588628822593,1160.8887609916526,1150.4925310170809,1139.438204044017,1127.7927235706838,1115.6215652236303,1102.9884076182602,1089.9548528030232,1076.5801941422667,1062.9212290343746,1049.0321135191368,1034.9642555902844,1020.7662438839864,1006.4838083497965,992.1598095151386,977.8342530164533,963.5443261788383,949.3244535714495,935.2063686391216,921.2191987036407,907.3895608338794,893.7416662966365,880.2974315144581,867.0765936688226,854.0968292935123,841.3738744011494,828.9216448737923,816.7523560247591,804.8766404025462,793.3036630583438,781.8781704178396
D,0.01,0.01,0.017837781234369576,0.034277361798256384,0.06020274139627896,0.09663336584355836,0.14474153409594218,0.20587194106076584,0.2815635541216358,0.3735740206402295,0.4839067955040966,0.6148411593453706,0.7689652659986281,0.9492123080328911,1.1588998169845919,1.4017720147275607,1.6820449981442547,2.004454364477711,2.3743046631342692,2.7975197857938348,3.2806930768573066,3.8311355601890114,4.456920240542705,5.166919960951569,5.9708358021933154,6.879212530377944,7.903437180141626,9.055716563708852,10.349029391589223,11.797048856967045,13.414032049269228,15.214673485637922,17.21392141644338,19.426757363226294,21.867941518617034,24.551729048563214,27.49156479811576,30.699766178606076,34.18720585392891,37.963007012107525,42.03426432598434,46.40580308175429,51.07998740056451,56.05658611877691,61.3327019399116,66.90276619842562,72.7585982752151,78.88952565100787,85.2825579996505,91.92260676044327,98.79274036046779,105.87446468385814,113.14801844432706,120.59267370672544,128.18703279639007,135.90931409875864,143.73762066083393,151.6501869518389,159.625600535814,167.64299669022896,175.68222513037833,183.7239889473157,191.7499566310877,199.74284863674478,207.6865003720166,215.56590376173736,223.36722969668895,231.86384548006788,240.01095796722336,247.82492764352955,255.3214528570213,262.51560179459216,269.4218431004869,276.0540751781628,282.42565421125994,288.54942093401684,294.4377261760164,300.1024552006976,305.5550508516741,310.8065355156382,315.8675319055927,320.7482826634557,325.45866877685614,330.00822680133376,334.40616487633673,338.6613775215552,342.7824591994195,346.7777166302065,350.65517984831064,354.4226119919876,358.0875178243866,361.6571509910129,365.1385200279112,368.5383931457673,371.86330182763703,375.11954329189996,378.3131818869656,381.450049499829,384.5357450762904,387.5756333659714,390.57484301959073,393.5382641787116,396.4705457087445,399.3760922338661,402.25906113722493,405.1233596910134,407.97264247846454,410.81030926352,413.63950345388446,416.463111289675,419.2837618732601,422.1038281366631,424.92542882167515,427.75043152524376,430.5804568394655,433.41688359232273,436.2608551728123,439.1132869029396,441.9748743997088,444.84610285315915,447.72725713199867,450.6184326166759,453.5195466509076,456.43035049674467,459.35044167511137,462.2792765732347,465.2161832022453,468.1603739922155,471.1109585176897,474.0669560540352,477.02730787337885,479.99088919817643,482.9565207402933,485.92297976358225,488.88901061808906,491.8533347039799,494.8146598329004,497.7716889635921,500.7231282971014,503.66769472473896,506.6041226290244,509.5311700441611,512.4476241881117,515.352306383102,518.2440763853913,521.1218361484426,523.9845330462582,526.8311625856505,529.6607706376702,532.472455219342,535.2653678573457,538.0387145653633,540.7917564665516,543.5238100920507,546.2342473856353,548.9224954436228,551.5880360179852,554.2304048093324,556.8491905750564,559.4440340764883,562.0146268874441,564.5607100850449,567.0820728422076,569.5785509397368,572.050025214508,574.4964199588396,576.9177012848085
R,0.0,0.2526992844009952,0.7377198486050618,1.455614097675194,2.4125980361381565,3.620312336891997,5.095726038414118,6.861167764690816,8.944472641443836,11.379235587739554,14.20516344627373,17.468519497412153,21.22265426896322,25.528616163929897,30.45583421388133,36.08286313555982,42.49817771690557,49.80099927516003,58.10213141499962,67.52477550466158,78.20528818573659,90.29383394936436,103.9548756189015,119.36743496383696,136.7250453920743,156.23530980747736,178.11897069592726,202.6083980471869,229.94540577707934,260.3783208562742,294.1582530864647,331.53454845688174,372.7494552552831,418.03208810916874,467.59183764887086,521.611437478454,580.2399590968957,643.5860520236585,711.7117735664681,784.6273547506926,862.2872227611483,944.5875459952563,1031.3654892213208,1122.4002702855169,1217.4160054420715,1316.0862276995715,1418.0398710341913,1522.86844056681,1630.1340398348557,1739.3779031189333,1850.12908257102,1961.9129634772844,2074.259321643107,2186.7096891112246,2298.823852679326,2410.1853689669024,2520.406035993957,2629.1293113619013,2736.0327092560665,2840.8292417060447,2943.26799375775,3043.1339379665874,3140.247101871777,3234.461204053672,3325.66187129406,3413.7645425154274,3498.712155729035,3580.472703184931,3658.342199682153,3733.162434434207,3805.6471463277276,3876.4057326593024,3945.962698764554,4014.773612666826,4083.2381896608736,4151.711017617541,4220.510340220054,4289.925238616092,4360.221489062394,4431.646322574124,4504.432270347941,4578.800244156226,4654.961972666621,4733.121891632086,4813.478567232698,4896.225716808554,4981.552879215118,5069.645777578234,5160.686409931791,5254.8528977594215,5352.319118556499,5453.25414594133,5557.821519362219,5666.178364875008,5778.474388618678,5894.850765315663,6015.438945192033,6140.359403976621,6269.720361926679,6403.6164989763865,6542.127693959946,6685.317816285565,6833.233598314599,6985.903615943267,7143.337403436568,7305.524726404973,7472.435033961419,7644.01710760328,7820.198920320429,8000.887714955022,8185.970306073569,8375.313604715135,8568.765360515654,8766.155111040087,8967.295323833207,9171.982712860277,9379.999707760453,9591.116051759895,9805.090502239369,10021.672606842229,10240.60452763354,10461.622886143134,10684.460603085263,10908.84870806806,11134.51809659684,11361.201214038854,11588.6336488527,11816.555620194218,12044.713347899127,12272.860295725244,12500.758281539498,12728.178450793926,12954.90211210001,13180.721435944028,13405.440019561514,13628.873322691232,13850.848980353254,14071.206999944814,14289.799850831952,14506.492455250273,14721.162089734375,14933.698206495368,15144.002184183866,15351.987017337065,15557.576953537902,15760.70708693605,15961.322916317416,16159.379875381914,16354.842842317701,16547.685635160764,16737.890498816414,16925.447589006697,17110.354457805228,17292.615544837474,17472.241677666356,17649.24958435583,17823.661420712233,17995.50431424707,18164.80992648728,18331.61403487951,18495.956135194214,18657.879065031488,18817.428648762805,18974.653364008955,19129.604029552673,19282.333514412298,19432.89646765811
G,7.0,10.15096180525492,13.74307227339525,17.83703275139417,22.501579303615728,27.814451326268138,33.86344834767725,40.747574010380774,48.57826266208858,57.48067916983452,67.59507624254957,79.07818541056413,92.10460757579335,106.86815645629812,123.5830931287378,142.48517220030143,163.8324001452017,187.90538461748986,215.00713121445645,245.4621229961537,279.6145006628033,317.8251511539845,360.46751395035056,407.92193260895675,460.5684193578593,518.7777676743541,582.9010447568945,653.2576226799276,730.1220592513856,813.7103068864791,904.1658936850729,1001.5468634663306,1105.814355869071,1216.8237298239687,1334.319065800959,1457.9317173316504,1587.1833281704974,1721.4934113993788,1860.1912370208147,2002.5314383698028,2147.712467396229,2294.896838191693,2443.232016123359,2591.8708385966625,2739.9904789982056,2886.80916242317,3031.6000793096305,3173.7021901568155,3312.5278449061816,3447.5673355896697,3578.390650041588,3704.6467949042058,3826.0611107638356,3942.431017794148,4053.620615418638,4159.554523243707,4260.211301136477,4355.616730758031,4445.837184453764,4530.9732539216075,4611.153762916842,4686.5302466777275,4757.2719461916195,4823.561337698177,4885.590196399883,4943.556177467898,4997.6598862564715,5048.549010346593,5101.528565367922,5156.722761627769,5214.260958260947,5274.27760111569,5336.912099969358,5402.308636568866,5470.615894672071,5541.986703112728,5616.577582968813,5694.548190230773,5776.060645992968,5861.278747177742,5950.367052192925,6043.489837758397,6140.809925442237,6242.4873792322605,6348.678078723462,6459.532176189593,6575.192449861402,6695.792570056317,6821.45529926223,6952.290651707172,7088.394042154347,7229.844457434372,7376.702687338825,7529.009653728162,7686.784877846605,7850.025125713073,8018.703269946151,8192.767403420276,8372.14023575159,8556.718797866319,8746.37447298333,8940.953364490737,9140.277002720502,9344.143383875975,9552.328325717635,9764.58711643384,9980.656425761668,10200.256441177198,10423.093187078526,10648.86098149559,10877.244983052247,11107.923780669022,11340.57197974433,11574.86274113679,11810.47023299005,12047.071960058496,12284.350940453953,12521.997705385327,12759.712103262678,12997.204895265551,13234.199134945193,13470.431329490359,13705.652384823865,13939.628340636373,14172.1409047645,14402.987798972226,14631.98293021359,14858.95640287696,15083.754388387953,15306.238868940545,15526.287272100908,15743.792012654578,15958.659957412028,16170.811827814421,16380.181554148689,16586.715594041503,16790.37222670052,16991.12083314701,17188.94117146831,17383.822654936685,17575.76363971273,17764.770727790365,17950.858089856854,18134.046811840748,18314.364268105892,18491.843523521155,18666.522765991063,18838.444770468912,19007.65639498674,19174.20810882032,19338.15355255663,19499.549129540115,19658.453627936375,19814.927872462133,19969.034404682832,20120.83719066845,20270.401354719626,20417.79293782498,20563.07867948284,20706.325821512368,20847.601932487323,20986.974751447062,21124.51204957163,21260.281508548334,21394.350614404175,21525.96969306314,21654.950042430326
H,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37765.16596254418,37380.342171492324,36995.518380440466,36610.69458938861,36225.87079833675,35841.04700728489,35456.22321623303,35071.399425181175,34686.575634129316,34301.75184307746,33916.9280520256,33532.10426097374,33147.28046992188,32762.45667887002,32377.63288781816,31992.809096766297,31607.985305714436,31223.161514662574,30838.33772361071,30453.51393255885,30068.690141506988,29683.866350455126,29299.042559403264,28914.218768351402,28529.39497729954,28144.57118624768,27759.747395195816,27374.923604143954,26990.099813092093,26605.27602204023,26220.45223098837,25835.628439936507,25450.804648884645,25065.980857832783,24681.15706678092,24296.33327572906,23911.509484677197,23526.685693625335,23141.861902573473,22757.03811152161,22372.21432046975,21987.390529417888,21602.566738366026,21217.742947314164,20832.919156262302,20448.09536521044,20063.271574158578,19678.447783106716,19293.623992054854,18908.800201002992,18523.97640995113,18139.15261889927,17754.328827847407,17369.505036795545,16984.681245743683,16599.85745469182,16215.033663639959,15830.209872588097,15445.386081536235,15060.562290484373,14675.738499432511,14290.91470838065,13906.090917328787,13521.267126276925,13136.443335225063,12751.619544173202,12366.79575312134,11981.971962069478,11597.148171017616,11212.324379965754,10827.500588913892,10442.67679786203,10057.853006810168,9673.029215758306,9288.205424706444,8903.381633654582,8518.55784260272,8133.7340515508595,7748.9102604989985,7364.0864694471375,6979.262678395276,6594.438887343415,6209.615096291554,5824.791305239693,5439.967514187832,5055.143723135971,4670.31993208411,4285.496141032249,3900.672349980388,3515.8485589285265,3131.024767876665,2746.2009768248035,2361.377185772942,1976.5533947210806,1591.7296036692192,1206.9058126173577,822.0820215654963,437.258230513635,52.43443946177365,0.0,0.0,0.0
beta,9.131222794646392,9.131222794646384,9.127235269561274,9.122693719263786,9.11752318142237,9.111639150796604,9.104946543052282,9.097338600318658,9.088695753440772,9.078884463359284,9.067756073490715,9.055145716648703,9.040871334141249,9.024732881267916,9.006511812375091,8.985970959410626,8.962854939571445,8.936891248512985,8.907792213210346,8.875257989469914,8.838980788795125,8.798650502395192,8.753961850620579,8.704623118234304,8.650366435265779,8.590959428309551,8.526217901473796,8.456019019941953,8.380314280446369,8.299141387883791,8.212634047516536,8.121028660397847,8.024667002659616,7.9239941901398785,7.819551570880843,7.711964617691033,7.6019263579390035,7.490177311543002,7.37748324428933,7.264612230293565,7.152312528965072,7.041292623959635,6.932204478648979,6.825630688169962,6.722075812083773,6.621961807994169,6.525627194187197,6.43332936882134,6.345249407012296,6.26149863434255,6.182126316886977,6.10712789208056,6.036453271297506,5.970014857273693,5.907695025625383,5.849352912441355,5.79483042583934,5.743957457900215,5.696556315781561,5.652445419325293,5.611442329751848,5.573366182688541,5.538039601153294,5.505290162172807,5.474951486016288,5.446864010757006,5.420875507892355,5.409880582423082,5.400464751002629,5.390284469556791,5.379309038222177,5.367507763873275,5.354850145475578,5.341306086407676,5.326846134701814,5.31144175171898,5.295065609228574,5.277691914198899,5.259296759819955,5.239858500378807,5.219358146600098,5.197779776968905,5.175110959397453,5.151343176419338,5.126472245941952,5.100498728516863,5.073428311163507,5.04527215707262,5.016047210093684,4.985776442842306,4.954489037606433,4.922220490029278,4.889012626822986,4.854913530519051,4.8199773664556025,4.784264109775936,4.74783917307299,4.71077293834175,4.6731401999554665,4.635019528311743,4.596492566448476,4.5576432741667965,4.518557135898065,4.479320349625939,4.440019014570969,4.400738335053994,4.361561857007096,4.322570752065805,4.283843162154301,4.2454536150889695,4.2074725191100715,4.169965741543836,4.132994274127693,4.09661398501476,4.0608754552032185,4.025823895181942,3.9914991359891703,3.9579356876658744,3.9251628572472623,3.893204917953943,3.8620813210843927,3.831806942228194,3.802392353766206,3.7738441161487044,3.7461650810959184,3.7193547006026253,3.693409336408648,3.668322565386851,3.6440854770718065,3.6206869602848895,3.5981139764896684,3.576351818125707,3.555384350713259,3.535194237994614,3.5157631497808235,3.497071952508457,3.4791008827848917,3.4618297044177626,3.445237849591028,3.4293045449729176,3.4140089236258424,3.3993301236413282,3.385247374449508,3.3717400717574555,3.3587878420584465,3.346370597628525,3.3344685828911507,3.3230624129877566,3.3121331053443894,3.3016621049738037,3.291631304200373,3.2820230574428626,3.272820191638661,3.264006012843218,3.2555643094904396,3.247479352754529,3.239735894410877,3.2323191625537677,3.2252148554915308,3.2184091341056282,3.2118886129286266,3.205640350167383,3.199651836871546,3.193910985423725,3.1884061175062675,3.1764276682626624,3.163730722801487
