series,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,28608.04077208596,28604.44367614628,28599.410115846866,28592.36718673003,28582.514195648506,28568.73276413152,28549.462098685304,28522.52654969018,28484.89841841908,28432.374062563576,28359.136226277846,28257.171639204338,28115.513592108222,27919.291138625424,27648.60244280791,27277.311350421245,26772.026572193598,26091.801642004542,25189.511347253214,24016.343142031794,22531.074082007377,20715.049641703292,18590.97635711212,16238.424630395875,13793.978386871155,11426.185830280843,9290.138023884972,7484.896780147097,6038.175328499473,4921.438156597026,4078.103074841641,3446.9730402233595,2974.6183281281337,2619.072684530447,2349.1194472778984,2142.127139977199,1981.8325088862086,1856.5353304288628
I,6.0,8.397095939680995,11.751237051158084,16.44391875776323,23.008126087732748,32.18793238717266,45.02101135595444,62.952358079887645,87.9900177350082,122.91637004351018,171.57093232053836,239.2213329299399,333.0351134400695,462.6505442348539,640.8091312053964,883.9383973509831,1212.435496108436,1650.173327075803,2222.428956411972,2951.1113703509996,3846.1581563052155,4892.950965348259,6038.434056869781,7183.298972212068,8191.085421294374,8920.66089362581,9272.57652129652,9223.30246077509,8825.363420267697,8177.0279081166045,7384.957408248669,6539.095961217216,5703.631481068998,4918.450828452886,4204.713900014857,3570.763427312585,3016.905372941058,2538.8214768101925
R,0.0,1.2000000000000002,2.8794191879361994,5.229666598167816,8.518450349720462,13.120075567267012,19.557662044701544,28.561864315892436,41.15233593186996,58.7503394788716,83.33361348757364,117.64779995168132,165.4920665376693,232.0990892256832,324.629198072654,452.79102431373326,629.5787037839299,872.0658030056171,1202.1004684207778,1646.5862597031723,2236.8085337733723,3006.0401650344156,3984.6303581040675,5192.317169478024,6628.976963920438,8267.194048179314,10051.326226904475,11905.84153116378,13750.502023318799,15515.574707372338,17150.98028899566,18627.971770645392,19935.790962888837,21076.51725910264,22060.207424793214,22901.150204796184,23615.3028902587,24218.68396484691
G,6.0,9.597095939680996,14.630656239094284,21.67358535593105,31.52657643745321,45.30800795443967,64.57867340065599,91.51422239578008,129.14235366687817,181.66670952238178,254.904545808112,356.8691328816212,498.5271799777388,694.7496334605371,965.4383292780503,1336.7294216647165,1842.014199892366,2522.23913008142,3424.52942483275,4597.697630054172,6082.966690078588,7898.991130382675,10023.06441497385,12375.616141690092,14820.062385214813,17187.854941805126,19323.902748201,21129.143991938872,22575.865443586496,23692.602615488944,24535.937697244328,25167.06773186261,25639.422443957836,25994.968087555524,26264.921324808074,26471.91363210877,26632.208263199762,26757.505441657107
