County,Color,Date
FL-Broward,"{\cellcolor[rgb]{0,1,0}green}",2020-06-03
FL-Duval,"{\cellcolor[rgb]{0,1,0}green}",2020-06-10
FL-Hillsborough,"{\cellcolor[rgb]{0,1,0}green}",2020-06-04
FL-Lee,"{\cellcolor[rgb]{0,1,0}green}",2020-06-03
FL-Miami-Dade,"{\cellcolor[rgb]{0,1,0}green}",2020-06-11
FL-Orange,"{\cellcolor[rgb]{0,1,0}green}",2020-06-03
FL-Palm Beach,"{\cellcolor[rgb]{0,1,0}green}",2020-06-03
FL-Pinellas,"{\cellcolor[rgb]{0,1,0}green}",2020-06-03
FL-Polk,"{\cellcolor[rgb]{0,1,0}green}",2020-06-03
GA-Cobb,"{\cellcolor[rgb]{0,1,0}green}",2020-06-16
GA-DeKalb,"{\cellcolor[rgb]{0,1,0}green}",2020-06-16
GA-Fulton,"{\cellcolor[rgb]{0,1,0}green}",2020-06-16
GA-Gwinnett,"{\cellcolor[rgb]{0,1,0}green}",2020-06-16
IL-Cook,"{\cellcolor[rgb]{0.863, 0.078, 0.235} red}",2020-06-10
IL-DuPage,"{\cellcolor[rgb]{0.863, 0.078, 0.235} red}",2020-06-10
IL-Kane,"{\cellcolor[rgb]{0.863, 0.078, 0.235} red}",2020-06-10
IL-Lake,"{\cellcolor[rgb]{0.863, 0.078, 0.235} red}",2020-06-10
IL-Will,"{\cellcolor[rgb]{0.863, 0.078, 0.235} red}",2020-06-10
IN-Lake,"{\cellcolor[rgb]{0,1,0}green}",2020-06-03
IN-Marion,"{\cellcolor[rgb]{0,1,0}green}",2020-06-03
IA-Polk,"{\cellcolor[rgb]{0,1,0}green}",2020-06-04
KY-Jefferson,"{\cellcolor[rgb]{1, 0.647, 0}yellow}",2020-06-29
LA-East Baton Rouge,"{\cellcolor[rgb]{0,1,0}green}",2020-06-05
LA-Jefferson,"{\cellcolor[rgb]{0,1,0}green}",2020-06-05
LA-Orleans,"{\cellcolor[rgb]{0,1,0}green}",2020-06-05
MD-Anne Arundel,"{\cellcolor[rgb]{0,1,0}green}",2020-06-12
