series,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,3057.548790069127,3054.476031122271,3050.672814582273,3045.96830306974,3040.153200908542,3032.97189384386,3024.113411254466,3013.2012778220255,2999.7824965103423,2983.316182222515,2963.1627832703953,2938.5754253878326,2908.6957203451843,2872.557394893195,2829.1022378810467,2777.213919219388,2715.775774912348,2643.757970805297,2560.336588825292,2465.0411218955032,2357.9171412603537,2239.678494736202,2111.81174385858,1976.5907468732394,1836.9682859745358,1696.3378787754682,1558.1973417893773,1425.7814428842892,1301.7458599734975,1187.9688945439623
I,7.0,8.672758946856064,10.741423697482563,13.297650470518782,16.453222537613044,20.343885094772737,25.133590665212083,31.019005964609946,38.233986083371036,47.05350315452392,57.796201475739196,70.82431906315402,86.53916029317168,105.36965368652673,127.75087996136972,154.0890226307544,184.70936241164372,219.78529403636594,259.24961720909783,302.695160697067,349.280109192803,397.66273387839385,445.996937980337,492.01854736961025,533.2372987943917,567.2202462345808,591.9167339737555,605.9492860840926,608.7950117780657,600.8129748519879
R,0.0,1.4000000000000001,3.134551789371213,5.282836528867726,7.942366622971482,11.233011130494091,15.30178814944864,20.328506282491055,26.532307475413045,34.17910469208725,43.589805322992035,55.14904561813987,69.31390943077068,86.62174148940501,107.69567222671036,133.2458482189843,164.0636527451352,201.00552522746392,244.96258403473712,296.8125074765567,357.35153961597007,427.20756145453066,506.74010823020944,595.9394958262768,694.3432053001989,800.9906650590772,914.4347143059933,1032.8180611007444,1154.007918317563,1275.7669206731762
G,7.0,10.072758946856064,13.875975486853777,18.58048699938651,24.395589160584528,31.57689622526683,40.43537881466072,51.34751224710101,64.76629355878408,81.23260784661117,101.38600679873123,125.9733646812939,155.85306972394235,191.99139517593176,235.4465521880801,287.33487084973876,348.77301515677897,420.7908192638299,504.212201243835,599.5076681736238,706.6316488087731,824.8702953329246,952.7370462105465,1087.958043195887,1227.5805040945907,1368.2109112936582,1506.351448279749,1638.7673471848373,1762.8029300956289,1876.5798955251641
