series,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,46146.05,46139.2868480936,46131.619684736324,46122.93227116341,46113.094723337585,46101.962275608086,46089.37403719373,46075.1517770586,46059.0987837989,46040.998859873296,46020.61552365449,45997.69150786647,45971.948658163405,45943.08834964002,45910.79255018345,45874.72566551493,45834.53729879968,45789.86604481242,45740.34441185596,45685.604921485174,45625.28737530342,45559.04720028941,45486.564692497166,45407.554879827294,45321.777627243835,45229.047524080044,45129.24303574338,45022.31438299285,44908.2896394472,44787.278614983545,44659.47421520035,44525.151124164244,44384.66183267389,44238.43020774872,44086.94295184537,43930.739416825134,43770.4003082106,43606.53583691049,43439.77385195838,43270.748427468505,43100.08929139401,42928.41238492293,42756.311740533754,42584.352772674414,42413.066993767876,42242.94810307531,42074.449347797825,41907.982023837365,41743.914965886,41582.57487040067,41424.24729782148,41269.17820952699,41117.57590823722,40969.61326602942,40825.43014039905,40685.135894844476,40548.81195557744,40416.514349732366,40288.276182643705,40164.11002231135,40044.010168114444,39927.95478826549,39815.90791656106,39707.821303841214,39603.636123380595,39503.2845323569,39406.69109372258,39313.77406437442,39224.44655658766,39138.6175803562,39056.192974642065,38977.07623565648,38901.16925022958,38828.372942123926,38758.58783884736,38691.714566153074,38627.65427700502,38566.309021352274,38507.58206261235,38451.378146321375,38397.60372597618,38346.16715067649,38296.97881877719,38249.95130138507,38204.99943918178,38299.26116700455,38395.21321391363,38490.41170945612,38584.84186908196,38678.488891689965,38771.33797681911,38863.37434275429,38954.58324554424,39044.94999892515,39134.45999513894,39223.098726631164,39310.85180860799,39397.7050024273,39483.64423979324,39568.655647718544,39652.72557421304,39735.840614651286,39817.98763876655,39899.15381821228,39979.32665462678,40058.494008130714,40136.64412618162,40213.76567270393,40289.84775740771,40364.87996520436,40438.85238562244,40511.755642122735,40583.58092120731,40654.32000121396,40723.965280684424,40792.50980619217,40859.947299513755,40926.27218402673,40991.4796102163,41055.56548017347,41118.52647096826,41180.360056783444,41241.064529696814,41300.639019003356,41359.08350897298,41416.39885494434,41472.586797661046,41527.64997576315,41581.59193635381,41634.41714356904,41686.13098508689,41736.73977652143,41786.250763656244,41834.672122482545,41882.012957016625,41928.28329488246,41973.49408065572,42017.65716697623,42060.78530344677,42102.89212334689,42143.9921282007,42184.10067024822,42223.23393287949,42261.40890910032,42298.64337810762,42334.95588006058,42370.36568914196,42404.89278501083,42438.557822754614,42471.382101454015,42503.387531479224,42534.59660064002,42565.032339315665,42594.71828469283,42623.67844424163,42651.93725856045,42679.519563720496,42706.45055324009,42732.755739817396,42758.46091694796,42783.59212055069,42808.17559072247,42832.23773373752,42855.80508440305,42878.90426887797,42901.56196805575,42923.80488160704,42808.438941493194
I,26.0,29.518552025445164,33.5020272908833,38.008645719189964,43.10300710748493,48.85653130891914,55.34785065908986,62.663125038084075,70.89624260398217,80.14886113293322,90.53023637902339,102.15677546788045,115.15124588163943,129.6415652250493,145.7590951779311,163.63636665942823,183.4041743060963,205.18799898103993,229.1037489733797,255.2528548578008,283.7168094055137,314.55131034175247,347.780235669028,383.38975175235447,421.3229142244664,461.47516056763027,503.6911007873184,547.7629810127399,593.4311205974165,640.3865087824031,688.275601251729,736.7071948307004,785.261098757729,833.498182623362,880.9712806761042,927.2363806037839,971.8635257520059,1014.4469093613698,1054.613728107744,1092.0314765717726,1126.413489612269,1157.5226624563497,1185.1733878913437,1209.231839086711,1229.6147917952612,1246.287220677084,1259.2589233451574,1268.5804260449534,1274.3384109452736,1276.650881182548,1275.6622500268875,1271.5385081453778,1264.4625905059868,1254.630033843486,1242.2449879949618,1227.516620466246,1210.6559335550069,1191.872997173537,1171.3745879259345,1149.3622156221982,1126.0305118198003,1101.5659507225178,1076.1458704047027,1049.9377614704977,1023.0987905512176,995.7755271892363,968.1038444014008,940.2089653535256,912.2056309457093,884.1983655782126,856.2818208425142,828.5411792908031,801.0526027295068,773.8837116253568,747.0940841860538,720.7357654721749,694.8537785105682,669.4866308157556,644.6668109923786,620.4212711986864,596.7718922102941,573.7359286475665,551.3264326318872,529.5526547284443,508.4204215282137,487.93248963106714,496.26276281775796,504.7842429157675,513.4988068376863,522.4082213441108,531.5141332883444,540.8180596050763,550.3213770627594,560.0253118021329,569.9309286861417,580.0391204893674,590.350596958003,600.8658737743361,611.5852614626497,622.5088542763662,633.6365191091327,644.9678844753394,656.5023296082516,668.238973726488,680.1766655219576,692.3139729245448,704.6491732007722,717.1802434453368,729.9048515257765,742.8203475415453,755.9237558594264,769.2117677874585,782.6807349493723,796.3266634208939,810.1452086881602,824.131671486884,838.2809945787828,852.5877605191572,867.0461904663404,881.6501440800685,896.3931205516285,911.2682608039546,926.2683508946778,941.3858266495158,956.6127795473529,971.9409638719429,987.3618051384115,1002.8664097956971,1018.4455761987949,1034.0898068372233,1049.7893217985795,1065.534073438455,1081.3137622204033,1097.1178536821815,1112.9355964771685,1128.7560414327868,1144.5680615609765,1160.3603729493648,1176.121556455794,1191.8400801233897,1207.5043222284035,1223.1025948687143,1238.6231679971597,1254.054293800812,1269.3842313249686,1284.6012712389866,1299.693760640185,1314.6501277918671,1329.4589066920666,1344.1087613709012,1358.5885098163894,1372.8871474312368,1386.9938699263898,1400.8980955610505,1414.5894866433011,1428.057970210456,1441.2937578136823,1454.2873643372618,1467.0296257890425,1479.5117160050843,1491.7251622181916,1503.6618594468694,1515.314083668192,1526.6745037450694,1537.7361920853702,1548.4926340172867,1558.9377358721044,1569.0658317721795
IH,0.0,1.654934061287471,2.5999701042469288,3.26528762018933,3.8420270014455546,4.417582384080873,5.034578460209241,5.7165923957692435,6.47938124790901,7.335786668983015,8.297874579156813,9.377856523568447,10.588462692156362,11.943054099949517,13.455594432458724,15.140529186198318,17.012588212414848,19.086514742628843,21.376719609673117,23.89685950921454,26.65934102437599,29.674756981202165,32.95126804048437,36.4939497709686,40.3041331328415,44.37877345862951,48.70988860716291,53.28410988236229,58.08238856906348,63.07989588900756,68.24614469142247,73.54534778217842,78.93701163586343,84.37674702141788,89.81726176640748,95.20948739026107,100.50378217314247,105.65114928868476,110.60441007117534,115.3192787622703,119.75529509420339,123.87658340735354,127.65242019593266,131.05760469958705,134.07263837680725,136.68372813531622,138.8826347424591,140.66639189178272,142.03692318795214,143.00058420332962,143.56765519499902,143.75180749417507,143.56956339533116,143.03976592045967,142.18307138070418,141.02147439535668,139.5778720826006,137.87567157764786,135.93844288899734,133.78961736770782,131.45223071170233,128.94870841806932,126.30069088546531,123.52889490867327,120.65300805226579,117.69161229786509,114.66213339209486,111.58081244757645,108.46269654001833,105.32164527827453,102.17035058334807,99.02036718273767,95.88215159766547,92.76510766477315,89.67763688532193,86.62719213011081,83.62033344502504,80.66278489925321,77.75949159552154,74.91467611956672,72.13189384531469,69.4140866339605,66.76363457063931,64.18240547302182,61.67180198336565,59.23280612070277,25.08179748854149,12.464409005627232,7.837455028025097,6.1762719346594235,5.6166637457021835,5.467003079366146,5.470697983607457,5.532558695612165,5.617276537667835,5.711758367637042,5.811152163827295,5.91366228875532,6.018625822922463,6.125798792199365,6.235091279350693,6.346469076822344,6.45991712866897,6.575425897702396,6.692986239228698,6.812587432235825,6.934216383792746,7.057857270849196,7.183491346816692,7.311096812169523,7.440648712072132,7.572118847702084,7.705475696718453,7.840684341582117,7.977706405638574,8.116499997313598,8.257019662924932,8.399216348656442,8.54303737224043,8.688426404873457,8.835323463860005,8.983664916440233,9.133383495214009,9.284408325524264,9.43666496510866,9.590075456270107,9.744558390754149,9.900028987455004,10.056399183002686,10.213577735211636,10.371470339297113,10.52997975669011,10.689005956205069,10.848446267238174,11.008195544598019,11.168146344495636,11.328189111148145,11.488212373380122,11.648102950539958,11.807746166985687,11.967026074336498,12.125825680633117,12.284027185502804,12.44151222038354,12.598162092827213,12.75385803387379,12.908481447467738,13.061914160874423,13.214038675048188,13.364738413905046,13.513897971461512,13.661403355816876,13.80714222897891,13.951004141562393,14.092880761425542,14.23266609535101,14.370256702925204,14.505551901821633,14.638453963750443,14.768868300396457,14.896703638731564,15.021872185153356,15.14428977797001,15.263876027820952,15.380554445693118,15.494252558263167,15.604902010366171,15.712438654460549
IN,1.5896658196675508,3.1472425985742936,4.888505852019728,6.838173548044601,9.024024320964093,11.477225760515744,14.232682987304603,17.32940418523499,20.81087801850007,24.725455703066814,29.126727893228036,34.073883466063336,39.63203375750793,45.87248188993793,52.87291266819907,60.71747433294769,69.49671957799958,79.30737011180943,90.25186724017505,102.43767113359843,115.97627433449809,130.98190134252758,147.56987633247962,165.8546554667653,185.94753869017075,207.9540976083751,231.97137969936406,258.0849727393147,286.36603454907623,316.8684094230384,349.62596152841905,384.65025539879497,421.9287035751389,461.4232818088002,503.06988454040567,546.778360089169,592.4332292250722,639.8950558083894,689.0024069331307,739.5743148172158,791.4131349879717,844.3076856384258,898.0365510624678,952.3714368486081,1007.0804746377117,1061.9313881590067,1116.6944483932562,1171.1451626737169,1225.06665917401,1278.2517436826734,1330.5046192456068,1381.6422708425025,1431.495526633834,1479.9098145133862,1526.7456378821485,1571.8787979473138,1615.2003917055654,1656.6166153628162,1696.0484025341632,1733.4309253979795,1768.712985258839,1801.8563168863843,1832.834828691319,1861.633798395905,1888.2490414485999,1912.6860670912563,1934.9592347633834,1955.0909214556045,1973.1107087246683,1989.0545963657296,2002.9642482066567,2014.886274140367,2024.8715513369477,2032.9745865669204,2039.2529207080288,2043.7665757869586,2046.5775443106957,2047.749320156238,2047.346469899002,2045.4342431571747,2042.078220299961,2037.343995701664,2031.296894611251,2024.0017216399651,2015.5225388400122,2005.9224713486956,1995.2635385987035,1985.329088552289,1976.1161873608332,1967.6220751547708,1959.844155796841,1952.7799862457332,1946.4272655223326,1940.7838232721472,1935.8476079189863,1931.6166744066147,1928.089171526883,1925.2633288347715,1923.1374431528423,1921.70986466981,1920.9789826402764,1920.943210695142,1921.6009717748013,1922.950682699926,1924.990738397443,1927.7194958022121,1931.1352574578646,1935.2362548432998,1940.0206314543973,1945.486425673588,1951.6315534630219,1958.453790920128,1965.9507567373855,1974.1198946110685,1982.958455646577,1992.4634808106855,2002.631783483615,2013.4599321662154,2024.9442333997304,2037.0807149575517,2049.8651093700523,2063.292837844972,2077.358994646901,2092.0583320001483,2107.3852455796487,2123.333760654573,2139.8975189489024,2157.0697662824446,2174.8433410545426,2193.210663631106,2212.1637266935372,2231.6940866056507,2251.79285585179,2272.4506965960645,2293.6578154089284,2315.4039592032823,2337.6784124178585,2360.469995480923,2383.767064582296,2407.5575127763987,2431.8287724335155,2456.5678190507406,2481.7611764282224,2507.3949232103423,2533.4547007854244,2559.925722531518,2586.7927843897537,2614.0402767407954,2641.652197554068,2669.612166773707,2697.903441899679,2726.5089347172284,2755.4112291227975,2784.592599989842,2814.035033013599,2843.7202454698404,2873.6297078190023,2903.7446660838664,2934.0461649261533,2964.5150713450157,2995.1320989184937,3025.877832507505,3056.732753340915,3087.677264399644,3118.69171601761,3149.7564316176026,3180.851733500872,3211.9579686103143
D,0.01,0.01,0.11708965174180844,0.2853319397676588,0.49662646941851285,0.7452414101535803,1.0311001462315201,1.3568842765981284,1.7268010624890064,2.1460773935358,2.6207711339150617,3.1577209252486216,3.7645556098960022,4.449727792104891,5.222554658271498,6.093256975335429,7.072990268440343,8.173863221334285,9.408938542198062,10.7922114543534,12.338560896562491,14.063668629099887,15.983901866771902,18.116155895165782,20.477654436452507,23.08570733832685,25.957427430132796,29.10941102231608,32.55738934613839,36.31586100352544,40.39771794313552,44.81387931094242,49.57294848805302,54.68090854722743,60.140870164429735,65.95288377147618,72.11382461235,78.61735564928044,85.45396929335827,92.61110505646882,100.07333674935006,107.82262002647276,115.83858905289927,124.09888989663592,132.57953790171462,141.25528667487598,150.09999728128872,159.08699763100913,168.18942368643073,177.38053588508987,186.6340059292656,195.92417074964501,205.2262519394119,214.5165402381303,223.7725457044357,232.97311505273638,242.09851825421887,251.1305069369341,260.05234738865073,268.84883109627424,277.5062657734187,286.0124497579628,294.35663252637124,302.5294638905115,310.52293423187905,318.33030790081364,325.94605167498264,333.3657599402047,340.5860780335933,347.60462497824426,354.41991664306755,361.0312901825047,367.4388304495144,373.6432989313953,379.6460656312864,385.4490442077297,391.0546305894416,396.46564520122325,401.68527886847966,406.7170424108327,411.5647198885405,416.23232542767744,420.72406352014474,425.0442926715255,429.1974922526075,433.18823239820006,440.8535825619617,444.0994318316121,445.712457887102,446.72670727214927,447.52598203534893,448.2528375936552,448.9603254824496,449.66829153084313,450.3842630081527,451.1111978682058,451.85035967407254,452.6023840860152,453.3676743898574,454.14654808264424,454.93929108859385,455.7461776956853,456.56747776507916,457.4034592095379,458.2543887076111,459.12053175442844,460.00215245770755,460.8995132308026,461.8128744393981,462.74249402317224,463.6886271007144,464.6515255611951,465.63143764455947,466.6286075114292,467.64327480372793,468.6756741970353,469.726034945719,470.7945804219608,471.8815276498609,472.9870868358782,474.11146089692994,475.25484498753974,476.4174260274805,477.59938223141364,478.8008826420723,480.022086668575,481.2631436314919,482.52419231630586,483.8053605369299,485.1067647109479,486.4285094482419,487.7706871546598,489.1333776523524,490.5166478183797,491.9205512431419,493.3451279101422,494.79040389852344,496.2563911097542,497.7430870197567,499.25047445768234,500.77852141244455,502.3271808680126,503.8963906683617,505.4860734128558,507.09613638271776,508.7264714991153,510.37695531325926,512.0474490287795,513.737798556507,515.4478346016562,517.1773727832662,518.926213785624,520.694143541262,522.4809334449906,524.2863405983044,526.1101080833756,527.9519652657358,529.8116281246353,531.6887996099689,533.5831700245596,535.4944174305043,537.4222080782067,539.366196856652,541.3260277634143,543.3013343928363,545.2917404407752,547.2968602242753,549.3162992145013
R,0.0,0.03208904076080788,0.9223881844496458,2.319955829062361,4.089257582764457,6.190809347909692,8.629416373098922,11.43188286538036,14.637579087886067,18.294625047853863,22.4585321798548,27.1919215704362,32.56470971505761,38.65448717260209,45.546958699358115,53.33637315082239,62.125894655029555,72.0278739504277,83.16397959828025,95.66514737952076,109.67130485529094,125.33082823566974,142.7996914137287,162.24027310711253,183.81979809189613,207.70840276665734,234.07683355230722,263.0938081700753,294.92309331077115,329.7203757381464,367.63002520460947,408.7818643328094,453.28807068899283,501.2403380701387,552.7074168269562,607.7331371398496,666.3349958465068,728.5033588014663,794.2012994558909,863.3650631434432,935.9051179818696,1011.7077293681464,1090.6369770832762,1172.5371226137183,1257.235229340307,1344.5439390980894,1434.264314259693,1526.1886637408516,1620.1032829400183,1715.791050465374,1813.0338376014422,1911.6146990609932,2011.3198251079011,2111.9402452748022,2213.2732824583813,2315.123763113548,2417.304994644843,2519.6395250363707,2621.959702438218,2724.1080540241533,2825.9375041414623,2927.311451769246,3028.1037267507527,3128.19844331287,3227.489768155114,3325.8816189836043,3423.287307865237,3519.629142248346,3614.8379949880245,3708.8528532630157,3801.620354902026,3893.0943193667804,3983.235279476465,4072.0100189073064,4159.39111956163,4245.356522069633,4329.889101958925,4412.976263394931,4494.609551851941,4574.7842866120445,4653.499213599388,4730.756178732318,4806.559821708566,4880.917289921657,4953.837972033697,5025.333250594605,5095.4162729953705,5148.223037892692,5194.525894736653,5238.331254814748,5281.135261803202,5323.502695488577,5365.652764449445,5407.6764430971025,5449.617107311243,5491.50045211629,5533.345592226645,5575.169181024393,5616.986939092204,5658.814221452296,5700.666227939615,5742.558080953872,5784.5048537829425,5826.521580358506,5868.62325788957,5910.824846616601,5953.14126825712,5995.587403722805,6038.178090321065,6080.9281185184755,6123.852228293779,6166.96510509038,6210.281375372405,6253.815601786966,6297.582277935517,6341.595822758106,6385.87057453554,6430.420784515761,6475.260610172154,6520.404108102934,6565.865226582193,6611.657797774719,6657.79552962813,6704.291997457405,6751.160635238345,6798.414726627956,6846.067395731195,6894.131597634891,6942.62010873101,6991.54551685271,7040.920211247832,7090.756372415647,7141.065961833678,7191.860711602406,7243.152114036501,7294.951411231942,7347.269584639027,7400.117344671751,7453.50512038439,7507.44304924635,7561.940967046442,7617.008397957664,7672.654544793395,7728.8882794855635,7785.718133814867,7843.152290422497,7901.198574132091,7959.864443609719,8019.156983388706,8079.08289628497,8139.648496227284,8200.859701525524,8262.722028598504,8325.240586181464,8388.420070031623,8452.264758148556,8516.778506524337,8581.96474543665,8647.826476296159,8714.366269057604,8781.586260202155,8849.488151296702,8918.073208133806,8987.342260454207,9057.295702251875,9127.933492659817,9199.255157412985,9271.259790882988
G,26.0,32.76315190640018,40.430315263673855,49.117728836586366,58.95527666241,70.08772439191148,82.6759628062666,96.89822294139924,112.95121620109877,131.05114012670518,151.43447634551057,174.35849213352952,200.1013418365898,228.9616503599762,261.257449816551,297.3243344850646,337.51270120031313,382.1839551875727,431.70558814403864,486.4450785148204,546.7626246965737,613.0027997105843,685.4853075028251,764.4951201726992,850.2723727561598,943.0024759199516,1042.806964256618,1149.7356170071407,1263.7603605527981,1384.7713850164535,1512.575784799648,1646.8988758357582,1787.3881673261099,1933.619792251279,2085.1070481546362,2241.3105831748726,2401.64969178941,2565.514163089523,2732.276148041632,2901.3015725315036,3071.9607086059964,3243.637615077081,3415.7382594662527,3587.6972273255933,3758.9830062321344,3929.1018969247048,4097.600652202187,4264.067976162646,4428.135034114018,4589.475129599347,4747.802702178534,4902.8717904730265,5054.474091762798,5202.436733970597,5346.6198596009635,5486.914105155533,5623.238044422567,5755.535650267639,5883.773817356297,6007.939977688646,6128.039831885555,6244.095211734513,6356.142083438944,6464.22869615879,6568.413876619408,6668.765467643108,6765.358906277432,6858.27593562559,6947.603443412347,7033.432419643809,7115.8570253579455,7194.9737643435255,7270.880749770432,7343.677057876084,7413.462161152653,7480.335433846938,7544.3957229949865,7605.740978647733,7664.467937387655,7720.6718536786375,7774.4462740238305,7825.882849323519,7875.071181222821,7922.098698614946,7967.050560818228,8010.009584273603,8051.278288642668,8093.300544378321,8136.091136030633,8179.6648647007705,8224.036530849771,8269.22091619274,8315.232764680928,8362.086762578172,8409.797517642526,8458.37953742845,8507.847206729764,8558.214764188604,8609.496278100809,8661.70562145365,8714.856446237303,8768.962157077196,8824.035884240078,8880.090456072496,8937.138370936145,8995.191768710356,9054.26240193759,9114.361606693426,9175.500273267786,9237.688816749283,9300.937147609347,9365.254642387197,9430.650114580774,9497.131785852273,9564.707257659953,9633.383483430358,9703.166741386916,9774.062608152084,9846.07593324066,9919.210814561638,9993.470575044998,10068.85774050796,10145.374018872737,10223.020280844341,10301.796542152862,10381.701947459651,10462.734756021087,10544.892329197126,10628.171119884613,10712.566663947531,10798.073573707821,10884.685533551436,10972.395297694762,11061.194690146604,11151.074606890672,11242.025020302983,11334.034985807868,11427.092650765508,11521.18526557311,11616.29919695114,11712.419943375477,11809.532152606098,11907.619641252975,12006.665416310292,12106.65169858114,12207.559947906326,12309.370890103091,12412.06454551237,12515.620259046731,12620.016731625476,12725.232052878417,12831.243734995767,12938.02874759827,13045.563553499245,13153.82414522859,13262.786082187915,13372.424528306019,13482.714290064572,13593.629854765411,13705.145428912996,13817.234976588412,13929.872257694771,14043.030865957871,14156.68426657049,14270.805833373719,14385.368885474078,14500.346723200935,14615.712663314776
H,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230729.9171823623,230592.69643108413,230455.47567980597,230318.2549285278,230181.03417724965,230043.8134259715,229906.59267469333,229769.37192341516,229632.151172137,229494.93042085884,229357.70966958068,229220.48891830252,229083.26816702436,228946.0474157462,228808.82666446804,228671.60591318988,228534.38516191172,228397.16441063356,228259.9436593554,228122.72290807724,227985.50215679908,227848.28140552092,227711.06065424276,227573.8399029646,227436.61915168643,227299.39840040827,227162.1776491301,227024.95689785195,226887.7361465738,226750.51539529563,226613.29464401747,226476.0738927393,226338.85314146115,226201.632390183,226064.41163890483,225927.19088762667,225789.9701363485,225652.74938507035,225515.5286337922,225378.30788251403,225241.08713123586,225103.8663799577,224966.64562867954,224829.42487740138,224692.20412612322,224554.98337484506,224417.7626235669,224280.54187228874,224143.32112101058,224006.10036973242,223868.87961845426,223731.6588671761,223594.43811589794,223457.21736461978,223319.99661334162,223182.77586206346,223045.5551107853,222908.33435950713,222771.11360822897,222633.8928569508,222496.67210567265,222359.4513543945,222222.23060311633,222085.00985183817,221947.78910056,221810.56834928185,221673.3475980037,221536.12684672553,221398.90609544737,221261.6853441692,221124.46459289105,220987.2438416129,220850.02309033473,220712.80233905656,220575.5815877784,220438.36083650024,220301.14008522208,220163.91933394392,220026.69858266576,219889.4778313876,219752.25708010944,219615.03632883128,219477.81557755312,219477.81557755312
beta,5.202424543384746,5.202424543384757,5.195571390255171,5.187823999619411,5.1790735574793745,5.169200208755327,5.158072553771397,5.145547310514392,5.131469208493767,5.115671192089597,5.097975022864489,5.078192380115445,5.0561265651361555,5.031574914908804,5.004332022442692,4.974193840636171,4.94096271134618,4.904453308932664,4.86449941694356,4.820961369193761,4.773733886888376,4.722753940177215,4.668008168119242,4.609539321142535,4.547451161522726,4.481911285051518,4.4131514201217295,4.341464918862653,4.267201367164492,4.190758483482628,4.112571718850172,4.033102178339782,3.9528236271169828,3.872209402423762,3.791720020945949,3.711792158667586,3.6328295091975016,3.5551958251008324,3.47921024401575,3.4051448216504054,3.3332240535359747,3.263626074098941,3.196485174659214,3.131895275007367,3.069914006690525,3.0105671095872015,2.953852897159933,2.899746602165716,2.848204468013777,2.799167497947364,2.752564813122677,2.708316601113638,2.6663366589065123,2.62653455007745,2.5888174057893547,2.5530914047360906,2.5192629693312334,2.487239715251899,2.45693118969016,2.4282494309450087,2.4011093787606366,2.375429161406626,2.3511302821230036,2.3281377243594186,2.306379992305125,2.285789100575242,2.266300524600123,2.2478531212509743,2.23038902750696,2.2138535435011963,2.198195005047201,2.1833646497148034,2.1693164796679536,2.1560071237708147,2.143395700890251,2.131443685852131,2.120114779127935,2.109374781022141,2.099191470886517,2.08953449169393,2.080375240152485,2.0716867624228383,2.0634436554110867,2.055621973541488,2.048199140862878,2.0411538683065866,2.0381457102794123,2.035425057703011,2.0326119433258323,2.0297057833768473,2.026706046427686,2.0236122562077212,2.0204239944233193,2.017140903571081,2.013762689734318,2.010289125351347,2.0067200519437614,2.0030553827922137,1.9992951055468624,1.9954392847592437,1.9914880643219302,1.9874416698021784,1.983300410655491,1.979064682305003,1.9747349680725506,1.9703118409474056,1.965795965178872,1.9611880976792027,1.9564890892238085,1.9516998854361598,1.9468215275455465,1.9418551529065442,1.9368019952699917,1.9316633847962357,1.9264407478025198,1.9211356062376368,1.915749576878219,1.910284370242471,1.9047417892186307,1.8991237274069368,1.8934321671755439,1.8876691774323964,1.881836911116796,1.8759376024160215,1.8699735637140724,1.8639471822812455,1.857860916714861,1.85171729314305,1.8455189012049833,1.8392683898223579,1.832968462778273,1.8266218741208309,1.8202314234098942,1.8137999508263618,1.8073303321641723,1.8008254737258602,1.7942883071430054,1.7877217841432826,1.781128871285936,1.7745125446875791,1.7678757847600117,1.761221570981486,1.7545528767223548,1.7478726641454392,1.7411838792007168,1.7344894467330316,1.7277922657205511,1.7210952046605987,1.7144010971182884,1.7077127374521348,1.7010328767294638,1.6943642188430774,1.6877094168392084,1.6810710694653515,1.6744517179451104,1.6678538429857672,1.6612798620228368,1.6547321267044874,1.6482129206173368,1.641724457253843,1.6352688782202367,1.6288482516827807,1.622464571049019,1.6161197538796463,1.609815641025676,1.6035539959847334,1.5973365044694965,1.5911647741806383
