state,first release,second release,ratio
India,200636046.39137566,90241059.18100052,0.44977490737117876
Kerala,24826017.97054705,21837306.339780588,0.8796137328865148
Delhi,2230906.216060704,800907.3712084094,0.3590053967497737
Telangana,2225979.657966066,619174.7374217166,0.27815830895214566
Rajesthan,2931466.5914407517,1148479.4915568961,0.3917764217099413
Haryana,1130478.2429653166,519165.1606869036,0.4592438323493075
Jammu and Kashmir,2128688.5369953974,1141324.8669169664,0.5361633921926052
Karnataka,5134695.998938051,2116005.3274829686,0.41209943644581826
Lakshdweep,46349.9431962135,8180.4360364683025,0.17649290317008615
Maharastra,50929046.65139011,19912481.255910285,0.3909847634143132
Punjab,11396383.226536553,4532051.637704217,0.39767455583200334
Tamil Nadu,9112507.959477166,4793702.069852174,0.5260573808187066
Uttar Pradesh,11697016.308013367,177632.6951044659,0.01518615435141128
Andhra Pradesh,5201764.9721817905,2394339.3687779843,0.46029364678768253
Uttarakhand,4435649.566247047,1794407.3246370128,0.40454217535386605
Odisha,9387410.282010388,2319798.864032102,0.24711808628175763
West Bengal,21295819.33359695,11573262.080546627,0.5434523039124532
Puducherry,285279.94542743254,142906.89543826864,0.5009356519055429
Chandigarh,143460.54912726153,58640.5321153554,0.40875719821298284
Chhattisgarh,1950321.9589465256,513643.51657128043,0.2633634483860947
Gujarat,2707285.2091990844,1449736.0802766408,0.5354944042654178
Himachal Pradesh,3224007.8921897667,1707677.1179969097,0.529675228814978
Madhya Pradesh,4579471.616951499,2338694.4626017814,0.5106908958546232
Bihar,8194416.903695345,2174104.9577539223,0.26531539501895374
Manipur,212920.21535659718,82047.23838664836,0.38534264230963816
Mizoram,313979.7999725707,426390.5512602695,1.3580190550395885
Goa,261511.47177694115,130828.99936953315,0.5002801539854629
Andaman and Nicobar,32529.325643878008,28772.445880246094,0.8845079112687061
Assam,10373629.672662357,3823500.907124519,0.36857888972078856
Jharkhand,2248008.1981729195,749249.4088363673,0.33329478488793934
Arunachal Pradesh,534267.9993625972,152943.61193553198,0.2862675887719267
Tripura,133897.88345024863,58777.4144766768,0.43897194609888107
Nagaland,211993.45285632595,125986.83697986642,0.594295886417074
Meghalaya,774164.1066677297,543140.5393434216,0.7015832104142448
Sikkim,231714.09149035695,37318.57242185705,0.16105439329057855
Daman and Diu,15529.50489961756,1532.5250856407438,0.09868473564012237
Ladakh,97475.13596374205,6947.539489998915,0.07127499152792359
