state,state full,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,c1,E_initial,I_initial,h1,Hiding_init1,reopen1,h2,Hiding_init2,reopen2,metric1,metric2,r1,r2
kl,Kerala,1.0964690293698272,0.2332065881771565,0.8371384688261243,0.04,0.04,0.1980003639329591,0.0958103067057763,0.001,0.1991196433580465,0.2024368555109329,0.8900000000000001,0.0244279797900245,0.0216381497804226,0.0442554954092689,2.671066172404029,2021-03-22,0.0335167666971795,3.2291202195817177,2021-06-26,0.0448549867910086,0.1702341852550129,0.9821270203393472,0.8702374601671914
dl,Delhi,11.212357020242592,0.2003990058008334,0.5841167293917628,0.0453149698209309,0.0744173788826287,0.1872717225493834,0.4861815352609996,0.0239055877383496,0.0210734345536761,0.0283858805044239,0.81,0.0017427033868604,0.0005535105719502,0.0333333333333333,3.681462071446463,2021-03-21,0.0333333333333333,1.6806701483286546,2021-06-28,0.0048822880143602,0.0057366128311571,0.9996587866398544,0.9996476362366667
tg,Telangana,26.55056409902393,0.2986346592023762,0.7715756310600373,0.2,0.199999883325301,0.0470532273607521,0.4444777400103497,0.0056023868023334,0.057428405390014,0.0095923737210162,0.9700000000000002,0.0012014304963695,0.0123767425632558,0.0333858514013685,5.629510612017147,2021-03-20,0.0333333333333333,1.844053461018994,2021-07-06,0.0051506244697667,0.0106734197553874,0.999563420230802,0.9983659011192068
rj,Rajesthan,17.461760117870686,0.2999995166291216,0.598675637637989,0.1612401956076209,0.0479593616984424,0.1999967882375368,0.3863970966005459,0.0048288112399435,0.0121034240528367,0.0108928624285012,0.8,0.0029358984909821,0.0006462708538105,0.071427306088981,2.92595550899881,2021-03-16,0.0392642154829467,1.538096801107985,2021-07-19,0.0169215403684993,0.0069839877574818,0.997529009949983,0.9996495117894224
hr,Haryana,22.54614004435525,0.2627184821203701,0.1018455298757527,0.1905938889234797,0.0462803466443617,0.2,0.1355332796969194,0.0021021704082156,0.1459062211322334,0.0140302175558568,0.8600000000000001,0.0,0.0023384916417444,0.0333333333333333,2.178299306988237,2021-03-19,0.0333333333333333,1.4596143540944262,2021-07-14,0.0159338150757005,0.0256194135739763,0.997685543189742,0.9952917481051718
jk,Jammu and Kashmir,3.84319836178104,0.2208488436544255,0.8087467920610792,0.0446308563453606,0.1856554263089052,0.1832969971869316,0.3691295902224785,0.027018698620981,0.0620787956737012,0.0693957519653692,0.8200000000000001,0.0022838331600029,0.0,0.0333414953610837,1.5005741495030305,2021-03-20,0.0333333333333333,1.3407163184266837,2021-07-12,0.0058577329542374,0.0302547258371363,0.999674199911919,0.9874862392218172
ka,Karnataka,10.754312453260662,0.2000015313037243,0.1000995982523482,0.1993800907492789,0.0400000625631381,0.1040938808361347,0.0990406174156688,0.0016201778990431,0.1986837555068968,0.0321044374457322,0.8900000000000001,0.0002819725624611,0.0005851563565105,0.0333390801857457,1.61783271920946,2021-03-21,0.0375004110243084,1.0788073882956424,2021-07-01,0.005298314902825,0.032970660240707,0.9997551484646992,0.9876513387336454
la,Lakshdweep,1.0000092816089057,0.2,0.3182054766334676,0.1997619093769497,0.1995314065269395,0.04,0.0498176152563823,0.001,0.0341127207317724,0.1895445328460896,0.9400000000000002,0.0011723600329783,0.00313546161146,0.0665548204683128,2.7928010718299974,2021-03-15,0.0714285714285714,0.6694024723138907,2021-09-02,0.0672336052475703,0.1356884965398674,0.9371760752771584,0.4473736294478233
mh,Maharastra,1.0805065355717929,0.2639399154551103,0.6592899003217964,0.079243003752945,0.1422137134873445,0.1976838785583949,0.020279434148541,0.0013713816110943,0.0151004980004572,0.3358728844664819,0.8800000000000001,2.824720048646277e-05,0.000699193554106,0.0685922722102313,0.349346465044107,2021-03-17,0.0714285714285714,0.52757390839921,2021-06-18,0.007266141522151,0.0240458606102092,0.999361097689849,0.992958975183578
pb,Punjab,1.3977124000306536,0.3,0.8643358502870503,0.1812634886368954,0.1914929309373156,0.1910768076276533,0.1208843728985063,0.0067219055583728,0.1009850571330099,0.2410029498846472,0.8700000000000001,3.285587857437116e-07,0.0011478877593955,0.0333333333333333,0.7044567023625017,2021-03-21,0.0360387951337825,0.677819062046889,2021-08-01,0.032604776875172,0.0371239143718799,0.9904801898230288,0.9855192683770698
