state,ratio,H1,H2,G30,G45,G60,D30,D45,D60
Kerala,0.410704757629223,15481059.450236341,6358144.769352908,3577544.3699695,2029639.3553646402,1325724.591080729,20030.242063703656,11828.737064386016,8184.814530653159
Delhi,0.0,2058645.160559279,0.0,694789.5482301374,231221.5118517687,19274.17088286765,12228.583979833093,3521.293838062469,286.34130297721276
Telangana,0.0,1481944.335544654,0.0,301461.4846911717,123050.4707491966,65347.79835995124,1878.7047436468638,770.1569111910276,415.8509022886019
Rajesthan,0.0,7763483.74192679,0.0,509178.74910472124,13308.355699120788,1010.8803000638727,4683.714912472309,112.27008562498304,11.601972959209888
Haryana,0.0,980804.1896289476,0.0,443471.26218247646,8870.801574263256,536.1690339302877,5037.198447317078,89.82694394601094,9.480753211873889
Jammu and Kashmir,0.0,649296.5232374582,0.0,187606.38794602902,26681.556112195016,4782.619481494476,2436.149328422741,332.4113036630479,67.0864612655414
Karnataka,0.159018227123719,4480718.566198887,712515.9226372791,2746089.008591313,1039385.9943049848,295190.25830006134,36839.03364365411,13062.875135845868,3806.77649497339
Lakshdweep,0.0,103555.76104225223,0.0,9461.8092577506,4604.990922937559,3104.974680350315,94.74953817575914,51.949252899266355,38.72201854226671
Maharastra,0.27906890073715884,32479230.20721971,9063943.070717929,2457452.153250236,1099164.2155438438,682033.8192168437,45612.69552714977,23995.5465846711,17615.681191820535
Punjab,0.0,1502889.5634383739,0.0,639597.029012865,91272.46153295168,9826.609100963804,16035.983140406028,2045.6903219253836,269.2410820274017
Tamil Nadu,0.0,8900319.680965412,0.0,355313.158745436,140017.4999813903,96122.41683820076,7846.015979042109,4384.980115802355,3647.4233705754305
Uttar Pradesh,0.0,18312479.752151467,0.0,2070.831485709641,461.6771181130316,304.9443328452762,31.15625584528607,12.993334723447333,11.139030077807547
Andhra Pradesh,0.1294569655949246,13018163.770590788,1685291.9793584656,587797.7887186692,141522.73873554496,63244.54584741243,3166.9551919857913,791.4187436173179,379.7759694989163
Uttarakhand,0.0,3094634.9691214883,0.0,209723.01339794177,6842.119533559715,521.5739182422985,4559.855356743503,136.2416610875889,13.974596932048371
Odisha,0.0,3017251.4803675483,0.0,443037.4565980752,207711.6631406151,129252.82145419403,2004.9613400343924,1097.4825012836982,802.2162994287937
West Bengal,0.0,16779247.432865873,0.0,233949.12750096386,43087.8965994867,21885.431228081463,1788.7464915910532,374.4481002695029,212.65420464423005
Puducherry,0.0,764120.4012851357,0.0,95879.32811808455,11952.447896122874,1933.484162703855,1440.0227174778684,172.105061321643,31.821512841054073
Chandigarh,0.0,102144.22161169707,0.0,47412.73673785905,3464.950463843612,240.00948871195578,554.9868224773967,34.24233716985259,4.2606251583828225
Chhattisgarh,0.0,3745562.0060601267,0.0,569806.4027122264,26573.01687719638,2059.78872959828,7994.515041359027,342.57658253067166,30.604807097208322
Gujarat,0.0,2356195.458530256,0.0,513730.39218791074,19183.010649051168,947.8774561427999,5227.248732980075,178.1124187104706,10.043427402792076
Himachal Pradesh,0.0,336006.15979902924,0.0,147255.21534205764,8007.674995016918,746.1636310438626,2507.2072513923877,128.03837998992776,14.03909699608539
