state,ratio,H1,H2,G30,G45,G60,D30,D45,D60
Madhya Pradesh,0.0,1976157.7204770644,0.0,460862.6329468506,29240.319677417632,2278.601929316763,3853.985589455513,213.8101961453176,21.715187902376783
Bihar,0.0,9360181.490450628,0.0,1248.3915933496319,324.63702844432555,223.18604586902075,3750.1968586211206,3734.830598774928,3732.7029007224282
Manipur,0.909095214584684,820917.9686514896,746292.5968676489,120503.06085466048,100403.83125382698,90978.96442648476,2979.611996066632,2507.60679425318,2286.3414709868703
Mizoram,0.8141993975381616,182885.04960761772,148904.89720925916,22133.045569010777,18115.61114719793,16236.574566578165,794.7576828270385,725.2588486743828,692.9556138151079
Goa,0.3443252973864872,196448.85121898458,67642.30911721065,176671.6718174622,104580.18783925154,66545.15790347019,3544.17765005684,2103.107761074682,1339.3820374143056
Andaman and Nicobar,0.8587514932137235,271571.44531881413,233212.3841817407,6158.182308839597,4765.979837067301,4132.702462916087,323.9869471762979,257.3723571501449,227.1976025564634
Assam,0.30811613833965423,2144443.1112217386,660737.5303187157,185282.3378504254,125534.50094024686,100655.96805317688,2529.0914764418303,1748.343692247835,1423.5576184313322
Jharkhand,0.0,1416087.6236353763,0.0,181945.1176602948,2184.646217775764,220.67538726853672,3229.1871346694397,38.26426510252895,4.486483190859872
Arunachal Pradesh,0.7233940166076275,119466.33272050908,86421.2302760723,27723.14130215963,22612.654744217645,20201.9531353001,189.42722955906478,156.74117169890158,141.32835767615282
Tripura,0.5630959550001121,84580.32824727288,47626.84070862108,70894.31594842121,45201.616009306,33499.30630400524,886.2701378249084,587.8750804272507,452.3503515831386
Nagaland,0.9090921647605581,49752.907731506464,45229.97859276752,41195.642215181586,29891.366768161934,24706.001873999914,1744.3321615819514,1291.535894248439,1083.9270124009413
Meghalaya,0.586823053251536,342070.62598743924,200734.92916961332,68503.17469846483,40641.99801029088,28102.05025749356,1657.3780832072225,1001.0195020528231,705.7135702499957
Sikkim,0.0,154203.71324039873,0.0,13161.606614587847,8557.735211400057,6797.890248346077,199.55119055163232,132.2934904311412,106.57747128657707
Daman and Diu,0.0,14619.331082802402,0.0,1562.2500378304103,574.8319203671072,333.6378534752148,0.5161326882867581,0.1942585742113776,0.11540107586671233
Ladakh,0.0,44586.08526662205,0.0,8916.396744333813,1577.0595804673922,606.9382189215212,62.54218378224654,15.555381326088451,9.488005385605518
India,0.1297448285368751,154585725.41723976,20056698.438508227,16159388.221943006,5810231.385831284,3119610.556191056,207743.73896022033,77977.20597090351,48091.38873604998
