series,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,18759.03143636432,18757.210253571582,18754.885072073306,18751.916576013722,18748.12704179487,18743.289813841933,18737.1159371382,18729.237204023673,18719.184695163098,18706.36168516265,18690.00954379217,18669.16500262721,18642.60689475164,18608.79025329141,18565.765548515406,18511.08098299944,18441.666363349792,18353.698461171527,18242.450470544874,18102.132882402962,17925.740770543718,17704.934202165405,17429.99516854987,17089.926121318284,16672.779674382655,16166.329570860828,15559.195613985868,14842.496857161317,14011.998885515191,13070.521546833646,12030.09998462593,10913.13708306623,9751.729516757794,8584.688414009657,7452.546390132695,6391.756386779936,5429.797003047107,4582.592360883815,3854.664195561893,3241.3800357249565,2732.1300945123166,2313.375790899015
I,5.0,6.3843323828612295,8.151714237489259,10.407994355909029,13.288181254690357,16.964419722105426,21.656113684061964,27.642750370749102,35.28010986541968,45.020693774840375,57.43937343964146,73.26543183858739,93.42233292848894,119.07665750246129,151.6976249511666,193.12835653973866,245.66933584681433,312.17308801339976,396.14649034993295,501.8527271558647,634.3979251041277,799.7770947613255,1004.8395380458384,1257.1156724666457,1564.4278200468145,1934.193736687189,2372.3370282322667,2881.7645044278484,3460.482475089482,4099.617176249425,4781.854849702134,5481.02670105083,6163.55651518132,6792.087179940551,7330.803990124796,7751.101047917732,8035.846097697521,8180.9582075665385,8194.115383659364,8091.479010713415,7893.775767461073,7622.850235179073
R,0.0,0.43685040987497437,0.9946500535211744,1.7068659946873437,2.6162133147583995,3.7772028002792863,5.259385542057857,7.151481969894159,9.566631335800828,12.649057426829371,16.582519132508317,21.601001898522135,28.002208684192915,36.16452557045026,46.56826289774869,59.82209682514414,76.69573716771714,98.15988717939585,125.43447546951388,160.04582680549404,203.89274071647668,259.32013943759097,329.19672976861125,416.9896425793921,526.8239419348538,663.5081288163065,832.4987941461878,1039.7700747751567,1291.5500757596483,1593.8927132812496,1952.076602036259,2369.867652247261,2848.7454044252077,3387.2558424141134,3980.6810561068314,4621.1740016666545,5298.388335619696,6000.4808679139705,6715.251857143066,7431.172389925951,8138.125574390933,8827.805410286235
G,5.0,6.821182792736204,9.146364291010432,12.114860350596372,15.904394569448757,20.74162252238471,26.91549922611982,34.79423234064326,44.84674120122051,57.66975120166975,74.02189257214977,94.86643373710952,121.42454161268185,155.24118307291155,198.2658878489153,252.95045336488283,322.3650730145315,410.33297519279563,521.5809658194469,661.8985539613589,838.2906658206045,1059.0972341989168,1334.0362678144497,1674.105315046038,2091.2517619816686,2597.7018655034954,3204.8358223784544,3921.534579203005,4752.03255084913,5693.509889530675,6733.931451738393,7850.89435329809,9012.301919606527,10179.343022354664,11311.485046231626,12372.275049584385,13334.234433317215,14181.439075480506,14909.367240802429,15522.651400639365,16031.901341852004,16450.655645465307
