series,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,2456.301594415798,2453.668179894326,2450.178219490317,2445.5567020763483,2439.443035263524,2431.366464775846,2420.715991215415,2406.7047794489963,2388.3302260307755,2364.3330478697976,2333.162518920849,2292.9608787117304,2241.5882166225356,2176.718917582378,2096.048541552765,1997.6477352871934,1880.4739103628524,1744.9871552174625,1593.71312202189,1431.4908988349555,1265.1302597171623,1102.379867446047,950.4590558033465,814.710344447397,697.9078634246791,600.3833199071398,520.7112177355575,456.53614980367456,405.24134114227667,364.3590150509243,331.75866554916337,305.69281034944544
I,5.0,6.633414521471913,8.796692021186471,11.658871030918144,15.440763637558966,20.42918139772514,26.993818678610726,35.606266709307306,46.85956678566683,61.484831589511366,80.3583942205577,104.48835558556485,134.96334655764687,172.83997628627532,218.9423570586329,273.55469191247806,336.0175784543235,404.3008179088488,474.7146875226515,541.9939732050558,599.9558176818377,642.7150464165856,666.0928487759691,668.6229903767247,651.7008733240978,618.8852421768175,574.7802959130363,523.9993046623119,470.4942523912474,417.2777280043503,366.42253190524116,319.20388072391086
R,0.0,1.0,2.3266829042943824,4.086021308531677,6.417795514715307,9.5059482422271,13.59178452177213,18.990548257494275,26.111801599355736,35.4837149564891,47.78068127439138,63.852360118502915,84.7500312356159,111.74270054714526,146.31069580440032,190.09916721612692,244.81010559862253,312.0136212894872,392.873784871257,487.8167223757873,596.2155170167985,716.206680553166,844.7496898364832,977.968259591677,1111.692857667022,1242.0330323318417,1365.8100807672051,1480.7661399498124,1585.566000882275,1679.6648513605244,1763.1203969613944,1836.4049033424426
G,5.0,7.633414521471913,11.123374925480855,15.744892339449823,21.858559152274275,29.935129639952244,40.585603200382856,54.59681496680159,72.97136838502257,96.96854654600048,128.1390754949491,168.3407157040678,219.7133777932628,284.58267683342063,365.2530528630333,463.65385912860506,580.8276840529461,716.3144391983361,867.5884723939087,1029.8106955808432,1196.1713346986364,1358.9217269697517,1510.8425386124522,1646.5912499684018,1763.3937309911198,1860.9182745086591,1940.5903766802414,2004.7654446121244,2056.0602532735224,2096.9425793648747,2129.5429288666355,2155.6087840663536
