state,ratio,H1,H2,G30,G45,G60,D30,D45,D60,G_impr_45,G_impr_60,D_impr_45,D_impr_60
Kerala,0.8423204893406194,4746498.669988091,3998073.0823589684,2216244.8956813896,1126044.6947904918,787209.7179711387,14578.001488647351,9156.485746379705,7515.33259989736,0.49191323712252166,0.6448002116078831,0.3718970495708662,0.48447442499234616
Delhi,0.3361786520192252,2169847.251435615,729456.324075246,814780.6500532927,313127.0655792558,78855.94071600726,13931.946465638495,4597.42995939613,1092.4122621767965,0.6156915783913438,0.9032181965651129,0.670008065941457,0.921589401389741
Telangana,0.19722885017229408,3113406.5130049586,614053.5866788995,153045.372516791,51022.16200353601,27352.29221954546,921.2328692376291,312.45317202906836,172.21735815737293,0.666620681406501,0.8212798481277532,0.660831498242523,0.8130577360967458
Rajesthan,0.2809630750128069,5054507.16208355,1420129.8749332502,231131.18543148285,7462.422611240065,1145.291567628039,1595.9747314579563,56.02608046786918,10.341692994623372,0.9677134758024584,0.9950448418914567,0.9648953837654508,0.9935201398927062
Haryana,0.3763362840823069,5385356.486915899,2026705.0487444762,441876.94008638244,47078.756363151595,7554.132095418405,4563.333357042777,422.1477571966316,76.93699397216733,0.893457313355279,0.9829044437260255,0.90749136121184,0.9831401767189707
Jammu and Kashmir,0.4452190958704291,4630924.79264164,2061776.1492238652,289916.0352135338,96083.12143296347,36101.49221882265,3750.5965197466285,1198.1122795479987,457.89353009122533,0.6685829351860626,0.8754760419090563,0.6805542069801374,0.8779144790220841
Karnataka,0.37457775234614343,25931723.090463016,9713446.549688226,1852040.4538988397,483411.2870303462,176702.93878336158,22056.175574472058,5577.411729804699,2277.6881626422037,0.7389844881559209,0.9045901300852399,0.7471269798804092,0.8967324069872561
Lakshdweep,0.0,101337.93871953533,0.0,1736.7895942777723,778.4738501988722,550.9315597326568,16.651826818755808,9.460339392346725,7.634316777411243,0.5517742317412989,0.682787390281575,0.43187378205909166,0.5415327783248189
Maharastra,0.36887705496990203,23041684.817716226,8499548.837103866,486459.6980430586,232057.30732193682,169483.33982571028,9895.275205095153,6702.577694187639,5839.665534103784,0.5229670448436687,0.6515983944661565,0.3226486828040487,0.40985314576224263
Punjab,0.28937732233904345,9927623.479497237,2872829.0996871283,248955.14979872236,19119.316703563672,4827.57391898043,4959.083251611504,408.15487642810695,118.21603617979054,0.923201762570401,0.9806086601426663,0.9176954981960682,0.9761617157482938
Tamil Nadu,0.4375750601230509,18636383.007729046,8154816.415083243,1060953.923185757,401934.7125148205,238256.76152738882,15906.221564400272,6874.535411979363,4624.935815066419,0.6211572399789809,0.7754315655745272,0.5678083959697087,0.7092373071542337
Uttar Pradesh,0.3047644354352173,14173164.62118299,4319476.51410523,740345.2085300765,51245.262295986526,6956.22518681502,6804.617415717152,416.083227918145,67.72698574672177,0.9307819356354966,0.9906040788720355,0.93885281089322,0.9900469076203626
Andhra Pradesh,0.38828166231272826,14222776.015878236,5522443.1141468035,123957.84847581945,53463.45675890264,38353.53573602089,672.1390277896662,311.2870649031338,232.3716916559424,0.5686964769372244,0.6905921149195927,0.5368710162140065,0.6542803169455904
Uttarakhand,0.37199038177879196,3110192.503731223,1156961.6968685144,220937.86491939798,29160.84007356281,5595.617456166947,4555.598130580591,547.7525797912376,115.115439667994,0.8680133888131797,0.974673343303067,0.8797627525320305,0.9747309933035461
Odisha,0.23531452873663605,9194057.499963932,2163495.307781547,40141.29147304152,21485.78421751829,16640.4557844894,167.51070410611737,111.39637752214821,95.98442985674683,0.46474606498528026,0.5854529046315075,0.334989497437853,0.4269952456534296
West Bengal,0.4433893270531556,7622722.140964184,3379833.640395299,1100502.2397809282,374478.2542679438,161526.61002794025,8386.494470464255,2762.0656828069914,1233.3894677860008,0.659720588717303,0.8532246421778346,0.6706531325413143,0.8529314635417957
Puducherry,0.47514160174215025,255085.4381208538,121201.70364984062,129179.66560265342,51802.398557113265,23641.76336300421,1967.9838349959912,771.1514064438181,356.1939546627384,0.5989895289212669,0.8169854113438841,0.6081515545348019,0.8190056501843858
Chandigarh,0.6773068133563829,93007.5958033317,62994.67833149309,87865.66405349091,58415.15117220539,43775.17510098963,1080.7996269840828,717.4517474391236,536.6625959600373,0.33517658118826277,0.5017942950463544,0.33618431249727876,0.5034578264450671
Chhattisgarh,0.2375936344896401,5185895.654712282,1232135.796687123,2166.662754912046,779.1363895182731,556.6327619085787,31.615806937479647,12.653346010894893,9.518884012621129,0.6403979402184805,0.7430921075988244,0.5997778568196307,0.6989200993210531
Gujarat,0.3508667481635739,7340344.838077254,2575482.923735441,491531.03645186126,67919.86475325585,11255.587674228358,4807.774659659597,607.706834614617,105.11738693221741,0.8618197840699167,0.9771009624224803,0.8735991435468724,0.9781359580318475
