county,NAICS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
TX-Dallas,7211,4696,4125,4754,6587,8737,6949,4176,4346,4590,4792,5428,6296,4508,4364,4360,4900,4859,5649,6941,4946,4148,4683,4986,5012,6563,7186,4942,4494,4620,4853
TX-Dallas,7224,1962,2116,2488,3408,3901,2970,1823,2016,2185,2369,3047,3758,2395,2044,2023,2145,2411,3067,3912,2498,1775,1938,2444,2578,3509,4305,2812,2114,2141,2274
TX-Dallas,7225,49090,51422,55573,67678,65087,51704,43739,48879,49756,52831,63575,66388,48719,46942,47211,51739,52533,60332,63568,46137,40908,46446,51770,54623,67501,66688,50234,48427,50478,54711
TX-Dallas,7139,11245,11750,13477,13402,13133,11662,10305,11522,9221,8729,9364,9403,7215,7661,7681,8457,7985,7749,8605,5718,6032,7140,8128,7902,8257,8232,5903,7158,7724,8037
TX-Dallas,7131,322,291,370,420,644,495,506,404,332,345,372,798,467,343,428,343,304,353,586,358,277,402,356,344,345,681,443,297,428,306
TX-Dallas,8131,3711,3655,3711,3772,3389,5410,2409,3508,3983,3688,3854,3856,5816,3448,3435,4150,3551,3448,3517,5624,2969,3469,4126,3682,3789,3686,6055,3362,3593,4210
TX-Dallas,8121,1676,1738,2077,2126,1831,1276,1154,1697,1915,1887,1939,1847,1249,1673,1657,1858,1849,1901,1695,1167,1436,1599,1877,1958,2113,1792,1175,1554,1699,1908
TX-Harris,7211,8113,7989,7990,9035,10084,8207,6413,7276,7475,7509,8136,8770,6434,6676,6461,6922,6452,6779,7893,5646,5465,5265,6071,6488,7480,7663,5532,6119,6223,6101
TX-Harris,7224,4262,4491,4922,5959,6047,4713,3447,4028,4387,4991,5839,6411,4222,3811,3863,4390,4711,5733,6503,3739,3115,2982,4261,4905,6603,6810,4958,3820,4085,4710
TX-Harris,7225,96188,98149,104794,121465,119387,93836,83821,88809,92295,96059,118118,124710,90925,86125,86907,95116,95329,111503,115690,78645,68200,66999,90615,99468,125572,123723,94305,86948,92589,97881
TX-Harris,7139,17953,17347,17829,16994,15475,11536,12066,16742,18203,17681,18009,17341,11962,17039,16764,18075,17578,16679,17279,10249,13093,11206,17073,18217,19108,18188,13155,17258,17869,18194
TX-Harris,7131,423,409,425,560,979,805,618,417,423,458,510,1057,795,410,402,410,425,514,920,505,291,271,402,398,509,934,650,370,422,402
TX-Harris,8131,4938,5202,5167,5014,4341,7153,2785,5191,6104,5307,5293,4824,8196,4850,4908,5898,5047,4692,4327,7447,3973,3326,5615,5255,5255,4876,8846,4790,4942,5905
