state,ratio,H1,H2,G30,G45,G60,D30,D45,D60,G_impr_45,G_impr_60,D_impr_45,D_impr_60
Uttar Pradesh,0.4297364402980768,14810747.903058784,6364718.082012687,420734.2576323552,218279.77865978517,95716.57438878482,2832.8568497231063,1299.0525770242275,531.1138790839468,0.48119323611028186,0.7725011152468987,0.5414337377650404,0.8125165134497143
Andhra Pradesh,0.4384740692498411,5375879.757563014,2357183.873096504,516412.81177539215,274794.1794046133,127512.18862737925,2231.0976534751353,1113.8374657544719,501.3009554113796,0.4678788497522174,0.7530808962910873,0.5007670488920242,0.7753119615223663
Uttarakhand,0.4526312551965437,593450.9805073745,268614.4622046725,204163.73670575971,138292.53476081148,72635.18262143614,4048.4650829317125,2450.4725507163967,1150.7639922593426,0.32263908864423685,0.6442307346376708,0.394715651359434,0.715753015356128
Odisha,0.4567928574148267,12395740.275292108,5662285.620122733,321553.93302228674,220777.37992011732,140567.4464376683,928.1371483421772,609.5844450405602,397.0562344325426,0.31340482187535446,0.5628495502559266,0.3432172754539675,0.5722009024832615
West Bengal,0.5925753540092107,4113488.0564585873,2437551.6412686077,1844147.329974307,1685095.5146339873,1475423.4933995374,14644.33248157251,12942.735473588848,10708.64562819598,0.08624680509801541,0.19994272181057615,0.11619491773522916,0.2687515363591305
Puducherry,0.481187081629108,275260.45652281697,132451.77576211025,86407.30785013715,66030.54329914559,42574.416697659675,1275.5677294769434,936.3823780410071,572.6536149531958,0.23582223608138042,0.5072822223381873,0.2659093230392572,0.5510598130386877
Chandigarh,0.38541857718153544,116901.83514376775,45056.138971021384,30487.782138858907,18685.51141096682,8735.08787572266,296.72232754666675,157.79911838286898,65.93912213299393,0.3871147686026406,0.7134889039833058,0.4681926375828551,0.7777749902469897
Chhattisgarh,0.35768854726705224,2209899.662131594,790455.7997537995,23288.994719570386,8996.201312132645,3472.6071177351987,271.2082955961614,104.40146697210002,40.42446937184104,0.6137144852983762,0.8508906391387916,0.6150506136156046,0.8509467813918403
Gujarat,0.6035117658634324,1469020.9718801186,886571.440829786,914347.3183135834,860158.4985389017,782686.0787543418,9039.966458494195,8412.613173297692,7482.612281177973,0.05926502838617964,0.1439947784853537,0.06939774478997374,0.17227433137795434
Himachal Pradesh,0.5843085535677355,336645.14729199006,196704.63907977997,189615.30088028545,177105.95870321256,160329.66336002864,3280.875770109089,3031.605212167642,2675.0602870518196,0.06597221911416695,0.1544476494475856,0.07597683527443,0.1846505401321934
Madhya Pradesh,0.5221087918722139,1419463.1962580422,741114.2145053578,596346.6479756311,456954.297587452,291351.66635487345,3915.048139398239,2552.2354048897414,1370.368293279189,0.2337438314801682,0.5114390810380154,0.3480960350893586,0.6499740885715339
Bihar,0.2987986475328247,6587472.0775299445,1968327.7474261944,5347.092195206555,1875.127915803576,661.2392293738667,1531.563125641318,1515.402776560164,1509.8187250543233,0.6493181999957753,0.8763366694954988,0.010551539672507548,0.01419752161889487
Manipur,0.32686930317094637,1273384.0944234189,416230.1716131495,8302.057135845884,6378.35109579358,4977.855383277216,159.16525762102037,122.87756231834283,96.60005889674767,0.23171438217960427,0.4004069952994813,0.22798753851848863,0.39308326238658975
Mizoram,1.6345742738170044,318067.3658545373,519904.73356656777,28843.16821315352,25595.45688335027,22918.48466777266,614.8084683306806,580.1636507722865,553.2493856369465,0.11259898031320204,0.20541028993753163,0.05635058614670885,0.10012725241224885
Goa,0.47671008191343944,229881.88639441397,109587.01289349707,106446.36204968693,89863.17146232686,68303.96865162815,2072.520918007505,1678.1625733815176,1195.5805375698314,0.15578917182363994,0.35832500673207324,0.19027954854376972,0.42312739660102094
Andaman and Nicobar,0.7546568693716426,11074.889656499392,8357.741556810217,3670.391979438892,3264.908230481108,2820.815263602649,125.22817135144805,105.5082315293235,85.65408228139773,0.11047423578442206,0.2314675709285201,0.15747207365011584,0.31601586642183854
Assam,0.46535005606592594,5078987.80235999,2363507.2585863755,117285.82759671938,81409.67450832261,53396.04629189777,1398.3177965493478,954.3589628195714,619.1157111090106,0.30588651522121557,0.5447357333274995,0.31749494630286557,0.5572424861953322
Jharkhand,0.5906938750904089,759733.7261269137,448770.0587227821,314524.0284339539,295079.5995449608,267232.1766606538,5825.328290024496,5403.736409652369,4784.976951995075,0.0618217596468188,0.1503600599571705,0.07237220966483149,0.1785910228975346
Arunachal Pradesh,0.524541304106489,617051.564866363,323669.0325359518,120.77417473492096,59.78381012460159,32.159614803145814,0.6648940895707369,0.3378688868548352,0.19004802691063105,0.5049950847868179,0.7337210966356775,0.4918455553230032,0.7141679706713469
Tripura,0.12085967506535426,216920.44300590036,26216.934256725817,3175.3558177109953,2152.766347609606,1481.169056395578,45.53098135076425,32.599980008188595,24.360735764450055,0.32203933316630295,0.5335423362212989,0.28400445057305146,0.46496352501655114
Nagaland,0.4029597733384657,57772.15099631338,23279.852870750055,3748.9524823680404,2639.7529511609246,1833.7177681630055,128.23917962944688,89.77744069411892,62.47814174158691,0.2958691891732076,0.510871963091746,0.29992190410500874,0.5127998953040683
Meghalaya,0.7146107287010526,88444.74894828495,63203.56649571556,1183.7310867786146,435.81310957091046,164.86637760025042,23.388638530846492,8.663698552986943,3.3667009468781544,0.6318309838791809,0.8607231157129489,0.6295766193675326,0.8560540006448889
Sikkim,0.34296241136598027,169326.22687814082,58072.531077630236,3335.4913179766663,2473.193804671697,1827.391163705055,39.84560716534469,29.491809299696115,21.814691544525203,0.2585218881121374,0.45213733465402506,0.25984791303804455,0.4525195348635995
Daman and Diu,0.3027272677453509,110600.83433443306,33481.88838841912,343.47417052167293,144.94613590350673,60.16383189017688,0.08633540825179331,0.03602798915990846,0.014928296244650419,0.5779998953535264,0.8248373908326228,0.5826974136169663,0.8270895273800905
Ladakh,0.19752402914293743,44403.52534366756,8770.763234031752,29.521911207837547,10.403254375964025,3.769992385095975,0.12162123720541729,0.044516766834675536,0.017825025707608688,0.6476090486579966,0.872298498611597,0.6339720935457425,0.8534382142692533
India,0.47423147793878184,112683468.62470552,53438047.865162455,13981225.210354619,10689058.344981484,7879793.919377664,161299.7776332813,123724.11213315702,91439.41645339543,0.23547055539416728,0.4364017601589152,0.23295546994214344,0.43310884990005993
