state,ratio,H1,H2,G30,G45,G60,D30,D45,D60,G_impr_45,G_impr_60,D_impr_45,D_impr_60
Kerala,0.8750207008617755,8187010.407756885,7163803.584958079,573336.1176115358,385683.74531831313,257220.12781668082,9595.372208493529,8657.399360766336,8085.981491375627,0.32729905988648467,0.5513624208985201,0.09775262776121685,0.15730402993453818
Delhi,0.5835604747855843,1829372.7500471387,1067549.6305773181,1133904.3776147603,1067930.725495507,971501.7517714975,19280.23873879214,17513.624314926878,14865.044167855842,0.05818272988594775,0.14322426921473486,0.09162824422452853,0.22900103213207934
Telangana,0.3910526150102516,1498721.3690333164,586078.9105322227,158555.35047155665,115479.29657562252,79597.04002278834,935.4306560567579,670.4995834834504,455.7623892976485,0.2716783367311315,0.497985783601372,0.2832182918722227,0.5127780062085171
Rajesthan,0.47967934738363516,1658821.063691485,795702.2052577591,409648.5198054528,222868.32111267745,95064.44514536415,2988.301042055451,1430.0936914501217,560.0057014083832,0.4559523339214788,0.7679365589053966,0.5214358689690592,0.8126006404551555
Haryana,0.542963059315846,1160043.5564543547,629860.7983520908,664455.2631721889,601520.1078495105,503299.8454602262,7704.1492145822685,6475.191941021292,4791.649398882539,0.0947169189724203,0.24253764947633571,0.15951888253083535,0.3780430174154733
Jammu and Kashmir,0.5850984716241262,743167.8117648372,434826.3508238526,349333.5673710987,323171.69148354884,288489.51852825866,4609.622743324901,4221.8510464039855,3692.321691473292,0.07489081591680524,0.17417177885515112,0.08412221965071653,0.1989969901940314
Karnataka,0.3989058931196286,4278959.814774721,1706902.2865357106,801403.5815014234,475066.2740685274,249345.98092731647,7399.3030772277925,4040.2582570038576,2023.109309161373,0.4072071986769832,0.6888634058008966,0.4539677298206344,0.7265810998622662
Lakshdweep,1.276697572556083,105445.3999038492,134621.8860944497,30547.014950735695,28848.992826651225,26960.032077600164,236.1232849336877,220.49936010129213,203.4560820273655,0.05558717036093164,0.1174249882982148,0.06616850530765472,0.1383480791210251
Maharastra,0.4006924667018644,23707617.433909386,9499463.709217278,1234399.2378744045,602490.6488047708,276032.82508597337,11282.932498772483,6039.0389545260405,3595.934422496124,0.5119158937247562,0.7763828617058344,0.46476335339389363,0.6812943423274631
Punjab,0.4969000088495062,1470558.6874871904,730720.6248261031,620207.6328774935,519065.31424426613,384044.309412397,14330.538664750777,11071.213309858089,7332.131732843765,0.16307815846117701,0.3807810658011439,0.2274391375747613,0.48835616689840045
Tamil Nadu,0.4735549956578895,9364130.75105535,4434430.897155926,2261572.8975504953,1710379.8799165068,1121519.8135412447,28208.678282688314,19252.56153850867,11380.842785333654,0.24372109262141606,0.5040974293793667,0.317495086243584,0.5965481731798088
