series,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,119834.0781811724,119830.81511135021,119826.04064986377,119819.05739181327,119808.84913114236,119793.938528194,119772.18505605114,119740.50245093052,119694.47251864779,119627.8356314803,119531.85570187673,119394.60252905212,119200.28500379881,118928.91509475851,118556.75555265637,118058.08432902649,117408.57369045918,116589.86255837456,115593.9332166177,114425.46859584049,113101.12484718526,111646.19250553843,110090.20916343108,108463.04813334011,106792.25332875477,105101.65948924058,103410.97173821382,101735.92319282894,100088.71480545319,98478.55049846707,96912.16601344387,95394.30461822884,93928.12374534183,92515.53232635256,91157.4655334996,89854.10596441609,88605.06038392964,87409.5002492304,86266.27304195016,85173.9902206233,84131.09651891004,83135.92438962638,82186.73663172383,81281.75961965731,80419.20905973135,79597.30980398659,78814.31093942522,78068.49712242295,77358.19693160412,76681.78885648861,76037.70541529995,75424.43579670374,74840.52734161502,74284.58611840184,73755.27679454345,73251.321967498,72771.50108516772,72314.6490603154,71879.65466232032,71465.45875275653,71071.05241763574,70695.47503814293,70337.81233279691,69997.19439678405,69672.79375841317,69363.82346796154,69069.53523041299,68789.21759055876
I,6.0,8.783069822184823,12.854885722840205,18.809752915519496,27.513233353191737,40.222777633291635,58.75842756549926,85.7403584808799,124.91106208514316,181.5550642858178,263.0105887465107,379.2229144713973,543.2026065670027,771.1163070819439,1081.5865446175353,1493.7308446780144,2023.7430156710818,2680.554706502016,3462.0396717387143,4353.541118776832,5329.6015779299105,6358.165793342338,7405.495871982307,8440.217232314688,9435.794658314855,10371.52492516385,11232.490682177513,12008.939972988197,12695.433162524894,13289.962816509018,13793.15027621149,14207.559649329605,14537.135750270247,14786.75630923789,14961.882597351816,15068.291558647194,15111.873814441868,15098.484043985747,15033.832527747136,14923.408746854224,14772.429748819137,14585.80749819727,14368.130656244039,14123.65721581103,13856.315198472112,13569.709238339101,13267.131363833338,12951.574671728942,12625.748888809461,12292.09705282022,11952.812729783267,11609.857329996816,11264.977198685787,10919.72024600409,10575.451950182152,10233.370621213018,9894.521853846265,9559.812130390885,9230.021557954686,8905.815742882096,8587.756818572312,8276.313652579343,7971.871265719021,7674.739500474365,7385.1609788072965,7103.318390954342,6829.341157226551,6563.311504502652
IH,0.24,0.3174658482099396,0.4537926312593551,0.6606680584633012,0.9656368313460866,1.4122121516400987,2.064736989411599,3.0167812785166648,4.403354008419194,6.417732288534188,9.333682051914455,13.533096870999774,19.53705336226955,28.03416430530954,39.89336193647616,56.14001645284827,77.86979209145332,106.08409351974362,141.46341445212022,184.14235099958077,233.57807563255227,288.5770787510343,347.4719158145078,408.37486274472394,469.42162733482803,528.9490552058552,585.5921937622531,638.3137772659016,686.3889246695011,729.366077548626,767.0191870472813,799.3001440397763,826.295984441385,848.192593790889,865.2450803836823,877.7542374832367,886.0482312063367,890.4686100164896,891.3598041729854,889.0613981536605,883.9025803687031,876.1982862994986,866.2466476290832,854.3274400731101,840.7012877753157,825.6094343918153,809.2739325556078,791.8981363017236,773.667406971172,754.7499635249051,735.2978242414663,715.4477993654486,695.3225041489527,675.0313694614227,654.6716331886896,634.3293003570707,614.0800635842627,593.990178297053,574.1172893412792,554.5112072799104,535.2146339396835,516.2638377116839,497.68927980506635,479.51619314998356,461.76511598882763,444.45238241827394,427.59057227550727,411.1889228219607
IN,0.24,0.45493461525455947,0.7587444449528922,1.193697284548959,1.8214187273913756,2.731720723249814,4.05533336630919,5.982135089355985,8.786980605199899,12.865718715188713,18.784237163193012,27.342851831199127,39.65610548844428,57.24256166123426,82.1088521451227,116.79693905472416,164.34800528144297,228.13336763943187,311.5295115946984,417.47523568224585,548.0161412496986,703.9658900871644,884.7709556429361,1088.5861054606398,1312.5038382452624,1552.8589008883362,1805.5407070359404,2066.2712822588305,2330.8293616855576,2595.2169601589785,2855.7733411348504,3109.2449457611556,3352.820578262175,3584.1404342039364,3801.2862742192365,4002.7586489846963,4187.44578808083,4354.587658246337,4503.737790582054,4634.724756218942,4747.6146094104215,4842.675187663411,4920.342834358045,4981.191868013409,5025.906945551618,5055.2583398028655,5070.080062358282,5071.2507025232935,5059.676814395236,5036.278661445943,5001.978117165441,4957.688518044165,4904.306268940581,4842.704008802715,4773.725155355683,4698.179659663061,4616.84081462551,4530.442974916688,4439.680059159137,4345.204718021142,4247.62806417433,4147.519871566971,4045.4091621693697,3941.7851082043585,3837.098186885875,3731.7615328701395,3626.1524410098764,3520.6139786342274
D,0.01,0.052534151790060345,0.10879723752306797,0.18922092360305254,0.30630823810939634,0.4774438362700103,0.7277240280101256,1.0936483468192306,1.6282993168935644,2.4086865159747006,3.546073179760053,5.2002408845779335,7.598652536664163,11.061119175169505,16.02949167462587,23.09961797471709,33.04906789680848,46.849591049634796,65.65041161746701,90.72135471349492,123.35609933180633,164.75212151424455,215.89537680894745,277.47630685076973,349.85080018089116,433.04434497504417,526.7876758222727,630.5696227245982,743.6951856075758,865.340896894696,994.6032612820884,1130.5387218144124,1272.1951953660996,1418.636023806713,1568.9574926879907,1722.3010992906677,1877.8616491718371,2034.8921073361905,2192.7059699308797,2350.6777749735975,2508.2422435558938,2664.8924373935124,2820.1772328420693,2973.6983428332624,3125.107063726943,3274.1008811616703,3420.420035335534,3563.844119864948,3704.1887679137953,3841.3024634268545,3975.0635030606495,4105.377125007265,4232.172813740909,4355.401784301394,4475.03464568358,4591.0592399281395,4703.478651370933,4812.309379019862,4917.579664042744,5019.327963751661,5117.601563167216,5212.455315168267,5303.950500322216,5392.153797703526,5477.136358308665,5558.972973037096,5637.7413276089,5713.521337213755
R,0.0,0.14506538474544048,0.35131127203947055,0.6574501769866894,1.1124528799967033,1.7854986339389773,2.776903172031316,4.232807046310292,6.3659665089599065,9.485347886586416,14.037898154281923,20.66654806209346,30.28875941920409,44.19893419022899,64.19437814227308,92.7164339856111,132.984609772437,189.08386408701807,265.95195515170394,369.2195251597652,504.89143984317616,678.9147919391829,896.724897492622,1162.8655404614644,1480.7439283417914,1852.5314656987257,2279.185184160603,2760.55033310594,3295.5067412316916,3882.130931594017,4517.856102052819,5199.620101998614,5923.996927490667,6687.310493780408,7485.731203030068,8315.356672350523,9172.278314341895,10052.63551235723,10952.659046789187,11868.705284348676,12797.282480108197,13735.070381992326,14678.934178375332,15625.933694784271,16573.328625915055,17518.58048349035,18459.351847664406,19393.503428330532,20319.08937147861,21234.351183465868,22137.71059162163,23027.761612054972,23903.26205404115,24763.124654200925,25606.408002218832,26432.307392513085,27240.14571257769,28029.364458232492,28799.514948354205,29550.249796481025,30281.314683683075,30992.540466003167,31683.835640359783,32355.17918485609,33006.61378276854,33638.239433930976,34250.20745263855,34842.71484744101
G,6.0,9.263069822184823,14.03753130861499,21.020789359121498,31.229050030035296,46.13965297839054,67.8931251212615,99.5757302418821,145.60566252461575,212.24254969210185,308.22247929566015,445.4756521202676,639.7931773735847,911.163086413886,1283.322628516033,1781.993852145915,2431.5044907132237,3250.2156227978444,4246.144964554704,5414.609585331918,6738.953333987143,8193.885675633963,9749.86901774132,11377.030047832284,13047.824852417627,14738.41869193181,16429.106442958582,18104.154988343467,19751.36337571922,21361.52768270533,22927.912167728526,24445.77356294356,25911.95443583057,27324.54585481983,28682.612647672788,29985.972216756312,31235.017797242763,32430.577931941993,33573.80513922224,34666.0879605491,35708.98166226235,36704.153791546014,37653.34154944857,38558.31856151508,39420.86912144104,40242.7683771858,41025.76724174716,41771.581058749434,42481.88124956827,43158.28932468379,43802.37276587246,44415.64238446867,44999.550839557385,45555.49206277055,46084.80138662894,46588.75621367438,47068.57709600467,47525.42912085699,47960.42351885206,48374.61942841585,48769.02576353663,49144.603143029446,49502.26584837547,49842.88378438834,50167.28442275922,50476.25471321085,50770.54295075941,51050.860590613636
H,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286,59912.82118334286
beta,11.617649939821526,11.617649939821527,11.612695943433804,11.605454959275411,11.594880345606812,11.57945680124334,11.557002137104456,11.52439820251962,11.4772402878601,11.40941072749633,11.312623239802972,11.176067256240934,10.986420424718998,10.728674253790901,10.3883201045801,9.955205633138503,9.428480286591443,8.82061831609595,8.157678239063962,7.4743252921183645,6.805481925042936,6.178807130532461,5.611160450749346,5.1091799921050445,4.672089951944758,4.294815975757539,3.970404247713257,3.691545462100953,3.4513821597598855,3.2438522769325973,3.0637721824235298,2.9067913327026504,2.7692943798035876,2.6482902392812986,2.5413066429802744,2.446297489435893,2.3615647307706094,2.285694010173717,2.2175023015642004,2.155995594372587,2.1003347902613174,2.049808224619896,2.0038094943686553,1.9618195221098826,1.923391999899421,1.8881415317262777,1.8557339354809166,1.8258782778795957,1.7983203047581489,1.7728369990862165,1.749232053967231,1.7273320910190832,1.7069834884522221,1.6880497099010419,1.6704090462002552,1.653952699057705,1.6385831489102947,1.624212759898429,1.6107625834292252,1.59816132866508,1.5863444738189911,1.5752534966324643,1.5648352060684572,1.5550411602376615,1.545827158023415,1.5371527938829441,1.5289810669634343,1.5212780370466392
