series,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,14837.524175701375,14835.69822556955,14833.465417233236,14830.73667230586,14827.404184108043,14823.337857402523,14818.381254649084,14812.347072527487,14805.012229839454,14796.112732959013,14785.338604080478,14772.329314539656,14756.670358370735,14737.891816587637,14715.469969099071,14688.833153394717,14657.373066438535,14620.462461465377,14577.479617174413,14527.83902030522,14471.026479449321,14406.635599109046,14334.40153735739,14254.22762880209,14166.201032461044,14070.59504512615,13967.857772966583,13858.588937725022,13743.508174020499,13623.418923865325,13499.171922605827,13371.631511674812,13241.64693418475,13110.029674032356,12977.536991642359,12844.861177431052
I,6.0,7.345950131826209,8.991082457593272,11.00054078836094,13.452985723108842,16.443073570781515,20.084230438557867,24.511674125069476,29.88558288309656,36.3942331328905,44.256823360793554,53.72556703275133,65.08647783905201,78.65810139502686,94.787300771991,113.84113241458577,136.19392877760134,162.20901944855143,192.215142183632,226.47852767813356,265.17278631978144,308.3498437544753,355.91591800577464,407.61655312061333,463.0338252120106,521.5971065299433,582.6066101671156,645.2669165953073,708.7263269722059,772.1174709696023,834.5950745515331,895.3678795184261,953.7230266470146,1009.0424446676483,1060.8117314842336,1108.622607176801
IH,0.24,0.33768278453428247,0.43127881645054367,0.535178780393476,0.6578456044198377,0.8058702223967198,0.9857214732353152,1.2045692937125683,1.470740643229186,1.794031820983732,2.185961091218955,2.6599844605728515,3.231667218504543,3.918785166027428,4.7413150850060735,5.721262280287105,6.882265424039277,8.2489190282881,9.845766528279597,11.695946897165225,13.819527193292846,16.231619357741604,18.940451151698852,21.94562009037058,25.236784119653247,28.79301694805664,32.58297622215174,36.56591376416004,40.69342781182729,44.911750332655345,49.16430230046019,53.39424443370376,57.54679215735496,61.57113314482243,65.42186333886139,69.05992667754131
IN,0.24,0.44683145645122047,0.6789163424648236,0.9447318646392937,1.2541894128645312,1.6189770244596542,2.0529536758731504,2.572600045907859,3.197527858176109,3.951045581781847,4.8607714594202,5.959274769550095,7.284712181222794,8.88140757302149,10.8003009877383,13.099166961735758,15.842477717389748,19.10076856811959,22.949359870783177,27.46631204858394,32.72954662526002,38.81316060900234,45.783087659491905,53.69239797625853,62.57664909894169,72.4497674791932,83.30092979150524,95.09281704217585,107.76145102582343,121.21762751625462,135.34977570023614,150.02793314216905,165.10844818140856,180.4390077732206,195.8636260298239,211.22729858255963
D,0.01,0.03231721546571748,0.06371779655536344,0.10382172269089013,0.15358714000222806,0.21475914873978086,0.2896957295340861,0.3813563899814903,0.49336735861136743,0.6301291745660911,0.7969533191546221,1.00022233862299,1.2475700317149259,1.54807758850185,1.912479142310565,2.3533664354061363,2.885377448093842,3.525348282929434,4.292402046735944,5.207944101055798,6.2955314634709065,7.580587155166983,9.089939432517943,10.851181638227777,12.891869688584354,15.238597808834765,17.916014321909078,20.945853075509536,24.346058809574554,28.130075461721095,32.30634716637267,36.878056864960335,41.843102105194305,47.19428610492994,52.91968712518569,59.00316137644441
R,0.0,0.15316854354877948,0.383763055075366,0.6932302394298986,1.0913837129358368,1.5936383324749865,2.220319735091111,2.9969033192163748,3.9547271188071877,5.132003032139905,6.5750623903090375,8.339812560220363,10.493390060144144,13.115987391159802,16.30281061525778,20.166094214643,24.837059895715996,30.467658908109843,37.23188789753236,45.32642467121667,54.97030465024855,66.40336571594392,79.88324209450417,95.68079407381795,114.07401512114461,135.34064180920015,159.74987223211417,187.55373749920406,218.97873706144878,254.21832755581949,293.42675337694976,336.71455006730827,384.14587242565767,435.7376299784037,491.4602760809175,551.2400044569818
G,6.0,7.825950131826209,10.05875846813937,12.787503395514499,16.119991593331275,20.186318298852655,25.142921052291527,31.177103173887765,38.51194586192041,47.41144274236207,58.18557162089637,71.19486116171763,86.8538173306384,105.63235911373741,128.05420660230368,154.69102230665771,186.15110926284015,223.06171423599832,266.044558526963,315.6851553961551,372.49769625205363,436.88857659232997,509.1226383439873,589.296546899288,677.3231432403344,772.9291305752279,875.6664027347956,984.9352379763566,1100.0160016808798,1220.1052518360525,1344.3522530955515,1471.8926640265672,1601.87724151663,1733.4945016690247,1865.9871840590217,1998.662998270328
H,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284,7418.753699374284
beta,50.67213079670766,50.67213079670766,50.6160701110315,50.54768633900068,50.46436410007881,50.362978393161946,50.23981727350091,50.09050363927009,49.9099224081042,49.6921627128973,49.43048896000431,49.117359458479434,48.744516231482635,48.30317333689079,47.784331550546646,47.17924183750722,46.48002556868772,45.680433646910984,44.77668997288091,43.76832224321714,42.658846268098564,41.456154777217535,40.17248309925202,38.823887808100544,37.4292695883421,36.009070983881095,34.58384986911736,33.172946350009425,31.79342149223074,30.459369325414393,29.181618082730555,27.967768150221637,26.82247573005977,25.747882478515223,24.744103734929688,23.80971059800844
