series,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,12643.77188381531,12636.138721507687,12628.898359969135,12621.508031551013,12613.547888790836,12604.668047046334,12594.555306112063,12582.912167916535,12569.443996899683,12553.851917754673,12535.830019348901,12515.065964044285,12491.244356802115,12464.052307356691,12433.186592752698,12398.361758102126,12359.318435476916,12315.831157783543,12267.715020000649,12214.83069321,12157.087503307152,12094.444508190045,12026.909705740363,11954.537651643406,11877.425848856206,11795.710292659262,11709.560530438031,11619.174541359416,11524.773674482109,11426.597817057427,11324.900905533805,11219.946843616512,11112.005855259782,11001.351274569986,10888.256757399304,10772.993888887268,10655.830155531594,10537.027248038534,10416.839661066722,10295.513557199907,10173.285864479394,10050.383579205043,9927.023248221936,9803.410607393384,9679.740355330103,9556.196043653477,9432.950067098198,9310.163738603163,9187.98743620556,9066.560810052852,8946.013039194584,8826.463129024336,8708.020241325625,8590.78404984661,8474.845115198854,8360.285273655369,8247.178035122259,8135.58898618443
E,0.0,7.6331623076236195,14.110207615412822,20.089515271992823,26.040706504971027,32.31647759897598,39.19757077334987,46.920951891543545,55.697027719241,65.71940409232633,77.16936208886499,90.21648118459561,105.01644030830539,121.70684572289905,140.40187575460263,161.1865228297138,184.1111931719524,209.18735154813047,236.38475417621123,265.6306055492393,296.8107348971636,329.7726565245534,364.3301933217802,400.2692280865598,437.354108065104,475.3342534555393,513.9505903312162,552.9415203767101,592.0482352163461,631.0192691193927,669.6142537310755,707.6068902752609,744.7871896044651,780.9630513338137,815.9612633711154,849.6280055460397,881.8289383471094,912.4489520054581,941.391643776723,968.5785832658656,993.9484176597913,1017.4558611681624,1039.0706060344537,1058.7761862595617,1076.5688196968856,1092.4562494038219,1106.4566010187198,1118.5972694118823,1128.9138448682975,1137.4490865341752,1144.2519487390257,1149.376664035371,1152.8818853305456,1154.8298882765048,1155.2858340966104,1154.3170922304341,1151.9926215405014,1148.3824083242798
I,11.0,10.56,10.900916230762363,11.87590034307315,13.409815856549507,15.47749387278463,18.090041877770844,21.286197279994997,25.12684457794955,29.69147356675567,35.075755033318075,41.38966104087185,48.755722717696536,57.30713783981921,67.18553689851635,78.53830299803596,91.5154231610859,106.26592555183771,122.93402368457726,141.6551381548153,162.5519931835466,185.7309869459211,211.2790131205396,239.26087192789603,269.71735985943616,302.6640762715691,338.09093856626026,375.9623600567315,416.21801769213323,458.7741205060825,503.52508259777846,550.3455046669749,599.092373507822,649.6073975279556,701.7194067602188,755.2467568269216,809.9996871084487,865.7825934588217,922.3961849210147,979.6395019018464,1037.3117801523592,1095.214150712244,1153.1511708005705,1210.932184571993,1268.3725158150694,1325.2944971521551,1381.528342206451,1436.912868620065,1491.2960808164505,1544.5356220706221,1596.4991058412147,1647.0643364814687,1696.119429425747,1743.5628407817717,1789.3033159781512,1833.2597667486862,1875.3610853017822,1915.545904043761
R,0.0,0.44,0.8624,1.2984366492304946,1.7734726629534205,2.309865297215401,2.9289650521267863,3.65256672723762,4.50401461843742,5.5090884015554025,6.69674734422563,8.099777545558352,9.755363987193226,11.705592895901088,13.997878409493856,16.68529988543451,19.82683200535595,23.487448931799385,27.738085953872893,32.655446901255985,38.3216524274486,44.82373215479046,52.25297163262731,60.70413215744889,70.27456703456473,81.06326142894217,93.16982447980493,106.69346202245534,121.7319564247246,138.38067713240991,156.7316419526532,176.87264525656434,198.88646544324334,222.85016038355622,248.83445628467445,276.9032325550832,307.1131028281601,339.51309031249804,374.1443940508509,411.04024144769147,450.2258215237653,491.7182927298597,535.5268587583495,581.6529055903723,630.090192973252,680.8250936058548,733.836873491941,789.098007180199,846.5745219250016,906.2263651576596,968.0077900404846,1031.8677542741332,1097.750327733392,1165.595104910422,1235.3376185416928,1306.9097511808188,1380.2401418507663,1455.2545852628377
G,11.0,11.0,11.763316230762362,13.174336992303644,15.183288519502927,17.78735917000003,21.01900692989763,24.938764007232614,29.630859196386968,35.20056196831107,41.7725023775437,49.489438586430204,58.51108670488976,69.01273073572031,81.18341530801021,95.22360288347048,111.34225516644186,129.7533744836371,150.67210963845014,174.31058505607126,200.8736456109952,230.55471910071157,263.5319847531669,299.96500408534496,339.9919268940009,383.7273377005113,431.2607630460653,482.6558220791869,537.9499741168579,597.1547976384925,660.2567245504317,727.2181499235393,797.9788389510653,872.4575579115118,950.5538630448932,1032.1499893820048,1117.1127899366088,1205.2956837713198,1296.5405789718657,1390.679743349538,1487.5376016761247,1586.932443442104,1688.6780295589201,1792.5850901623655,1898.4627087883216,2006.1195907580102,2115.3652156983926,2226.010875800265,2337.870602741453,2450.7619872282826,2564.5068958817,2678.9320907556025,2793.8697571591397,2909.157945692194,3024.6409345198444,3140.1695179295057,3255.601227152549,3370.8004893065995
