series,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29
S,227060.14808881146,227057.39702791037,227053.79817830332,227049.09032028142,227042.93177698014,227034.8756541504,227024.3374750718,227010.55288549644,226992.5224002142,226968.9392522131,226938.0952302612,226897.75788091717,226845.0105227403,226776.0440778372,226685.88666626913,226568.05313678097,226414.09216284455,226213.00324592687,225950.49015587065,225608.0115776389,225161.58524614712,224580.30096747878,223824.50480317985,222843.63836142936,221573.76486088414,219934.9043898721,217828.4580617096,215135.25269799388,211715.1084194737,207409.31880716255,202047.96268857855,195464.31758558803,187518.36771168147,178129.80431788863,167317.3145133601,155235.37349159978,142194.06562257645,128645.98362949448,115131.93555297542,102194.45563128758,90286.3430607429,79706.80027020905,70584.06290331046,62900.36207522868,56539.18116517158,51333.68141059417,47103.80805090916,43679.06145105028,40909.45060221301,38668.71978025806,36853.375343276064,35379.87677846021,34181.33549962634,33204.37755047401,32406.42918689456,31753.48103510258,31218.295695688346,30778.991688728947,30417.932530061316,30120.857103247123,29876.198331911495,29674.547901743455,29508.2340881744,29370.987302478632,29257.673894259562,29164.08330486129,29086.7571344628,29022.851313717605,28970.02456124861,28926.3478190928,28890.2305095427,28860.360338915707,28835.654053683105,28815.217081852563,28798.310404401196,28784.323325305097,28772.751064750224,28763.1763037734,28755.25397144614,28748.69869657671,28743.274451505007,28738.78600109825,28735.071839563767,28731.998354340783,28729.455002609124,28727.35032383563,28725.608642846397,28724.16734342838,28722.97461344651,28721.98757973518,28721.17076525483,28720.494812738933,28719.935428738605,28719.47250996398,28719.089420421762,28718.772393300867,28718.510036063864,28718.292920926393,28718.11324598583,28717.96455480656,28717.841504374795,28717.739673077485,28717.655401800344,28717.585662431768,28717.527949045245,28717.48018784857,28717.440662662986,28717.40795325381,28717.380884296053,28717.358483140968,28717.339944865667,28717.32460334986,28717.311907340292,28717.301400642737,28717.2927057298,28717.285510175443
I,5.0,6.54091883207334,8.55668022936186,11.19357850792424,14.642957758135006,19.15506874824351,25.057176921401215,32.77721771206042,42.87468498253041,56.08094098490698,73.35178174553924,95.93591570397217,125.46405637610111,164.06463472499928,214.51374298912228,280.4288515223072,366.51807533973465,478.89920385219705,625.505079227757,816.593655307247,1065.381119682067,1388.8128958563088,1808.47687789966,2351.640529489677,3052.350202843726,3952.4551958851353,5102.295062353521,6560.600045364413,8392.892701298202,10667.363805881345,13446.914783050535,16776.02443053276,20661.699721569075,25049.54470524215,29799.332938231757,34668.98867651458,39319.41620794899,43351.082264495424,46372.93666382288,48086.84828130124,48356.577237456746,47232.45434218592,44923.59570454374,41734.50992185251,37994.75359460837,34004.443403783436,30004.275264140055,26167.134714460415,22603.555454543704,19373.583603489533,16499.97033120679,13980.007248936548,11794.989548332516,9917.22488625926,8314.923041273183,6955.423558477909,5807.1987666941,4840.995667502089,4030.39632352891,3352.0013211552264,2785.3805296604955,2312.8897283923925,1919.4185096935232,1592.1114780608425,1320.088670644638,1094.1802930052704,906.6837426713641,751.1463353553268,622.1743317430814,515.2672072771345,426.67521196438645,353.2778578298687,292.4808634995972,242.1291558691101,200.4336977896108,165.91012693668645,137.32742263494265,113.66504533954514,94.07720703824003,77.863124713032,64.44228121656451,53.33386851851982,44.13971845340161,36.530137633324834,30.232158097526124,25.01979560078165,20.70597514704108,17.135840243939178,14.18120999235741,11.735987943403362,9.712359877382575,8.037645337855208,6.651690786336342,5.504711390825342,4.555504366667839,3.769969991617957,3.119887371460182,2.5819011171684396,2.1366826257402325,1.7682358982975968,1.4633230003648263,1.2109885530139337,1.0021661915339555,0.8293528664057508,0.6863392941889706,0.5679868801606978,0.4700431020764334,0.38898872483925795,0.3219113585357718,0.2664008181305435,0.2204625259832495,0.1824458463215713,0.15098477710098646,0.12494886854582533,0.1034026050197787,0.08557179090210068
R,0.0,1.2101420690233513,2.793230278775158,4.864190022121391,7.573354073192342,11.117365912802548,15.753436818259335,21.81798560296906,29.751003614749386,40.127895613446135,53.70107680469649,71.45429219031573,94.67350969504666,125.03937624925413,164.74767955318833,216.6661005081483,284.5378506271577,373.2456390323743,489.152853713041,640.5428558652997,838.1817229822702,1096.0342254763646,1432.1664077319376,1869.8691978924146,2439.033025083576,3177.7885030542066,4134.394964748313,5369.295345453137,6957.146968039533,8988.46547576753,11570.270617182343,14824.806072690635,18885.080655560876,23885.799065680636,29948.50063721957,37160.78592069707,45551.666258285964,55068.0821948215,65560.2758720131,76783.84417622258,88422.22779061175,100125.89347641643,111557.4894809572,122430.27609173022,132531.21332903145,141727.0232744338,149957.0647737622,157218.95192330072,163552.1420320547,169022.8447050638,173711.80241432853,177705.26406141464,181088.82304085256,183943.54565207814,186343.79586064367,188356.2434952309,190039.65362642895,191445.16073258035,192616.81923522116,193592.28966440904,194403.5692272394,195077.71045867554,195637.49549094346,196102.0493082719,196487.38552390717,196806.8844909448,197071.7072116772,197291.1504397384,197472.94919581964,197623.5330624414,197748.24236730425,197851.50989206578,197937.01317162864,198007.80185108967,198066.40398662054,198114.91463656956,198155.0696014262,198188.3067396984,198215.81691032698,198238.5862675216,198257.43135608977,198273.02821919456,198285.93653079416,198296.61959683723,198305.4609281047,198312.77796937493,198318.83347081792,198323.84490513903,198327.99226537248,198331.42452113275,198334.26496367913,198336.61563073457,198338.56096928642,198340.17086745656,198341.50316402293,198342.60572551886,198343.51816537604,198344.2732667678,198344.89816019978,198345.4152981065,198345.8432614362,198346.1974271809,198346.4905208195,198346.7330735132,198346.93380047195,198347.09991408265,198347.2373830463,198347.35114683272,198347.44529315678,198347.52320485227,198347.5876814197,198347.64103961518,198347.68519669396,198347.72173930006,198347.75198047652,198347.777006845
G,5.0,7.751060901096691,11.349910508137016,16.057768530045628,22.216311831327346,30.272434661046056,40.810613739660546,54.59520331502948,72.62568859727979,96.20883659835312,127.05285855023574,167.3902078942879,220.13756607114777,289.1040109742534,379.2614225423106,497.0949520304555,651.0559259668923,852.1448428845713,1114.657932940798,1457.1365111725465,1903.5628426643373,2484.8471213326734,3240.643285631598,4221.509727382092,5491.383227927302,7130.243698939342,9236.690027101835,11929.89539081755,15350.039669337735,19655.829281648876,25017.185400232876,31600.8305032234,39546.78037712995,48935.34377092279,59747.833575451325,71829.77459721164,84871.08246623495,98419.16445931692,111933.21253583598,124870.69245752382,136778.8050280685,147358.34781860237,156481.08518550097,164164.78601358275,170525.96692363985,175731.46667821726,179961.34003790226,183386.08663776115,186155.69748659842,188396.42830855335,190211.77274553536,191685.2713103512,192883.81258918508,193860.7705383374,194658.71890191687,195311.66705370886,195846.8523931231,196286.1564000825,196647.21555875012,196944.29098556432,197188.94975689994,197390.60018706796,197556.914000637,197694.1607863328,197807.47419455188,197901.06478395013,197978.3909543486,198042.2967750938,198095.1235275628,198138.8002697186,198174.9175792687,198204.78774989568,198229.49403512827,198249.93100695882,198266.8376844102,198280.8247635063,198292.39702406118,198301.971785038,198309.89411736527,198316.4493922347,198321.87363730642,198326.36208771318,198330.07624924765,198333.14973447064,198335.69308620231,198337.7977649758,198339.53944596506,198340.98074538307,198342.17347536495,198343.1605090763,198343.97732355664,198344.65327607252,198345.21266007284,198345.67557884747,198346.05866838968,198346.3756955106,198346.63805274758,198346.85516788505,198347.0348428256,198347.18353400487,198347.30658443665,198347.40841573395,198347.4926870111,198347.56242637968,198347.6201397662,198347.66790096287,198347.70742614847,198347.74013555766,198347.7672045154,198347.7896056705,198347.8081439458,198347.8234854616,198347.83618147115,198347.8466881687,198347.85538308165,198347.862578636
