series,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29
S,131775.80000000002,131772.60937127165,131769.03170004452,131765.0204986358,131760.5238148164,131755.48362007434,131749.83513730037,131743.5061039853,131736.41596736648,131728.47500853476,131719.5833933745,131709.63014943313,131698.49206949145,131686.03254483305,131672.10033410756,131656.5282773758,131639.13196955313,131619.7084131714,131598.03467729563,131573.86659767342,131546.93756283927,131516.95744194978,131483.611722499,131446.56093951402,131405.44049193067,131359.8609559076,131309.40901786822,131253.64916070946,131192.12624316162,131124.36911261923,131049.89538349002,130968.21749367064,130878.85011869506,130781.31897440778,130675.17097360243,130559.98562029228,130435.38742948367,130301.05905525314,130156.75470293676,130002.31330210129,129837.67083720696,129662.87118457326,129478.07479840322,129283.56463319155,129079.7487880175,128867.15950705975,128646.4483606577,128418.37764695346,128183.80827600311,127943.68460511997,127699.01686642368,127450.86194963135,127200.30336577988,126948.43121867682,126696.3229551485,126445.0255628309,126195.53974912592,125948.80648217993,125705.69611883264,125467.00019773757,125233.42584745157,125005.59265496969,124784.0317624257,124569.18690824126,124361.41710161483,124161.00061233049,123968.1399672424,123782.9676661665,123605.55235928556,123435.90526207353,123273.98661933656,123119.71206508004,122972.95875799315,122833.57120238566,122701.36669085229,122576.14032755986,122457.66960988787,122345.7185614157
I,8.0,8.972620253489628,10.062623010099271,11.283951529331837,12.652147833436166,14.184521185478756,15.900330434243994,17.82098029223654,19.970231246194956,22.374422309239694,25.062705181692678,28.067287560990966,31.42368229299362,35.17095774664556,39.35198317815433,44.01366088581724,49.2071346015348,54.98796078687561,61.41622628240499,68.55659210585436,76.47823915248563,85.25468721888872,94.96345432277084,105.685518996163,117.50454447871371,130.50582106531812,144.77488196157685,160.39574972764274,177.44877574650206,196.00804523086833,216.1383361765625,237.89164332247034,261.30330817378496,286.387833455365,313.1345040471335,341.50298438776343,371.4191109999474,402.77114323885803,435.4067694122564,469.131182175257,503.70652983226137,538.8530134629493,574.2518308105637,609.550067590055,644.3675107912395,678.3052167643532,710.9555232484527,741.9130649735444,770.7862527062691,797.2086184857546,820.8494231751959,841.4229678164033,858.6961424701577,872.49387440422,882.7022869680494,889.2695351234491,892.2044281580512,891.5730722307054,887.4938568043555,880.131165924111,869.6882180810896,856.399430786269,840.5226739086628,822.3317263350511,802.1091906889799,780.1400571316608,756.7060449301092,732.0807934243237,706.5259247905803,680.2879608884635,653.5960457986283,626.6604039633662,599.6714501918614,572.7994609651588,546.1947151445767,519.9880150458274,494.291504691362,469.1997098547385
IH,212.0,180.7344582243011,154.51041676990906,132.5697878005511,114.27479556323561,99.08964462288053,86.56506369538931,76.32528205961144,68.05706422149194,61.5004864740193,56.44118788191589,52.70386939842812,50.14684945093283,48.65751338335553,48.14851842890021,48.55463608404509,49.830130428076274,51.946584549928204,54.89109819489512,58.66478835308217,63.281531055475895,68.76688736458655,75.15715966937562,82.49852614309611,90.84620184143479,100.26357469103013,110.82126389188169,122.59604746309145,135.66960533581906,150.12702519334144,166.0550209463398,183.53981918176322,202.6646780593589,223.50701684874593,246.13515335394962,270.6046713094976,296.9544704058165,325.2025871689998,355.3419138631482,387.3359822987783,421.1150163400944,456.5724866372094,493.5624188901298,531.8977081798437,571.3496728837832,611.6490404066826,652.4884937144968,693.5268254946749,734.3946514334258,774.7015335947972,814.0442685369584,852.0160120641218,888.2158516742998,922.2584047955027,953.7830186820258,982.4621758612662,1008.0087636226897,1030.1819410886767,1048.7914252450985,1063.7001098116887,1074.8250203746638,1082.1366894215896,1085.6571011769483,1085.4564057095529,1081.6486337711515,1074.3866588908652,1063.8566532368611,1050.2722712780185,1033.8687733235158,1014.8972726200536,993.619257668797,970.3015082339341,945.2114911309186,918.6132917889425,890.7641107885697,861.911331669301,832.2901475184397,802.1217191511937
IN,0.6180084748874126,1.2232516480604128,1.89112913871789,2.629415123628059,3.44680033127048,4.3529966160769495,5.358852387744,6.476479742626781,7.719394131848354,9.102667360297657,10.643094633189225,12.359376241356589,14.272314289685552,16.405024609216905,18.783163633797233,21.4351695451115,24.392516370939937,27.689978933342214,31.365905556994978,35.46249423312541,40.02606646258327,45.10733124783074,50.76162965143054,57.04914798513805,64.03508505703721,71.78975603220577,80.38861244331585,89.91215486127251,100.44571190561739,112.07905691622877,124.90583207691002,139.0227495099461,154.5285403447115,171.52262653403437,190.1034967670052,210.36677764081156,232.40300456834026,256.2951136970171,282.11569599977594,309.92407680388163,339.76330696588275,371.65717380797764,405.60735854926355,441.5908798702803,479.5579681408567,519.4305098918257,561.1011863107095,604.4334029720452,649.262071986104,695.3952647603413,742.6167070536468,790.6890419384874,839.3577446767923,888.3555398878577,937.4071483555383,986.2341798139681,1034.5599892157552,1082.114326294468,1128.6376297209506,1173.884845258129,1217.628679239318,1259.6622317160586,1299.8009853720937,1337.8841549174094,1373.7754258787807,1407.3631307847327,1438.5599245081066,1467.3020291947469,1493.5481232857162,1517.2779493316573,1538.4907123866735,1557.2033355478852,1573.4486324174939,1587.2734485605988,1598.7368159601783,1607.90815646268,1614.8655625859506,1619.6941770488747
D,0.01,2.13,3.937344582243011,5.482448749942102,6.808146627947613,7.950894583579969,8.941791029808774,9.807441666762667,10.570694487358782,11.251265129573701,11.866269994313894,12.430681873133054,12.957720567117335,13.459189061626663,13.94576419546022,14.427249379749222,14.912795740589672,15.411097044870434,15.930562890369716,16.479473872318668,17.06612175584949,17.69893706640425,18.386605940050114,19.13817753674387,19.96316279817483,20.87162481658918,21.87426056349948,22.982473202418298,24.20843367704921,25.565129730407403,27.06639998234082,28.726950191804217,30.56234838362185,32.58899516421544,34.8240653327029,37.2854168662424,39.99146357933738,42.96100828339554,46.21303415508554,49.76645329371702,53.6398131167048,57.850963280105745,62.41668814647784,67.35231233537914,72.67128941717758,78.38478614601541,84.50127655008224,91.0261614872272,97.96142974217395,105.30537625650821,113.05239159245619,121.19283427782577,129.71299439846698,138.59515291520998,147.817736963165,157.35556714998526,167.18018890859793,177.26027654482482,187.56209595571158,198.05001020816258,208.68701130627946,219.4352615100261,230.25662840424198,241.11319941601147,251.967763473107,262.7842498108185,273.52811639972714,284.16668293209574,294.66940564487595,305.0080933781111,315.15706610431164,325.0932586809996,334.79627376333895,344.24838867464814,353.4345215925376,362.3421627004233,370.9612760171163,379.28417749230067
R,0.0,30.758307077413313,56.99479492942818,79.44190663567653,98.72230330262867,115.36633139255616,129.826833627353,142.49172072837715,153.69465702155173,163.72415866705038,172.83135740934748,181.2366439679236,189.13537238277817,196.70277884106846,204.09824493110577,211.46901520445428,218.95346178069963,226.6839739885559,234.7895382546953,243.39806223717602,252.63848720931668,262.6427236274887,273.5474363923753,285.4956982998147,298.63852236894144,313.13627596220965,329.1599717464647,346.89242251107976,366.5292386483554,388.2796387848806,412.3670358027902,439.02935259832736,468.51901481841526,501.1025620648083,537.0598153717269,576.6825379783592,620.272529437842,668.1391008335527,720.5958921079404,777.9570118020399,840.5325050130687,908.6231867134684,982.5149136753204,1062.472407307869,1148.7327792244218,1241.49894820635,1340.933167993545,1447.1509065940218,1560.2153266038922,1680.1326102576013,1806.8483516930228,1940.2452027467777,2080.1419094753664,2226.2938177953474,2378.394862357678,2536.0809876953917,2698.9348894439436,2866.491910136346,3038.246881916194,3213.6616795352966,3392.1732320220426,3573.2017400713285,3756.1588571873062,3940.4556138556723,4125.509893048099,4310.753299526376,4495.637302157745,4679.638565479268,4862.263422144703,5043.051470183136,5221.578307179987,5397.4574369687325,5570.34140297819,5739.922216099948,5905.93115413681,6068.138015036864,6226.349907774203,6380.409663512127
G,8.0,11.19062872837704,14.768299955509988,18.779501364242215,23.276185183631142,28.316379925684963,33.96486269965169,40.29389601472717,47.384032633558355,55.32499146529332,64.21660662557176,74.16985056694492,85.30793050862007,97.76745516702569,111.69966589253032,127.27172262428988,144.66803044695286,164.0915868286849,185.76532270447265,209.93340232666918,236.8624371608235,266.84255805031154,300.188277501115,337.23906048606835,378.3595080694146,423.93904409246545,474.39098213185116,530.1508392906173,591.6737568384557,659.4308873808392,733.904616510056,815.582506329424,904.9498813050052,1002.4810255922819,1108.629026397631,1223.8143797077869,1348.4125705163963,1482.7409447469358,1627.0452970633191,1781.4866978987866,1946.1291627931248,2120.9288154268233,2305.725201596868,2500.2353668085398,2704.051211982591,2916.6404929403393,3137.351639342399,3365.4223530466256,3599.9917239969773,3840.1153948801148,4084.783133576392,4332.938050368728,4583.496634220195,4835.36878132325,5087.477044851568,5338.774437169172,5588.260250874149,5834.993517820133,6078.1038811674225,6316.7998022625,6550.374152548506,6778.207345030383,6999.768237574364,7214.613091758808,7422.382898385229,7622.7993876695655,7815.660032757661,8000.832333833565,8178.247640714503,8347.894737926534,8509.813380663509,8664.08793492003,8810.841242006914,8950.228797614409,9082.433309147786,9207.65967244021,9326.130390112185,9438.081438584348
H,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924,159814.18633727924
beta,7.976571820942602,7.976571820942601,7.974834001022638,7.972886273427154,7.970703657755031,7.968258296729621,7.965519149510359,7.962451658692516,7.959017390463847,7.955173647932083,7.950873058372699,7.946063136116539,7.9406858240495115,7.9346770182865844,7.927966082567734,7.920475361363934,7.912119703634613,7.902806012692329,7.892432841738176,7.88089005933418,7.868058614335014,7.853810435503016,7.838008506982811,7.82050716670401,7.801152680158707,7.779784146243628,7.756234794156652,7.73033372970261,7.701908184639607,7.670786312639663,7.636800558821275,7.599791605612816,7.55961286533754,7.516135449515998,7.469253497634211,7.418889696511539,7.365000769371357,7.307582666650316,7.246675154949625,7.1823654832329495,7.114790812727591,7.044139133508211,6.970648457922986,6.894604176356562,6.8163345774354,6.736204661840177,6.654608502899506,6.5719605139237025,6.488686059253733,6.4052118844789,6.321956837682705,6.239323310071414,6.1576897481538175,6.077404491559486,5.998781082945094,5.922095091113296,5.847582395225706,5.775438803506432,5.7058208273942865,5.638847401914054,5.574602332915817,5.513137258071818,5.454474926741934,5.3986126296569115,5.345525638955685,5.295170549344611,5.247488439765271,5.2024078005119145,5.159847192460921,5.119717622723757,5.081924634746443,5.046370121023109,5.012953873663026,4.981574892587499,4.952132473657973,4.924527100026338,4.898661159864061,4.874439512709441
