series,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
G_high,8.0,11.214616682497052,15.46024492531558,21.06464472189917,28.457617788459213,38.201194429029336,51.027595956062825,67.88612881689967,89.99967541602791,118.930325550752,156.65157684222817,205.62100203548886,268.89731629703954,350.08253302409247,453.3590096825851,583.3912376030115,745.1074513162184,943.3616245736787,1182.4872950784397,1465.8033935491437,1795.1689825684932,2170.692489885742,2590.668729068972,3051.7536844791102,3549.322189755603,4077.9162739387893,4631.6920207508265,5210.922054312506,5800.891052085578,6397.278484372214,6997.743150351612,7598.31782664534,8195.619699820078,8800.803831308363,9369.564958104645,9941.977363816248,10502.54286886681,11050.085453785774,11583.712944437959,12102.773500269497,12606.81740476114,13099.231980416971,13595.350784591423,14065.949214066068,14518.274475370756,14961.581341347213,15383.28953158187,15788.043532270605,16176.25059682465,16548.357078641257,16901.395878585263,17231.31856256746,17572.910107014573,17885.52079021707,18196.52351921998,18510.92280760276,18804.603618431414,19081.635198043306,19360.222869500714,19619.65696901264,19868.806055842106,20102.711233677503,20339.222982538722,20564.737661474475,20781.042171808804,20986.045565189677,21184.79203965414,21380.155902164694,21571.769491536666,21747.260270240586,21916.7452935596,22081.934160324334,22236.1701734026,22390.942342043134,22538.53419179431,22681.813939778993,22819.140610551316,22960.89007908567,23088.444087850785,23210.664656381185,23327.7720622935,23439.97790670702,23535.431518902227,23637.541993340732,23732.352745252687,23823.84538695075,23904.344399414284,23981.22794671554,24076.51516454023,24161.03945212164,24239.780690007763,24327.139052399234,24411.85338738626,24495.14294088659,24580.371207933298,24667.69585598689,24757.287607326216,24849.331173241877,24943.42062787069,25040.299756628323,25135.542714883308,25234.858171863205,25351.18799561964,25475.914550894617,25610.973177092266,25728.608563921127,25848.68371679462,25957.32107935644,26078.687834783206,26202.26379559853,26325.307848700584,26467.847741003585,26600.026305651394,26742.087260356748,26900.132980225862,27050.770371068822,27197.800512713922,27358.072562870097,27528.932814819964,27652.887269087358,27813.96518006426,27959.80097737886,28101.639300610725,28262.45302099679,28434.395575966264,28607.001022875684,28774.370955789862,28941.642238623037,29116.867304049898,29284.540949096718,29451.60809600495,29646.0632916201,29831.096577995948,30000.69112562025,30175.164187984967,30349.40794500601,30527.630591219437,30713.19584367171,30891.646096254197,31070.836307097572,31247.545995013064,31409.35056617186,31577.38607466085,31767.07382966544,31931.4915394067,32114.672386796687,32299.20782925788,32472.071660930655,32661.78073063418,32850.11360014214,33026.91772629562,33204.48404330164,33382.719584968705,33559.93215201224,33768.877850941135,33947.64973708505,34128.1856787959,34318.26130526715,34524.894300649605,34713.96284810324,34892.29057946969,35058.17307240653,35275.49560212219,35532.49862548225,35733.89962177768,35957.72848507464,36179.8851182804,36392.74684510525,36648.250540180794,36913.69182749344
G_low,8.0,10.564356626260935,13.741900447744975,17.667076192279797,22.5185186506199,28.461844286468256,35.77287754748825,44.820335530044275,55.87593716922869,69.35506846978078,85.82132276011065,106.02172629463092,130.61545940213438,160.51800686593234,197.1416264246442,241.87622796016316,296.1816111731678,361.9079639130708,441.1736677559113,536.3650177264526,650.1170872719412,785.2693083174083,944.7899744290429,1131.6661242719179,1348.7594858596358,1598.6352379768193,1883.3773821576551,2204.4107963719416,2562.353382546108,2956.920309146579,3386.8956858809097,3843.632709778055,4324.572805390171,4829.701324178271,5355.236710506891,5897.228480881691,6451.773506386986,7025.376120096111,7630.301937126099,8240.251631276567,8835.606410340557,9404.288939727874,9966.468641484862,10520.187421344903,11063.801523950264,11608.378911596887,12136.890218445213,12650.470935565772,13132.044128730375,13599.846436308315,14054.642566331391,14522.156141867035,14934.431329502038,15351.9191657236,15754.431674528692,16142.14466457462,16501.906767317414,16860.06594697038,17190.7668758766,17511.69198147307,17827.48240468388,18113.529153440475,18424.58347137446,18696.713920862738,18962.391411025736,19227.66216042794,19459.88947608558,19664.171361063596,19870.38492733727,20080.48465248765,20289.60910118477,20479.073466985577,20654.933683191884,20821.582628423723,20971.35569412001,21120.444255204344,21256.281622214272,21394.2201808635,21537.15937641299,21667.516094855007,21788.41086422785,21892.388522111967,22004.81952286947,22093.919425872376,22193.244088928466,22299.252513784842,22380.85495515347,22461.621753439413,22544.948284738526,22616.064581629136,22693.344260672442,22780.65760204215,22857.56588600802,22947.122914970983,23037.33899805017,23131.13034015178,23224.830287081808,23320.94438643764,23414.420969187962,23515.756054748625,23635.366001179398,23755.023088025937,23875.036560321598,23996.08743139972,24131.59224703073,24269.817528557567,24410.72450778841,24528.316983776676,24669.439570671246,24807.680140212782,24948.97366486345,25073.527360298394,25196.97513303746,25325.897483150464,25453.962267873307,25568.254502978623,25705.458167878627,25850.549857649967,25990.98820864381,26131.610709215456,26276.20476624281,26423.749702160363,26539.14106171138,26659.90619959918,26784.93798759432,26905.11104690103,27044.853236234216,27170.772120205307,27300.728760225826,27438.591700259727,27577.31868293979,27709.943593200238,27845.22974408345,27985.43190700882,28118.046260353552,28261.08751780487,28407.59618694596,28557.695937086624,28711.513457444697,28869.17842106455,29030.823434607122,29170.400628215903,29321.990326993964,29481.885401947482,29615.73191137221,29769.599375947142,29928.025297269884,30079.395796141962,30241.411016805032,30384.796518824587,30537.123838434592,30679.293394820354,30807.803174627104,30923.186336322517,31061.366349425673,31207.50040040725,31348.8059695971,31472.394970187815,31587.219813591782,31724.893441417593,31825.220535371416,31919.030433128435,32027.768703290745,32146.79926390676,32261.562242926815,32373.40849409308,32478.008312496127,32581.16302680666,32681.219029043474,32780.19105743894
D_high,0.01,0.07198647629851988,0.1310754229643853,0.19020358522432174,0.2531515037608161,0.3238132145802439,0.4057224859871098,0.5047842766201236,0.6293578409609142,0.790311985727898,1.0044701549085422,1.2836915174533012,1.6478393906231423,2.1211371425137133,2.7373031539709003,3.540390502040343,4.584560233294031,5.9454307305320375,7.685567797450377,9.904459644819488,12.672094413465874,16.150951078398602,20.45399953166725,25.714575945458073,32.06646711906943,39.638277175582445,48.54786677374037,58.86848715042104,70.70249942221537,84.11462862001791,99.14205145027093,115.5461109941545,133.43960950159268,153.0503941209676,174.1048929326703,196.34939670383693,220.27766587455244,245.71332424604338,272.47376332662833,300.6273616623145,329.2627714641867,358.13505615850454,388.2202519880295,418.7495865754393,448.9817863080725,479.6581461323496,511.5719773092429,543.8349732930311,576.6777524984353,609.4720370064699,641.1753799380921,672.7237284364332,704.05134623311,735.5725549694866,767.0135671418254,797.4397117907699,827.4053517685326,856.8713572264795,885.803689820575,914.1730948851981,942.9549290440507,971.2637361564077,998.9506855081596,1028.2545915904768,1055.3652345399662,1080.4516685526783,1106.248841495308,1131.1861202145005,1156.3913148885467,1179.7232912766576,1201.7686064440384,1224.0794577720637,1245.7371132414553,1266.666430083407,1287.7791996740466,1308.1678692218147,1328.4996917251037,1348.2068892020893,1367.8871674031143,1385.8633163057852,1403.9637006648259,1420.9900421206025,1438.0390517774426,1454.4573719452503,1469.55019187371,1484.1401573729197,1498.0834978046632,1512.1182382825493,1525.1336806765564,1538.6601150673534,1544.6838956509985,1550.5258727637902,1555.227005179993,1559.8877040474624,1564.042788557786,1567.8941263553852,1570.9287617543155,1573.8165272261394,1576.2316370637247,1578.495606189029,1580.6391971905261,1582.688003648309,1584.6634326548906,1586.7726171205877,1588.7463399929347,1590.8850586831936,1592.656895442326,1595.9066980190591,1599.3631926535304,1601.7477525201787,1604.1104669875856,1606.9021673903737,1610.7346695505385,1614.4024864412622,1617.8083266909066,1621.2575919563576,1624.4703746008238,1627.5077188560433,1630.9981922033219,1634.1556252244184,1637.7038803144103,1641.2324441590606,1644.625530353122,1649.096198189692,1653.6265778326701,1658.1758710383403,1661.8709162520631,1666.1196861060614,1670.302623065556,1674.5853419243747,1680.1003865816351,1686.8260481466893,1691.376424504384,1695.8804288535325,1702.1419234742036,1708.2532762439098,1713.387408979808,1719.0253018314083,1724.9499963799394,1730.0556136164732,1735.299874106001,1740.1762107124723,1745.8250154406915,1752.3455720190725,1758.923063442895,1765.555483860443,1772.2407695919226,1778.9768042466753,1785.761423461305,1792.6720105499378,1800.1690752628972,1807.7989430735622,1815.5151544121748,1822.2546569133415,1829.0165295993613,1836.1019944494556,1842.5969602923717,1849.400144248636,1856.2356781206083,1864.5384959584915,1872.1657291913866,1879.298975222594,1886.4012592638096,1893.9260795206492,1901.9096677908035,1910.6627461725982,1917.2437718706124,1923.8339492390103,1932.1064940232557,1938.9812159443059
D_low,0.01,0.061016989318233565,0.11041646731208482,0.16131358917541988,0.21667916394211828,0.278870901904252,0.3515523280158223,0.43825536846445723,0.542485325604593,0.6670005968324624,0.8223729910823868,1.0108960791133266,1.2436778931671433,1.5212431664542903,1.8603033034944763,2.285008718113176,2.7969242750506496,3.4448478036714802,4.189727899089355,5.128764912051555,6.281948313719205,7.647605205185859,9.320044213692608,11.347858640753579,13.806253697902573,16.77671308452692,20.31138747657168,24.511296791446284,29.426394601711017,35.197266728460875,41.93161784275832,49.735235681141944,58.71103309699891,68.9556448429367,80.48168727983519,93.32148160055793,107.57604515540834,123.27733385946746,140.44047432029055,159.06366915717078,179.12866299616195,200.60168116733658,224.1314686131032,249.1052435660324,274.9212227481788,301.16109177021673,328.26821996639245,356.7643984396533,385.4759480106936,416.1603660030368,446.6343806185155,477.41588267521234,508.52152340526084,540.4826478751904,573.3081670312898,604.1071836120583,635.8211795863958,666.4846577152041,697.2687773699671,727.8172993115417,758.0730685686677,787.489615302995,816.487119758706,844.3662324815434,872.8574241173932,899.5706305584036,925.751562410724,951.1353857736924,976.6642041062975,1000.258981990668,1025.0987576092882,1048.4988944173106,1071.261320422079,1093.3835798964192,1115.132697490459,1135.7088308649195,1155.8552765521424,1174.6066423688799,1193.916518991509,1212.3767988929292,1228.8174229925844,1245.307303973651,1260.7995119246746,1275.7575538843305,1289.9780153672095,1304.1849061318007,1317.9678701485461,1333.2057968719782,1345.2087012827594,1357.2462297320058,1373.224587061348,1383.0663220177585,1393.2129205243073,1401.8826476043414,1409.8936587641988,1415.8446091451608,1421.2646907060382,1426.4050060482589,1431.231442923886,1436.0536291452372,1439.8344574456787,1443.9015137889364,1447.8618514971886,1451.744799154917,1455.5750182897107,1459.3735318410772,1463.1567410091745,1466.3538875662384,1470.1686822627141,1472.0690705485938,1474.7507801060444,1476.82243016387,1478.8143854024574,1482.0870286539246,1483.552768355866,1486.3408002331532,1488.2093053665935,1490.0978967585322,1492.3857700064857,1495.0659015520573,1499.18282049269,1500.295193089491,1503.0965647481817,1506.76508669337,1509.0428012175707,1511.4383064897631,1513.6983468633923,1516.3696721211652,1518.649603923992,1521.1706629231935,1523.169583945259,1525.454524035501,1526.7901697157463,1528.665980547452,1530.7363074246698,1532.8608314776789,1535.8181476656705,1539.5015572968846,1541.8589755989794,1545.4546139843224,1547.6333646986286,1549.1780864029488,1551.39464509903,1553.8002110358232,1555.2962983989112,1556.1697307691572,1557.927246294254,1559.8486251873499,1562.17004944368,1564.4959660458303,1565.5372294959834,1567.5384550077201,1569.9682179928197,1572.1318138086203,1574.3634846720356,1575.388170272207,1577.2035025338164,1579.703032137563,1581.5667203323471,1583.0399297235617,1584.5054187181793,1586.4065295579946,1589.1260387902018,1591.1144066904233,1592.2141275980293,1592.9540050982803,1593.7078579846875,1594.5206827673271,1596.1736904592271,1597.2957820644826
