series,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,8749.945319564376,8746.673696458809,8742.274123974988,8736.35938240693,8728.41066396332,8717.733940045247,8703.40273764926,8684.1838071403,8658.441858434982,8624.019804226438,8578.092427061596,8516.995203111741,8436.037973200982,8329.327888396272,8189.650849502236,8008.498223541119,7776.374686205868,7483.571090827571,7121.598070462454,6685.383822098405,6176.05511078882,5603.607827986872,4988.198605359812,4358.640710726299,3747.5603871263847,3184.525032856437,2690.0348928034864,2272.9761288124496,1931.9828937502157,1659.0590899562114,1443.3470229096658,1273.8127606185278,1140.6583599177275,1035.805034822838,952.8650615419299,886.9011304767583
I,6.0,8.071623105568296,10.85687096827559,14.600238342679502,19.628909117754382,26.379851212275682,35.43508336580874,47.56699720160723,63.79554646660374,85.45849138182686,114.2941702703045,152.53256016609913,202.98327804363876,269.0967072396209,354.9544046857327,465.1161497097036,604.2164571030141,776.176761060708,982.9144292136834,1222.5457917349959,1487.365344697582,1762.3395585600133,2025.2808694750702,2249.7825902135687,2410.9063957707694,2491.760470886563,2487.898516762201,2407.3775774007972,2266.8952969828715,2086.4400413803014,1884.8641001507867,1677.4255424117675,1475.0948346302143,1284.929192799061,1110.8833275201569,954.670593081297
R,0.0,1.2000000000000002,2.814324621113659,4.985698814768778,7.905746483304679,11.831528306855555,17.10749854931069,24.19451522247244,33.70791466279388,46.46702395611463,63.55872223248001,86.41755628654091,116.92406831976075,157.5207239284885,211.3400653764127,282.33094631355925,375.35417625549997,496.1974676761028,651.4328198882445,848.0157057309812,1092.5248640779803,1389.9979330174967,1742.4658447294994,2147.5220186245133,2597.478536667227,3079.659815821381,3578.0119099986937,4075.5916133511337,4557.067128831293,5010.446188227867,5427.734196503928,5804.707016534085,6140.192125016438,6435.21109194248,6692.196930502292,6914.373596006323
G,6.0,9.271623105568295,13.67119558938925,19.585937157448278,27.534655601059058,38.211379519131235,52.54258191511943,71.76151242407967,97.50346112939762,131.9255153379415,177.85289250278453,238.9501164526401,319.90734636339954,426.6174311681094,566.2944700621454,747.4470960232628,979.570633358514,1272.374228736811,1634.347249101928,2070.561497465977,2579.8902087755623,3152.3374915775103,3767.74671420457,4397.3046088380825,5008.384932437997,5571.420286707945,6065.9104267608955,6482.969190751932,6823.962425814166,7096.88622960817,7312.598296654715,7482.132558945854,7615.286959646654,7720.140284741544,7803.080258022452,7869.044189087624
