state,ratio,H1,H2,G30,G45,G60,D30,D45,D60,G_impr_45,G_impr_60,D_impr_45,D_impr_60
Kerala,0.8466589961038237,6025789.182674637,5101788.620136589,2613780.9302849555,1478221.2326775175,1070601.668356766,16817.92148592095,10912.185805717483,8826.50509274441,0.4344509841854416,0.5904011480258031,0.3511572868946634,0.47517265435366196
Delhi,0.3923399999817254,1272496.3315876187,499251.210711832,937076.8519462387,407848.3878837747,111979.52590671158,16496.238239191334,6620.60347736764,1653.58245972835,0.5647652729477801,0.8805012356519761,0.5986598046554286,0.8997600279680847
Telangana,0.305359958117524,2025761.0022131924,618586.2947919338,236781.75290245225,68535.05393148179,31351.145430102595,1441.3156681792925,418.87107260982884,196.66632337667716,0.7105560158610854,0.8675947574261837,0.7093828355179419,0.8635508322579251
Rajesthan,0.28985181785168124,5077990.0812946195,1471864.6560960524,339695.4512544784,12350.546947070048,1696.3242943518562,2703.337229195884,98.05496793667953,15.35299028708323,0.9636422951751044,0.9950063379180162,0.9637281775733743,0.9943207269439891
Haryana,0.33903676406012895,2455202.2334211343,832403.8203323027,468018.6396173133,84842.36881842546,14185.07132442086,5254.883307819002,797.3221162208793,143.26808241428807,0.8187201071995789,0.9696912256827642,0.8482702527314918,0.9727362009730811
Jammu and Kashmir,0.4556635938021284,1731504.522045195,788983.5731997503,274707.08941622206,118439.02546797629,53829.80504090135,3574.382125046669,1506.8097318334148,683.0769072833637,0.568853407752708,0.8040465386048294,0.5784419015317952,0.8088965075958562
Karnataka,0.3753701977237165,38664015.58408101,14513319.174589343,2196558.4888840592,599368.4351416668,217026.32443165826,27312.751969005563,7194.988004913699,2826.2325498165883,0.727132949941993,0.9011971110580732,0.7365703751464315,0.8965233326534144
Lakshdweep,0.0,71288.29185115303,0.0,1016.7409674106348,581.2430066329653,448.6786047292917,11.987715772911088,8.25827063618874,7.081359372719874,0.4283273466267081,0.5587090329683919,0.3111055690150628,0.4092820094448868
Maharastra,0.32890667904145593,6411759.763809166,2108870.6107261027,2401694.7150082234,858627.8025259431,457989.40083516296,35164.0947162862,14974.79462729831,9940.955875578453,0.6424908639885136,0.8093057381634806,0.5741453107745511,0.717298114574401
Punjab,0.2983077258208961,1632058.5275677694,486855.6677653416,345782.0541868841,39690.603286793455,9507.107115781866,7540.637413388504,845.9676189906095,219.98784286466616,0.885214970510465,0.9725054929812997,0.8878121871383734,0.970826359788355
Tamil Nadu,0.4051945491498848,6564417.46634717,2659866.1757081705,1566472.5074193901,512243.92631662916,253090.78762297286,24222.031607673067,8328.724870425773,4614.432460318232,0.6729952655469831,0.8384326654797695,0.6561508545060524,0.809494408435316
Uttar Pradesh,0.30424057734301624,5317635.115106979,1617840.377519644,895147.1776060399,115643.48251366359,14419.572137707844,9482.546113101544,983.4950343286619,137.8239760740762,0.8708106494588547,0.9838913951823306,0.8962836539260466,0.9854655095340215
Andhra Pradesh,0.38572260167600125,10611171.30370312,4092968.6020940933,158859.0270307674,67838.53006217023,46892.90480567445,868.4824697274526,392.6983776010038,281.7874344028278,0.5729639584848305,0.70481435218288,0.5478338466356834,0.6755404464395713
Uttarakhand,0.36513558990682204,467088.78999384766,170550.7408732673,253965.7957055822,61725.774916532915,12388.716360489838,5553.089829224828,1214.1520929269227,250.63145158866246,0.7569524087090435,0.9512189571588929,0.7813555821594894,0.954866306993696
Odisha,0.09054369883726733,1656770.8151098583,150010.1577256809,72378.44906231982,39586.11964159494,29814.05873057095,428.6407745279412,306.96824404807285,269.0537833780154,0.4530675891174428,0.5880809948704451,0.28385664106235664,0.37230940366249043
West Bengal,0.44757970860894725,3212928.630472164,1438041.660208075,238230.35392555222,94338.44456580095,60469.01174324984,1831.7921779182761,761.5091003521375,506.5394448716397,0.6040032556250912,0.7461741933937327,0.5842819346365221,0.7234733006408555
