state,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,h,Hiding_init,c1,I_initial,metric1,metric2,r1,r2,reopen
kl,0.9087508886236436,0.2953649585853431,0.8664827265872543,0.04,0.04,0.05316126115748447,0.4999432828711005,0.0032202405443050425,0.010819430511860422,0.5519799033089946,0.03333333333333333,0.7851774893354508,0.8500000000000001,0.04053471821531797,0.003991344643377546,0.0173987853588342,0.9997966913677082,0.9886856017911564,2021-03-24
dl,1.6332863905027222,0.2898482914074254,0.8973210778327491,0.0400264200295512,0.09775951344929984,0.04000117281901302,0.4494891987976493,0.02797608314375568,0.04788603293817595,0.5146268075056049,0.03928360988827548,0.7871175047844522,0.8500000000000001,0.00035129141696422405,0.004449306166507207,0.008461673231906875,0.9997583803890584,0.9990149180914916,2021-03-25
tg,5.789067493610887,0.29888756031146835,0.8962859701286306,0.04441878480942323,0.178379651838604,0.0707432700847802,0.484780737166288,0.01679951851798582,0.16491299912923796,0.09889305715861724,0.034305670903539864,0.7564397621763433,0.8200000000000001,0.0033262101579629422,0.003058304669134318,0.010124379726313222,0.9998175097322116,0.9978103484879102,2021-03-19
rj,17.919186697691604,0.21397204857188948,0.7196755892752994,0.047913145158789784,0.17035903246055295,0.14773355686185458,0.35595908529101083,0.015672886312777575,0.11447977032342455,0.07940400865281838,0.03339382455150528,0.7075590810690016,0.9500000000000002,3.18512359258962e-05,0.0046688715442334645,0.011919886627480185,0.9998582178163782,0.9989908428222168,2021-03-25
hr,9.870315846424381,0.20383227325220246,0.8493335068317982,0.04,0.04263146765813044,0.04977990448520199,0.4839984479622431,0.014056846116947684,0.13498982973642265,0.19016548071414774,0.03333333333333333,0.7939641420048092,0.9600000000000002,7.127977988572289e-05,0.006352526881792176,0.013169353342005191,0.9996952975821112,0.99809448701022,2021-03-27
jk,26.153354961663357,0.2,0.11021345386841457,0.2,0.1701369039694234,0.2,0.13455814621312132,0.003854524313305881,0.1906154068789176,0.03683188662659,0.03333333333333333,0.5268774371926414,0.8,0.0006365139118946699,0.0066391755955098495,0.011906157515254787,0.9993272072775408,0.9954740487463688,2021-03-21
ka,3.6720350569950737,0.2,0.8044143863856739,0.07380150937612659,0.14806107672357294,0.1208867278038042,0.4997335472709678,0.014900410468955563,0.19869123433894664,0.21063369296155868,0.03333333333333333,0.637901065482386,0.8200000000000001,0.0003700830317953833,0.0038770076475229775,0.00939345333528001,0.9998867371400312,0.9979018347615872,2021-03-27
la,8.809118726349395,0.2,0.10040646205685612,0.040000001013203015,0.19976618996517265,0.04,0.01,0.001969464112156971,0.15734340638618394,0.26351286146827874,0.033876878350152365,0.6272549950335847,0.9600000000000002,1.5649445851865436e-06,0.012056221360465537,0.008097146693266295,0.9962698081601624,0.9910794116441022,2021-03-23
mh,7.1359283644448075,0.20000008285488166,0.1,0.050408982609260036,0.2,0.04049781794224837,0.015934420271962634,0.002244177514905539,0.06075704263120034,0.0825512063478256,0.05949825747433901,0.2650879690499748,0.8200000000000001,0.0008139851706033466,0.006503994454450207,0.010076266025806569,0.9998421468583814,0.997658421208512,2021-03-22
pb,22.987962515899486,0.2,0.10000008939474404,0.1997115203334094,0.1997034439183017,0.199999744823792,0.4440627834370672,0.0200302087173628,0.13283532355867725,0.04591041893410086,0.03333333333333333,0.3996798628165942,0.8200000000000001,0.0005703595053463616,0.008016306727144347,0.01226410555455769,0.9996438645792176,0.9975421491381992,2021-03-28
tn,0.6859201755879965,0.20111411832436588,0.49832093795537896,0.08695184599364722,0.1933390429773775,0.04862774598820364,0.02471973608886829,0.002194389462830624,0.12770012648365053,0.41149542665020383,0.07074045344358622,0.4840945499418714,0.9300000000000002,0.00024615385238146325,0.0031915618243664933,0.010540540177339842,0.9998596684861558,0.9930917274662416,2021-03-16
up,8.673252478006809,0.2999999999622921,0.9,0.09824136156977326,0.04,0.040079373959026776,0.4995897014455905,0.007647239353345961,0.02671096434155229,0.0674218399172557,0.0714279275642648,0.6373440280596473,0.8400000000000001,1.6072820989594346e-05,0.005606476455273281,0.011503824846130405,0.9998141591772124,0.9984959719891668,2021-03-23
ap,3.26704824388842,0.20001476917880068,0.7092562822629185,0.19999661129649246,0.19779502592961748,0.056734093796698686,0.482490916430902,0.0048469689983771155,0.045272094373847625,0.1245720671284069,0.07142857130759173,0.5569901007715314,0.8200000000000001,0.00021646727373382443,0.0020992250517140603,0.003684422432788421,0.9998545507089001,0.9985993692426848,2021-03-23
ut,1.3895458794817324,0.3,0.8544275527955216,0.04,0.054467647604447056,0.1088015940714554,0.3700335299597589,0.02606319168588359,0.08425391839987625,0.33667975066046096,0.06630976653015756,0.8246324762864824,0.8400000000000001,0.002332678991705449,0.010131463741161313,0.011071807354804387,0.9994174298550978,0.999398179262636,2021-03-16
or,2.0677290903476977,0.20590258061783911,0.8794965469822894,0.04216057865978071,0.1998521841124344,0.04,0.4998239390671826,0.005557094903352509,0.063334517652976,0.19190553740252256,0.07142857142857142,0.8946314443878604,0.8900000000000001,0.004172550690885778,0.0023068688493896147,0.0015540829708100056,0.9999067164765374,0.9994875229959536,2021-03-24
wb,2.6830622128873634,0.2026187021700792,0.750304427753544,0.11991239579223427,0.17449351540220145,0.04438494793572738,0.42272984939407504,0.007207973958112878,0.15169549373730987,0.1954236576190364,0.03614901405942293,0.8768930943043813,0.9700000000000002,0.0014564062427448227,0.001979899848688153,0.002412263335191346,0.9999463386212036,0.9993377635195716,2021-03-16
py,0.9013291302960214,0.2000000958014617,0.4699734145929264,0.13147712831538233,0.04,0.06823114907215011,0.4959983575928194,0.010130089645728636,0.1267078123589672,0.36924876245310057,0.07142845125175877,0.6012527806677379,0.8200000000000001,0.0011019360107026913,0.004980408299283816,0.01913701476870694,0.9997118779983388,0.9915822046111301,2021-03-17
ch,0.9798480239508788,0.29906107664927056,0.6970006097935989,0.0501287271611281,0.07728804774610101,0.19999993094715446,0.3256494735893892,0.00953880475452455,0.06615029947516908,0.4675208956776002,0.03333333333333333,0.34739430983086594,0.8600000000000001,0.0005678324656426089,0.007869508025618211,0.029484396807415887,0.9995060088465176,0.9856318872127728,2021-03-22
ct,2.6586307867156846,0.2,0.8721791169264241,0.1477492334216466,0.11076796687409513,0.04993344640471405,0.3938556409965393,0.01040725125036955,0.07190809569032114,0.2837251420161043,0.04204978354348656,0.7573892057712873,0.9000000000000001,0.0012280491599123786,0.006107624957398117,0.00989543935402684,0.9997955030136422,0.999739991877608,2021-03-16
gj,3.2048046876947565,0.2855050937628885,0.8973952681531544,0.2,0.2,0.18422395445621015,0.4988313027377521,0.01088317858720268,0.13472882378269588,0.22806593566926603,0.033425789180975767,0.5445356440738094,0.8800000000000001,0.00042439635322124333,0.0064568250671588655,0.02468706928573886,0.9998102292925659,0.9929656219357932,2021-03-19
hp,1.9119933765286343,0.20438231961831485,0.7305450401109557,0.06768742347778538,0.1647760033590536,0.19936677388503035,0.4702631329730692,0.029812023004818018,0.17227369637458512,0.3517603596778183,0.03333333333333333,0.4930186969098501,0.91,0.00018385924550677057,0.011701238787913338,0.007579322479960219,0.9989614915971576,0.9994970158919636,2021-03-25
mp,6.666563762386515,0.20961927475021455,0.8839530610079531,0.13744023906451236,0.13589448236527926,0.2,0.4925414392465966,0.007467253615866533,0.15651787746412407,0.1331882712673617,0.033375993949444537,0.59269723511353,0.8700000000000001,0.0005830727438778919,0.004105658591193505,0.005620934367721118,0.999906924097345,0.9993976028055492,2021-03-16
br,15.364543479868765,0.20000005414146016,0.8866913991512273,0.06976438084175629,0.19844823028855693,0.16803372427959803,0.4698642822239771,0.013090424178982143,0.09515162490838552,0.05770638390255114,0.0648679771941593,0.8467853869058419,0.81,0.003712460684913308,0.003438974696245824,0.01527385348663408,0.9998886893912998,0.9977797909158006,2021-03-16
mn,7.070774236378991,0.20006415995225346,0.7587657577731753,0.06371627661674313,0.1963577478532829,0.1999954837517349,0.4637738556588283,0.06201327519382846,0.055349610731788665,0.11557501794086245,0.0339128576810867,0.7700355025327881,0.91,0.000803658971616174,0.0030723796419815106,0.01086491587703282,0.9992111033907268,0.9959473291144458,2021-03-19
mz,2.4494534800364702,0.24543887163537295,0.8675038164429376,0.04001305371100184,0.04,0.049065378118711096,0.460627887790346,0.006406363989586318,0.16617736062296787,0.1362455102536773,0.07123140646781502,0.9,0.8900000000000001,0.0070741515237424425,0.007159724010150122,0.044661393951164634,0.9992528203138172,0.9865581382850384,2021-03-23
ga,8.234374047957102,0.20197978738818495,0.33835838908021754,0.15876144088816851,0.19983061250557024,0.1844322003584216,0.29652487392858706,0.0136937989386456,0.042145330255586685,0.2447792865331717,0.03333333333333333,0.7331027206493614,0.9400000000000002,0.0004079083221195685,0.010945769934283698,0.019292791137956726,0.9990259662802772,0.9977295459594576,2021-03-26
an,46.81417719300589,0.20000142123028605,0.7548658528360688,0.04000159152789783,0.0400000051404248,0.1978341306885633,0.02976157619928921,0.0041019810363879415,0.16835054902926158,0.02369072037267997,0.03353706375359723,0.8362925263718668,0.8,0.0040556434641562155,0.006026625093006709,0.019336554279926584,0.9965033705634536,0.9757948085815326,2021-03-18
as,2.2845912495579346,0.2073791304562704,0.8998036818798082,0.04117404452909795,0.0598758357835418,0.04,0.4494774213585003,0.021371231207306832,0.15212426926682054,0.17306906812872985,0.06311707649705535,0.8964831072247655,0.91,0.00042319151265949884,0.002403054883526003,0.009312569456268191,0.9997501862459902,0.9988487546720868,2021-03-17
jh,7.407887126016943,0.299998636626973,0.8999235676714277,0.2,0.09036432329897606,0.10053259415653107,0.4686115687628622,0.013765442002781236,0.06928322243863752,0.11275140398374375,0.03782078430680131,0.6986810113011753,0.9000000000000001,0.0001410304529952545,0.006813499642026398,0.02832808892959096,0.9996892063209424,0.9980117285738026,2021-03-24
