series,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,7160.710355825672,7157.542714863392,7153.338137992784,7147.758972765375,7140.358983707531,7130.549473280132,7117.555624797596,7100.360856606765,7077.636971562014,7047.658370944761,7008.200039339528,6956.422147755016,6888.750101187957,6800.769209474131,6687.169574200781,6541.800198643731,6357.919754584681,6128.75586240044,5848.483422474416,5513.667562633824,5125.043643022583,4689.214016680152,4219.523943061274,3735.290781809213,3259.0063280797494,2812.122717155143,2410.9855919960746,2064.547913996158,1774.4893001307948,1537.0959321292457,1345.6854186771502,1192.6351193158487,1070.662823044435,973.4362517219544,895.7404462356452,833.4138228387059,783.1922455589128,742.536139742311,709.4739192453121,682.4724412622622
I,6.0,7.9676409622803535,10.578689640432064,14.04211693975475,18.63368260964853,24.71645651511737,32.767013694630094,43.408379146535005,57.450588361978944,75.93907130683536,100.20958865070091,131.94556250507242,173.22849657111783,226.56368897072073,294.8505864499256,381.2498447169903,488.88031983264256,620.2681480503554,776.4869583663075,956.0054265336387,1153.4282608381518,1358.5722350129524,1556.5478616292398,1729.4714505554527,1859.861614173826,1934.772902263667,1948.955446970002,1905.602035575918,1814.5402423260975,1689.0255618624271,1542.630962942037,1387.1550697149312,1231.6963520433587,1082.5836529571677,943.7627278520433,817.336805678574,704.0910218226522,603.9289232747235,516.2053591167776,439.9657652764719
R,0.0,1.2000000000000002,2.793528192456071,4.909266120542483,7.717689508493434,11.444426030423141,16.387717333446616,22.941120072372634,31.622795901679638,43.11291357407543,58.3007278354425,78.34264556558269,104.73175806659717,139.37745738082074,184.69019517496488,243.66031246495,319.91028140834806,417.68634537487657,541.7399749849476,697.0373666582091,888.2384519649368,1118.9241041325672,1390.6385511351577,1701.9481234610057,2047.8424135720963,2419.814736406862,2806.769316859595,3196.560406253596,3577.6808133687796,3940.588861833999,4278.393974206485,4586.920166794893,4864.351180737879,5110.690451146551,5327.207181737985,5515.959727308394,5679.427088444108,5820.245292808639,5941.031077463584,6044.27214928694
G,6.0,9.167640962280354,13.372217832888133,18.951383060297232,26.351372118141963,36.16088254554051,49.15473102807671,66.34949921890764,89.07338426365858,119.0519848809108,158.51031648614344,210.28820807065512,277.960254637715,365.94114635154153,479.54078162489054,624.9101571819403,808.7906012409907,1037.9544934252322,1318.2269333512554,1653.0427931918482,2041.6667128030892,2477.4963391455203,2947.1864127643985,3431.419574016459,3907.7040277459228,4354.5876386705295,4755.724763829598,5102.162441829514,5392.221055694878,5629.6144236964265,5821.0249371485215,5974.075236509823,6096.047532781237,6193.274104103718,6270.969909590027,6333.296532986967,6383.518110266759,6424.174216083361,6457.23643658036,6484.2379145634095
