state,state full,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,c1,E_initial,I_initial,h1,Hiding_init1,reopen1,antibody ratio,h2,Hiding_init2,reopen2,metric1,metric2,r1,r2
kl,Kerala,5.2168077446099375,0.2000102841732278,0.4738799962706156,0.04,0.2,0.1044722730156482,0.0136979599757945,0.001,0.1979209189208595,0.0755092350178181,0.9700000000000002,0.0198346215245926,0.0071075318150171,0.0342593234862948,3.097134535442626,2021-03-21,0.4003934789936317,0.0343547878109927,3.408502655531664,2021-07-01,0.083167334047796,0.06633524292542,0.9392181717318904,0.9797744607630424
dl,Delhi,10.909721277933132,0.3,0.1,0.092437946957091,0.2,0.2,0.1442239146158709,0.0083985777544014,0.01,0.0372700490137763,0.8,0.0002564126638036,0.0003466681324316,0.0338294236747924,1.554833982687914,2021-03-16,0.4138820033967587,0.0347313072239991,1.6191457512096974,2021-07-20,0.004582933508619,0.0063285417285451,0.9996347437412886,0.999415557003747
tg,Telangana,50.0,0.3,0.1192416159906226,0.2,0.2,0.04,0.5,0.0063427385963857,0.2,0.008717316163227,0.9700000000000002,0.0019103281246422,0.0,0.0333333333333333,3.099815454720259,2021-03-20,0.3831055792974596,0.0333333333333333,2.54472838884093,2021-09-18,0.0144907392908849,0.017029141334666,0.997008924192112,0.99658675626657
rj,Rajesthan,45.308662113637006,0.3,0.1,0.2,0.2,0.2,0.1741245552001178,0.0034791874687547,0.0115553599934659,0.0107767463802229,0.8200000000000001,0.0005672057593702,2.591890435099812e-05,0.0333333333333333,1.2452432482323663,2021-03-20,0.3999970576451147,0.0350928141012108,1.7008592050718423,2021-08-18,0.0070483713131355,0.0095745523409454,0.9993779010643402,0.999241929688017
hr,Haryana,24.32515273268022,0.3,0.1,0.2,0.2,0.2,0.1195564769565109,0.0030592510827554,0.011732808351874,0.0197409154940012,0.8400000000000001,6.0935980816229314e-06,0.0016590010152326,0.0333333333333333,1.54491109379921,2021-03-22,0.3999915273826291,0.0347383770079922,1.6864214659523165,2021-08-06,0.011564616451098,0.0527840525510087,0.9989568076877658,0.9782933600653396
jk,Jammu and Kashmir,15.835450662340602,0.2965013056589471,0.1000000002788464,0.1999999870293844,0.1912686914803722,0.1999999991407528,0.4993661991025878,0.0133674820070109,0.0824309082437949,0.0270309197676686,0.8,0.000927826079662,1.0423946124107814e-05,0.0360525073849416,0.9280362649619744,2021-03-19,0.4016863888595584,0.0341878398238082,1.2134614282075535,2021-07-26,0.026717837080946,0.0191708924297593,0.9908084992200084,0.9952947254737616
ka,Karnataka,2.2644926782643053,0.2954279202981732,0.679012988868473,0.0434387882993341,0.152166415267989,0.1975133303852976,0.1179069979839844,0.0073372974527307,0.0251350933309092,0.1182923831214385,0.8700000000000001,0.0009014054524753,0.0,0.0333333333333333,1.32323809181718,2021-03-18,0.3997984275361653,0.0333333333333333,1.068958786941953,2021-07-08,0.012699530333351,0.0103674497427338,0.9980406492935948,0.9991428816997951
la,Lakshdweep,1.0,0.2,0.4009248219006261,0.2,0.2,0.04,0.1265983574683492,0.002110135091648,0.0665019382267076,0.1393231589831989,0.9400000000000002,0.0020844548437167,0.0107186720443381,0.0714285714285714,4.071578819251811,2021-03-16,0.4000022074347291,0.0336621407350591,4.243179105733297,2021-09-25,0.0654348812732709,0.0942445414950264,0.9267704134408792,0.7012085684347711
mh,Maharastra,1.0000009484881016,0.2999999996606395,0.768848807751971,0.0443389119474111,0.1486908883507271,0.2,0.0289835083815845,0.0027136025106738,0.0123635200022207,0.3580562687222463,0.8,0.0008235249262,7.6111996157529505e-06,0.0333333333333333,0.2846879756064325,2021-03-15,0.3969775256972379,0.0409388423838093,0.5129500728686504,2021-06-18,0.0237354559174552,0.0323107449190571,0.991186344619303,0.9781391592473668
pb,Punjab,17.441510843320028,0.3,0.1,0.2,0.2,0.2,0.1423764260006559,0.0075809133565019,0.0620339350116631,0.0298905383282879,0.81,0.0007086741417034,0.0012389134415402,0.0333333333333333,0.7497904605744758,2021-03-22,0.3999981856014751,0.0333333333333333,0.9440385071697536,2021-08-08,0.0203228457973985,0.0110554953202187,0.9990380436035798,0.9991275928381428
tn,Tamil Nadu,5.477187928545235,0.2430311628708612,0.3794892488377528,0.082991528937903,0.1563165677276166,0.2,0.1157625539407786,0.0050893740832738,0.2,0.0439623321407036,0.8,0.0019732464197186,0.0010638167657289,0.0333333333333333,1.3768928229874084,2021-03-17,0.3898588755271542,0.0336647650165179,1.163773944581311,2021-07-19,0.0132365834413628,0.0601677402380574,0.9992574503343272,0.9483348390311356
up,Uttar Pradesh,50.0,0.3,0.3711358989643515,0.0400138469030455,0.2,0.2,0.0979380502646786,0.0073219108363636,0.01,0.0066217528481923,0.8300000000000001,0.000171758485317,0.0,0.0714285714285714,1.579567469723027,2021-03-16,0.42777890404469,0.0333333333333333,1.6641896886026557,2021-08-07,0.0133886924119641,0.0399509255927769,0.9978591164846424,0.982335757179178
ap,Andhra Pradesh,2.066492470272239,0.3,0.7842949399356245,0.0400850354280294,0.1180061704080389,0.1999917632232608,0.444939808378355,0.0097956265674376,0.01,0.096813657998912,0.8200000000000001,0.000405086586102,0.0006918641939535,0.0714280448089328,1.5702176801232886,2021-03-15,0.4021722039588169,0.0335847404163597,1.0920980535657574,2021-06-25,0.0133900651374474,0.0495034899961053,0.9963385929572,0.9535047623801202
ut,Uttarakhand,18.1603537772698,0.3,0.1,0.2,0.2,0.2,0.203093879599668,0.0097511641428219,0.0123134195111882,0.0231952142491245,0.81,0.0007555833130721,0.0008786855344623,0.0333333333333333,1.5927522027528758,2021-03-20,0.3999483791695556,0.0334043181921938,1.5948681785265704,2021-07-28,0.0168802887340778,0.0213194449516168,0.998061401608844,0.9967655329867828
or,Odisha,12.886355898284693,0.217202784588302,0.1688389544298788,0.04,0.2,0.0849702840314267,0.0303077122343007,0.001,0.1835523236444897,0.0197637591643031,0.8,0.0005738886644499,2.791209872564403e-07,0.065317086961627,1.0905028024665957,2021-03-15,0.3981256164397046,0.0333333333333333,0.922877516561042,2021-07-17,0.0183598462887083,0.3440963461533308,0.9955548344041834,0.5572262373245978
wb,West Bengal,17.564980430113337,0.2921339071119804,0.1023147600740541,0.12036596304962,0.1790495990297876,0.2,0.1386097305717268,0.0028537322857219,0.1515398157300068,0.018092142298857,0.8,3.3500561867697755e-05,0.0009237898512936,0.0714285714285714,1.023144099425929,2021-03-17,0.3894615684015658,0.0333333333333333,1.136748503396598,2021-07-17,0.0057116179050258,0.0292047905426554,0.9997001709071912,0.9844749136651944
py,Puducherry,3.889784231965598,0.3,0.1,0.1999943165655208,0.1994616243094817,0.2,0.4991486207231458,0.0158241708915806,0.1513015469341025,0.1088771077424611,0.8,0.0010386945498758,0.0,0.0333333333333333,0.9509968664847376,2021-03-19,0.3997499567772734,0.0333333333333333,0.9207683382721032,2021-07-02,0.0338219428161437,0.0263671298019285,0.987943329031649,0.9926909826654624
