County,beta,gamma,gamma2,a1,a2,a3,h,Hiding_init,k,k2,eta,c1,reopen
AL-Jefferson,8.280872857474769,0.0400084846545818,0.1894945166512847,0.0192523288413786,0.0239301826919701,0.159180084108741,0.0079590335737042,2.743623718522638,0.1,1.9966135953818995,0.0473813859831617,0.97,2020-05-12
AL-Mobile,17.122274073461636,0.04,0.04,0.4963357346546826,0.1041253286001437,0.1299543586062375,0.013927076759574,2.2657066846174327,1.4751139610542126,0.1205970876909192,0.0196167685162696,0.95,2020-05-18
AZ-Maricopa,36.65132025619652,0.0502438818548548,0.0421949041596802,0.4888869127712918,0.0678829522104307,0.0679096250827242,0.0165000953325029,3.405318518832969,0.1024922795314653,1.9287601242421988,0.0074504238394663,0.9,2020-05-23
AZ-Pima,9.752093859221596,0.1185388488084513,0.1448586161354643,0.4869203412323807,0.1352270673663496,0.0507733447434176,0.011667192455617,1.1616500724987364,0.1077568418318858,1.3267070508850662,0.0411337062393781,0.95,2020-05-18
AZ-Yuma,4.609318168974701,0.0877619392891462,0.0581130523496411,0.2255271175959225,0.0135279242788695,0.1024968851426786,0.0184692768627893,1.2467262387747542,0.3469262817840599,1.442130836291893,0.05,0.9,2020-05-15
CA-Alameda,8.881228930762225,0.1114981038864805,0.1052743459771473,0.5,0.0408884009061508,0.0560803152238156,0.0041073355254937,1.7900703474598991,0.1,1.6331796532985416,0.0393481905093286,0.96,2020-05-26
CA-Contra Costa,6.2324499716674895,0.0404801553289497,0.2,0.4936438538748656,0.1432289818781134,0.0780976033232961,0.0056626260313676,1.714343540374412,0.1622773428855632,2.0,0.048631669356923,0.93,2020-05-26
CA-Fresno,10.058599945785032,0.04,0.0433403442224723,0.1244774299171604,0.01,0.0901805975198056,0.0127375528828895,1.6593514369509923,0.1524935295031627,1.6231286745080016,0.0181689501974217,0.9,2020-06-02
CA-Kern,7.591472573595681,0.04,0.2,0.0341380131316708,0.01,0.1543331413345908,0.017552281216943,1.3540200883447069,0.2243712525300246,1.0794428510116534,0.0449427881781202,0.91,2020-06-08
CA-Los Angeles,6.475814728284563,0.04,0.046299209635032,0.1364080132005058,0.0238117035532228,0.1612238636438995,0.0707002509568869,0.8587408876305105,0.1,1.8608028795535343,0.05,0.98,2020-05-28
CA-Orange,5.149922674307725,0.04,0.0467061429618281,0.0839396043540725,0.01,0.0981149101855128,0.0402788052397579,0.9090932247173884,0.1533137528392651,2.0,0.0437515658337943,0.98,2020-05-31
CA-Riverside,8.461484119963012,0.1384191084088282,0.0640998065172773,0.4810586018125655,0.0382768757140485,0.1498714050529441,0.0083736271100906,0.8278184606553254,0.1034359126155889,1.3409559695805169,0.0407309025910076,0.94,2020-05-26
CA-Sacramento,99.99997552123249,0.0415985868075608,0.04,0.3490398747816642,0.0360706408572808,0.1896172105693834,0.0099753302768966,3.931948892670728,0.1469078564736579,1.8421651517865023,0.0042127331414991,0.97,2020-05-26
CA-San Bernardino,78.3440484924784,0.0400366262629142,0.04,0.1660193384587861,0.0219946832264607,0.1468577967250688,0.0112781078185267,4.1652316986418825,0.102318210780673,1.75629411169363,0.0050388069101524,0.93,2020-05-26
