County,beta,gamma,gamma2,a1,a2,a3,h,Hiding_init,k,k2,eta,c1,reopen
CA-San Diego,11.638857251848464,0.1384124907546449,0.1998009664225689,0.4871565004531851,0.0565604745451178,0.1205940712838301,0.0057757024700986,1.1635459542059572,0.1127700866658042,1.9745175861349116,0.0404413688250822,0.93,2020-05-26
CA-San Joaquin,74.22126959067613,0.0933110913299935,0.0531823072500836,0.1187732941399273,0.01,0.1555197613055729,0.0107657060049725,5.0,0.2464118445339581,0.9917340055912414,0.0056633627693024,0.95,2020-05-26
CA-Santa Clara,6.848073955953988,0.1572513753834544,0.0400007247864261,0.4978807644960278,0.0385701177758592,0.055308557571307,0.0007867633171651,4.4516415331124914,0.1023596544617629,0.4362101111830038,0.0494433317958685,0.98,2020-05-26
CA-Stanislaus,30.28112131503532,0.0594891206611238,0.0627312246496492,0.071394732059081,0.01,0.0725812305980604,0.0101689687264101,4.999969498146746,0.6384869099207691,0.4830573278754395,0.0092178653937822,0.94,2020-05-28
CA-Tulare,6.486791640605119,0.0754756392017938,0.1440886593472533,0.0805502276870827,0.0219631566808708,0.1717058705262954,0.0023499962579189,4.999955987020324,0.1,1.0870271406080951,0.05,0.9,2020-05-26
CO-Adams,5.987046856514938,0.0415479353116813,0.0430045970742196,0.5,0.0575383714404352,0.1373882041227519,0.0460987083513453,0.3545348134909933,0.1062576769757218,1.99223636563833,0.0490525862488904,0.97,2020-05-30
CO-Arapahoe,5.7169015796710685,0.0404825870016374,0.0512193426263025,0.499762631536702,0.1137638162663728,0.1971797339144544,0.0670414540789405,0.5037704193223616,0.8672239164022356,0.1,0.0499965251071177,0.96,2020-06-09
CO-Denver,5.67604385711587,0.040013704255168,0.0414182553199648,0.5,0.0899629638145502,0.0799341391671629,0.0421020738618933,0.925990227262496,1.997447968334625,0.1250833303470829,0.0499638917255791,0.96,2020-05-31
CT-Fairfield,8.477734084481359,0.04,0.0594698413735539,0.5,0.1362274588211027,0.0337712396907826,0.0714285714285714,0.6099882169668805,1.195838335939359,0.1046041362712545,0.05,0.93,2020-06-26
CT-Hartford,7.275017276848324,0.0493830716933528,0.0636791365205502,0.5,0.2,0.1706235750781572,0.0714285714285714,0.5262991933709805,0.8682462430978709,0.1043187890842575,0.05,0.93,2020-06-30
CT-New Haven,7.988043486344299,0.04,0.0607031555093795,0.5,0.1487716257191598,0.072468963449858,0.0714285714285714,0.7144528252673785,1.994331965463824,0.1059914743336018,0.0499988810192538,0.94,2020-06-27
DE-New Castle,5.183144250547083,0.04,0.04,0.5,0.060930242384199,0.0923557328347943,0.0714285714285714,0.8702111755095897,2.0,0.3314702358106305,0.0453004698761831,0.94,2020-06-19
DE-Sussex,6.268379796655349,0.0422057877743144,0.04,0.5,0.0401860905081658,0.117693650992521,0.0714285714285714,0.8135771627613275,1.9998875647724383,0.3824849837243618,0.0499984851241296,0.9,2020-06-19
DC-District of Columbia,5.442475594084971,0.04,0.0572379955470004,0.5,0.0835531586858274,0.1191162120497519,0.0714285714285714,0.7857177533818837,1.927335464345719,0.1607901350972521,0.05,0.9,2020-06-22
FL-Broward,36.545370952023184,0.0445549356862417,0.04,0.0912756790354673,0.010374935472307,0.1196855454659036,0.0289795551253804,2.284240900205589,0.1045554649239594,1.937202914060562,0.0168798510451051,0.98,2020-06-03
FL-Duval,10.703793167314684,0.04,0.0516679372799718,0.104275111749635,0.01,0.0170607218185398,0.0714285714285714,2.4109919736130685,0.5491231918401523,0.3532637969082542,0.0255616438683894,0.98,2020-06-10
FL-Hillsborough,6.018944556314204,0.0427049511650806,0.0553738149801324,0.0710579762222234,0.0102427011570937,0.0561702581450883,0.0680973911070578,1.9602598400812796,0.1029569793718192,1.9999992403891549,0.0460852794269953,0.99,2020-06-04
FL-Lee,7.747269569754829,0.04,0.0745911970427516,0.0690045920401539,0.0189323659132215,0.1045006058305038,0.0629690770097502,1.4928659304039813,0.1111427710312692,2.0,0.039535508692376,0.98,2020-06-03
FL-Miami-Dade,8.25291644504568,0.04,0.0422057155333634,0.4784690743784066,0.0497723440293205,0.1098628072499151,0.0695354525292516,1.587685704427274,0.1000075489459223,2.0,0.0437768088533923,0.97,2020-06-11
FL-Orange,66.01525861595371,0.04,0.0591684013528999,0.1623714655490991,0.01,0.0548812455734574,0.0314839721645947,3.3430638855167185,0.1795808129356249,1.997808625588609,0.0112601643928812,0.99,2020-06-03
FL-Palm Beach,7.352320255640587,0.04,0.0587126323630467,0.4999784622231679,0.1096181123192761,0.1537360908994076,0.0714285714285714,1.240837957791435,0.121321913164842,2.0,0.0457192242604113,0.98,2020-06-03
FL-Pinellas,14.57121754376869,0.04,0.04,0.4988328747760138,0.1001865693096962,0.0463978167214946,0.0713736561409753,1.9715545417617069,0.1710769207091496,1.6166431567494564,0.0157014577661759,0.97,2020-06-03
FL-Polk,6.9465876332358185,0.1879261933520252,0.04,0.4998200431327986,0.0433361654769542,0.1469533188563957,0.0198047555112578,0.2540544711689438,0.1,1.1268956174177944,0.0425146145288711,0.92,2020-06-03
GA-Cobb,4.895430317932845,0.04,0.04,0.4999971667705749,0.0819709889943037,0.1704175424092243,0.0714285714285714,1.2438880744076577,0.9902981539814888,0.1841579857233693,0.0483785299726301,0.97,2020-06-16
GA-DeKalb,6.715839246454984,0.04,0.04,0.5,0.0420272851806457,0.0199295796545865,0.0714285714285714,1.2157208202049834,1.3818020717655308,0.2708596875386697,0.036494241369253,0.95,2020-06-16
GA-Fulton,5.896476998121558,0.04,0.04,0.5,0.0700022000012488,0.1818774627846502,0.0714285714285714,1.483854970935076,1.460997737103659,0.1575507692964424,0.0440463800354549,0.97,2020-06-16
GA-Gwinnett,17.326382228107303,0.04,0.04,0.5,0.0408007324941927,0.1133863960758805,0.0714285714285714,1.270227899212079,0.1,1.835429317780617,0.0173210416028319,0.93,2020-06-16
IL-Cook,6.303977395149983,0.04,0.0415721161678484,0.5,0.0676143930439925,0.0173765189319584,0.0191750057422115,0.2886720890776464,0.116194986036629,2.0,0.0497422660129306,0.92,2020-06-10
IL-DuPage,5.202424543384746,0.0636513100495181,0.0611409930641365,0.499578099105642,0.0647093163690746,0.0201860292671567,0.0005947245721485,4.999992787732911,0.1,1.9998751295816053,0.05,0.9,2020-06-10
IL-Kane,4.870128355944021,0.04,0.04,0.5,0.0448544211801896,0.029851527778851,0.0183630140838044,0.8351905384755673,1.764586227408328,0.3445539465210858,0.05,0.9,2020-06-10
IL-Lake,5.751653595966545,0.04,0.04,0.3858362720191849,0.0410560463689052,0.1500380243016181,0.003751440795757,1.169391617454114,0.1247871993370552,2.0,0.0495360577359855,0.93,2020-06-10
IL-Will,7.717952669733786,0.04,0.0529530537457001,0.5,0.0795341685644672,0.0910040360026085,0.0714285714285714,0.4509265641249938,0.1,1.3383323821377593,0.05,0.97,2020-06-10
IN-Lake,7.121648059379049,0.04,0.04,0.3991729673992979,0.0627681649164285,0.1798962409999606,0.0714285714285714,0.4118972797130901,0.1,1.8852445887602316,0.0477820773357452,0.97,2020-06-03
IN-Marion,8.265543717361865,0.04,0.04,0.5,0.0854499410303267,0.0650958371870286,0.0296538245732152,0.3781319328145376,0.1,1.6399734207341368,0.05,0.97,2020-06-03
IA-Polk,4.795143220088951,0.04,0.0588576363994347,0.3827615361769553,0.0437709507133674,0.1259046708454212,0.0090903878444406,0.7724957113143117,0.1,1.6050191517422434,0.05,0.9,2020-06-04
KY-Jefferson,7.643914685567527,0.04,0.04,0.5,0.0685550762769758,0.111043875760921,0.0714285714285714,1.534877890491814,2.0,0.1174097899511092,0.0363813959370042,0.97,2020-06-29
LA-East Baton Rouge,16.022774427026693,0.0607822849653339,0.04,0.4997718725340606,0.0732800448637854,0.1184942022384551,0.0703751969567844,0.8586034800859992,0.1024916962875678,1.187903370548998,0.0282246637157587,0.95,2020-06-05
LA-Jefferson,24.63948594907163,0.0436974360144619,0.04,0.5,0.0703144031707985,0.1028427554166949,0.0714285714285714,1.259274209345585,1.99993762885915,0.1,0.030221020841461,0.94,2020-06-05
LA-Orleans,29.61285387831924,0.04,0.04,0.5,0.0894137542998893,0.1592796137931964,0.0714285714285714,0.9699639166850464,2.0,0.1100735108970652,0.0244966551928912,0.9,2020-06-05
MD-Anne Arundel,8.021329665097557,0.0400201359996107,0.0430540536151138,0.5,0.0633749294412412,0.0129678244560834,0.0714285714285714,1.0264205780824305,1.996960635189711,0.1095006122044102,0.0437814050751361,0.97,2020-06-12
MD-Baltimore,5.871820821438536,0.0400021604296747,0.04,0.4999665613772019,0.0820689374328975,0.0763396404860906,0.0714285714285714,1.0458395182862072,2.0,0.1848637845030209,0.0465179068458443,0.95,2020-06-20
MD-Baltimore City,5.869535882625284,0.04,0.04,0.5,0.0660666434757121,0.1650924974034656,0.0714285714285714,1.1053931776305472,2.0,0.2198254356031327,0.05,0.95,2020-06-14
MD-Montgomery,5.705411772031444,0.04,0.072387324852965,0.5,0.1064647874049636,0.1133752743739002,0.0714285714285714,0.6362936994742083,1.6583908995876,0.1453408587078923,0.05,0.9,2020-06-12
MD-Prince George's,5.942299480888767,0.04,0.04,0.5,0.0475363177169363,0.139506739306866,0.0714285714285714,0.8681770078407824,2.0,0.1967984930223322,0.05,0.9,2020-06-20
MA-Bristol,6.414425257069328,0.04,0.04,0.1975181942855711,0.0352716283751736,0.1305178092050115,0.0512090483298234,0.2347554407438561,0.341289934800552,1.995510178880316,0.0475216710104943,0.93,2020-07-05
MA-Essex,7.000371052033224,0.04,0.0440710890054909,0.5,0.0921535454604724,0.1260158884213841,0.0714285714285714,0.76858212459861,1.971359102257797,0.4411178332768846,0.0493621045417645,0.91,2020-06-30
MA-Hampden,8.144523763354092,0.04,0.0513037991083527,0.5,0.1601445894204888,0.0790151440731198,0.0714285714285714,0.753648803810804,1.8898772697474235,0.3573382631948997,0.0498163977217921,0.95,2020-06-22
MA-Middlesex,8.634356503362955,0.0551006537486272,0.04,0.4956889831691126,0.0839044272417719,0.1909049096213374,0.0714285714285714,0.8080023923176384,1.999984925428543,0.7315403466803019,0.038275800537516,0.9,2020-06-29
MA-Norfolk,9.532432719439075,0.055426554435717,0.0400000393763485,0.283669768719194,0.0681500071895923,0.1536203385600476,0.0714285714285714,0.8141450925332216,1.9992547635800937,0.5505313999838571,0.0336708096039812,0.9,2020-06-25
MA-Plymouth,9.028884475243874,0.04,0.0424329265570462,0.264269003271532,0.0537345691062337,0.0510635822151772,0.0707350848497443,0.7078003329181107,2.0,0.882477641691467,0.03738953437609,0.9,2020-07-05
MA-Suffolk,7.1598763909224346,0.04,0.04,0.2558342361354017,0.0317688877012157,0.1902962076677674,0.0714285714285714,0.8812790498128439,1.9985626816937223,0.4542603032061698,0.05,0.9,2020-06-30
MA-Worcester,6.0275366789773965,0.0453654724093026,0.0606008974684781,0.2268203202674961,0.051786869124792,0.1505575736383675,0.0714285714285714,0.5202584534519631,1.218121436469637,0.9456873981455072,0.05,0.9,2020-07-05
MI-Kent,4.78229417095524,0.04,0.04,0.5,0.0326717427035736,0.0254776839428343,0.0714285714285714,0.8297756143107532,2.0,0.2407785949346134,0.0489965518822334,0.95,2020-06-21
MI-Macomb,15.912265011389673,0.0462997089574948,0.0524344757740321,0.5,0.1960947915671748,0.0945947035062363,0.0714285714285714,0.8109227755818099,0.9794062647605358,0.1,0.0409595828356895,0.98,2020-06-13
MI-Oakland,12.23932627801994,0.0400749614369331,0.0557198003438573,0.5,0.1674482999119854,0.0345623217076826,0.0714285714285714,0.7031976962676221,0.9814918844843428,0.1,0.0478512870299297,0.98,2020-06-08
MI-Wayne,15.040045221955385,0.0439704149633901,0.0460245092459492,0.5,0.18538603694911,0.0126153241584718,0.0714285714285714,0.8272283772144678,1.609002297688704,0.100071481570436,0.0498751131501435,0.98,2020-06-08
MN-Hennepin,6.195973483602679,0.050554380775392,0.1174175940457967,0.5,0.2,0.0886282376185082,0.0714285714285714,0.3696855460310355,0.1,1.0148832651853827,0.05,0.9,2020-06-11
MO-St. Louis,13.136741068965936,0.0416232687410587,0.0418372007287316,0.5,0.1362926687873677,0.1747369395238671,0.0714285714285714,1.2406707118836164,1.027917445005572,0.1332568158273326,0.0348791976916587,0.98,2020-06-16
NE-Douglas,3.870172787105615,0.04,0.04,0.3269774370523006,0.01,0.0579741329223556,0.0714285714285714,0.97655772427519,2.0,0.6179342753257978,0.05,0.9,2020-06-22
NV-Clark,19.939127464312868,0.04,0.04,0.1243036908179209,0.0193471336174436,0.1920612064447713,0.0260497354917102,1.8455406172903683,0.1,1.874968129593056,0.0267682641263524,0.99,2020-05-29
NJ-Bergen,10.370565709687236,0.04,0.04,0.5,0.1151806000432889,0.0537588395564936,0.0714285714285714,0.7139640150349472,2.0,1.2728221758519802,0.047727081542449,0.94,2020-06-22
NJ-Burlington,6.2409526561118085,0.04,0.04,0.1035178659413964,0.0219475429559146,0.0768023162486782,0.0714285714285714,0.3189115516281194,0.1961899486126436,2.0,0.05,0.95,2020-07-05
NJ-Camden,5.977052033077802,0.04,0.04,0.4999782266267523,0.0750924086572868,0.0762598257299272,0.0714285714285714,0.6556318076720683,2.0,0.928832329179737,0.049996362363264,0.93,2020-06-22
NJ-Essex,10.77035219251774,0.04,0.04,0.5,0.1285457711060803,0.1070333483936894,0.0714285714285714,0.6603504187291095,2.0,1.3476091853615533,0.05,0.94,2020-06-22
NJ-Hudson,10.212474321003723,0.04,0.04,0.5,0.081876633151362,0.0922307513643837,0.0714285714285714,0.5091721232219375,2.0,2.0,0.05,0.91,2020-06-22
NJ-Mercer,6.532447364140851,0.0400856383629065,0.0419177008226476,0.4998797071439686,0.0955907993411576,0.0222720713031939,0.0714285714285714,0.2417181714009259,0.4118248537543113,1.7949830368745772,0.0499953587596999,0.9,2020-07-05
NJ-Middlesex,8.38488462237628,0.04,0.04,0.5,0.0823559624499355,0.1217584613419628,0.0714285714285714,0.5512226702102003,2.0,2.0,0.04959979290827,0.93,2020-06-22
NJ-Monmouth,7.553649319678184,0.04,0.04,0.5,0.1004361210098783,0.1583400410776022,0.0714285714285714,0.7339202993297738,2.0,0.8010856287164381,0.05,0.95,2020-06-22
NJ-Morris,12.535014662108804,0.04,0.04,0.5,0.1312587125125288,0.1314471019962954,0.0714285714285714,0.6464280917396673,2.0,2.0,0.046414251979975,0.97,2020-06-22
NJ-Ocean,9.36819339036596,0.04,0.04,0.5,0.1182445029695137,0.0104909033079339,0.0714285714285714,0.7122964431107994,1.9999958829122808,0.8100690556177307,0.0465396403682762,0.95,2020-06-22
NJ-Passaic,11.67661161053136,0.04,0.04,0.0595115090500339,0.01,0.0669760655351677,0.0714285714285714,0.5454104254759261,0.3812447235107013,2.0,0.05,0.9,2020-07-05
NJ-Somerset,9.33719579164659,0.0417288482286131,0.04,0.5,0.1201676245592473,0.0672573248517727,0.0714285714285714,0.6329349682113281,2.0,1.721648839568379,0.05,0.96,2020-06-22
NJ-Union,9.72950630593647,0.04,0.04,0.5,0.0875141139735946,0.1860346541334022,0.0714285714285714,0.5007483010151152,2.0,2.0,0.0498753965404183,0.9,2020-06-22
NY-Bronx,12.070474594578368,0.04,0.04,0.4942842401150839,0.1251253862374175,0.016471550528999,0.0714285714285714,0.8157375335732355,0.4551367202259084,0.777411767111129,0.05,0.9,2020-07-19
NY-Dutchess,6.724266078559499,0.0466529158437858,0.04641321954605,0.4826104129741754,0.0371887848312106,0.1636438203547659,0.0714285714285714,0.5812469676900198,0.1,0.1,0.05,0.93,2020-07-19
NY-Erie,6.533688686045969,0.04,0.04,0.5,0.1144809482590087,0.1019808816460932,0.0714285714285714,0.8335633363788798,1.4616909941958838,0.1,0.05,0.97,2020-07-06
NY-Kings,11.169228848660604,0.0400273454228857,0.0418768454429228,0.5,0.1641548464669276,0.1392031653276675,0.0714285714285714,0.6639728247487191,0.1,0.8661839095687162,0.0499944753077276,0.94,2020-07-19
NY-Nassau,11.83608858398856,0.05081661739049,0.0400042190412809,0.4999976685542919,0.0514191583355823,0.0480770290752714,0.0714285714285714,0.8268744253844831,0.508945747652093,0.1,0.05,0.9,2020-07-19
NY-New York,10.819019148594702,0.04,0.04,0.4999927042185635,0.1431798349473117,0.0391581032608264,0.0714285714285714,0.6323598540913925,0.6675207018645593,0.1122749588280251,0.05,0.96,2020-07-07
NY-Orange,11.143843427673898,0.0411481983390076,0.0409786071548708,0.5,0.0494706234025067,0.1874823612603803,0.0714285714285714,0.7950185720279291,0.879897544956216,0.5515126071981108,0.05,0.92,2020-07-19
NY-Queens,12.935968496161555,0.04,0.04,0.5,0.1394472906564912,0.1953137645428194,0.0714285714285714,0.681140059591464,0.1034041009868058,1.3057093343979866,0.05,0.93,2020-07-19
NY-Richmond,11.984754888242051,0.04,0.04,0.5,0.0887562018787501,0.0943408168211794,0.0714285714285714,0.7802742189660603,0.4823559746081457,0.4001586793203733,0.05,0.92,2020-07-19
NY-Rockland,19.09511193030942,0.04,0.04,0.1065613996872104,0.0117828479183737,0.0699888260892865,0.0714285714285714,0.79835921652974,0.1047550630983565,0.9019659349914074,0.05,0.9,2020-07-19
NY-Suffolk,10.814083118936324,0.0400620505204818,0.0482061873879517,0.4999722837125582,0.0599110032997247,0.0510526191663791,0.0714285714285714,0.5323535061495144,0.3470934580038741,0.1,0.05,0.91,2020-07-06
NY-Westchester,13.563463261142816,0.04,0.04,0.1106956014994501,0.01,0.0242757776005888,0.0714285714285714,0.8340788476937839,0.1864170228446005,1.6800283394927915,0.05,0.9,2020-07-19
NC-Mecklenburg,9.014200625648106,0.04,0.04,0.1279744103064245,0.0105152182625466,0.1873416750273983,0.063299771135292,1.297309089423668,0.1,1.628688605020027,0.0421504569052902,0.99,2020-05-23
NC-Wake,20.29577504777281,0.1896602394425575,0.0400612684780753,0.3278077637999323,0.0100010935940404,0.1784758548606128,0.0016162044620328,4.497341607888652,0.1798901521206134,1.1277793259003213,0.0163533031631659,0.9,2020-05-25
OH-Cuyahoga,8.494920862605705,0.0402700735971341,0.0504463207901779,0.042204069478235,0.0125355859755189,0.072228230359224,0.0433589778448572,0.8098560980507602,0.1,1.999596374506432,0.045880684950597,0.99,2020-05-21
OH-Franklin,9.131222794646392,0.1099606232737397,0.1996189182392658,0.0328964027731901,0.0101825817292249,0.1808440707423378,0.0101899139390392,0.5817949297680719,0.1,1.1019390635923234,0.0492965083509535,0.9,2020-05-23
OK-Oklahoma,17.829144201943084,0.0481489450984927,0.04,0.1560876335382017,0.0165649597048488,0.0812619748193412,0.0713808148193828,1.6563764490986812,0.1,1.0862147374242914,0.0238078934885557,0.99,2020-06-11
OK-Tulsa,8.030028220041155,0.04,0.04,0.5,0.0694035475582089,0.0710620835171037,0.0714285714285714,1.6994554914341806,0.1,0.7208096247350264,0.0368134008609844,0.99,2020-06-10
PA-Berks,13.36967518878954,0.0424927705055587,0.0426972556712553,0.3584775234853066,0.0725587274378565,0.1988007263178932,0.0714285714285714,0.8863677426841321,1.913719649225749,0.1234234399462802,0.0275609125277258,0.92,2020-06-26
PA-Bucks,6.839342818106448,0.04,0.0537396157369435,0.5,0.1626446621634113,0.0713747129065721,0.0714285714285714,0.5676705526956992,0.8115108396626521,0.1,0.0499642000411955,0.96,2020-06-26
PA-Delaware,6.197636329294572,0.04,0.0453182130853437,0.5,0.131161593204399,0.1062295985441921,0.0714285714285714,0.925988756250109,1.9978416820702296,0.1358807225472807,0.05,0.94,2020-06-26
PA-Lehigh,8.787685772178916,0.04,0.04,0.0607306547106731,0.0113146565727398,0.1502583374117649,0.0714285714285714,0.3246603060188883,0.1,1.9999999104038408,0.05,0.97,2020-06-26
PA-Luzerne,15.86845748602386,0.04,0.04,0.202042009641732,0.0288279335477279,0.0691604041363954,0.0714285714285714,0.9653471614300692,1.999996616009841,0.2230307529291357,0.0396973452326304,0.98,2020-06-26
PA-Montgomery,6.753319749502603,0.0400768552721639,0.0413024645415617,0.5,0.1383264806316456,0.0338847949206642,0.0714285714285714,0.869755449075079,2.0,0.1,0.0445185518375273,0.95,2020-06-26
PA-Northampton,7.305402308894573,0.04,0.04,0.4999951705783348,0.0972318990062482,0.1274612257362075,0.0714285714285714,0.8049651800277251,1.9999998627754716,0.4103415891329338,0.0490277272240013,0.96,2020-06-30
PA-Philadelphia,7.5545157174302515,0.04,0.04,0.5,0.0769394549112798,0.1855949542657181,0.0714285714285714,0.8765026057512015,2.0,0.1820084963301179,0.0490786228674438,0.94,2020-06-26
RI-Providence,6.059099237620517,0.04,0.04,0.2694626046822383,0.0400309995542966,0.1748536851477874,0.0714285714285714,0.8962406963741533,1.99554195761257,0.2239583360692275,0.05,0.9,2020-06-30
SC-Charleston,16.25399088049748,0.0518146125446813,0.0773048829925738,0.184193750192708,0.0102391636988173,0.0117331678647196,0.0211302151698486,3.336605789456128,0.3894977869561667,1.7806247988353754,0.0279661891406355,0.99,2020-05-23
SC-Greenville,20.270992434010005,0.0403848294584535,0.0407914681340102,0.1006837340231165,0.0220150767953757,0.0666280584556026,0.016933564288152,2.4418751178246767,0.8456257501959081,0.2249431830013522,0.0153293176442485,0.97,2020-05-11
SD-Minnehaha,6.218587689501141,0.04,0.0461495242697409,0.2667850637541553,0.01,0.0293435476087811,0.0015777452938683,4.999999959062663,0.2613157342138362,1.9999990714871647,0.05,0.9,2020-06-14
TN-Davidson,4.653915861726974,0.04,0.04,0.4999765333567801,0.0178225587393994,0.1177208623838754,0.0429906746702768,1.0899024447942185,1.2173650302146812,0.5532079864700148,0.05,0.94,2020-06-01
TN-Shelby,7.758855813790941,0.04,0.0448676518593611,0.105965213703096,0.01,0.1557227373103948,0.0227809813720056,1.03775113297207,0.1031229019601852,2.0,0.0393351959136483,0.97,2020-05-22
TX-Bexar,98.74403879118678,0.0400009893256768,0.0400000038487271,0.1427918401411501,0.01,0.1704674440636034,0.0218661377966937,4.696032745592133,0.3488530605071395,1.7313172392307592,0.0045664212996983,0.96,2020-06-04
TX-Cameron,6.21343755831728,0.04,0.0976178800745149,0.5,0.1018796941545546,0.0774533182436966,0.018591394225709,2.499739084493635,0.3849498375674484,1.996599968416684,0.0384765552984463,0.95,2020-06-10
TX-Dallas,7.575486201448648,0.1574737810194545,0.1060216041913589,0.4995062671831759,0.0324125211696633,0.1606982133004666,0.0014278126109627,4.999999999973033,0.1040645262651894,1.6798458087912918,0.05,0.9,2020-06-03
TX-El Paso,5.728037989942075,0.135133859215334,0.04,0.2040132507593599,0.0100065959947137,0.1162401762893475,0.0178883114003022,0.2854138951588817,0.1122071826217123,1.997758111333909,0.05,0.93,2020-06-03
TX-Fort Bend,7.303857985050555,0.0788381029234297,0.1981672021187609,0.499944986216367,0.0476981225250165,0.1536965136983237,0.0123425500810682,0.895627715043023,0.331863870770294,1.6709252720137568,0.049997371808477,0.91,2020-06-03
TX-Harris,7.20171621724262,0.1439701150796695,0.0896859261868666,0.4995544901558901,0.0290980023565957,0.0583066978751458,0.0110893248424907,0.6326703603161897,0.1559071645189897,1.9999952841881867,0.0484244529908041,0.92,2020-06-03
TX-Hidalgo,15.934364195775464,0.0746699845573205,0.1491068557885295,0.1299294754703401,0.0120805655366728,0.1080892604727096,0.0116282016227843,4.99999405210729,0.9781200073466436,2.0,0.0194687365281602,0.95,2020-06-03
TX-Nueces,17.76341840428582,0.1397101528653563,0.0531775623227356,0.4587010074189657,0.01,0.0660021742496285,0.0147521723805703,4.999999792297903,0.3777233734394014,1.9999985341022213,0.0155967343373598,0.95,2020-06-03
TX-Tarrant,6.562756405639705,0.04,0.04,0.2873338173536365,0.0239753798888086,0.1733025057085054,0.0647016405793579,1.1800401349893688,0.1273454001015396,2.0,0.0499995511785638,0.99,2020-06-06
TX-Travis,16.410228329091826,0.04,0.04,0.5,0.0398278667115256,0.1636105724867797,0.0714285714285714,1.5198226750554482,0.1239850373212417,1.992610462380748,0.0212121277704519,0.98,2020-06-03
UT-Salt Lake,5.817584491808446,0.04,0.0646451814245314,0.1433590413439119,0.01,0.018209073574732,0.0137289862279401,1.1283397390262944,0.1370782112234346,1.9996289639169569,0.0499845789187209,0.98,2020-05-02
VA-Fairfax,5.323933603954938,0.04,0.0502523039182553,0.5,0.0452901960415866,0.0547739102371682,0.0714285714285714,0.6820029487143114,0.9812899229642704,0.3729601929664468,0.05,0.92,2020-07-14
VA-Prince William,4.858474667657814,0.04,0.04,0.5,0.0236505784812497,0.1921060505907531,0.0714285714285714,0.9104508684352892,2.0,0.3873610209337,0.05,0.9,2020-07-01
WA-King,26.476453964230707,0.04,0.04,0.4999994031672615,0.0907185016930879,0.0304770646877207,0.0714285714285714,1.3062190440901142,2.0,0.1050285030114711,0.0193463641808005,0.98,2020-06-08
