County,beta,gamma,gamma2,a1,a2,a3,eta,c1
AZ-Maricopa,7.956909242223123,0.04,0.04,0.5,0.0750119466817289,0.1412427837916485,0.0386957132645413,0.99
CA-Los Angeles,7.861442451052519,0.04,0.04,0.5,0.0912485297228171,0.1807187184000435,0.0366108648066811,0.97
CA-Orange,6.514377868506275,0.04,0.04,0.5,0.0356066862213392,0.177000138873929,0.0406384562088662,0.99
CA-Riverside,10.23903170883548,0.04,0.04,0.5,0.0699030926547231,0.0117450719179258,0.0295458669800239,0.98
CA-San Bernardino,9.18156011942826,0.04,0.04,0.5,0.0801030327436757,0.1107416056238104,0.0356533328056987,0.99
CA-San Diego,7.587088951692752,0.04,0.04,0.5,0.0634995711863836,0.0920483421791241,0.0404408777708103,0.99
CO-Adams,5.276609783340311,0.04,0.04,0.5,0.0706000194499525,0.0577380625076614,0.0477423670553325,0.96
CO-Arapahoe,6.470230874469701,0.04,0.04,0.5,0.1063438006426483,0.1948295307222598,0.0431120804543735,0.96
CO-Denver,5.49329784890554,0.04,0.04,0.5,0.0970677806000473,0.118644547421499,0.05,0.96
CT-Fairfield,9.026314531068042,0.04,0.04,0.5,0.1330294524644618,0.0522625726306266,0.0461470712810525,0.94
CT-Hartford,7.17092173553345,0.04,0.04,0.3160195854722274,0.2,0.1609613698925263,0.05,0.96
CT-New Haven,8.80031813587116,0.04,0.04,0.5,0.140037338350696,0.0197819917541655,0.0454009764824479,0.95
DC-District of Columbia,5.41953928096009,0.04,0.04,0.5,0.0964759662198937,0.1025415013957215,0.0476981652404187,0.92
DE-New Castle,6.850943623330452,0.04,0.04,0.5,0.0691624246776464,0.1827571300805023,0.0426228156995006,0.97
DE-Sussex,5.921028038920975,0.04,0.04,0.5,0.0537851495960879,0.0301171109160279,0.05,0.9
FL-Broward,10.34054255916419,0.04,0.04,0.5,0.0620925643473628,0.0144159850074015,0.043254844203802,0.99
FL-Miami-Dade,15.64982526806406,0.04,0.04,0.2783485474582861,0.0281297602169305,0.1676006241407972,0.0332478765507079,0.98
FL-Palm Beach,7.488519422824666,0.04,0.04,0.5,0.1077988746140855,0.0439308701518015,0.05,0.99
GA-DeKalb,7.874529851977979,0.04,0.04,0.5,0.041329764787249,0.1219669187863006,0.0411881502101944,0.98
GA-Fulton,8.772531674448166,0.04,0.04,0.5,0.0663512703561106,0.1836398874063572,0.0375520398741615,0.98
GA-Gwinnett,7.859421675588884,0.04,0.04,0.5,0.0649545343801279,0.1707913983631986,0.0384411575509634,0.98
IA-Polk,4.341387156636133,0.04,0.04,0.5,0.0623579248844673,0.1799200456758404,0.05,0.9
IL-Cook,6.240068123511306,0.04,0.04,0.5,0.0850009136628704,0.1190706415604343,0.0497561725784154,0.93
IL-DuPage,4.732779196140447,0.04,0.0721460449941594,0.5,0.1434680134732722,0.1728117742611853,0.05,0.9
IL-Kane,4.665069140318626,0.04,0.04,0.5,0.0661848992307991,0.1102291710973197,0.05,0.9
IL-Lake,6.245557691979571,0.04,0.04,0.5,0.0652502653084943,0.1446035975348445,0.0470656424309216,0.94
IL-Will,7.145740147367822,0.04,0.04,0.5,0.1099349323722417,0.1663984674550165,0.0426581140819556,0.96
IN-Lake,7.517715726646185,0.04,0.04,0.5,0.0919917093897153,0.0871379023357797,0.0446033459758681,0.97
IN-Marion,7.806642283486544,0.04,0.04,0.5,0.1021654812331097,0.070318945191412,0.05,0.97
LA-East Baton Rouge,12.34246758538473,0.04,0.04,0.5,0.12837691581999,0.1622409537899609,0.039184496812331,0.98
LA-Jefferson,12.098679435261571,0.0455936238548231,0.1305825055808344,0.5,0.156262369322162,0.1483029225675355,0.0461486071612534,0.9
LA-Orleans,12.785458542216269,0.0970581862908279,0.1030702360124298,0.2332711305394594,0.040215368845383,0.1608178218531756,0.05,0.9
MA-Bristol,6.254494076133868,0.04,0.04,0.5,0.0879317788113775,0.0314135203865421,0.0499536785385839,0.94
MA-Essex,7.003753262317897,0.04,0.04,0.4107960257325097,0.0767070022684322,0.1055771349144094,0.05,0.92
MA-Hampden,8.445095295921773,0.04,0.04,0.5,0.1740271747578079,0.1059637130901169,0.0488911650396993,0.96
MA-Middlesex,7.260322012126978,0.040441206402034,0.0409107586135864,0.1818745026815212,0.0451012080886933,0.0729664291390971,0.045165333033748,0.93
MA-Norfolk,6.666121068351219,0.0557440033490285,0.0645202221942983,0.1188107784938081,0.0414222896663532,0.1385485058911751,0.05,0.92
MA-Plymouth,6.670595817405872,0.04,0.04,0.3225703714879109,0.066006334875474,0.1176878602384476,0.05,0.93
MA-Suffolk,6.908224586311178,0.04,0.04,0.1021881569175717,0.0170763495989506,0.1157303036608871,0.05,0.9
MA-Worcester,5.907707414008746,0.04,0.04,0.1850410605226504,0.0402294468886064,0.0450086933362926,0.05,0.93
MD-Anne Arundel,7.598358483586325,0.04,0.04,0.5,0.0959480066055249,0.1156947734834173,0.0415243654373396,0.97
MD-Baltimore,7.422045273699566,0.04,0.04,0.4642837820695547,0.0820839705923351,0.0864512099978392,0.0437508653308842,0.97
MD-Baltimore City,5.966015423988576,0.04,0.04,0.5,0.1029568111376828,0.0983147808111789,0.0483441876996837,0.96
MD-Montgomery,5.41121806338287,0.04,0.04,0.5,0.1196678725020279,0.029706730294453,0.048930320298145,0.94
MD-Prince George's,5.615592542064787,0.04,0.04,0.5,0.0749534563838914,0.1649073062700952,0.05,0.91
MI-Kent,6.663067754086216,0.04,0.1581088034117596,0.5,0.0726541520078714,0.0264905407618707,0.05,0.9
MI-Macomb,11.43544406556567,0.0517963300594959,0.053686081869288,0.5,0.2,0.0266002411978946,0.0499272356835534,0.98
MI-Oakland,20.009100036763147,0.04,0.0434662649065848,0.5,0.1711894508631608,0.1508312157158856,0.0286480038003661,0.97
MI-Wayne,21.21074991366564,0.04,0.04,0.4857028508047725,0.2,0.0480005478233055,0.0336433142378803,0.97
MN-Hennepin,4.956835749797897,0.0800396332442521,0.045646616226327,0.5,0.2,0.1381724091755365,0.05,0.9
MO-St. Louis,10.1979848948736,0.04,0.04,0.1686933203599868,0.0597597105967167,0.0647781917442504,0.05,0.99
NJ-Bergen,9.597656699368956,0.04,0.0698369353114515,0.5,0.1655249455122125,0.0904881634751089,0.05,0.92
NJ-Burlington,6.680020358364636,0.04,0.04,0.5,0.1012834659248311,0.0713338940822398,0.0475972883286595,0.95
NJ-Camden,6.35723999811578,0.04,0.04,0.5,0.084171322256209,0.1116513671649754,0.0497403240002964,0.94
