County,beta,gamma,gamma2,a1,a2,a3,eta,c1
NJ-Essex,9.925478742750077,0.04,0.04,0.5,0.1600961460244674,0.0321397652706779,0.048501451644886,0.93
NJ-Hudson,9.50785628066376,0.04,0.04,0.5,0.0903924122929707,0.1125983259490971,0.05,0.9
NJ-Mercer,6.47537604695024,0.04,0.04,0.5,0.1203707026745242,0.0696903761302123,0.05,0.91
NJ-Middlesex,8.246897042685251,0.04,0.04,0.5,0.0900727325945901,0.0342002256430228,0.05,0.93
NJ-Monmouth,10.906017620374817,0.04,0.04,0.5,0.0982751350782981,0.0560435475211499,0.0430591925251626,0.96
NJ-Morris,11.107934390661,0.04,0.0615950715132865,0.5,0.1782414773066115,0.057185988518139,0.0481382808855012,0.96
NJ-Ocean,11.360053160402988,0.04,0.04,0.3635810391842974,0.0848016047555804,0.1048887164480683,0.05,0.97
NJ-Passaic,10.261037672302624,0.04,0.04,0.1717381329839293,0.0298404910029493,0.0243569998416356,0.05,0.9
NJ-Somerset,8.762545513308009,0.04,0.04,0.5,0.1466454741727025,0.0520312470440487,0.047401263814733,0.95
NJ-Union,9.62028372514054,0.04,0.0410867177078911,0.5,0.0963410637634612,0.1549944888082873,0.05,0.9
NV-Clark,10.919752829164036,0.04,0.04,0.5,0.0856309784295316,0.1982582171924683,0.0363107304695122,0.99
NY-Bronx,10.600576331264156,0.04,0.04,0.5,0.1415887973711962,0.0597344258556283,0.05,0.9
NY-Dutchess,9.13998702869886,0.04,0.04,0.1283839900918526,0.01,0.0989980248204573,0.0477878916269854,0.96
NY-Erie,8.742125470703382,0.04,0.04,0.5,0.1572576546281106,0.14895705926591,0.0389952048394615,0.97
NY-Kings,11.617649939821526,0.04,0.04,0.5,0.1772256324585847,0.104439103106002,0.0468119605239622,0.94
NY-Nassau,10.41292595145139,0.04,0.04,0.5,0.0725944320790276,0.0325615173802407,0.05,0.9
NY-New York,10.564642573055457,0.04,0.04,0.5,0.1464463808553769,0.1360513022060387,0.0495904829002184,0.96
NY-Orange,9.952520806396649,0.04,0.04,0.5,0.0575719944304226,0.185301478240127,0.0495768067719674,0.91
NY-Queens,11.942757815013628,0.04,0.04,0.5,0.1566583517921297,0.0988300841643735,0.05,0.93
NY-Richmond,10.449777785323583,0.04,0.047882472910055,0.5,0.0996947237029784,0.1961624974233361,0.05,0.9
NY-Rockland,14.104248366911296,0.04,0.04,0.1966018304527145,0.0260085548277517,0.1530277554915183,0.05,0.9
NY-Suffolk,11.238224518307629,0.04,0.04,0.5,0.0587056069065547,0.0825703657217186,0.048970725046831,0.92
NY-Westchester,10.850495199090204,0.04,0.04,0.1319183441897403,0.0148467417749388,0.1335676207903322,0.05,0.9
OH-Cuyahoga,11.26778506063087,0.04,0.04,0.5,0.087490023062011,0.171491155610922,0.0283624550902559,0.98
OH-Franklin,7.077326339491329,0.04,0.04,0.5,0.0628148319886254,0.0934045983341007,0.0390245805181822,0.97
PA-Berks,15.526762896344287,0.04,0.04,0.5,0.085479350312173,0.0294094786797133,0.0256590287011808,0.93
PA-Bucks,7.310090212062454,0.04,0.04,0.2104510813851865,0.0817620594028195,0.0103303664118121,0.0443551999296632,0.96
PA-Delaware,6.802836113330593,0.04,0.04,0.0810263092592284,0.034938449834888,0.1091186952323162,0.0449935706555848,0.94
PA-Lehigh,11.985437861847862,0.04,0.04,0.0683855613449819,0.01,0.1440151494975778,0.0487380320798416,0.98
PA-Luzerne,38.9286494535457,0.04,0.04,0.1304298271163863,0.0202957644354781,0.0412765119859407,0.0173250791027983,0.95
PA-Montgomery,7.472200986228731,0.04,0.04,0.083232990599799,0.0424102446437422,0.1006890278157263,0.0423852017878109,0.96
PA-Northampton,11.19699920276791,0.04,0.04,0.01,0.0111447150865567,0.0361394979647583,0.0415758441398526,0.97
PA-Philadelphia,8.660429938439984,0.04,0.04,0.5,0.0825609296259358,0.1832253262652895,0.0469283975322189,0.95
RI-Providence,5.761071107406035,0.04,0.04,0.5,0.0834730773399453,0.1645857619413708,0.05,0.9
SD-Minnehaha,6.075946271339552,0.04,0.04,0.3070706608264882,0.01,0.1489612630583667,0.05,0.9
TN-Davidson,6.646686163376228,0.04,0.04,0.5,0.0161186861981324,0.0810474113221285,0.0422569688718019,0.96
TN-Shelby,9.47736375069988,0.04,0.04,0.5,0.0337921848513362,0.0407815344765817,0.0379828128270461,0.98
TX-Dallas,5.146835048584107,0.04,0.04,0.5,0.0576015453511777,0.1750269513402886,0.05,0.98
TX-Harris,8.249634444783341,0.04,0.04,0.5,0.046964265942116,0.0533171291911805,0.0398695563835192,0.99
TX-Tarrant,7.205478023489575,0.04,0.04,0.5,0.057060993875506,0.0442747340821167,0.0367770690176649,0.98
UT-Salt Lake,5.329952585916304,0.04,0.04,0.4091833073338403,0.0173427614225615,0.1543836288384901,0.05,0.98
VA-Fairfax,5.408572117678618,0.04,0.04,0.5,0.0850299201191745,0.0594649702313488,0.0455067881121058,0.93
VA-Prince William,4.390706347825597,0.04,0.04,0.1565223221809368,0.0146408272900661,0.1607615304945027,0.05,0.9
WA-King,11.934846093130018,0.04,0.04,0.5,0.1165307683547233,0.1015197532314669,0.0297054963162427,0.98
WA-Snohomish,8.464786468319607,0.04,0.047582614386551,0.5,0.0666362538568176,0.1838927837839583,0.05,0.99
WI-Milwaukee,7.879168824679311,0.04,0.04,0.5,0.1199798182911682,0.1875866869388087,0.0448618728642716,0.98
