County,beta,betaEI,gamma,eta,c1
OH-Cuyahoga,100.0,0.3399615246705219,0.04,0.0102353194388051,0.99
OH-Franklin,100.0,0.1271279628095875,0.04,0.0151349869875512,0.99
PA-Berks,57.02620313124272,0.4892150156029842,0.0531474859330931,0.0125769262923006,0.92
PA-Bucks,100.0,0.1478424349810199,0.04,0.0209201493591689,0.99
PA-Delaware,19.31035625470372,0.2389067379451017,0.04,0.05,0.99
PA-Lehigh,100.0,0.5,0.0653411599801916,0.0149387221186114,0.97
PA-Luzerne,80.58825611936759,0.5,0.1370592140722604,0.0295181351821555,0.99
PA-Montgomery,19.418079533363336,0.5,0.04,0.0288396974962125,0.98
PA-Northampton,71.49770871355985,0.5,0.04,0.0234336195811495,0.99
PA-Philadelphia,100.0,0.2019788836904212,0.04,0.0270948897684135,0.99
RI-Providence,9.881589762646174,0.4837963071742256,0.1409135427181825,0.05,0.91
SD-Minnehaha,14.12188659007066,0.5,0.04,0.0315418698881032,0.92
TN-Davidson,100.0,0.1358745341076018,0.04,0.0178666192991816,0.99
TN-Shelby,100.0,0.3565900177076311,0.04,0.0131923399767219,0.99
TX-Dallas,100.0,0.1094378119762904,0.04,0.0134598133025629,0.99
TX-Harris,93.09879607568465,0.5,0.0444710723116624,0.0058686392636278,0.97
TX-Tarrant,100.0,0.1273958722859309,0.04,0.0116216542656178,0.99
UT-Salt Lake,100.0,0.1525804038673854,0.04,0.0131808929065032,0.99
VA-Fairfax,27.22975380420745,0.1,0.04,0.0339162552653527,0.98
VA-Prince William,25.81323636466516,0.1,0.04,0.0268824813884046,0.95
WA-King,84.73707218601955,0.2412342355432266,0.0746897817450605,0.0148816319919821,0.99
WA-Snohomish,100.0,0.5,0.0825143759495075,0.0077210138336313,0.96
WI-Milwaukee,99.44148497947836,0.3324759945489492,0.04,0.0140384079650645,0.99
