series,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,16075.888668846686,16050.49588044404,16030.031553678222,16006.28866564053,15976.449468962783,15939.068783820449,15893.320774030117,15838.78405892113,15775.342106162909,15703.10984830827,15622.372342563343,15533.534982146066,15437.084795519937,15333.56117245463,15223.533998165265,15107.58738717787,14986.307591049326,14860.27401718281,14730.05258346186,14596.19084487153,14459.21447920341,14319.624825767713,14177.897246888491,14034.480136346509,13889.79443846142,13744.233570680537,13598.163664432175,13451.924055700221,13305.827969720942,13160.163354391143,13015.19382510887,12871.159690341543,12728.279032589906,12586.748823851036,12446.746058373203,12308.428888585195,12171.937752683434,12037.396484557526,11904.913398596158,11774.58234349395,11646.483720519274,11520.685462838524,11397.243973453162,11276.205020116542,11157.604586278776,11041.469677677322,10927.819084663857,10816.66410074716,10708.009198148817,10601.852661423234,10498.187180394452,10397.000403817097,10298.275455284185,10201.991412986083,10108.123754978003,10016.64477164222,9927.523947039832,9840.728310838662,9756.222762481806
E,0.0,25.392788402647632,43.207098936571626,62.44085187262186,85.7636601816777,114.19396587043843,148.02458170062792,187.11330669503053,231.02793176940799,279.1498887188606,330.7550390679951,385.0744801291152,441.33791740543796,498.80308378103877,556.774680416705,614.6157412291777,671.7536375077457,727.6823447876917,781.9621373319592,834.2175425099534,884.1341495754803,931.4546984766976,975.9747540585251,1017.5381847619007,1056.0326025310674,1091.384875110029,1123.5567884155435,1152.5409118678974,1178.356701097564,1201.0468586658542,1220.6739631517758,1237.3173693032588,1251.070376295801,1262.037657015369,1270.3329383319867,1276.0769202877761,1279.395420782787,1280.4177315447862,1279.2751707913021,1276.0998179363178,1271.0234158832488,1264.176426819243,1255.6872279349366,1245.6814340999044,1234.2813351963284,1221.6054365273333,1207.7680914524967,1192.8792161458512,1177.0440771092003,1160.3631427964476,1142.9319914057573,1124.8412675704692,1106.1766813229506,1087.0190433154112,1067.4443308565192,1047.5237798616447,1027.3239983175365,1006.9070973295759,986.3308362521695
I,8.0,7.467285005110455,9.620059400336343,13.488600765191308,19.10679164792126,26.784861799609892,36.91866857016526,49.90826764241366,66.11223500849732,85.8201635468484,109.23780794448068,136.481650013027,167.58017167668297,202.4795695790977,241.05215937360177,283.1061970674225,328.39623237690057,376.6333993069205,427.49525806022524,480.6349496959542,535.6895277021688,592.2874017351196,650.0548775089553,708.6218097537998,767.6264068995197,826.7192399228717,885.5665159068947,943.8526809370335,1001.2824181739145,1057.58210615036,1112.5008001625652,1165.810796519258,1217.307835714611,1266.8109965486988,1314.1623290158575,1359.2262695498616,1401.8888780519871,1442.0569321024984,1479.6569099154235,1514.633889972131,1546.9503918803716,1576.5851798620115,1603.5320473775403,1627.798598746198,1649.4050412110048,1668.3829987190147,1684.7743567277648,1698.6301455968237,1710.0094685654628,1718.9784789403072,1725.609409906789,1729.9796593219507,1732.1709309305436,1732.2684326588749,1730.3601319694462,1726.5360676927057,1720.8877172795108,1713.5074180291374,1704.4878405335755
R,0.0,0.5327149948895453,1.0299568315565697,1.670550568342482,2.5687480543044825,3.8410573561892303,5.624644545776276,8.083035588111827,11.406395905871133,15.808768272707141,21.523479270867053,28.7975565584782,37.885784244629,49.044843031920664,62.52783089111646,78.57934337221923,97.43120791271555,119.29890756926636,144.37868999264364,172.84533176925086,204.850512365628,240.52174286715848,279.96179039071677,323.24853798448015,370.4352209546821,421.5509831332518,476.60170009207695,535.5710203415387,598.4215798542706,665.0963496393341,735.5200804234796,809.6008126826316,887.2314242463733,968.2911914315873,1052.6473431256447,1140.1565904238591,1230.666617328483,1324.0175206418799,1420.0431895438069,1518.5726174442914,1619.431140563796,1722.4415993269124,1827.4254200810528,1934.2036158840465,2042.5977061605827,2152.4305559230215,2263.527136002572,2375.7152063568556,2488.8259250232104,2602.694385686701,2717.1600871396913,2832.067338137172,2947.265601309011,3062.609779886321,3177.9604510427203,3293.1840496501172,3408.153006209809,3522.7458426493135,3636.847229579137
G,8.0,8.0,10.650016231892913,15.15915133353379,21.67553970222574,30.625919155799124,42.54331311594154,57.99130323052549,77.51863091436846,101.62893181955556,130.76128721534775,165.27920657150523,205.465955921312,251.5244126110184,303.5799902647183,361.6855404396418,425.82744028961616,495.93230687618694,571.873948052869,653.4802814652052,740.5400400677969,832.8091446022783,930.0166678996723,1031.87034773828,1138.061627854202,1248.2702230561238,1362.1682159989718,1479.4237012785725,1599.7039980281854,1722.6784557896945,1848.0208805860452,1975.41160920189,2104.539259960985,2235.102187980287,2366.809672141503,2499.3828599737217,2632.555495380471,2766.074452744379,2899.700099459231,3033.206507416423,3166.381532444168,3299.0267791889246,3430.957467458594,3562.002214630245,3692.002747371588,3820.8135546420367,3948.3014927303375,4074.3453519536797,4198.8353935886735,4321.6728646270085,4442.769497046481,4562.046997459123,4679.436532239555,4794.878212545197,4908.320583012168,5019.720117342825,5129.040723489322,5236.253260678453,5341.335070112716
