series,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,16281.854569756457,16280.42013971362,16278.842960533057,16277.109786574489,16275.206342357493,16273.117283679247,16270.826166421353,16268.315425401017,16265.566365932431,16262.559171060593,16259.272927692069,16255.685675050538,16251.774478999458,16247.5155357656,16242.88430842813,16237.855699169973,16232.404259685092,16226.504441267007,16220.130884951726,16213.258750650539,16205.86408250571,16197.92420578361,16189.418148564377,16180.32707940515,16170.634750183086,16160.32793162204,16149.396827737592,16137.83545475419,16125.641970083154,16112.818937783004,16099.373518574641,16085.317574903867,16070.66768461151,16055.445060302549,16039.675375268669,16023.388500558338,16006.618161252069,15989.40152296393,15971.77872187927,15953.792353143472,15935.486933097929,15916.908350745287,15898.103323001993,15879.118866889821,15860.001799982228,15840.798278316568,15821.553378762974,15802.310730640376,15783.112199299316,15763.997622531042,15745.004599065027,15726.168327108535,15707.521489866589,15689.094184245394,15670.913888462163,15653.00546402679,15635.391187489735,15618.090807429255,15601.12162234479,15584.498575400132,15568.234362292307,15552.339548886705,15536.822695636873,15521.69048618403,15506.94785789543,15492.598132444557,15478.64314485449,15465.083369715509,15451.918043547921,15439.145282511052,15426.762194860163,15414.7649877265,15403.149067943454,15391.909136766348,15381.039278436845,15370.533042627783,15360.383520872585,15350.58341713742,15341.125112735981,15332.000725817823,16079.879128519447,16827.442606784956,17574.404152864852,18320.68352602352,19066.1866792264,19810.80366371074,20554.40609885411,21296.844145798263,22037.942916333835,22777.498243602786,23515.271739963184,24250.985072369975,24984.313400306648,25714.877950265745,26442.237749890573,27165.88062117169,27885.21364317747,28599.553447744416,29308.116910631165,30010.013043850122,30704.237169146305,31389.66872808967,32065.074309509975,32729.117575434386,33380.37765063219,34017.37711726079,34638.61996523432,35242.63870180514,35828.048436851124,36393.60436494448,36938.2579736997,37461.20683135391,37961.93314774348,38440.22746775177,38896.19563071833,39330.24913907936,39743.08091082065,40135.62971625901,40509.03726059868,40864.60188775424,41203.73239642973,41527.9046822191,41838.62304728614,42137.387201373225,42425.6653026445,42704.87288787768,42976.35721390914,43241.386349518,43501.14228450262,43756.717326595885,44009.11310830884,44259.24160273671,44507.92763425925,44595.74469972922,44089.97781466712,43598.78091819554,43123.30339404968,42664.36652466223,42222.5107110952,41798.03921489377,41391.05767834715,41001.5091626104,40629.20475629825,40273.849997235186,39935.067454199845,39612.415861824455,39305.406210740446,39013.51518102109,38736.19627985679,38472.889010810024,38223.02636620052,37986.04089881242,37761.36959573935,37548.45774660558,37346.761970963984,37155.75254542199,36974.91514985522,36803.75213370994,36641.78338759725,36488.54689185996,36343.59900226821,36206.5145232115,36076.88661046415
I,6.0,6.608722762389147,7.276423526392406,8.008231504733239,8.809599878901189,9.686300097507678,10.64440927021698,11.690289252141374,12.830555896390557,14.072036865589807,15.42171635234105,16.886665082352486,18.473954083270254,20.190550919593875,22.043197441973035,24.03826859810184,26.181612517849725,28.478372924296046,30.932795929763817,33.54802443031928,36.32588457235894,39.26667006777891,42.368931394700766,45.629278034367125,49.04220274401036,52.59993732924162,56.292349346387255,60.10688854832543,64.02859063946474,68.04014403165183,72.12202285841408,76.2526866367273,80.40884384415165,84.56577352403832,88.69769607867781,92.77818188716785,96.78058448495798,100.67848390390517,104.44612546459499,108.05883983195727,111.4934314165139,114.728524095382,117.74485556859237,120.52551426773454,123.05611540691021,125.32491534006704,127.32286572404303,129.04361098068557,130.48343414142465,131.64115731831225,132.51800378362563,133.11742898770856,133.44492785139528,133.5078253949848,133.315057274,132.87694614531202,132.20497904307334,131.3115901523505,130.20995257083572,128.91378187809303,127.43715361146556,125.79433609432823,123.99963948547781,122.06728142232399,120.01126921512454,117.84529821155951,115.58266568500164,113.23619939905251,110.8181998576477,108.34039515643424,105.8139072994596,103.24922882816935,100.65620862055371,98.04404575096122,95.42129035028836,92.79585046736875,90.17500400153641,87.56541485029882,84.97315249219437,82.40371430112813,79.8620499631476,79.94985519141707,80.62966922072209,81.91482639486142,83.83096036407218,86.41670949740153,89.72477727454573,93.82336908121947,98.7980313630062,104.7539211078866,111.81853167887287,120.14489306830342,129.91524792170705,141.34517556377023,154.6880902827106,170.23997218233166,188.34409383863579,209.3953798094399,233.84387798652648,262.1966374522697,295.0170929614429,332.92088237286197,376.5669194351217,426.64257698650334,483.8420810813632,548.8377418219612,622.2444798402996,704.5792026377557,796.217796337354,897.3535812692382,1007.961736455258,1127.774165459174,1256.268429398453,1392.6727982302546,1535.9874652005096,1685.0199544922195,1838.4311434349827,1994.787399145789,2152.614177126872,2310.4469411046557,2466.8762158624463,2620.584722366558,2770.3756484541927,2915.1920331560464,3054.1279204483412,3186.4323631051566,3311.50756279869,3428.90246995862,3538.3030897565927,3639.5205958295614,3732.4781774126964,3817.197363992678,3893.784400597896,3962.4170953249613,4020.3679508816285,4057.199451282494,4074.149035164673,4072.642392259226,4054.2249680974933,4020.5046878508424,3973.1053748787194,3913.629915859234,3843.632018372638,3764.59534716997,3677.918858380185,3584.9072380296334,3486.765465914451,3384.5966505446295,3279.4024045411197,3172.085146027456,3063.4518167973633,2954.218600948413,2845.016308097247,2736.396153829992,2628.835727693162,2522.744986978925,2418.472154029736,2316.3094269651783,2216.4984397142607,2119.235428004719,2024.6760743847358,1932.9400181839687,1844.1150262039062
IH,0.0,0.24,0.35989778389847277,0.43433955685445425,0.4932486574050001,0.5487563014999816,0.6059230304880951,0.6670066330253989,0.7331604548266675,0.805108300365001,0.8834114374036133,0.9685726857401331,1.0610750571745058,1.161393689618098,1.2699964477014825,1.387339271860465,1.5138586791485595,1.6499623810633959,1.7960184447542804,1.952343249720188,2.119188468906663,2.2967273442796197,2.485040595459356,2.6841023776906576,2.8937667809013767,3.113755425618261,3.343646755544722,3.5828676428120865,3.830687903693115,4.086218265395341,4.348412226836512,4.616072120026789,4.887859509698791,5.162309876696918,5.437851327941074,5.712826876969075,5.985519658987723,6.254180296678438,6.517055528682386,6.772417158874582,7.018590383882382,7.253980606895713,7.477097941629531,7.686578742101594,7.881203650419968,8.059911824011849,8.2218111740656,8.36618460818422,8.492492414197184,8.600371042987295,8.689628642750904,8.760237764280358,8.81232569750246,8.84616291595517,8.862150101458102,8.860804199800745,8.842743923873762,8.808675077208509,8.759376021925425,8.69568356369764,8.618479475038239,8.52867782898354,8.427213269505327,8.31503030369937,8.1930736645159,8.062279761736317,7.923569213016388,7.7778404258737055,7.6259641851280096,7.468779188055484,7.307088460898116,7.1416565848708675,6.973207656938704,6.802423909926387,6.629944917548713,6.456367312324485,6.282244947727911,6.108089440046896,5.934371030014759,5.761519709157602,5.589926560789512,2.8876149081352485,2.0874964104847784,1.8606594329327326,1.8131713747576055,1.8285916521771315,1.8729804544412656,1.9370832025378344,2.019205334673125,2.120161509451755,2.2418125506477606,2.386673496388034,2.5578466291280186,2.7590582166043007,2.9947329104487785,3.270085076404435,3.5912187273097795,3.9652299429513085,4.400304374161626,4.905799613125829,5.4922985385681855,6.1716156594961875,6.956734593512241,7.861652062506088,8.90110347481277,10.090148849345011,11.443607018606862,12.97534159965741,14.697423699518426,16.619221343759108,18.74648971222141,21.080553523202607,23.617677523752796,26.348709375864605,29.25905152082623,32.328979494503244,35.53428154225337,38.84715697008227,42.23728538357925,45.672969121153244,49.12225614823492,52.553966816331084,55.93857019284916,59.248879281004314,62.46055569268359,65.55243107326106,68.50666408331344,71.30875831863307,73.94746907574692,76.4146264313932,78.70489974538216,80.81552528744281,82.74601488198502,84.49785970272904,86.07423990034013,87.43410068059768,88.40454892167969,88.95336084234401,89.09293204900993,88.85073567772167,88.25967872498194,87.35452459989388,86.17026491653229,84.74120171217191,83.10035398553995,81.27905585998991,79.30669017630552,77.21052577433053,75.01563589529732,72.74487976138008,70.41893254924278,68.05635153212489,65.6736683542147,63.28549928874259,60.904666946436684,58.54232826775445,56.208104775982,53.910212015269266,51.655585874004124,49.450004124225465,47.29820201450357,45.20398115689936,43.17031126577217
IN,0.5857072804470895,1.1260495885040607,1.6839628174320929,2.263843348593726,2.870247751899222,3.507912003816154,4.181768660297965,4.896961469034486,5.658856808198165,6.473051237720497,7.345374347346876,8.281885987828748,9.288866883623019,10.372801554965202,11.540352433357073,12.798324048041227,14.153616203770818,15.61316517456589,17.18387211635008,18.872518164104562,20.68566603425603,22.629548403607178,24.709943878993442,26.932041995723132,29.300299367121333,31.81828982165895,34.48855206826474,37.31243907676546,40.28997389646687,43.41971700861707,46.69865046943192,50.122084011195945,53.6835879067031,57.37495676341056,61.18620751627395,65.10561377208526,69.11977738213783,73.21373675741972,77.37111007235247,81.57427021090105,85.80454716746605,90.04245268606144,94.26792124899403,98.46056113460989,102.59990915630495,106.66568285687472,110.63802433289538,114.49773046137899,118.22646504686773,121.80694925049387,125.22312755387092,128.46030740503403,131.5052715526587,134.3463628679167,136.9735421582417,139.37842007959344,141.5542647463459,143.49598701967517,145.2001057302329,146.6646952666589,147.88931804838344,148.87494441102032,149.62386237795027,150.1395796849163,150.42672027751212,150.4909173253348,150.3387046011113,149.97740786682755,149.41503769898404,148.6601849774682,147.7219200618479,146.60969648870216,145.33325984648533,143.9025623220782,142.3276832666005,140.61875599763437,138.7859009406531,136.83916511369944,134.78846787547795,132.64355278707478,130.41394538042502,128.10891658126636,125.99099127149294,124.10346830913946,122.48759458238345,121.18392457364062,120.23364348176985,119.67989137727633,119.56912505421855,119.9525539364659,120.8876863103255,122.44002188632426,124.68492566850468,127.7097155319824,131.61599068936718,136.5222189227176,142.56658524154435,149.91008130899704,158.73978114782827,169.272201998099,181.75658817768567,196.47788051131303,213.75904747399903,233.96236432397316,257.4891467778913,284.7773961942096,316.296818759712,352.54076760692647,394.0148434456799,441.22217973959573,494.6458121168243,554.7289405220173,621.8542665877067,696.3238510589059,778.3410244228442,867.9957695299983,965.254692799195,1069.9562647766868,1181.8115187980684,1300.4099277180069,1425.2297961544857,1555.652245781267,1690.977742465334,1830.4441030473167,1973.2449996935034,2118.548119830013,2265.5123103773863,2413.3032125478458,2561.1070609074704,2708.1424673459705,2853.6701320257707,2997.0005182308637,3137.4995978147967,3274.5928216293596,3407.767498513816,3536.2843944354854,3658.4426433067383,3772.7939128987964,3878.1412219291115,3973.5311624038827,4058.241133188618,4131.763015198421,4193.7845152571035,4244.169197971474,4282.93602753001,4310.239062413488,4326.3477894462,4331.6284503769075,4326.526603429885,4311.551072167181,4287.259362221723,4254.244570512476,4213.123769007338,4164.527813700206,4109.092507191898,4047.4510283411264,3980.2275333647367,3908.031828236343,3831.455011194413,3751.0659857493424,3667.408748062621,3581.0003573882386,3492.3295039629693
D,0.01,0.01,0.0344511265970931,0.0711174027475715,0.11536778395912808,0.16561980631769418,0.22152693047989686,0.28325818350722487,0.35121261527891173,0.42590677818286676,0.5079309655853463,0.5979326526406619,0.6966105416303221,0.8047125439302872,0.9230349778216088,1.0524218274908066,1.1937635281965533,1.3479949874214265,1.516092650170686,1.699070460018191,1.897974593184393,2.1138768662524625,2.3478667456440725,2.601041921471124,2.874497450789761,3.169313525382603,3.4865419758166762,3.8271916846324414,4.192213144278387,4.582482456308194,4.998785123435425,5.441800031163455,5.91208404694715,6.410057678865694,6.935992230234613,7.489998860383189,8.072019915366717,8.68182282758046,9.3189968033935,9.98295242744391,10.67292421627711,11.387976057983145,12.127009383616752,12.888773835073618,13.671880126413829,14.474814743888373,15.295956095431379,16.13359170324168,16.98593603236403,17.851148562132316,18.72735173360755,19.612648442047668,20.50513878619373,21.402935833045603,22.304180205364478,23.207053347252785,24.109789369091878,25.010685415543183,25.908110538316034,26.800513088414537,27.68642667034884,28.564474723343043,29.433373812102616,30.291935722575023,31.139068466801767,31.973776305928382,32.795158902242534,33.60240971027709,34.39481371404803,35.171744612862454,35.93266155224945,36.677105489806024,37.40469527842953,38.115123541794645,38.808152409247576,39.483609169708984,40.14138189683807,40.781415090716585,41.40370537473723,42.00829728027478,42.5952791461092,43.73234284481339,44.319721239175315,44.74434513427033,45.1228274405818,45.491650058794384,45.86360936180721,46.244597923994476,46.63862581810412,47.049358420995844,47.48062682167533,47.93664062488369,48.42212102679776,48.942420268157306,49.503648560979315,50.1128161489172,50.77799394537266,51.50849449927508,52.31507379438983,53.21015288222704,54.20805627014107,55.325261160534104,56.58064798045975,57.99573819350277,59.594900378355526,61.40550048723958,63.45796787591519,65.7857462432318,68.42509932789433,71.41474628862949,74.79531186229408,78.60859146410837,82.89664997420783,87.70079247374154,93.06046233938123,99.01213361467403,105.58826813085986,112.81640273367368,120.71841924644615,129.31003193029755,138.60050733009706,148.59261253169345,159.28277227527957,170.6614043256301,182.71339625910224,195.4186849076549,208.75290118485162,222.68804684398458,237.19317488136193,252.23505097449024,267.7787789323236,283.7883782423344,300.2273062133457,317.05892085292214,334.2468834927395,351.75550234844223,369.54073455705884,387.5233685480434,405.6176380150252,423.74029807904947,441.8136922540222,459.7668577645361,477.5359031643155,495.0640547560734,512.3015163226295,529.2052081401978,545.7384242528423,561.8704355562468,577.5760597824541,592.8352148865788,607.6324686865614,621.9565945999319,635.8001408347327,649.1590183502485,662.032111245665,674.4209119058083,686.3291821821689,697.7626410690964,708.7286787093747,719.2360960956115,729.2948694943246,738.9159383831212,748.1110155369003
R,0.0,0.04536497239011849,0.25258124952670713,0.5629586494850634,0.9554706072447962,1.4244051485134013,1.9704827240658482,2.597336098177471,3.3101253297784186,4.115002794452634,5.018916242158054,6.029545577804004,7.155291471747383,8.405282563195223,9.789387307919704,11.31822412143567,13.003166422844794,14.856340302548876,16.890612944137626,19.119570082201413,21.557480862485843,24.21924857137323,27.120345857728765,30.276733302502006,33.70476051099468,37.4210493129626,41.44235915329885,45.78543533017882,50.46684136984612,55.502777491925954,60.90888778414329,66.7000593339216,72.89021711789145,79.49211889134219,86.51715461510541,93.97515508195877,101.87421434338383,110.22053028738988,119.01826728861175,128.26944426425493,137.97385075483444,148.12899284529365,158.730069892078,169.76998216756283,181.23936871462553,193.12667395549317,205.41824094749384,218.09842864303624,231.14975010273454,244.55302833193545,258.2875662580214,272.33132732929784,286.6611232825632,301.25280577960626,316.08145883567573,331.1215892381535,346.34731246478225,361.73253194287037,377.2511098308029,392.8770278399077,408.58453693935985,424.3482950925237,440.1434924549949,455.945963719358,471.7322875175184,487.479872987786,503.16703378103915,518.7730499193623,534.2782180331732,549.6638905910305,564.912504802285,580.0076019188542,594.9338376910408,609.6769847457939,624.2239276563724,638.5626514620828,652.6822243775625,666.572775404721,680.2254675284976,693.6324671414446,706.7869103030154,719.6828663983763,731.0491345382679,741.8513030863,752.3938582288607,762.7875145603338,773.0879074624446,783.336892341858,793.5750386573421,803.8456668196235,814.1964709085346,824.6805296233963,835.357252352517,846.2934368950754,857.5645072432882,869.2559689113356,881.4651103190946,894.3029747803799,907.8966229874197,922.391697961678,937.955291499411,954.77909163571,973.0827632725478,993.117478100777,1015.1694655930625,1039.5634061601547,1066.6654348808686,1096.8854765530368,1130.6785996202018,1168.5450685320995,1211.0288011075274,1258.7140054674344,1312.2198793982761,1372.1933945713708,1439.300342096045,1514.2149629232053,1597.6086052420462,1690.1379249207705,1792.4331664883973,1905.0870328497201,2028.644581389102,2163.594486435172,2310.361898312355,2469.303020638955,2640.7014299200787,2824.7660807004645,3021.630877976874,3231.355655979203,3453.9283768785235,3689.268351661042,3937.230285249356,4197.608956020371,4470.144353579151,4754.527115859163,5050.404125642711,5357.384146155798,5674.9981570985265,6002.558953887714,6339.251041912517,6684.172414193096,7036.360955704871,7394.8150370658805,7758.511055089526,8126.418714253487,8497.514302680152,8870.792086830597,9245.273932568116,9620.017269825159,9994.121529592818,10366.73318944574,10737.049566642947,11104.321496692995,11467.85503106548,11827.012281323594,12181.211529057213,12529.926712182754,12872.686388890514,13209.072271102526,13538.717410009045,13861.304107264494,14176.561616873956,14484.26369477462,14784.22604566465
G,6.0,7.434430042836237,9.011609223399683,10.744783181966964,12.648227398962245,14.73728607720782,17.028403335101697,19.539144355438864,22.28820382402563,25.295398695863714,28.58164206438785,32.168894705918945,36.080090756998395,40.3390339908556,44.97026132832582,49.99887058648292,55.45031007136336,61.350128489448544,67.7236848047294,74.59581910591655,81.99048725074478,89.93036397284432,98.43642119207931,107.52749035130695,117.21981957337042,127.52663813441694,138.45774201886516,150.01911500226717,162.21259967330215,175.0356319734513,188.48105118181414,202.536994852588,217.18688514494505,232.40950945390657,248.17919448778576,264.46606919811705,281.236408504387,298.4530467925266,316.07584787718804,334.0622166129847,352.3676366585268,370.94621901116886,389.75124675446364,408.73570286663545,427.85276977422745,447.0562914398881,466.3011909934822,485.54383911607965,504.7423704571411,523.8569472254142,542.8499706914293,561.6862426479214,580.3330798898663,598.7603855110615,616.940681294293,634.8491057296654,652.4633822667201,669.7637623272008,686.732947411666,703.3559943563249,719.620207464149,735.5150208697519,751.0318741195839,766.1640835724256,780.9067118610257,795.2564373118979,809.2114249019639,822.7712000409462,835.936526208534,848.709287245404,861.0923748962931,873.0895820299557,884.7055018130013,895.9454329901075,906.8152913196107,917.3215271286725,927.4710488838712,937.2711526190359,946.729457020475,955.8538439386331,964.6524040730397,973.7658886435613,983.481305399696,993.878895077057,1005.0527047102088,1017.1126830619005,1030.1872107545616,1044.4261266464391,1060.0043189468972,1077.1259545139767,1096.0294209896092,1116.9930514188488,1140.3416863182076,1166.4540991951428,1195.7712624063472,1228.8053539612597,1266.1492947915106,1308.4864530605967,1356.5999530098793,1411.380782626953,1473.8336201668023,1545.0790240594688,1626.350405475194,1718.984102386816,1824.4009900250387,1944.0784862324635,2079.5126010949557,2232.1708273601616,2403.4380551502018,2594.5590898928754,2806.5824439736784,3040.3105491554898,3296.2611956019496,3574.6438384296903,3875.352638299159,4197.976092774154,4541.8212838688905,4905.949441266555,5289.2188597629165,5690.331195443387,6107.877649603919,6540.382326650574,6986.340924419564,7444.253733168505,7912.652594733262,8390.121972336103,8875.314609140669,9366.96243636784,9863.883464219249,10364.98538496201,10869.266566085082,11375.815034493242,11883.805965806727,12392.498106088688,12898.264991150787,13389.461887622369,13864.939411768228,14323.876281155675,14765.732094722709,15190.203590924144,15597.185127470764,15986.733643207517,16359.038049519666,16714.39280858273,17053.17535161807,17375.82694399346,17682.836595077468,17974.727624796826,18252.046525961126,18515.35379500789,18765.21643961739,19002.201907005492,19226.873210078564,19439.785059212336,19641.480834853926,19832.49026039592,20013.327655962687,20184.490672107964,20346.45941822065,20499.695913957945,20644.643803549694,20781.7282826064,20911.356195353754
H,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,40700.38823606151,39943.71127322548,39187.034310389456,38430.35734755343,37673.6803847174,36917.003421881374,36160.32645904535,35403.64949620932,34646.97253337329,33890.295570537266,33133.61860770124,32376.94164486521,31620.264682029177,30863.587719193147,30106.910756357116,29350.233793521085,28593.556830685055,27836.879867849024,27080.202905012993,26323.525942176962,25566.84897934093,24810.1720165049,24053.49505366887,23296.81809083284,22540.14112799681,21783.464165160778,21026.787202324747,20270.110239488717,19513.433276652686,18756.756313816655,18000.079350980624,17243.402388144594,16486.725425308563,15730.048462472532,14973.371499636502,14216.69453680047,13460.01757396444,12703.34061112841,11946.663648292379,11189.986685456348,10433.309722620317,9676.632759784286,8919.955796948256,8163.278834112226,7406.601871276196,6649.924908440166,5893.2479456041365,5136.570982768107,4379.894019932077,3623.217057096047,2866.540094260017,2109.8631314239874,1353.1861685879576,596.5092057519277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta,6.21343755831728,6.213437558317308,6.2030542754997215,6.191677668716562,6.179223859314274,6.165604160203168,6.150725274806627,6.1344896175964045,6.116795776361321,6.09753913671505,6.076612688832573,6.053908034750464,6.029316611486901,6.002731140463779,5.974047307008412,5.94316566492456,5.909993750223441,5.874448375249398,5.836458060002334,5.795965542103404,5.752930291508306,5.707330941953548,5.659167539648906,5.608463502427946,5.555267180910027,5.499652918429771,5.44172151931331,5.381600055624373,5.319440970080062,5.255420465917835,5.189736210797254,5.122604418496076,5.054256406114344,4.984934752759213,4.914889205774699,4.844372490850575,4.773636182160795,4.702926778478565,4.6324821124003535,4.562528194519484,4.4932765651842,4.424922195996681,4.357641953882373,4.291593614354528,4.2269153889011255,4.163725914991041,4.102124646211231,4.042192574210174,3.9839932127915887,3.927573776830818,3.8729664937489803,3.820189992174631,3.7692507203388255,3.720144355013798,3.6728571698928367,3.6273673398472295,3.583646164244247,3.5416591983424137,3.5013672866568846,3.462727496134903,3.4256939500676853,3.3902185659848354,3.3562517024371954,3.323742720682462,3.29264046794761,3.2628936892484703,3.234451374781164,3.207263049734916,3.1812790130676554,3.156450531384231,3.1327299935979926,3.110071031570113,3.088428611428066,3.0677590997818642,3.0480203085940185,3.0291715220248605,3.0111735081722153,2.9939885182563217,2.977580275467242,2.9619139553923373,2.9469561596742904,3.0030939312526663,3.055859079390485,3.1050233790353348,3.150683420055863,3.1929045314160454,3.231721125244948,3.2671365814461844,3.299122725968274,3.3276189703342904,3.3525312034930717,3.3737305620637565,3.391052254265709,3.4042946786396184,3.4132191624117887,3.417550745056453,3.416980545051978,3.4111703599310332,3.3997602394782884,3.382379804562787,3.358664011060926,3.328273820594104,3.2909217786961382,3.2464017794814333,3.1946213300758695,3.1356335228488508,3.0696648957897037,2.9971347278950238,2.9186614239250246,2.8350527402378636,2.7472786931903586,2.6564287360199637,2.5636575494140708,2.4701258178276553,2.3769430849943447,2.2851190303029107,2.195527577047134,2.108885746486712,2.0257467820326913,1.9465052870080037,1.8714111624021719,1.8005889470889205,1.7340595383648691,1.6717619452582895,1.6135734780548743,1.5593274567719748,1.5088280560202028,1.4618622775839587,1.4182092724551523,1.3776473527021587,1.3399590740487575,1.3049347613270126,1.2723748130683208,1.242091073611861,1.2111682255266458,1.172620868872709,1.1374622073893612,1.1053802546393001,1.076085257718362,1.0493112305429355,1.0248160361988106,1.0023805556101844,0.9818073210606744,0.9629188734803221,0.9455560151921961,0.9295760678691445,0.9148512024563735,0.9012668786198784,0.8887204119123292,0.8771196743493995,0.866381926313625,0.8564327731204411,0.8472052371195564,0.8386389351219962,0.8306793507316469,0.8232771914775288,0.8163878212614876,0.8099707594065185,0.8039892384181367,0.7984098133960565,0.7932020168209487,0.7883380531722141,0.7837925284987648
