series,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,4625.473778245924,4622.608996515513,4619.293354147659,4615.4570053205,4611.019662421357,4605.88916408943,4599.9598914196495,4593.111032391164,4585.204701848116,4576.083934705819,4565.570584347649,4553.463177413302,4539.534801445701,4523.531134255602,4505.168764323241,4484.134000620229,4460.082427636015,4432.639525501121,4401.402742168968,4365.945467867608,4325.8234106382815,4280.583889991147,4229.778532475082,4172.979742625296,4109.801107655101,4039.9215500416503,3963.1125564343856,3879.2671954573657,3788.4289392181367,3690.8176191653324,3586.849320359071,3477.1468264752207,3362.537544453678,3244.0367756039627,3122.815748455941,3000.1558084473404,2877.3922254166528,2755.8527880588167,2636.7972862699417,2521.363882791506,2410.527249612016,2305.071463228405,2205.578463561398,2112.4308607519815,2025.826387062174,1945.8005092170215,1872.2536151590025,1804.9796053204484,1743.6934319945008,1688.0559344749122,1637.6950606888745,1592.2231630548713,1551.2504796003818,1514.3951721630915,1481.2904230560084,1451.589126947761,1424.9666899696765,1401.1223903138643
I,8.0,9.264781730411013,10.727467752183543,12.4183230289059,14.372001322267591,16.62809938974122,19.231752181573217,22.23426077374376,25.693739162043393,29.675758471931857,34.253957135715865,39.51057264291936,45.53683408193636,52.433134455648016,60.30887749687986,69.28186570051574,79.47706554462651,91.0245545705958,104.05642698862992,118.70241589226357,135.08398994313757,153.30671260164507,173.45072759738076,195.5593719276909,219.62613251234777,245.58046362332885,273.27336450592776,302.46405258176225,332.8094983046386,363.85891869651516,395.0554337634733,425.7468408946288,455.20675473724555,482.66617263951196,507.35396525963137,528.5431122163055,545.5980728037322,558.0178956008217,565.4698182695324,567.8092580940613,565.084039654739,557.5230181074024,545.5114141529286,529.5567341317598,510.2498609952153,488.22576664132475,464.12750737107893,438.57601573541723,412.14698591428146,385.3550862510138,358.6449427868488,332.3878518634822,306.8829649452752,282.36167939351037,258.9940926218914,236.89657020576038,216.13969314269298,196.75605416996655
R,0.0,1.6,3.452956346082203,5.598449896518911,8.082114502300092,10.95651476675361,14.282134644701854,18.128485081016496,22.575337235765247,27.714085068173926,33.6492367625603,40.50002818970347,48.402142718287344,57.50950953467462,67.99613642580422,80.05791192518019,93.91428506528334,109.80969817420865,128.0146090883278,148.82589448605378,172.5663776645065,199.583175653134,230.244518173463,264.9346636929392,304.0465380784774,347.97176458094697,397.0878573056127,451.7425302067983,512.2353407231508,578.7972403840785,651.5690241233815,730.5801108760761,815.7294790550019,906.770830002451,1003.3040645303535,1104.7748575822798,1210.4834800255408,1319.6030945862872,1431.2066737064515,1544.300637360358,1657.8624889791702,1770.879296910118,1882.3839005315986,1991.4861833621842,2097.397530188536,2199.4475023875793,2297.092655715844,2389.91815719006,2477.633360337143,2560.0627575199996,2637.1337747702023,2708.862763327572,2775.3403337002683,2836.7169266893234,2893.1892625680252,2944.9880810924037,2992.367395133556,3035.5953337620945
G,8.0,10.864781730411012,14.180424098265746,18.016772925424814,22.454115824567687,27.584614156494833,33.513886826275076,40.36274585476026,48.26907639780865,57.38984354010579,67.90319389827617,80.01060083262284,93.93897680022371,109.94264399032264,128.30501392268408,149.33977762569592,173.39135060990984,200.83425274480442,232.0710360769577,267.5283103783173,307.650367607644,352.889888254779,403.6952457708437,460.49403562063003,523.6726705908251,593.5522282042757,670.3612218115404,754.2065827885605,845.0448390277893,942.6561590805935,1046.6244578868548,1156.326951770705,1270.9362337922473,1389.4370026419629,1510.6580297899845,1633.317969798585,1756.0815528292726,1877.6209901871086,1996.6764919759837,2112.109895454419,2222.946528633909,2328.4023150175203,2427.895314684527,2521.0429174939436,2607.647391183751,2687.6732690289036,2761.2201630869226,2828.494172925477,2889.780346251425,2945.4178437710134,2995.778717557051,3041.2506151910543,3082.2232986455438,3119.078606082834,3152.183355189917,3181.8846512981645,3208.5070882762493,3232.3513879320617
