state,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,h,Hiding_init,c1,I_initial,metric1,metric2,r1,r2,reopen
kl,1.6035793358902577,0.2012523380320397,0.838849293577044,0.04005458349990591,0.1523361282689434,0.09205657255959256,0.04762412363688371,0.0010500099087270662,0.05520054388841947,0.4774442467908809,0.03333333333333333,0.7687831776967198,0.8600000000000001,0.030999643072083742,0.0038574675744339577,0.011293954091891488,0.9996249456631838,0.9915339426061286,2021-03-20
dl,2.008512121714799,0.27566876323022804,0.8822695083134166,0.08072630773690025,0.07589400705986643,0.0451744166008476,0.4993161547087118,0.01637335381162915,0.14160190516223867,0.5914232201716686,0.04984884412949519,0.8033703388892091,0.9400000000000002,0.00014596679283873746,0.0030521652218641533,0.008117930123738024,0.9998734203354254,0.9983647321050416,2021-03-26
tg,12.9997835059501,0.3,0.826325127161694,0.05058638960666812,0.1642945712257448,0.04,0.4951542189982012,0.01516969203121799,0.022781593946511924,0.051072411393826365,0.03333333333333333,0.7967875949443148,0.8400000000000001,0.0033066049968264013,0.003044220154139752,0.008527715352113475,0.9997337511517717,0.9974617671962251,2021-03-22
rj,5.10611980307864,0.2089543150642385,0.8555942087524253,0.043167816675660935,0.19536972392757154,0.04033170814857009,0.1171067531652072,0.008307685415081702,0.10748540986077174,0.11117401208239708,0.03337773039642854,0.776019198762487,0.8900000000000001,0.0005308466752761546,0.003087765582021747,0.00846612058932558,0.999913023648462,0.9986540030658824,2021-03-18
hr,1.0649245935272431,0.20000000000000626,0.8089954753254648,0.04763647886737731,0.043015865616712064,0.07008181555983925,0.0763035119456144,0.0033505834602573802,0.013003533542024851,0.5819985781190993,0.03333333333333333,0.6659442099466796,0.9700000000000002,0.00011078799044842292,0.005855287112823761,0.012032635912536671,0.999612044235878,0.995807269511918,2021-03-21
jk,4.851354351947472,0.20033727926817632,0.10000399202524538,0.19306770824054195,0.19293587057974695,0.17275080579189947,0.4683297423472189,0.010065026223329663,0.06630208307416709,0.14942513955911949,0.03374749282719457,0.3904548741546641,0.8900000000000001,0.00017511011968040168,0.0034398810485107927,0.012908810494550123,0.9995776378939156,0.9815459208341364,2021-03-15
ka,6.931471792291332,0.2021240907610651,0.21515952220996046,0.1558555127523394,0.09108540933577328,0.0548475923080138,0.12593297989147886,0.0025009891484897608,0.15572584187576236,0.08372560617928332,0.033333584008940716,0.5051537940377626,0.8,0.00032878041065081666,0.0022478605557951204,0.005303130048968276,0.9999212187465728,0.9981166608414994,2021-03-22
la,1.4046354311549671,0.221695559796298,0.7070164525853084,0.04,0.1761117747196123,0.04,0.019276253800865333,0.001917004426642684,0.12480536397253394,0.4439824374350784,0.05656174315230355,0.7263514178348569,0.8400000000000001,0.0011663737762416168,0.006596552224678122,0.009747352083203605,0.9982401856181397,0.9649473235455448,2021-03-20
mh,1.8538485287200632,0.2000347806506648,0.3662597424640758,0.04317812025262801,0.040000324147876666,0.04,0.012823148529756615,0.0010610957585348252,0.05927819179475057,0.2023916306368541,0.06224142165026447,0.38521313970043397,0.9500000000000002,0.0008611899898708067,0.004327757692454424,0.010155542661735635,0.9998878617287618,0.9950815772309038,2021-03-15
pb,6.838139142632135,0.2131554263744168,0.16256700720592487,0.199957472274876,0.0463744185169097,0.1882315708015156,0.16656913244508031,0.0052530849952150405,0.12406850972245112,0.10507104640454204,0.03333333333333333,0.3826782576443825,0.9300000000000002,0.00029112134948233525,0.007274222948251622,0.016439149705227772,0.9996058363744016,0.9940148457634008,2021-03-28
