State - County,Ratio
AZ-Maricopa,0.9558357690076915
CA-Los Angeles,0.5506681855279199
CA-Riverside,0.7177840196896079
FL-Broward,0.9086485817556984
FL-Miami-Dade,0.8394633651563205
GA-Fulton,0.8262479945023402
IL-Cook,0.41673238708304977
LA-Jefferson,0.8340684547667578
MA-Middlesex,0.2693503970652684
MD-Prince George's,0.21884363809154647
MN-Hennepin,0.5215260331034307
NC-Mecklenburg,0.9354393901872834
NJ-Bergen,0.15127511712497552
NJ-Hudson,0.30753606836788466
NV-Clark,0.7931294270704895
NY-New York,0.004620491877593015
OH-Franklin,0.5589415621556769
PA-Philadelphia,0.37386179358931654
TN-Shelby,0.6366871426120022
TX-Dallas,0.7904669684827903
TX-Harris,0.7702158014829359
UT-Salt Lake,0.7621632890060026
VA-Fairfax,0.45750741840101
WI-Milwaukee,0.30527672691159996
