county,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31
AL-Jefferson,,,,,,,7.149006802803725,7.841846798196362,7.911694787713088,8.031434198313194,7.709959911158564,7.773734162456445,7.677855866287521,7.5772053472323595,7.547487413804435,7.616467726432758,7.595426561888899,8.031651117535295,8.04835389763712,8.094774611166871,8.155078154911127,8.164188762239396,8.00063166877476,8.0190698026534,8.134904667255674,8.075034961955621,8.065707435405253,8.110175875936088,8.024275863983839,8.127529413704218,8.214080183322773,8.305620095049665,8.419285767430923,8.624491351539074,8.733167881811996,8.71928505159749,8.693688583389498,8.68479489528333,8.679371914730789,8.821454005207363,8.60800549065935,8.587832003003896,8.844230523528035,8.93598735447703,9.098026013386955,9.197158097887401,9.26700608740413,9.495205109055055,9.77763393623139,9.651820787412438,9.571994513679034,9.466354852515536,9.30930533571395,9.162017183906936,8.961583822685023,8.364839042683412,8.36050065824138,8.50214891027375,8.440760770418986,8.49021835305816,8.420153444319329,8.331216563257659,8.942278011917976,8.759848946130498,8.603016348551012,8.86331941507298,9.200628805441028,9.3555091300216,9.66244982929542,9.336420238476654,9.460064195074589,9.574380625122155,9.224706839094312,8.597159529554268,8.211910991101757,7.6520424788574255,7.053562345079003,6.482197114063285,5.756819235355403,4.933610787479682,4.042506623086149,3.6581257615220437,3.2043307488854147,2.9158281834902344,2.550102375026871,2.410189476771314,2.403248061664061,2.473096051180789,2.4793867086217363,2.5804710661211003,2.603681422885976,2.8143099875466677,2.838171101977848,2.909754445271389,2.9997759224435687,2.9856761730069623,2.897823888055799,2.8611645395206216,2.779819831232506,2.697390526833884,2.6505359748599298,2.5845925313410314,2.448584179083304,2.3806884625654905,2.4301460452046646,2.465503878407232,2.478952870177533,2.508453884383356,2.537304140922874,2.5687574281276118,2.6472821865284053,2.7175640144893363,2.7201670451545565,2.694136738502359,2.6924013847255464,2.688713757949818,2.8208175642097166,2.8611645395206216,2.865502923962654,2.8281928177611726,2.944461520807651,3.0292769366493917,3.059862546965723,3.068539315849789,3.091098914948359,3.1494501856937,3.2904476800597657,3.373310822902592,3.2466299971952344,3.3672370846837465,3.368538600016356,3.499557810165746,3.62710631276151,3.7830712334525884,3.902593724830591,4.180684167564893,4.225803365762034,4.287842263283102,4.40519556244009,4.5123536581582995,4.630140795759489,4.791528697003109,4.9743916012347915,4.993263573557634,5.170703497236774,4.989792866004008,4.876777951289053,4.84185395653069,4.830574156981404,4.833827945312929,5.093046415724388,5.247059063416551,5.624498509873404,5.93642835125556,6.178727122343092,6.301286482830518,6.361156188130571,6.329485981703731,6.252045819413445,6.2678809226268655,6.353130176912811,6.390874121558495,6.4999844902756205,6.561806468574587,6.508878178381787,6.4841493870622005,6.591524402002512,6.6550817340782915,6.596513544110849,6.578509248676413,6.782413317451954,7.059202244853646,7.093258562723603,7.02015678487535,6.881762321174505,6.851610549302378,6.806708270327339,6.671350675735915,6.4837155486179965,6.4576852419658,6.419507458875913,6.467663526182476,6.456166807411088,6.44575468475021,6.291525117835945,6.0524801350799375,6.02493139387303,6.078076603287932,6.154432169467708,6.1633258575738745,6.263325618962731,6.463108222518342,6.888920655503859,6.951176472247029,7.058117648743137,7.127748719037764,7.23447297631177,7.2383775223096,7.228833076537128,7.195861354777678,7.205188881328049,7.049440879859072,6.953345664468046,6.96310702946262,7.035558049644567,7.102803008496076,7.230568430313942,7.3546462253560785,7.500849781052582,7.811261187880029,8.086965519171212,8.30106479138553,8.40692137177113,8.658764588631133,9.095422982721733,9.308654578047646,9.278285886953414,9.222103808429091,9.139674504030467,9.064186614739096,8.693037825723192,8.104752895383546,7.973950604456259,7.841196040530056,7.659634651630983,7.613864695767538,7.73208567181293,8.196075887888338,8.686964087504347,8.764621169016733,8.902581794273376,8.824707793538888,8.808005013437059,8.824273955094684,8.716031263265966,8.36570671957182,8.083494811617586,7.680892735396944,7.677855866287521,7.437075529754701,6.978508294231836,6.674821383289541,6.530353181369849,6.6028042015517965,6.873736309956745,6.87720701751037,7.157466652465688,7.273735355512167,7.280242932175216,7.437292448976803,7.157900490909891,6.9680961715709575,7.014950723544912,6.812782008546184,6.904538839495176,6.9897880937811205,6.9672284946825505,7.250958837191495,7.311479300157852,7.249223483414681,7.373735116901023,7.425361891761213,7.510611146047158,7.543799787028709,7.380242693564071,7.244234341306344,7.195427516333475,6.838378476754177,6.821892615874453,6.613433243434777,6.518205704932158,6.4988998941651115,6.714083762489939,6.926664600149545,7.257466413854544,7.421891184207587,7.882627611951468,7.977204392787783,8.230999882646701,8.137507697920894,8.085880923060703,8.058115262631693,7.891087461613432,7.362672236573839,7.32189142281873,7.270047728736438,7.326446726482866,7.289787377947689,7.284581316617249,7.302151773607482,7.486316193171774,7.516034126599698,7.478073262731911,7.415383607544537,7.503235892495701,7.589352823670052,7.758983655353533,7.572866962790328,7.57850686256497,7.572216205124022,7.580459135563885,7.305839400383209,7.052694668190596,6.85985347974224,6.8260140810943835
AL-Mobile,,,,,,,4.460547559698113,4.909298972850194,5.078358634661725,5.143009261980246,4.975332501287826,4.994001666395848,4.986395710240728,4.989507237758732,5.057615117875035,5.0980649756090815,5.159949800689376,5.390894287581202,5.448630409304158,5.409909177969003,5.366002067437173,5.29616556092198,5.169630108523165,5.197633856185198,5.091150470013518,4.933499742434667,4.999533270872299,5.032377172451227,4.966343644013594,4.999878996152077,4.922090808201986,4.951823182262911,4.98017265520472,5.007830677586975,5.010250754545423,4.989161512478954,4.900310115575961,4.898927214456848,5.007139227027419,5.129180250789118,5.105670931764202,5.092879096412409,5.118462767115994,5.1350575805453476,5.156838273171372,5.134366129985791,4.989161512478953,4.927968137958215,4.89858148917707,4.923473709321099,4.934882643553779,4.893395609980397,4.836005213537219,4.986395710240728,4.990198688318288,4.771354586218699,4.772046036778256,4.829782158501211,4.875417895431932,4.829782158501211,4.713272739215965,4.702900980822619,4.923127984041321,4.798666883321175,4.717767167853081,4.719150068972193,4.711198387537295,4.709469761138403,4.670748529803248,4.694949299387721,4.790369476606499,4.799012608600953,4.786220773249161,4.720878695371084,4.687689068512378,4.552510484119109,4.351644096567985,4.0169820257427045,3.6937288891501034,3.2117878491393164,2.821464008269749,2.6212890712781807,2.3972590899819184,2.16873468004854,1.966831116658081,1.8990689618215573,1.8942288079046625,1.989303259843663,1.9447046987522774,1.8506674226526119,1.784633894214979,1.8983775112620012,1.8586191040875097,1.8914630056664374,1.8510131479323897,1.832689708104146,1.8147119935556808,1.8005372570847753,1.7728792347025204,1.741072508962928,1.6916337939546477,1.682644936680415,1.60935117736744,1.5969050672954255,1.587916210021193,1.5606039129187166,1.5737414735502873,1.54089757197136,1.54850352812648,1.6259459907967933,1.6629385957330582,1.741418234242706,1.7929313009296552,1.7362323550460332,1.823009400270357,1.8606934557661792,1.9156637752509103,1.936753017317379,1.9395188195556048,1.8776339944753102,2.0083181502314633,2.059485491638634,2.0930208437771176,2.110307107766027,2.137965130148282,2.1663146030900924,2.280749670696671,2.292504330209129,2.258277527511089,2.284898374054009,2.27521806622022,2.3689096170401074,2.492679267200697,2.6185232690399554,2.753701853433225,2.8453190525744434,2.953531065145014,3.033047879493996,3.101847210169855,3.2456689265575784,3.253966333272255,3.341089103776357,3.443423786590699,3.4548327208233793,3.4956283038372047,3.3929478957430845,3.29683626796475,3.355263840247263,3.3632155216821613,3.4150743136488884,3.4510297427458196,3.520520523981234,3.735215922723486,3.8683201554380857,3.9647775084961987,4.062272037393646,4.093387312573683,4.053283180119413,3.8541454189671804,3.755959439510176,3.7493906591943906,3.7770486815766455,3.7894947916486603,3.8050524292386783,3.8413535836153874,4.051208828440744,4.220959940811832,4.257952545748098,4.27281873277856,4.259681172146989,4.273855908617894,4.366856008878225,4.283536216451683,4.246197886235639,4.255878194069428,4.24032055647941,4.250692314872755,4.247580787354752,4.207476654900483,4.270052930540333,4.263138424944771,4.234443226723181,4.112056477681704,3.9886325528008935,3.8641714520807473,3.6529333061362776,3.5409183154881467,3.4340892040366886,3.3369404004190195,3.301330696601866,3.36148689528327,3.432706302917576,3.569613513709736,3.6446358994216013,3.6954575155489944,3.763219670385518,3.7832717366126523,3.7483534833550562,3.7943349455655544,3.822338693227587,3.8818034413494344,3.879383364390988,3.8455022869727253,3.9353908597150533,3.925710551881264,3.7964092972442236,3.7289928676874777,3.6819742296376456,3.638412844385594,3.6111005472831184,3.5647733597928415,3.5820596237817504,3.67920842739942,3.809892583155573,3.8748889357538707,3.9212161232441476,4.014907674064035,4.055703257077861,4.071606619947658,4.076101048584773,4.058814784595865,4.043948597565402,4.043602872285624,4.012487597105588,3.9862124758424464,3.957171552341078,3.9125729912496934,3.902201232856348,3.927439178280155,3.987941102241337,3.992435530878453,4.031848212773165,4.037725542529396,4.121736785515494,4.179818632518228,4.119316708557046,4.058123334036308,3.9761864427288787,3.921907573803704,3.891829474463002,3.7690970001417474,3.696148966108551,3.6332269651889217,3.6259667343135797,3.6584649106127287,3.7110151531390128,3.7563051647899544,3.8659000784796382,3.95890017873997,4.060543410994756,3.950257046745515,3.907041386773242,3.8766175621527625,3.8942495514214497,3.8413535836153874,3.814387011792689,3.8230301437871437,3.9257105518812643,3.5875912282582014,3.1471372218207962,2.926218768042538,2.7720252932614686,2.6745307643640213,2.5594042461978863,2.51688003678517,2.907895328214294,3.4026282035768736,3.610063371443783,3.7749743298979763,3.872814584075202,3.976877893288435,4.069532268268988,4.075755323304995,4.033922564451835,4.014561948784257,4.024587981897825,4.011104695986475,3.9751492668895443,3.9678890360142023,3.923636200202595,3.9243276507621516,3.95302284898374,3.9367737608341664,3.8752346610336494,3.900472606457457,3.907041386773242,3.9471455192275116,3.953714299543297,3.963394607377086,3.9602830798590825,3.9931269814380097,3.9869039264020025,3.9564801017815223,3.96443178321642,3.9419596400308388,3.9118815406901364,3.8994354306181225,3.9056584856541297,3.9264020024408204,3.938156661953279,3.914301617648584,3.717583933454798,3.490442424640532,3.4582899736211608,3.415074313648888
AZ-Maricopa,,,,,,,7.767367102090719,8.337405261970085,8.48582284075195,8.540444331655578,8.646884578069526,8.677778365927553,8.630131864241358,8.531335441627334,8.555286089533764,8.550954589380472,8.44349516645987,8.448463651929819,8.501620076605128,8.534838860868966,8.507671437113402,8.492192693918556,8.420659242857596,8.437252710356598,8.25790949445087,8.123346346306366,8.11649875415227,8.106115893490704,8.034900935088075,8.211759908258825,8.497161179388504,8.745935794810213,8.734693003971158,8.626692143531391,8.497129330122673,8.290459444132216,7.93397061166324,7.538434579282982,7.412757376305892,7.393233776350252,7.37708619857291,7.383042011283686,7.479895628681895,7.516012696136537,7.558881807947782,7.503718879524993,7.634491965035366,7.617707401941366,7.6302878619454075,7.625860813994619,7.756442803909995,7.779215028980602,7.703509324095518,7.651435774458532,7.730199008863587,7.6817562755315665,7.848519031433251,7.8562265537648415,7.8574686751323295,7.9295754129782825,7.796986919315428,7.654079263522673,7.802528691570371,7.582609510993379,7.457632991864614,7.369219429912156,7.329216752025884,7.3701749078871455,7.345491726866556,7.145287241840203,6.9512296651196195,6.7592104414123515,6.572828537757528,6.298606358935238,6.119995676143671,5.902879230959983,5.642670729104222,5.2943353086885,4.942846810955307,4.462591731459221,3.9651061991474714,3.661264203100475,3.3524537215835273,3.032687092620022,2.8145833201955113,2.6951167240558584,2.64406235092553,2.7025694522607853,2.6618660905261877,2.6225959457540755,2.65989143604454,2.710913959909036,2.663331156754506,2.649604123180475,2.6133596586625,2.562177888468839,2.4653242710706302,2.420321258448575,2.4024538203162513,2.385064121171424,2.365285727089119,2.344647402829323,2.2909176913690206,2.2628266389042984,2.2431756418853257,2.239640373377861,2.2272828582346498,2.2163585600539246,2.2114537731156396,2.255055418041042,2.284515988936584,2.317894019529588,2.3556353995417143,2.3946189009213295,2.4389530789608904,2.463254068791484,2.4756752824663613,2.503670787133584,2.514563236048477,2.507651945362712,2.49265094115536,2.5150409750359723,2.5132574161493233,2.500740654676947,2.4979060700178084,2.5101680373635205,2.5259015746850317,2.551189891756448,2.54488373712151,2.6031041950642684,2.6518335717887864,2.6904030327125716,2.7266156479647137,2.7815556315266714,2.8292021332128665,2.8840147197114914,2.9232530152177705,2.958573851026588,3.091448988081941,3.2154700292357146,3.34942804132939,3.480774413624759,3.6055598371585256,3.6834631413860888,3.754582551991219,3.6899285423501915,3.7509198864204225,3.779584225670139,3.819077315303082,3.8454485074128213,3.8927765164406867,3.916185726827955,4.1008159208619634,4.128524782136689,4.177413405190373,4.222097925154098,4.279649548514362,4.3273278994663915,4.362903529401873,4.417206527647169,4.507785839676274,4.5605919224274185,4.601263434896183,4.600180559857861,4.5950209787929115,4.610754516114423,4.576134364153932,4.495842364988892,4.463929400624208,4.439501013730282,4.411824001721389,4.388796982524116,4.325448792782242,4.295414935101706,4.318728597691476,4.3085368326249105,4.300383420571658,4.305383755307441,4.273024901221095,4.28089166988185,4.245634532604699,4.101070714988627,3.8958977444923226,3.6738446631045174,3.4373957135601882,3.2295474047339097,3.075874697089595,2.8759568554557378,2.760726211671877,2.6893201576742496,2.6628852670328444,2.666611631135307,2.6977283638541665,2.680689006633501,2.6840968780776344,2.694479738739198,2.7372533027529427,2.7514262260486353,2.7751539290942344,2.790377878162417,2.8236922102237547,2.8212079674887787,2.8410819093685826,2.858184965120913,2.886053072724805,2.9171061069119975,2.9503885897075017,2.971440954423127,2.9857094255163195,3.0123354117527232,3.0387384531282957,3.0617973215914014,3.0677212850363422,3.151198210784684,3.2475740891953975,3.329426702386255,3.402998506460528,3.4423960482959717,3.491093575754657,3.5451736291391227,3.537784599465862,3.472015865520679,3.4583525304783143,3.432650172951068,3.4363446877876984,3.446058713866769,3.4581614348833156,3.5042154732778608,3.5807811083404375,3.621484470075035,3.683526839917755,3.7205356868157224,3.7981523476507886,3.8840179683366065,3.9265685874895193,3.9047836896597343,3.885801527223255,3.846881724375307,3.8447796728303274,3.800477344056599,3.7113312489899806,3.697604215415949,3.674959387408673,3.7669719164002635,3.9146888113338028,4.025906447622703,4.144895304774861,4.298663560216674,4.370228860543467,4.507562894815442,4.418321251951324,4.406345927998109,4.472273908272458,4.4851728609348305,4.506575567574619,4.573044985368129,4.545813863080898,4.6824153642387145,4.645374668074914,4.609416846949436,4.587217908663822,4.5343162781151785,4.543648113004253,4.556451517869126,4.478643761439062,4.488803677239795,4.488102993391469,4.49265743840559,4.526895399176086,4.4716050736899655,4.463929400624208,4.532946759684359,4.579000798078902,4.612060336013577,4.598619945832042,4.5927915301846,4.57463744865978,4.51988856069282,4.502244067421328,4.439469164464449,4.413512012810539,4.460139337990078,4.4817649894906975,4.540431337155118,4.65556643314148,4.731686178482393,4.814207626255745,4.843891142012118,4.855516124041169,4.908577000918979,4.973390256889171,4.978486139422455,4.977849154105795,4.964568010253425,4.963102944025107,4.958357403415987,4.968708414811717,4.928387244267116,4.912558159148106,4.8974616071432555,4.904086254436523,4.898640029979077,4.914214320971423,4.890900658381653,4.8083155120766365
AZ-Pima,,,,,,,4.786826487634009,5.124981704288651,5.185683225632466,5.196459450769907,5.281305172738115,5.297810530227108,5.274348369168374,5.206553636341687,5.209008978778066,5.1338482186422425,5.134393850294771,5.246521154889412,5.381155765150861,5.433809219619877,5.37419896158112,5.342825141560722,5.368606237142701,5.403253847078273,5.205189557210366,5.052276286589206,5.051730654936677,5.0713733944277095,4.981753395499875,4.999759240033321,4.993211660202978,5.024721888136509,4.939057718689507,4.796511449466393,4.71139291167192,4.608541345170266,4.4473071918480445,4.3205842405482615,4.372555655451618,4.4474435997611765,4.468041194644135,4.466404299686547,4.504462107450423,4.560389351834611,4.638005454406815,4.6456442975422165,4.7100288325405995,4.68492977652428,4.6778365650414075,4.674153551386839,4.708528345496144,4.6152253329137425,4.442396506975287,4.368736233883917,4.450990205502613,4.490821316137206,4.640051573103797,4.779187644498608,4.864033366466815,4.987209712025162,4.968658235839188,4.912867399368131,4.927872269812669,4.771139577623809,4.581259762543833,4.52001260954749,4.5121009505858245,4.503507252058498,4.516193187979789,4.5033708441453655,4.480863538478558,4.409795015736699,4.341181835431219,4.167398154100838,4.070412127863867,3.8326531352745,3.5906654973780356,3.2617860188163803,2.975875032891358,2.5981615214283873,2.244865026416074,2.0368429588895194,1.866469475387443,1.684774135095396,1.5977458865170735,1.5592788550138024,1.5392268917833738,1.5871060692927645,1.566917698149204,1.5274958112540076,1.5347254306500122,1.5641895398865604,1.5236763896863068,1.5208118235105312,1.5021239394114243,1.4785253704395596,1.4371937727605129,1.4089573347421545,1.391497121861237,1.3961349909077305,1.3886325556854613,1.3468917342670184,1.3226111257294926,1.2931470164929446,1.2744591323938377,1.2615003806462817,1.2394022987188704,1.2118479002661728,1.2175770326177238,1.232991126801659,1.2505877475957081,1.2782785539615382,1.3187917041617918,1.3462096947013575,1.4009092678673565,1.4371937727605129,1.440331154762553,1.4831632394860532,1.494485096276023,1.47729769922137,1.4667942899101931,1.4606559338192455,1.4478335899848218,1.4257355080574108,1.4005000441279596,1.3973626621259199,1.4060927685663789,1.4399219310231561,1.4431957209383282,1.4688404086071756,1.5013054919326314,1.5400453392621671,1.5771482916341164,1.6115230857434224,1.6458978798527286,1.6907760832732115,1.7252872852956498,1.773712094457569,1.8314126417124759,1.8880219256623254,1.9517244210950473,1.9952385453842088,2.059350264556327,2.098090111885863,2.1335561693002263,2.100681862235374,2.13505665634468,2.1642479497549636,2.2132183905694114,2.2216756811836063,2.2359985120624835,2.2387266703251267,2.3422602763924414,2.365995253277439,2.3975054812109695,2.4137380228736975,2.459298265859841,2.4793502290902696,2.4807143082215917,2.509087154153082,2.55492021296549,2.5670605172342533,2.5655600301897996,2.541552237478538,2.550555159745261,2.575517807848448,2.570743530888822,2.541415829565406,2.54796340939575,2.5693794517575,2.578382374024223,2.591341125771779,2.5527376863553752,2.541552237478538,2.5644687668847417,2.5605129374039093,2.544007579914917,2.555193028791755,2.5386876713027626,2.5643323589716096,2.538960487129027,2.427242406273782,2.3132053908952903,2.1860732158561107,2.0529390926391153,1.9241700226423497,1.8375509978034235,1.7398829320007916,1.7168299946814554,1.7033256112813706,1.7274698119057645,1.769483449150472,1.836596142411498,1.8352320632801766,1.8408247877185955,1.8405519718923313,1.8611495667752886,1.8787461875693379,1.8809287141794526,1.8676971466056325,1.8773821084380162,1.8801102667006597,1.8951151371451977,1.907391849327093,1.8801102667006597,1.8772457005248842,1.8892495968805145,1.9161219557675513,1.907664665153357,1.9080738888927538,1.9068462176745644,1.9202141931615166,1.9282622600363146,1.9649559886688677,1.988008925988204,2.0392983013258985,2.084858544312042,2.1095483765889647,2.1586552253165445,2.1838906892459957,2.1871644791611677,2.180753307243956,2.161110567752924,2.1406493807830986,2.1280998527749393,2.106683810413189,2.1211430492051986,2.1354658800840762,2.1489702634841605,2.1683401871489285,2.184027097159128,2.2047610999552174,2.245274250155471,2.322208313162013,2.415102102005019,2.429561340797029,2.432425906972804,2.4367909601930333,2.4464759220254177,2.4359725127142404,2.3560374756187907,2.308021890196268,2.3121141275902324,2.390821493467493,2.5119517203288573,2.5835658747232455,2.6977392980148696,2.7933612451205185,2.8486064499390458,2.9138094324162225,2.8419224621955697,2.8185967090499693,2.8617016095997343,2.859519082989619,2.895394364143379,2.92253953885668,2.9102628266747854,2.988697376725782,2.9498211214831143,2.931133237384007,2.8883011526605067,2.807138444346868,2.776583071805262,2.7482102258737706,2.706742220281592,2.72611214394636,2.717654853332166,2.732659723776704,2.7969078508619547,2.8188695248762334,2.8587006355108264,2.9101264187616533,2.899077377797948,2.886937073529185,2.866203070733096,2.8513346082016895,2.831419052884393,2.788859783987157,2.7749461768476755,2.791042310597271,2.815868550787326,2.8782069670887265,2.896622035361569,2.933315763994122,2.991152719162161,3.02320857874822,3.0493988980695965,3.056492109552469,3.0794086389586726,3.096050404360797,3.133153356732747,3.1357451070822577,3.122104315769041,3.1291975272519137,3.1313800538620282,3.1016431287992163,3.09618681227393,3.0832280605263733,3.0734066907808573,3.0994606021891014,3.123741210726627,3.1523868724843824,3.169437861625903,3.180759718415873,3.1065538136719746
