series,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,7997.54090067637,7994.137924452449,7989.487481895315,7983.134390507518,7974.459213147965,7962.620576268057,7946.4786114663275,7924.494550984309,7894.601301481034,7854.040803885517,7799.167484725053,7725.225395176494,7626.123307775904,7494.262021307417,7320.516445324589,7094.542425046457,6805.650511315849,6444.517994461891,6005.8951564443805,5492.060879806293,4916.033517870569,4302.723299385079,3686.143452888868,3102.3836490011226,2580.899712126246,2138.3909100511405,1777.974410616017,1492.7940157207302,1271.0526576671753,1100.022110047395,968.2663563369347,866.439417807862,787.2879070081923,725.332053344348
I,6.0,8.202976223921747,11.212823536271653,15.323350216813617,20.93385753300398,28.585722906310995,39.01054312677856,53.19249498344118,72.4472454900284,98.51829398754055,133.68795435049535,180.89245302895523,243.81604982375444,326.91412632749103,435.276877044821,574.1955219139894,748.2483312617985,959.7311818633966,1206.407783508228,1478.9605034446704,1759.1957646914607,2020.666830238658,2233.1133106871375,2370.250452437456,2417.6842988248413,2376.6562411349787,2261.7414923431065,2094.573588769772,1897.4002290693725,1688.9507308752782,1482.9163384106828,1288.1600092576189,1109.679518205765,949.6994682284562
R,0.0,1.2000000000000002,2.8405952447843497,5.083159952038681,8.147829995401406,12.3346015020022,18.0517460832644,25.853854708620112,36.492353705308346,50.981802803314025,70.68546160082214,97.4230524709212,133.60154307671226,182.36475304146316,247.74757830696137,334.8029537159256,449.64205809872345,599.2917243510832,791.2379607237625,1032.5195174254081,1328.3116181143423,1680.1507710526344,2084.284137100366,2530.9067992377936,3004.956889725285,3488.4937494902533,3963.824997717249,4416.173296185871,4835.088013939825,5214.568059753699,5552.358205928755,5848.941473610891,6106.5734754624145,6328.509379103568
G,6.0,9.402976223921748,14.053418781056005,20.4065101688523,29.08168752840539,40.9203244083132,57.06228921004296,79.04634969206128,108.93959919533673,149.50009679085457,204.3734159513175,278.31550549987645,377.41759290046673,509.2788793689542,683.0244553517824,908.998475629915,1197.890389360522,1559.02290621448,1997.6457442319906,2511.4800208700785,3087.507382805803,3700.8176012912922,4317.397447787504,4901.157251675249,5422.641188550126,5865.149990625231,6225.566490060355,6510.746884955642,6732.488243009197,6903.518790628977,7035.274544339437,7137.101482868509,7216.252993668179,7278.208847332024
