series,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,1578.5129018459093,1575.5291053223848,1571.3650117613158,1565.5620189615777,1557.4911890920525,1546.2973943427928,1530.8321855508245,1509.5802056218965,1480.5927587727813,1441.457873777596,1389.3607008242057,1321.3186669155361,1234.6968257411381,1128.0797364757354,1002.4302690683494,862.1584347780534,715.3691305224576,572.5582590336979,443.8226027914636,335.9199963647235,250.92393496302014,187.00594907512405,140.32425019820226,106.70275051586606,82.53995391143809,65.07255232953216
I,6.0,8.389271143317762,11.722092268363813,16.36357150765754,22.812974948494528,31.746287596937936,44.0658341049531,60.95143790465277,83.89935528803377,114.72085759960079,155.45062030598535,208.0894310245258,274.09219751611715,353.5501587915292,444.1672024359733,540.4275909090081,633.6672420047145,713.6895704972497,771.7074661979188,803.1434601663888,808.5579930654422,792.3579375789466,760.5268191060562,718.7895694073299,671.7292590050145,622.6366450692735
R,0.0,0.5945253802066408,1.425797816229573,2.5873113766739597,4.208737805362069,6.4692199061784486,9.614882190131597,13.981258319359931,20.02078778509412,28.334170468712507,39.701580715718265,55.104803905847284,75.72387858865392,102.88300657864445,137.91543034158647,181.92687615884765,235.47652931873716,298.26507231496157,368.98283285652684,445.449445314797,525.0309738174469,605.1490151918387,683.6618325416508,759.0205819227134,830.2436889294568,896.8037044471037
G,6.0,8.983796523524404,13.147890084593387,18.950882884331502,27.0217127538566,38.21550750311639,53.6807162950847,74.93269622401272,103.92014307312792,143.05502806831333,195.15220102170366,263.1942349303731,349.8160761047711,456.4331653701737,582.0826327775598,722.3544670678557,869.1437713234516,1011.9546428122112,1140.6902990544454,1248.5929054811857,1333.588966882889,1397.5069527707851,1444.1886516477068,1477.810151330043,1501.972947934471,1519.440349516377
