series,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,10287.510734138337,10285.347495245112,10282.681544337873,10279.396460123678,10275.349069010532,10270.363406340695,10264.223370954442,10256.663819916976,10247.359817085005,10235.913721004235,10221.839781544204,10204.54592205679,10183.312432179611,10157.26741177003,10125.359026480293,10086.32501251346,10038.66047164901,9980.58591424881,9910.018834926346,9824.553932305924,9721.45945225776,9597.6999629763,9449.998840003967,9274.95612571293,9069.237924800234,8829.850119653434,8554.499449955681,8242.026654135847,7892.8689872288105,7509.4767126170655,7096.580030238168,6661.195163608179,6212.287378217388,5760.0807950666795,5315.104986676293,4887.158946519354,4484.410151017154,4112.807115335904,3775.884199907721,3474.924146890333,3209.3643825848667,2977.309110375836
I,5.0,6.163238893225736,7.596542021820895,9.362317831651218,11.537245378467379,14.215458972609543,17.512402564341606,21.569473088939233,26.559581303121192,32.69376112326735,40.22894835864491,49.47701817432906,60.81510441664206,74.69710394289585,91.66606844405334,112.36686872207595,137.55803584211145,168.12098607388901,205.06386818157463,249.51599716568197,302.7072777807092,365.9253115060283,440.4413721771544,527.3958120327607,627.634850538904,741.4956855779238,868.5472181600917,1007.3105703479079,1155.006123185363,1307.3971731600354,1458.8144209069258,1602.4364033555287,1730.8569080752138,1836.8921096108797,1914.4894960790898,1959.5376370202116,1970.3789051183687,1947.9061597759448,1895.2478432489393,1817.1583276165393,1719.2864263986976,1607.4844133279887
R,0.0,1.0,2.2326477786451475,3.7519561830093267,5.6244197493395705,7.931868825033046,10.774960619554955,14.277441132423277,18.591335750211123,23.90325201083536,30.44200423548883,38.487793907217814,48.38319754208363,60.54621842541204,75.48563921399122,93.8188529028019,116.29222664721709,143.8038338156394,177.4280310304172,218.44080466673213,268.3440040998685,328.88545965601037,402.07052195721604,490.15879639264693,595.637958799199,721.1649289069799,869.4640660225647,1043.173509654583,1244.6356237241646,1475.6368483612373,1737.1162829932443,2028.8791671746294,2349.366447845735,2695.5378294607776,3062.9162513829538,3445.814150598772,3837.7216780028143,4231.7974590264885,4621.378690981677,5000.428259631465,5363.859925154773,5707.717210434513
G,5.0,7.163238893225736,9.829189800466041,13.114274014660545,17.16166512780695,22.14732779764259,28.287363183896563,35.84691422136251,45.150917053332314,56.59701313410271,70.67095259413374,87.96481208154687,109.19830195872568,135.24332236830787,167.15170765804453,206.18572162487783,253.85026248932851,311.92481988952835,382.4918992119918,467.95680183241404,571.0512818805777,694.8107711620387,842.5118941343704,1017.5546084254077,1223.2728093381031,1462.6606144849038,1738.0112841826565,2050.484080002491,2399.6417469095277,2783.0340215212727,3195.93070390017,3631.3155705301583,4080.223355920949,4532.429939071658,4977.405747462044,5405.3517876189835,5808.100583121183,6179.703618802433,6516.626534230617,6817.586587248004,7083.146351553471,7315.201623762501
