county,NAICS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
NY-New York,7211,15830,11688,15514,15865,15412,16059,18017,17420,13246,15682,15599,16017,15843,19332,18942,16669,14416,15579,16717,18431,18431,16813,13456,15995,13934,18096,18062,18125,16448
NY-New York,7224,26373,19580,24309,23920,23853,24347,28360,27239,20331,23690,23847,25593,25677,29110,25732,23022,21038,22356,24132,26576,27271,25901,20951,24076,20064,26573,26989,28822,24523
NY-New York,7225,273403,210023,293359,286563,281671,279990,308332,283230,219695,280453,284156,298445,284071,320456,255126,226114,228850,257151,274429,292414,292641,270369,225097,284920,220315,307868,303773,317220,260104
NY-New York,7139,51665,41813,70515,68499,65758,62928,64817,52564,42647,63984,65880,70271,64418,65124,47207,42284,47256,54413,59329,61718,58737,51189,44568,66558,47971,70364,69072,67072,48315
NY-New York,7131,1234,931,1208,1112,1053,1033,1271,1333,908,1027,1152,1046,1089,1423,1286,1269,1225,1184,1183,1118,1176,1328,1034,1114,850,1323,1241,1257,1283
NY-New York,8131,11827,14353,10946,11294,11067,10472,12032,12107,14278,10934,11095,11825,10892,11503,10774,12978,8771,9438,10426,10529,11223,11528,14174,11583,9437,13892,12216,12919,11440
NY-New York,8121,6338,5354,7090,6893,6630,6519,7181,6759,5487,6650,6872,7237,6730,7194,6275,5218,5914,6370,6384,6663,6775,6377,5559,6853,5309,7503,7420,7255,6224
CA-Los Angeles,7211,15024,11005,12359,13219,13635,13605,16771,18041,14069,13759,13698,14025,14792,18147,20578,16409,12853,13097,14797,15824,16847,17736,13693,14512,12107,15860,15554,16876,16565
CA-Los Angeles,7224,12739,8165,8260,8759,8946,9643,13270,13842,8999,8913,9002,9499,10333,13104,12814,10575,8084,8662,9474,10530,12127,13179,9855,9288,6866,10282,10823,12700,12305
CA-Los Angeles,7225,252072,175789,204164,207303,211373,216935,257821,257301,200433,213567,208481,216489,226931,266685,244906,215506,198345,203895,217620,231551,251506,238871,209230,217951,137069,232405,227965,252221,238935
CA-Los Angeles,7139,45678,30196,48236,50310,51256,50681,52590,47581,35437,50215,51600,52462,51968,49185,42956,36225,39642,47286,50129,52102,49768,43880,36216,50385,31707,53370,51666,50460,43812
CA-Los Angeles,7131,4249,2994,2038,2021,2229,2172,2795,4713,2902,2477,1947,2167,2344,3820,5427,5590,4509,2368,2443,2753,3484,4067,3852,2555,1331,2377,2408,3176,5303
CA-Los Angeles,8131,12241,21001,10738,11996,12412,11543,13031,13427,21441,10453,12216,12901,11806,12372,12622,20688,7432,11261,12945,12702,13100,13013,22611,12221,8578,17933,12635,13282,11882
CA-Los Angeles,8121,7384,5295,7382,8046,7974,7910,8700,7510,5440,7655,7904,8129,8105,8513,7173,5763,6355,7497,8033,8354,8603,7379,5832,7984,5301,8764,8466,8761,7213
FL-Miami-Dade,7211,14135,11108,10750,8029,8468,9553,11425,12672,10354,9655,8586,9088,10093,13028,13866,13046,11268,9790,10589,12637,13499,13239,12047,10471,8574,10508,10820,11614,12227
FL-Miami-Dade,7224,5874,4677,3546,3019,3096,3410,4418,5292,4130,2996,3048,3280,3728,5077,5353,4678,3393,3172,3506,4189,4648,5148,4418,3305,2819,3747,4041,4676,5313
FL-Miami-Dade,7225,81005,57058,70242,64822,65476,67073,77196,80864,61559,66892,64779,66983,70886,84911,71808,61470,62716,64100,67958,76166,80733,76693,63298,64625,52993,72607,74056,81312,76801
FL-Miami-Dade,7139,17457,11984,19904,18651,18124,18213,17901,16594,12240,19756,19038,19390,19556,19574,16413,13955,16834,19110,19469,21189,19433,16275,12887,19870,15312,21552,21017,18622,16381
FL-Miami-Dade,7131,1602,1195,513,514,501,491,582,807,573,544,594,587,669,718,780,719,538,585,663,650,718,648,644,619,465,649,701,738,746
FL-Miami-Dade,8131,3886,6278,3471,3623,4127,3546,4340,4238,6346,3542,3739,3977,3722,3723,3626,6227,2448,3409,3846,4496,4137,4134,6898,3658,3017,5983,4105,4307,3784
FL-Miami-Dade,8121,3089,2381,3620,3418,3589,3525,3734,3184,2248,3893,3589,3748,3621,3900,3038,2287,3044,4010,3789,4438,4117,3431,2438,3929,3060,4517,4458,4108,3028
IL-Cook,7211,11711,6907,8638,8456,8635,8425,11012,12392,7548,9026,8931,9264,9320,14069,15759,11601,7975,7770,9006,10111,11767,12662,7916,9054,8722,9853,10370,11608,12456
IL-Cook,7224,12728,9247,8760,8855,8854,9141,12415,14235,8561,8920,9468,9918,9912,11897,13125,10167,7586,8396,9489,10464,12147,13782,9106,9086,8911,10584,10673,12195,12873
IL-Cook,7225,138613,98578,117479,113493,112432,114470,142762,145574,99583,118675,117288,120362,118776,147064,137769,117752,108356,109002,115394,127704,141189,142163,110595,117470,103220,130640,135182,146120,141152
IL-Cook,7139,28578,19913,27234,26525,26505,26113,27458,28356,19957,27784,27260,26949,25790,26849,27445,23641,24152,25014,27561,29159,28605,29508,23787,27736,23591,29378,30039,28370,27603
IL-Cook,7131,1793,1379,1276,964,1055,1425,1435,1807,1548,1369,1338,1535,1192,1675,1762,1859,1572,1335,1157,1030,1083,1385,1120,1016,862,1071,997,1198,1511
IL-Cook,8131,10366,15860,8675,9161,8566,8314,9396,10952,15488,8865,8754,9493,8317,8926,10025,14713,6525,8068,9113,9074,9639,11078,16474,9153,8123,13610,10555,10159,10397
IL-Cook,8121,4590,3177,3694,3821,3652,3615,4416,4607,2904,3666,3888,4063,3992,4315,4708,3493,3642,3608,3909,4331,4519,4919,3321,3825,3636,4295,4400,4528,4695
TX-Dallas,7211,14683,9241,9170,9369,8616,7820,10540,13477,7224,8121,8461,8570,9224,13879,16035,11780,9968,8095,8303,8865,10802,12548,7936,8832,8561,10017,13585,26739,31443
