series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16
S,21566600.750381317,21566600.60799435,21566587.91669435,21566568.64763001,21566544.6855848,21566516.368098967,21566483.410263285,21566445.23577517,21566401.088810343,21566350.06400703,21566291.104734473,21566222.987809602,21566144.301043358,21566053.415634025,21565948.45377722,21565827.25120431,21565687.314060006,21565525.769351065,21565339.308055546,21565124.119843174,21564875.818208523,21564589.35465495,21564258.920384828,21563877.83374893,21563438.411483403,21562931.821515627,21562347.91485026,21561675.033754487,21560899.793148722,21560006.83177972,21558978.52941287,21557794.685939305,21556432.15796429,21554864.44814629,21553061.242317416,21550987.889271356,21548604.818103425,21545866.888189454,21542722.66737773,21539113.63484018,21534973.306410857,21530226.28228165,21524787.21980511,21518559.738075726,21511435.26614651,21503291.85341874,21493992.969134804,21483386.328177724,21471302.79260818,21457555.41246134,21441938.684942126,21424228.127610467,21404180.277293127,21381533.240596917,21356007.931727733,21327310.135954864,21295133.52919512,21259163.762428187,21219083.681047674,21174579.692037232,21125349.216306888,21071109.072733697,21011604.540880512,20946618.7507979,20875981.963052113,20799580.24336375,20717363.01579002,20629349.00415415,20535630.14536483,20436373.1753133,20331818.736502457,20222278.01998519,20108127.114168394,19989799.37241011,19867776.216877017,19742576.860234063,19614747.44784354,19484850.10500913,19353452.323993295,19221117.05368333,19088393.770854764,18955810.724997446,18823868.465876315,18693034.689525824,18563740.37727291,18436377.154890258,18311295.764938794,18188805.52362868,18069174.62239321,17952631.131847966,17839364.569895905,17729527.90457252,17623239.874173287,17520587.520912852,17421628.848760433,17326395.530370653,17234895.601610385,17147116.09469195,17063025.572141323,16982576.533658043,16905707.676352758,16832345.99593264,16762408.722239919,16695805.08725377,16632437.927371604,16572205.124625636,16515000.893592374,16460716.922236742,16409243.375907492,16360469.774263404,16314285.751144622,16270581.70738299,16229249.366330318,16190182.241525596,16153276.025462557,16118428.907892387,16085541.831529306,16054518.692441054,16025266.49181809,15997695.445237465,15971719.054978263,15947254.150412636,15924220.900993157,15902542.805886602,15882146.663867626,15862962.526683027,15844923.638728246,15827966.365541363,15812030.113314185,15797057.241344256,15782992.969102964,15769785.279372094,15757384.818701945,15745744.796266502,15734820.88203354,15724571.105027802,15714955.75234209,15705937.269442555,15697480.162219234,15689550.901149405,15682117.827868871,15675151.064382805,15668622.425093412,15662505.331774231,15656774.731580475,15651407.018150209,15646379.955821667,15641672.606967155,15637265.26242307,15633139.374978293,15629277.495868832,15625663.21421496,15622281.09932783,15619116.645805161,15616156.221330034,15613387.017082762,15610797.000672929,15608374.871496933,15606110.018425662,15603992.479726698,15602012.905126244,15600162.519916937,15598433.091019437,15596816.894907536,15595306.687308766,15593895.674595032
E,81.48396035398657,59.25707240049052,55.68090408448013,59.66424291902623,67.24704187061803,77.10362373697556,88.89469052693606,102.66548296503213,118.62834378508603,137.08686014229636,158.41254629854166,183.04147937855268,211.4790290216484,244.30844157574623,282.201851159568,325.93333941021274,376.3940708968202,434.6097023997107,501.7603523267201,579.2034770079949,668.5000540442438,771.4445269674987,890.0990230922622,1026.8324185970728,1184.3648917362707,1365.8186762447967,1574.7758015426602,1815.343682707837,2092.2294989682014,2410.8243711598966,2777.2984112500644,3198.7077637650455,3683.1147804898883,4239.722453677949,4879.024162869937,5612.969645045351,6455.147850068361,7420.986959045242,8527.97127990525,9795.873940746535,11247.003216077084,12906.458873442562,14802.393039692412,16966.267674894458,19433.097728186767,22241.66536851182,25434.68630078301,29058.90411769533,33165.083012189236,37807.86323073899,43045.437809726805,48939.00406522211,55551.93993538626,62948.6548348476,71193.06867101992,80346.68276105814,90466.22420801171,101600.8721201719,113789.1103631721,127055.29648100646,141406.0873692068,156826.9144809553,173278.74799440533,190695.42220950432,208981.80496055473,228013.07495769789,247635.3189716342,267667.5768298855,287905.3531230998,308125.4922873647,328092.19362895464,347563.8407732871,366300.2494029457,384069.90652692254,400656.78613889526,415866.3759838913,429530.6293254825,441511.6522907627,451704.03917855007,460035.8640215454,466468.41834392876,470994.84734795144,473637.87776493677,474446.85103125527,473494.27789917396,470872.1187581882,466687.97190699086,461061.3237164037,454119.98349844816,445996.79470290453,436826.6848223231,426744.0904277956,415880.7718110932,404364.0140274427,392315.1976184507,379848.7126099428,367071.18304709444,354080.9658066457,340967.88616203045,327813.1730504118,314689.5587328309,301661.5101473955,288785.5623974354,276110.72822594305,263678.96080014046,251525.65051548765,239680.13972230398,228166.24221313675,217002.75694724545,206203.96781478747,195780.12325876372,185737.8912904208,176080.78687418203,166809.56984640696,157922.61249564672,149416.23669830602,141285.0210996999,133522.0792817565,126119.31018834819,119067.62230834414,112357.13326346883,105977.3465290148,99917.30704423036,94165.73745750994,88711.1567091954,83541.98258999645,78646.6198324284,74013.53520164093,69631.32095487465,65488.74793891541,61574.80949493024,57878.7572419349,54390.129715312054,51098.77474629536,47994.86638284131,45068.91707224579,42311.785751425625,39714.68242202274,37269.16972431753,34967.161966188534,32800.92201079684,30763.056379025573,28846.508879669003,27044.553041622934,25350.78358756004,23759.107157463415,22263.732462631902,20859.160026065918,19540.17164321394,18301.819677644096,17139.41628905766,16048.522675954577,15024.938401986361,14064.690863396365,13164.024944777386,12319.392901511073,11527.444499549361,10785.01743652356,10089.128062404568,9436.962412981826,8825.867565183866,8253.343319644986,7717.034212854274,7214.721858637313,6744.317616557152,6303.855583025683
I,0.025323294151649932,2.2566004169616587,3.379833564434971,4.154266198595403,4.86525229186042,5.625762322900643,6.487166770342255,7.480059320992538,8.629449278485442,9.960594948317624,11.501452953474562,13.283940920507607,15.344826066890931,17.72654535862838,20.478078323097606,23.655927391478556,27.325238019025058,31.561084376591346,36.4499460926014,42.09140369833139,48.60008377807772,56.10788889417458,64.76655200217348,74.75056026210632,86.26049889068292,99.52687199313972,114.81446415656808,132.42731394917007,152.71437828601182,176.07597477435178,202.97109745331463,233.925709511924,269.54212419916865,310.5095916579372,357.616214035703,411.76231288929796,473.975370203261,545.4266554437366,627.4496336065117,721.5602201869132,829.4789046552056,953.154699774371,1094.7907844446577,1256.871586274209,1442.1908895026165,1653.8803464264129,1895.4375082304891,2170.752167091807,2484.1294107682324,2840.307332972856,3244.4668238955837,3702.230301821104,4219.645669856805,4803.151241035193,5459.516942887732,6195.7568864007835,7019.0084855062,7936.373881108363,8954.720601216653,10080.440300243343,11319.167139398927,12675.460880946628,14152.463929484473,15751.546066105373,17471.95502859242,19310.4948034565,21261.255861762165,23315.42198137983,25461.176312840278,27683.72480929613,29965.448261115576,32286.185533762815,34623.641091538295,36953.900558385714,39252.02997704188,41492.72846185326,43651.000674626084,45702.81518913187,47625.71718154101,49399.36852140079,51005.99457321552,52430.7241043259,53661.81590947464,54690.772492924494,55512.34693842561,56124.45366220833,56527.996965619095,56726.63320173502,56726.48306767767,56535.810221664324,56164.68132457823,55624.6209491402,54928.272800097046,54089.076532870655,53120.96729780551,52038.103087862495,50854.62310970383,49584.438780924705,48241.05760313711,46837.4390747673,45385.88097685775,43897.93376774596,42384.34042999165,40854.99889425596,39318.94408855678,37784.34669739242,36258.52583618649,34747.97302815635,33258.38509239678,31794.7037966209,30361.160381921803,28961.32331951218,27598.147902785033,26274.026506659913,24990.838556407398,23749.999437912145,22552.507749794495,21398.990445045674,20289.74553660287,19224.7821488268,18203.85778667608,17226.512768195476,16292.10182550868,15399.822926576746,14548.743406230431,13737.82352198187,12965.937569315613,12231.892703857828,11534.445625188862,10872.317280120515,10244.205742891969,9648.797426708219,9084.776775996523,8550.834582231479,8045.675058625639,7568.021800767253,7116.622751706713,6690.254281284078,6287.724480836503,5907.875765967544,5549.58687190499,5211.774318195477,4893.393412133162,4593.4388534277,4310.944996198786,4044.985818444242,3794.6746436597405,3559.163654277459,3337.6432320201534,3129.34115611413,2933.5216865452535,2749.4845561508964,2576.5638922914254,2414.127086111521,2261.573624958741,2118.333901349806,1983.8680099404219,1857.6645422400711,1739.239387298036,1628.1345452516853,1523.916959454692,1426.177371874769,1334.5292055524878,1248.6074771308809,1168.0677417871098,1092.585072311061
A,0.22790964736484945,20.314675144554382,30.892461600840715,38.471122236782925,45.51821942102591,53.02938910838967,61.47360328253494,71.14220873707113,82.27946059118304,95.13322673397948,109.9768091476581,127.12063992695099,146.92080688660897,169.78704260855835,196.19123658753765,226.67696546498152,261.87034390484405,302.4924448204784,349.37353688924424,403.46940843370345,465.880078602307,537.8712354676453,620.8987849710971,716.6369443272653,827.0103686077334,954.2308598277,1100.8392739246208,1269.7533122880905,1464.3219603831424,1688.3874154390492,1946.3554264338254,2243.27505009029,2584.9289025369653,2977.9350523551643,3429.861749603549,3949.3562071779543,4546.288632359126,5231.912630382318,6019.042946087126,6922.251245908924,7958.080235317807,9145.27581291255,10505.03612958852,12061.275288437613,13840.897919081144,15874.078913966843,18194.54014767087,20839.812944289737,23851.47136297765,27275.317025835433,31161.49126687876,35564.48498205073,40543.010988102644,46159.69840755171,52480.564255752084,59574.21491914704,67510.73071682926,76360.1915427598,86190.81205797152,97066.67224972438,109045.05415771037,122173.42814146812,136486.1710189321,152001.14109590868,168716.27737199236,186606.4266196935,205620.6264995668,225680.07959951472,246677.0379261009,268474.77813941694,290908.7862338663,313789.191422731,336904.40060660813,360025.79665616277,382913.2856539396,405321.4186413155,427005.7780570909,447729.3103278877,467268.30297755566,485417.7433023157,501995.85029741866,516847.635405902,529847.4141584545,540900.2541025159,549942.4001285102,556940.7634740812,561891.5939016622,564818.4756719603,565769.7978456515,564815.8496832288,562045.6843959631,557563.8812628891,551487.319124653,543942.0552393985,535060.3838967893,524978.1301758904,513832.216631518,501758.5250482091,488890.062014285,475355.42604683543,461277.5652980495,446772.80834344163,431950.1459731643,416910.7390204073,401747.62579349725,386545.60236235755,371381.24953368586,356323.0816052672,341431.7937198408,326760.58667476533,312355.55024713505,298256.0883546867,284495.3716057689,271100.80493386457,258094.50001951176,245493.74404636899,233311.4580026113,221556.639217668,210234.78411886684,199348.28830965946,188896.82202139878,178877.6797871906,169286.10384359033,160115.58129881963,151358.1155296154,143004.47259711486,135044.40371880482,127466.84501094722,120260.09583530686,113411.97715554421,106909.97134118613,100741.34485842672,94893.25526383621,89352.84387508314,84107.31543684068,79144.00603417293,74450.44043321918,70014.37995261734,65823.86189101984,61867.2314579748,58133.16707871524,54610.69986902622,51289.228005092096,48158.526645577,45208.75399950057,42430.454073928544,39814.55658017667,37352.374426111186,35035.59917513315,32856.29480941877,30806.890095779498,28880.169816901504,27069.265098508637,25367.64303394106,23769.09578152498,22267.729286703117,20857.951759980293,19534.46202310294,18292.237819333764,17126.524169013,16032.82183863745,15006.875980271601,14044.664988077526,13142.389609970105,12296.462344741216,11503.497148331415
IH,0.0,0.0012041583114310143,0.10799322008274592,0.2224801387088068,0.32478371750149415,0.4171023369186309,0.5060652165876866,0.5979065280806031,0.6976465384057972,0.8093457038941941,0.9365273791540988,1.0825360443514251,1.2508022277408368,1.4450362757247497,1.6693781749264922,1.9285247430329302,2.2278489893974283,2.573521643946845,2.9726417993476355,3.433381850013061,3.9651510075175005,4.578781314187731,5.286740065465382,6.103372766135932,7.045181115019542,8.131140996940323,9.383066037012316,10.826022927237096,12.488805460098485,14.404474989978047,16.61097588049218,19.151835369470685,22.076958171402445,25.443527007907143,29.317021064735897,33.77236505562619,38.89522204243725,44.78344330099631,51.54868817906988,59.318225866284614,68.2369290282295,78.46946602302637,90.20269351405081,103.64824422430384,119.0452947586617,136.66348516887123,156.80594449147867,179.8123540416667,206.06195199935215,235.9763480927502,270.02197554652946,308.7119589714613,352.6071223485066,402.31580264243615,458.4920753415438,521.8319437896856,593.0670022912013,672.955063827902,762.2672592818567,861.7711802347346,972.2097655850744,1094.2758348153482,1228.5824535526642,1375.6296766480866,1535.76863423828,1709.1643761729158,1895.7593240544652,2095.239540788525,2307.006253338339,2530.155099104313,2763.4653704856064,3005.401093008351,3254.125110297046,3507.526517984853,3763.260869563739,4018.8016668322316,4271.50084325884,4518.655333254345,4757.576451128333,4985.6587051149545,5200.444836092843,5399.684261061534,5581.382661670782,5743.841121581041,5885.683915940674,6005.874731628543,6103.721700235738,6178.872124002474,6231.298150123898,6261.27489658598,6269.352659517742,6256.324852309744,6223.19325955951,6171.132055390462,6101.451856810819,6015.564877747098,5914.952034676656,5801.132643639368,5675.63715074949,5539.983160942768,5395.654876608455,5244.085930707417,5086.645497906838,4924.627490792984,4759.242594090809,4591.6128552319715,4422.768531546554,4253.646889773039,4085.092659598953,3917.8598569279175,3752.614712199906,3589.939462393233,3430.336790674977,3274.2347237314702,3121.9918225889355,2973.9025274745154,2830.202540441131,2691.074150743566,2556.651427115782,2427.0252180873217,2302.247916305893,2182.337955586175,2067.2840202089815,1957.048955006887,1851.5733721649096,1750.7789566163679,1654.5714766016692,1562.843509551481,1475.4768961149077,1392.3449370244612,1313.314348705078,1238.2469942121365,1167.0014063269425,1099.4341195373518,1035.400827263308,974.7573801174389,917.3606402744621,863.0692062053854,811.7440211506927,763.2488777908641,717.450830646668,674.2205268243009,633.4324648259167,594.9651902849322,558.7014366652403,524.5282181891704,492.3368815337065,462.0231221596009,433.4869705137673,406.6327527709553,381.3690302547334,357.6085211982148,335.2680080694183,314.26823329205445,294.53378583715937,275.9929808415905,258.57773412320336,242.2234332068526,226.86880624760633,212.45579003526012,198.92939808503937,186.23758966109742,174.33114044000334,163.16351539897752,152.69074440642999,142.87130089878352
IN,0.004446210729948459,0.008173102072436099,0.40305999200840475,0.9312759807967834,1.5100090839368858,2.1199467027505143,2.7647357994161563,3.4564528418079363,4.210592111009482,5.044532264464614,5.977275195955071,7.029657189168003,8.22474761006306,9.588339114064041,11.149502547820221,12.94120532417962,15.001001881333233,17.37180910606777,20.102782046067983,23.25030723048357,26.879132971261466,31.063658326802262,35.8894050593117,41.45469995395768,47.87259832474734,55.273083437221004,63.80558095651638,73.64183240095268,84.97917695745613,98.04429689388611,113.09748816238286,130.43752457572717,150.40719106275168,173.3995688199458,199.8651624491341,230.31996607859782,265.35457154722883,305.6444263558458,351.96135140396404,405.1864274039001,466.3243528227334,536.5193633528355,617.0727808604338,709.4622255369349,815.3624749598749,936.6678836515379,1075.5161815199447,1234.3133437213862,1415.7590621039103,1622.8721436915105,1859.014909686603,2127.9153661384353,2433.685565083982,2780.834178332357,3174.2708786533444,3619.2996889887327,4121.59805668647,4687.178089213324,5322.32621881765,6033.517628723207,6827.302163626363,7710.159251708081,8688.320656090964,9767.561686050254,10952.963809782163,12248.654321893559,13657.531643346145,15180.98769845459,16818.64128870399,18568.098109276034,20424.753704500996,22381.654995596917,24429.433941118023,26556.32348214731,28748.261428917267,30989.082757047498,33260.79538501233,35543.92940751708,37817.945423257355,40061.68437726292,42253.83945463018,44373.430078556856,46400.25890406828,48315.33466838985,50101.246591567855,51742.479411810964,53225.66178380352,54539.7443881343,55676.10746743901,56628.600449959056,57393.518734957,57969.52454466095,58357.5199906628,58560.481193713524,58583.262496542004,58432.37959823761,58115.7799019906,57642.60759186801,57022.97001980533,56267.71096311704,55388.19526646112,54396.10835927982,53303.27317742132,52121.486142101465,50862.373077073906,49537.26528413646,48157.095449589644,46732.312616568146,45272.8151231748,43787.90016447608,42286.2284766323,40775.802552083915,39263.95676416881,37757.357796674056,36262.013828324074,34783.291004799736,33325.93583343314,31894.10225125921,30491.38223980188,29120.83898507655,27785.041705036423,26486.101386188453,25225.70678423161,24005.160148855386,22825.412229352343,21687.096204964528,20590.560261771185,19535.898606582323,18522.98076808187,17551.47908686534,16620.89433963914,15730.579479348855,14879.761503066931,14067.56148378339,13293.012821477034,12555.077783640863,11852.662416394984,11184.629915000885,10549.8125474993,9947.022227789132,9375.059835155293,8832.72337640012,8318.815084652219,7832.1475458916875,7371.548940476693,6935.867482682857,6523.97513664185,6134.770682228467,5767.182199511199,5420.169035442774,5092.723311598376,4783.871027028112,4492.672805720802,4218.224333810514,3959.656527517971,3716.1354689204863,3486.862142993994,3271.072005971599,3068.034411912742,2877.0519214704495,2697.459514173301,2528.6237230939655,2369.9417085464293,2220.8402854273336,2080.774916980759,1949.228686107655
D,4387.0,4387.0,4387.00002584389,4387.002343616308,4387.00711853022,4387.014089104314,4387.023041039362,4387.0339023137985,4387.046734705111,4387.061707736777,4387.079078078615,4387.09917801939,4387.122411627786,4387.149256599176,4387.180270261144,4387.216098794506,4387.257489184133,4387.305303731514,4387.360537175597,4387.424336617498,4387.498024555919,4387.583125431976,4387.681396166276,4387.794861255047,4387.92585308066,4388.077058188293,4388.25157038742,4388.452951655963,4388.68530195828,4388.95333923695,4389.262491004053,4389.618999141303,4390.030039720833,4390.503859879893,4391.049934022913,4391.679141881904,4392.403971238296,4393.238748391552,4394.1998997450755,4395.306248157874,4396.57934796614,4398.043862792636,4399.727990405856,4401.663938929954,4403.888458593549,4406.443432882126,4409.376532350707,4412.74193337125,4416.601102625073,4421.0236460803135,4426.08821837871,4431.883484846574,4438.509123594809,4446.076849252473,4454.711432700086,4464.55168271911,4475.751345856097,4488.479870283115,4502.922968508316,4519.282903207431,4537.778411262575,4558.644174661357,4582.129744823803,4608.4978309089065,4638.021874354416,4670.982852624371,4707.6652855161965,4748.352457068061,4793.320913536463,4842.834350189406,4897.137052681151,4956.447107591554,5020.9496361044385,5090.79032998045,5166.069576322092,5246.837445244864,5333.089782646856,5424.76560108456,5521.745899371928,5623.85397120468,5730.857190685207,5842.47019372168,5958.359313752928,6078.148081752401,6201.42356620609,6327.743309513888,6456.642612513044,6587.641927020537,6720.254135182407,6853.991521362138,6988.372274561299,7122.926394348711,7257.2009086924945,7390.764346065215,7523.210435302892,7654.161033969902,7783.268308852665,7910.216210467742,8034.721297201046,8156.53297418375,8275.433217692316,8391.235858256257,8503.785495326789,8612.956113859851,8718.649469026048,8820.793299957375,8919.339427395647,9014.261783674694,9105.554416937393,9193.229505086707,9277.31540886803,9357.854787799728,9434.902797488432,9508.525382228967,9578.797672711818,9645.80249513702,9709.628995040548,9770.3713766437,9828.127756496773,9882.999128560448,9935.088436605009,9984.499748862367,10031.337529194723,10075.705998604004,10117.708580660392,10157.447424340726,10195.022997807982,10230.533746803974,10264.075811545528,10295.742796289482,10325.625586047268,10353.81220527117,10380.387713690321,10405.434134835667,10429.030413152219,10451.252395947855,10472.17283676703,10491.861417101134,10510.384783653228,10527.806598661962,10544.187601056838,10559.585676464487,10574.055934313474,10587.650790493724,10600.420054216893,10612.411017896427,10623.668549022063,10634.235183143861,10644.151217206685,10653.45480258854,10662.18203729638,10670.367056861709,10678.042123557034,10685.237713623286,10691.982602259208,10698.303946176718,10704.227363572656,10709.777011407306,10714.975659914908,10719.844764300913,10724.404533606368,10728.673996741216,10732.671065706563,10736.412596041093,10739.914444539374,10743.19152430009
R,0.0,0.04630124886043071,4.111048166389103,10.398659723243574,18.33401110722348,27.814008544905448,38.93245489618318,51.880232941612576,66.91098346086454,84.3317462543295,104.50359728743403,127.84677972950483,154.84835401639245,186.0717252562982,222.1679265409136,263.888755378318,312.1019679320514,367.80880367285584,432.16416894066447,506.49986280494716,592.3512873369418,691.4881494681263,805.9497346352349,938.0854147243651,1090.6011456543908,1266.612814498288,1469.707413548846,1704.0131503988969,1974.2797500782876,2285.9703686029893,2645.3667177615657,3059.689199054952,3537.234060346693,4087.5298211231798,4721.515459356235,5451.743111332351,6292.608299932895,7260.61096844326,8374.650844164042,9656.360872372139,11130.48262409555,12825.287660872806,14773.04879720191,17010.564986797744,19579.743109228308,22528.23917147495,25910.16027097102,29786.82698288871,34227.5935099813,39310.71983206411,45124.28607458458,51767.1342513066,59349.81632332823,67995.5201102448,77840.9360367361,89037.0181838537,101749.58301052055,116159.67902527103,132463.65150418272,150872.81924045362,171612.6767071488,194921.53652257685,221048.53534302305,250250.9426578002,282790.7372892012,318930.4507255418,358928.318644928,403032.82975959167,451476.8108383764,504471.2339128761,562198.9712667679,624808.751109658,692409.5780638197,765065.8755391316,842793.5814991295,925557.3868305808,1013269.2501091708,1105788.258862058,1202921.8409161298,1304428.2654386528,1410020.316470094,1519369.975631865,1632113.9174321597,1747859.600996586,1866191.7357080963,1986678.9037831407,2108880.1382112135,2232351.2773628957,2356650.945463099,2481346.0386971594,2606016.627913027,2730260.2190171657,2853695.3399527846,2975964.4477130957,3096736.1696586953,3215706.910266526,3332601.8673766092,3447175.5112471255,3559211.585632298,3668522.693092527,3774949.5272995722,3878359.813681368,3978647.016809667,4075728.8688796996,4169545.768826841,4260059.096380631,4347249.479927748,4431115.05164751,4511669.718154143,4588941.469944761,4662970.748390685,4733808.884870942,4801516.622955442,4866162.731305669,4927822.712163084,4986577.607918446,5042512.906270502,5095717.542856662,5146282.998935508,5194302.49068481,5239870.245913076,5283080.863433155,5324028.749980709,5362807.629348855,5399510.118325983,5434227.364042792,5467048.737435856,5498061.577700084,5527350.982815532,5554999.641481813,5581087.702064467,5605692.674442833,5628889.360940656,5650749.812812561,5671343.309047089,5690736.354526137,5708992.694848955,5726173.345384044,5742336.632353121,5757538.243977051,5771831.289923684,5785266.36749209,5797891.63314673,5809752.878179298,5820893.607425735,5831355.120102017,5841176.5919454945,5850395.157959687,5859045.99516016,5867162.404808557,5874775.893701467,5881916.254151776,5888611.642362867,5894888.654951495,5900772.403423923,5906286.586452566,5911453.5598377455,5916294.404071448,5920828.989448061,5925076.038691081,5929053.187085447,5932777.040122607,5936263.228680216,5939526.461770691,5942580.576903054,5945438.588110824
G,261540.0,261542.23692749185,261543.86367432354,261545.3922468742,261547.03017149994,261548.87626189677,261550.99293878517,261553.4333083531,261556.25171875325,261559.5083474489,261563.27170608897,261567.62050526773,261572.6454269283,261578.451026606,261585.15787132832,261592.9049797944,261601.85262107584,261612.1855288199,261624.11659337912,261637.89110214825,261653.79160790992,261672.143515975,261693.32149337468,261717.7568174136,261745.94579665206,261778.45941497886,261815.9543689858,261859.18569044676,261909.02116939705,261966.45781907847,262032.6406517543,262108.88406385912,262196.69615968846,262297.8063741691,262414.1967861379,262548.13754252624,262702.226838817,262879.43591931637,263083.1595684032,263317.27255607425,263586.1924714731,263894.94931865745,264249.26214968617,264655.6228591047,265121.387046697,265654.87155544176,266265.45789060806,266963.7002046251,267761.4358721302,268671.8958649583,269709.8111589817,270891.5102665981,272235.0017113161,273760.03389099054,275488.1233942917,277442.54156257457,279648.2480938536,282131.759979331,284920.94429308246,288044.7245823433,291532.6930665578,295414.62471270224,299719.89454667526,304476.8061334267,309711.84663290065,315448.89160202286,321708.38995800196,328506.5653357643,335854.67358537426,343758.3566741004,352217.13042102626,361224.03735831945,370765.48707703315,380821.2955404639,391364.92313257593,402363.89981237194,413780.41571726516,425572.04770417797,437692.5871169829,450092.9316636798,462722.00451429817,475527.66619962786,488457.5890700426,501460.0693784595,514484.75791695924,527483.2960693229,540409.8497495893,553221.5386996593,565878.762845002,578345.4307790805,590589.097962345,602581.0239341359,614296.1588357294,625713.0699401378,636813.8187962789,647583.7991361077,658011.5449684196,668088.5173843078,677808.8776038319,687169.2527633217,696168.4999256085,704807.4728261643,713088.7949704323,721016.6418861962,728596.5346169932,735835.1459200552,742740.1201026997,749319.9069891794,755583.6101486936,761540.8492263485,767201.6359938285,772576.2635668262,777675.2081137174,782509.0422969672,787088.3596383473,791423.7089750984,795525.5381712668,799404.1462618866,803069.6432335236,806531.9166795865,809800.6046099943,812885.0737400023,815794.4026304288,818537.3690997564,821122.4413764853,823557.7725068656,825851.1975781003,828010.2333598672,830042.0800072617,831953.6245058504,833751.4455743782,835441.8197727647,837030.7285924419,838523.8663328879,839926.6485925296,841244.221224163,842481.4696248163,843643.02824771,844733.2902398128,845756.4171226082,846716.3484462011,847616.8113579849,848461.3300368594,849253.2349525819,849995.6719173641,850691.6109034006,851343.8546057376,851955.0467348454,852527.6800275391,853064.103968574,853566.5322183787,854037.0497450763,854477.619661186,854890.089767312,855276.1988066868,855637.5824357404,855975.7789169202,856292.2345408223,856588.3087853615,856865.2792201999,857124.3461650251,857366.6371105097,857593.2109109386,857805.0617575506,858003.1229416355,858188.270416362
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
