state,AIC_SD,AIC_SIR,MSE_SD,MSE_SIR,sample size
AZ-Maricopa,749.9500320538302,831.1948512910099,168041.74986072577,749966.9721380809,61
CA-Los Angeles,1039.7391975186247,1109.7185291913154,1231599.9119533128,3683713.5078345155,73
CA-Orange,736.5977566387096,825.9847582217509,46872.68604086411,206607.9842637483,67
CA-Riverside,569.6267500207967,754.9597921344994,4395.269338708705,84785.14575065092,66
CA-San Bernardino,577.8366045587375,706.3580431269223,16104.242243243025,175455.1396357754,58
CA-San Diego,750.6155684837305,852.3305096316486,80965.46434898244,451562.6396346402,65
CO-Adams,539.9965430893803,581.4523621791586,4094.522753825928,9266.532004664221,63
CO-Arapahoe,580.1517584771815,654.6698200557342,6733.6405923410975,25221.849421453004,64
CO-Denver,669.8688157264346,719.4712679144782,20072.44521265782,49521.92233529731,66
CT-Fairfield,746.3438455714743,878.445220884895,90365.92929896884,832306.9452331475,64
CT-Hartford,576.9631821217308,721.7149395637252,11491.769571579276,151536.57986819212,60
CT-New Haven,530.183564496259,749.1607841681442,5269.686093379085,239429.20795032708,60
DC-District of Columbia,661.7141154390715,700.4953229255815,39556.18329857674,88006.78812665041,61
DE-New Castle,543.300220890268,621.235769195718,4314.9662245493855,17424.754212734497,63
DE-Sussex,552.8104565336852,505.1565459257988,12304.585879527902,6355.859260691714,57
FL-Broward,536.529822020118,804.366035148545,3005.3553954169856,215896.49605731768,65
FL-Miami-Dade,600.4264963413511,885.8802459646379,10685.159050444057,1162813.561679377,63
FL-Palm Beach,640.8613713161571,753.1972499689767,20301.183530710536,141530.9654223759,63
GA-DeKalb,495.43395683244177,626.9191762665738,1792.1218278348733,16348.02099870965,64
GA-Fulton,564.6053362691742,722.932583441431,3189.8383910100933,37915.91512539193,68
GA-Gwinnett,536.5269205890386,604.0906723030376,5080.821328678776,18119.882947442307,61
IA-Polk,524.8042426046258,468.5594973535521,6454.203748555589,2907.83398359237,58
IL-Cook,1129.7928076220842,1192.4941924080624,5226981.666913337,14347496.222345019,72
IL-DuPage,623.9228636544843,614.6292331663942,25135.78300384284,25433.450941631694,60
IL-Kane,583.2792672853234,539.9107864171178,17688.62439076018,9950.304040321626,58
IL-Lake,686.6012422625769,720.2587434424621,71445.29786481948,147903.0677749188,60
