state,AIC_SD,AIC_SIR,MSE_SD,MSE_SIR,sample size
IL-Will,641.3337170549587,673.6587523391496,48127.82693119921,99843.35621271426,58
IN-Lake,491.2912195651069,575.2543251537352,4181.571653497748,21740.191844999226,57
IN-Marion,742.4140066720906,818.5255775371991,122559.87270307611,491516.7270276785,62
LA-East Baton Rouge,578.4850957943848,646.4420920932725,16285.312272694213,62448.97086602686,58
LA-Jefferson,680.6561318202693,710.1715411426596,38181.154321053014,71490.94303957371,63
LA-Orleans,725.2522405068712,725.1750148589474,46455.31065540313,53991.998261632245,66
MA-Bristol,668.7529027255047,729.7878468565185,37356.88924682791,117476.96255055144,62
MA-Essex,755.2675693978123,860.0835401508185,86972.49702464463,508767.68232669256,65
MA-Hampden,653.2214423841308,751.2903046898423,29078.815540371677,166177.43233048462,62
MA-Middlesex,809.0796269438883,972.4667819176976,60778.70857209159,675460.357739803,72
MA-Norfolk,603.3814283243792,787.4563314153838,3916.594729203509,60260.20430279406,71
MA-Plymouth,626.8996500515784,742.2411048503733,16265.797056269479,118939.08421264178,63
MA-Suffolk,931.546424313033,918.9295409988013,398323.6165353254,383909.66222812206,71
MA-Worcester,742.704422843623,815.4576223314904,60516.60525522295,212035.59261698433,66
MD-Anne Arundel,522.0264092794844,588.1672142456833,6152.373759219261,22865.071493581003,58
MD-Baltimore,600.6461952976409,672.3958634746934,17053.37235031345,66609.18264509503,60
MD-Baltimore City,594.7706637707573,631.7912073630995,21564.517783735646,48508.94899307514,58
MD-Montgomery,734.2342796642068,778.1616939605636,53227.87853417092,120501.7561256001,66
MD-Prince George's,737.7242030375259,790.3765378551052,78979.26846067085,210214.43420669684,64
MI-Kent,484.8480117170822,451.2939100299872,2177.718349398535,1480.152148368545,61
MI-Macomb,496.44047149004064,749.1635920642578,2633.5112297735136,195440.1954478798,61
MI-Oakland,611.8637845129659,833.8297114286188,11052.054674067418,414504.55434985633,64
MI-Wayne,699.4700757934294,937.0113903155298,51468.81461598939,2618097.786704925,63
MN-Hennepin,625.0030424881919,608.3177929881291,15783.414620612106,14194.358681454743,63
MO-St. Louis,583.7959027022616,718.1160422822251,12877.862681839846,142714.39933322306,60
NJ-Bergen,679.1519682707359,935.6974546462011,19886.38431388763,1062442.8739379973,67
NJ-Burlington,579.7404396322678,653.8055302711197,10318.013718244702,40935.9034257408,61
NJ-Camden,570.3981408966155,658.5539953523318,12047.092930890138,63591.634608324224,59
NJ-Essex,644.6519690760113,887.5244691112056,21560.165122706145,1193561.0680556237,63
NJ-Hudson,773.970153313463,910.7283174065151,167924.9235407098,1725050.6027770566,63
NJ-Mercer,609.2518196766092,698.055344714599,16738.046937382038,84556.02280895459,61
NJ-Middlesex,727.2637435930003,886.7424448522588,67070.25919565784,947517.5145836171,64
NJ-Monmouth,603.6202302798177,814.1672050742087,8436.402351753632,251033.4852348933,65
NJ-Morris,496.1249225410516,736.8654834338464,2619.923425777199,159755.7503891223,61
NJ-Ocean,616.2102719012618,775.6696739818519,26187.970836865847,462891.8458742051,59
NJ-Passaic,832.0075168941373,862.1927836961212,645107.602922641,1246621.030755729,61
NJ-Somerset,507.3021786803795,679.8556042989978,3146.7771362915914,62743.68316474285,61
NJ-Union,660.6363348305554,837.8440589472491,38863.42157087502,836337.7783847182,61
NV-Clark,630.4494780208006,844.3349950033361,11046.186961887981,328418.9565432026,66
NY-Bronx,966.7006717298688,1099.7238261626105,1453612.3099521154,12289259.30205517,67
NY-Dutchess,493.8558137159992,654.6109866423839,2524.2565537497767,41480.01376281645,61
NY-Erie,665.9042860196068,725.1188305810542,42368.84668953675,131772.63946844108,61
NY-Kings,965.570051954127,1147.7772946186176,1160388.556985622,19596128.279367954,68
NY-Nassau,881.4709070874602,1090.4045656722992,280143.3245147571,6689222.440030372,69
NY-New York,872.7678028016769,1071.9411797023058,206806.74559669482,4105060.909356937,70
NY-Orange,686.1491282365661,837.8801666097944,41659.62651859932,542773.3394594566,63
NY-Queens,977.5063915921204,1141.7199362049134,2122868.207829002,29736262.579773184,66
NY-Richmond,748.3583406411653,881.3960410950663,93255.57045625665,871580.1800917382,64
NY-Rockland,946.586975156142,907.4761614181197,1328821.0172639133,854891.3967075842,66
NY-Suffolk,820.9574730039088,1057.2455622299867,198060.0107880867,8268494.972904994,66
NY-Westchester,1154.2601837172326,1134.969681139155,5912653.399544577,5206081.907995883,73
OH-Cuyahoga,654.546696156061,724.7075544992044,21531.92781963773,75342.94267242297,64
OH-Franklin,650.4584825777356,668.3532657896444,46795.09192517616,75081.27998279077,59
PA-Berks,476.9636736873169,583.142604746811,3252.18382074432,24966.965628561164,57
PA-Bucks,585.3200478266962,670.4946788428396,11306.301884488492,53817.576356195095,61
PA-Delaware,606.2249011759016,716.6666731635464,10119.950797003507,66447.45528211948,64
PA-Lehigh,478.0821675021643,611.7898235074234,3833.2461303662253,49894.96724179803,56
PA-Luzerne,469.5559872368137,586.498851944993,3291.8798310361476,31762.795391376574,56
PA-Montgomery,620.4456839300932,773.8200916263634,7251.090255552803,80135.3160734288,68
PA-Northampton,498.1550914784938,623.0612566618677,4076.6009455474673,41730.48449811556,58
PA-Philadelphia,789.9809130272637,893.7655065458721,323906.99107219116,2091794.5548264433,61
RI-Providence,766.3010802659312,753.1014618361614,86525.82349209947,82431.18629348832,66
SD-Minnehaha,587.4247230835798,610.7344002337709,13680.755068598373,23834.91188035455,60
TN-Davidson,691.8732520941174,724.5817229430405,32795.61289473544,63266.005748753436,65
TN-Shelby,590.4035467458428,652.418560649624,20000.43748711149,69227.0940441816,58
TX-Dallas,786.601918648833,802.5831747233575,169507.92822338312,254387.02455826,64
TX-Harris,786.5519113625797,975.6061551804866,60348.08219867196,1036662.0090282081,70
TX-Tarrant,652.8706400391911,692.5314598499355,34217.835594533935,77235.47072962306,61
UT-Salt Lake,589.3344391124572,642.5649089314418,10376.819083758875,28772.51731139645,62
VA-Fairfax,666.6572485339004,701.9440216930143,22250.316582189178,44659.891814644,65
VA-Prince William,471.62434790921105,461.8205228598607,2580.1226236461184,2588.8642165044,58
WA-King,722.8071097213156,943.8074289570081,9694.491467804286,194719.87361908314,77
WA-Snohomish,574.5302075819212,751.5341638984341,1896.3864916795915,23736.89810787713,74
WI-Milwaukee,710.0066319017927,763.3435029112603,60838.51173687293,166262.8823001632,63
