state,AIC_SD,AIC_SEIR,MSE_SD,MSE_SEIR,sample size
AZ-Maricopa,749.9500320538302,886.7895311162243,168041.74986072577,1805567.9536256753,61
CA-Los Angeles,1039.7391975186247,1254.8861565990953,1231599.9119533128,26183297.93824529,73
CA-Orange,736.5977566387096,887.6690092205683,46872.68604086411,503524.7759217743,67
CA-Riverside,569.6267500207967,933.604793689822,4395.269338708705,1232204.0765479563,66
CA-San Bernardino,577.8366045587375,762.8910214299459,16104.242243243025,449262.41465687234,58
CA-San Diego,750.6155684837305,921.7973274207963,80965.46434898244,1274953.6995774677,65
CO-Adams,539.9965430893803,653.9597625509826,4094.522753825928,28376.867406508034,63
CO-Arapahoe,580.1517584771815,725.1212293077306,6733.6405923410975,73498.42143778034,64
CO-Denver,669.8688157264346,768.9859637096502,20072.44521265782,101731.30575864026,66
CT-Fairfield,746.3438455714743,906.6477668993404,90365.92929896884,1253401.1794869073,64
CT-Hartford,576.9631821217308,770.1045142194517,11491.769571579276,328319.3046626567,60
CT-New Haven,530.183564496259,791.9558348267333,5269.686093379085,472564.9989855953,60
DC-District of Columbia,661.7141154390715,734.9298142392979,39556.18329857674,149773.91468816696,61
DE-New Castle,543.300220890268,719.4703555203935,4314.9662245493855,80272.32908628767,63
DE-Sussex,552.8104565336852,547.4983981109475,12304.585879527902,12898.730535222025,57
FL-Broward,536.529822020118,970.8872063185785,3005.3553954169856,2713227.186194183,65
FL-Miami-Dade,600.4264963413511,1029.8633571937598,10685.159050444057,11073365.615563445,63
FL-Palm Beach,640.8613713161571,872.4484739524922,20301.183530710536,910186.0866868142,63
GA-DeKalb,495.43395683244177,791.1814426668454,1792.1218278348733,206325.4471497939,64
GA-Fulton,564.6053362691742,894.5197647433831,3189.8383910100933,459114.70687782863,68
GA-Gwinnett,536.5269205890386,752.3411977072616,5080.821328678776,199249.82463218685,61
IA-Polk,524.8042426046258,461.08173059304136,6454.203748555589,2469.4580083898272,58
IL-Cook,1129.7928076220842,1216.0694972138378,5226981.666913337,19360452.584903542,72
IL-DuPage,623.9228636544843,655.7616135963056,25135.78300384284,48826.42266047619,60
