state,RMSE_wtd_G,RMSE_wtd_G(SIR),R2_G,R2_wtd_G,RMSE_G,RMSE_G(SIR),MAE_G,MAE_G(SIR),MAPE_G,MAPE_G(SIR)
AZ-Maricopa,219.47491838582363,523.4788407548616,0.9647331204841966,0.9876286563611906,409.92895708979347,866.006334929532,325.7470918942825,718.9090571733118,0.7712357753950796,1.8482412992082464
CA-Los Angeles,575.4526473940975,1211.3046456272098,0.9913333203911441,0.9970252350126165,1109.7747122516862,1919.3002651577256,731.18766495608,1372.3123258675441,0.3005405194153092,0.5117141449549063
CA-Orange,120.3818160184953,269.2850089881174,0.9713697337607392,0.9890348698752701,216.50100702043883,454.54150994573456,169.59090861775508,363.89932907158595,0.44441043773277195,1.1110329258368685
CA-Riverside,46.6411608949768,183.11783949714848,0.9987723921447902,0.9992375303326714,66.29682751616932,291.17888960336893,50.74558347654297,220.93475348527633,0.11025193237059204,0.2799887651676827
CA-San Bernardino,83.63255612920422,272.43432559839476,0.9860838800896666,0.9926768776594876,126.90249108367821,418.8736559343108,104.2875528276115,339.33507870754994,0.27267288832895853,1.099013262480195
CA-San Diego,155.207098040691,385.8801384190837,0.9745201682244623,0.9905362058127165,284.54430999227947,671.9841066830675,227.38407615323158,543.4183020990922,0.6723625292945643,2.2469574327279904
CO-Adams,35.5351539243529,61.06666116611852,0.9939404467388891,0.9977368982535214,63.9884579734965,96.26282774084825,48.92003470656196,76.52255184811229,0.1797130218421256,0.24172333257157622
CO-Arapahoe,43.71790797153829,100.66092229665985,0.9954064254762507,0.9983916649551954,82.05876304418132,158.8138829619533,62.11092831989485,127.89382615210522,0.13205574277578905,0.23175358219474596
CO-Denver,69.06744801705224,129.31650007303443,0.9910397848030743,0.9973517891761922,141.67725721744412,222.53521594412268,109.58000458423469,182.46760862820327,0.408483475831451,0.5191262290374685
CT-Fairfield,160.00035209841397,557.7356063087767,0.9964349929985286,0.9986959230674777,300.60926349493764,912.3085800501646,219.01228008886434,728.7302454625319,0.1863737692749096,0.5709539401520433
CT-Hartford,75.92391923721577,283.1928927483654,0.9984903819035564,0.9990595594769015,107.19967150872841,389.2769963254856,82.4461869006168,314.69814643672146,0.20044690909679413,0.42684387521647665
CT-New Haven,49.5779839345463,344.2471043703318,0.999567862824429,0.9997469709060437,72.5926035721208,489.31503957095686,54.8114280546815,398.9167213238314,0.07611542520776672,0.3185842604878761
DC-District of Columbia,113.8895543289369,193.32070427487744,0.9924009650750788,0.9969908804624998,198.88736334563026,296.65938064832943,157.38151848568054,241.20482977059885,0.19521165691579892,0.22882641494387287
DE-New Castle,43.69315010734137,95.2217169481068,0.9941389842257303,0.9968103768394656,65.68840251177818,132.00285683550374,49.009849569306695,101.98389143397597,0.09573848762400464,0.187189123503126
