state,RMSE_wtd_G,RMSE_wtd_G(SIR),R2_G,R2_wtd_G,RMSE_G,RMSE_G(SIR),MAE_G,MAE_G(SIR),MAPE_G,MAPE_G(SIR)
DE-Sussex,79.60477994467242,64.6791629050987,0.9905421019797653,0.994121227789696,110.92603787897549,79.72364304703915,77.76382216174142,56.09815024841661,0.11393749199173127,0.09946761870046437
FL-Broward,29.45197415055724,264.8440776845086,0.9993511108207718,0.9997634308345286,54.82112180005974,464.6466356892275,38.27765048181227,380.5966447724072,0.07627903088170775,0.6955288471805186
FL-Miami-Dade,69.02117162198803,711.6329967363157,0.9996143157896326,0.999781043929346,103.36904299858861,1078.338333585233,74.73184281547793,873.0985350037308,0.08202007265427917,0.536514731389775
FL-Palm Beach,97.52473807676037,237.5708553715802,0.9900300172438008,0.9941570286169047,142.48222180577665,376.20601460154234,112.19134100986813,305.84990109830676,0.17163340651863587,0.7790016142973907
GA-DeKalb,22.987308801728116,86.49934242775065,0.9979592343810402,0.9992504703936547,42.33345990862161,127.85937978384554,32.52744645337897,104.92657644604928,0.10726572792706789,0.27233255024671227
GA-Fulton,36.05636184636525,133.90940599123206,0.9980507378057153,0.9989880101780285,56.47865429531845,194.72009430305835,42.441065530522515,153.79491247493297,0.07450542704271514,0.24307708019729912
GA-Gwinnett,38.451307791245185,82.86095723730894,0.9936112575643048,0.9977280990403791,71.27988025157433,134.61011458074876,53.73101663706356,110.29744169592357,0.22041194885887144,0.3662569558080131
IA-Polk,57.50623052846145,40.148722765243974,0.9908909308097456,0.9946568469038329,80.33805915352691,53.92433572694586,56.48620948582676,40.814051959747204,0.19971899747826852,0.26538063288927743
IL-Cook,1219.2593811752088,2404.807224886139,0.9866223900593695,0.995131012378523,2286.2593175126344,3787.8088946441076,1676.3111178405618,2889.720209449294,0.6528915609622024,0.9945614711541653
IL-DuPage,89.83152253423782,99.78037672145217,0.99169766724254,0.9968959242843757,158.54268511616309,159.47868491316228,123.99582717019052,127.64121581569547,0.2173196870570022,0.17012616887701118
IL-Kane,106.34347987768653,67.03879474275652,0.9870922507246328,0.9904493887594694,132.9985879276926,99.75121072108159,108.77128072681961,83.28005712081018,0.5028786819689592,0.4512062295311835
IL-Lake,150.74404460385787,247.33112435610093,0.9820198089081978,0.9930358076426223,267.2925323775797,384.5816789381923,218.54750831063515,317.46476107033567,0.753608723421616,0.8557408047420442
IL-Will,126.06062607650411,200.36527592155866,0.9745690698534457,0.9898576278127976,219.380552764367,315.97999337412847,169.8591245178101,251.85313848968485,0.3323006040270803,0.480370710488194
IN-Lake,36.97678508808955,97.40023691515091,0.9950279536694422,0.99803491760415,64.66507290259362,147.44555552813122,50.35526671770564,120.26702813665135,0.16045275278083496,0.33279459966901764
IN-Marion,198.3888741208643,452.9615161774478,0.9833573983674151,0.9932676405139289,350.0855219843804,701.0825393829734,281.13817472416014,573.0718913661838,0.32590542136517836,0.7450842331426525
LA-East Baton Rouge,96.30604738724936,193.19834716013506,0.9791715196713274,0.9855376696797299,127.61391880470646,249.89792089176504,92.45788739412168,193.6808536384222,0.16982106692203736,0.41308195183134433
LA-Jefferson,98.0895338717884,196.65789480646075,0.9940773992635135,0.9979955886672526,195.39998546840533,267.3779030502964,137.6160146850244,206.3599618339432,0.08333303526708045,0.09939766669332385
LA-Orleans,94.02104806460436,144.8116063966149,0.9930908370871874,0.9981487852980984,215.53494068341482,232.36178313490421,129.90727320379096,194.2573014773766,0.20007026401510045,0.4065354036848572
MA-Bristol,102.48068288904024,222.24643995147665,0.9908938388745284,0.9968225130426219,193.2793037208793,342.7491247991035,152.19284435623587,284.6887557072062,0.55755351853291,0.7354245591614893
MA-Essex,137.70623952657107,444.9854865154849,0.995689848436061,0.9987934549393436,294.9109984802951,713.27952608125,219.85422620811264,599.3135475518584,0.5466448173753323,0.87816948827173
MA-Hampden,82.65673880569923,252.10818460288306,0.9912583281121468,0.997404983320345,170.5251170366749,407.64866285869823,130.48736874859287,340.9416397544154,0.46898519849900083,0.9300574912070178
MA-Middlesex,111.18494069741875,519.9359228492381,0.9987298779760992,0.9996596504759329,246.53338226717207,821.8639533035885,180.6410753458039,663.9212155908303,0.4400198441519212,0.7032951160703987
MA-Norfolk,29.646254339719913,153.7365781554555,0.9994747092243251,0.9998444500301078,62.58270311518598,245.47953947894325,45.14740211333754,197.1529434951323,0.12339775969780363,0.25288169499577196
MA-Plymouth,62.26594352970978,219.41833851667695,0.9974298576677603,0.999229248650972,127.537433941057,344.8754618882616,101.1879067894676,288.58108068639586,0.2734125759539632,0.4653814559686283
MA-Suffolk,372.5486791071303,377.87093823271493,0.9882264489964727,0.9945323361238838,631.1288430545109,619.6044401294442,453.2783265024875,492.46354905803247,0.10951220294899133,0.30671903397201916
MA-Worcester,136.6867613991407,296.6329630626033,0.9938420043092385,0.9976094399604049,246.00123019046663,460.47322681887204,196.28912076606457,371.51541149238125,0.43944775462645397,0.6026936212437934
MD-Anne Arundel,47.06610725346983,102.6689240113253,0.9925045771551284,0.9967323275327274,78.43706878268247,151.2120084304848,64.65944199064583,125.0585875273678,0.2703789953931911,0.4137568243326881
MD-Baltimore,74.16886058308008,167.08686640195853,0.9920714603896299,0.9968611514116313,130.5885613302844,258.08754841157105,96.33983623330978,199.23042893108047,0.1949698501362307,0.3742637752422918
MD-Baltimore City,96.30313495873193,155.06987811130432,0.9846562383821874,0.9920736486369653,146.84862200148712,220.24747216046578,124.6199069489226,185.25661387575266,0.3121575083620811,0.3847704411620904
MD-Montgomery,131.17463213141366,225.7507581089065,0.9915224719932572,0.9966344821282986,230.7116783653808,347.1336286296678,175.51735649278254,268.2071546233616,0.34913988295006526,0.4082942333944093
MD-Prince George's,168.32568048886293,296.85083934068047,0.9936427193712848,0.9971955697934494,281.0325042778341,458.4914767001638,207.95180743538165,342.54489113519094,0.20057478251319058,0.3106423641625209
MI-Kent,32.19004367232173,28.1993751893059,0.9974232150250169,0.998553977818729,46.66602992968799,38.47274552678227,36.172080920476304,31.23281159926848,0.12469759976436924,0.14620184182467252
MI-Macomb,28.778941715908807,277.5742334851222,0.9994946683859555,0.9997982427919836,51.317747707528184,442.08618554290945,41.242789832239666,370.88348400511427,0.14465961186721576,0.5786230413707873
MI-Oakland,68.15103594454,428.0091751307124,0.9989823259249798,0.9994524360900233,105.12875284177692,643.8202810954749,85.84374183277937,540.0467044353131,0.0953627202085782,0.5661199650808939
MI-Wayne,119.60646458560471,1054.750349872184,0.9989131475620124,0.9996125338167055,226.86739434301566,1618.053703282102,164.3699430837361,1352.844156564523,0.08234707925005155,0.5871022826378166
MN-Hennepin,73.36514686381037,71.7106592859874,0.9910479036231234,0.9964953559322292,125.63206048064366,119.14008007994096,102.99003970753682,98.22208742159904,0.6585367846568806,0.5394471022255505
MO-St. Louis,67.4140333653069,229.68265696154117,0.9938113877668499,0.9973022452202085,113.48067096135733,377.7755938824305,97.18494098383002,313.7990129073645,0.15591799009215768,0.7136342551145087
NJ-Bergen,78.57843923258397,632.6609376473516,0.9995395214108603,0.9998065430336357,141.01909201908666,1030.748695821633,102.2630690129327,825.0883496821376,0.054119695858103424,0.34069359337165966
NJ-Burlington,53.05063996277186,123.09761818805225,0.9942393343545861,0.998058907304381,101.57762410218454,202.32623019702808,71.8690001690142,155.7543453433706,0.16712335320535776,0.32858015536953905
NJ-Camden,62.83745729417578,168.25423298466455,0.9963284434305522,0.998527822032798,109.75924986482978,252.17381824512276,84.65970690124126,205.22221071226696,0.1657236350678313,0.3068725588318162
NJ-Essex,76.85961918379726,688.2454193648678,0.9993928059124026,0.9997832416381466,146.83380102246943,1092.5022050575567,116.98845059016104,895.8073798054384,0.11018524424962392,0.5362896342637558
NJ-Hudson,280.99344656455025,843.1897965825243,0.9961352371844677,0.9975992347004774,409.78643650163656,1313.411817663088,308.4307301485317,1050.8998174807666,0.15976019701206023,0.6501570205306646
NJ-Mercer,77.54635489063031,187.79156853408065,0.9957505380310567,0.9980976607150259,129.3756041044139,290.78518326929003,102.02109675320702,231.62539216065022,0.1951748620521977,0.3578323059270239
NJ-Middlesex,142.6962680265675,614.1826516600313,0.997608612850735,0.9990584509674838,258.97926402640394,973.4051132923111,202.8468306085984,784.5261463731786,0.1624077341558557,0.5412169610921053
NJ-Monmouth,52.005094851503436,337.19523613650966,0.9987302834055205,0.9994750154252783,91.84989031976919,501.032419345189,67.8636624032195,407.1114008444172,0.06796745072413014,0.33655333980917046
NJ-Morris,27.703342917329792,250.16058921981468,0.9994532372262513,0.9997955447019216,51.18518756219615,399.694571378099,40.24329160610428,334.0235918822444,0.10048621348454985,0.4745803958814714
NJ-Ocean,90.4947506221133,425.58981498286084,0.9964787703782864,0.9986320585289478,161.82697808729498,680.3615552588235,137.96003938655832,573.6858055810944,0.23166723415387683,0.819642546326308
NJ-Passaic,528.6035831088756,667.2470029122071,0.9763933531961668,0.9866565762437178,803.1859080702556,1116.521845176228,613.3752315863006,886.3952718868668,0.11350651226232301,0.6514329104449756
NJ-Somerset,32.35835763912429,157.11154834655812,0.9986325389433569,0.9994273005964522,56.09614190202024,250.48689220145403,43.90397006757028,209.25171749864222,0.137318413540892,0.44402340739160195
NJ-Union,103.28971525087016,553.3482412341305,0.9986790031270479,0.9995279973722123,197.13807742512614,914.5150509339462,154.00573092570326,738.4943463237738,0.14578672535347542,0.5302214500924464
NV-Clark,62.72528440638255,308.1416800211182,0.9964823640708115,0.9984061036893014,105.10084187050064,573.0784907350848,80.18245849559129,441.75436862873636,0.10687320525807491,1.1173135085063433
NY-Bronx,681.6627836797712,2082.4926380778606,0.9941362105988054,0.9974312228215294,1205.6584549332847,3505.603985343349,979.5970774770437,2840.4136407998412,0.26379407765734836,1.1339190374995738
NY-Dutchess,26.812354198559362,137.92345347093047,0.9982950807812924,0.9994028791043265,50.24197999432125,203.66642767725972,34.959894310810014,166.09969281916744,0.04218819062712444,0.19713062137175488
NY-Erie,107.21035763399173,219.39413067232638,0.9840248186789939,0.9946375535708899,205.8369419942318,363.0050130073152,159.49933240364513,296.70583463643925,0.37865753132631663,0.6425289074612782
NY-Kings,454.1720922704856,2618.088415958225,0.9968419998533479,0.9992400986993288,1077.2133293761372,4426.751436365945,719.5553604362977,3588.662119786575,0.24793904117184382,1.1543846728196951
NY-Nassau,251.73506568130367,1514.3187788545558,0.9987531085114086,0.9996098526811705,529.2856738234628,2586.3531158815827,371.9333920653603,2073.6559403546116,0.15965291960020447,0.7397393395053049
NY-New York,191.73184200480682,1156.654252180722,0.9975190949798576,0.9994075930086167,454.76009675068764,2026.09499021071,309.7660228952228,1638.3600656044434,0.13220516455005615,0.8634580779193495
NY-Orange,106.52076968057416,465.9390770236488,0.9968163199704292,0.9988652113790066,204.10689973295686,736.7315246814518,145.1306388746551,610.118269749819,0.20003224746398413,0.6275437751687377
NY-Queens,667.1331808266929,3274.302174322629,0.995507726962287,0.998726725391392,1457.006591553038,5453.0966046617195,1064.3639687357204,4490.409895464207,0.3665578337825924,1.4482107058550047
NY-Richmond,130.61810500467675,516.7804945417687,0.9960923386335085,0.9990465145737749,305.3777504276575,933.5845864685954,210.63568469686678,750.4725643431798,0.238375043153002,0.7971882012180687
NY-Rockland,624.9174437445809,571.2981817557903,0.9259078267673648,0.9708860533091517,1152.7449922961773,924.6033726455815,977.1015441418225,762.0501604309644,0.265457369950283,0.39105538415978
NY-Suffolk,206.23292130621542,1793.5233350178707,0.9990216492674063,0.9997162464229981,445.03933622555957,2875.4990824037823,300.57512780254046,2363.3506280786505,0.19785841942432322,0.825186103531541
NY-Westchester,1298.004287360682,1301.908166163743,0.9516977078625892,0.9808450833859762,2431.5948263525684,2281.684007043018,1995.5912774471608,1756.5023185663297,0.23428901854837406,0.3960219075369662
OH-Cuyahoga,78.43376105364642,144.13404393577093,0.9795790809556939,0.9927462175284497,146.73761555796705,274.4866894266878,116.12105698034203,217.31634967687503,0.3927508585921412,0.8103747793999914
OH-Franklin,114.88312465058522,161.6153700672374,0.9765041765561416,0.9920555097900632,216.32173243845878,274.0096348356947,174.42185008037168,228.87820818605323,0.7239532775870613,0.7908581831806262
PA-Berks,35.02977045025123,121.19341108062582,0.9979632589338399,0.999049427269212,57.0279214134999,158.00938462180392,42.59292742563802,122.8329829312723,0.0741667677065772,0.16623338386319325
PA-Bucks,58.510099347283685,153.14034923119843,0.9948262315220643,0.9980637165792822,106.33109556704704,231.98615552699496,82.97105252918843,186.74028037779289,0.2634818021290453,0.4477696087061884
PA-Delaware,63.80376413337465,181.4595318037287,0.996999375940271,0.998489150671216,100.59796616733117,257.7740391934756,81.40607983136695,206.84925095051202,0.13513799358833534,0.2660755080030105
PA-Lehigh,30.979550224197652,155.95611475148635,0.997020552227947,0.9991227632239237,61.91321450519449,223.37181389288583,46.7584002980974,181.54876582101477,0.08911924222392849,0.16694455808488198
PA-Luzerne,28.41821727602969,125.26042458259106,0.9954616775875176,0.9986592897929976,57.37490593487843,178.2211979293613,42.92787435984661,146.81902097670786,0.10138503746657239,0.1632252032560573
PA-Montgomery,51.02988255648453,193.46588634664275,0.9981232763555318,0.9991378622474151,85.15333379000967,283.08181869104345,63.913438919220454,222.7579504478408,0.07802255487957895,0.24167040652482552
PA-Northampton,34.865438468917446,129.84929071392807,0.9949231372192229,0.9981461616921405,63.84826501595378,204.28040654481666,46.21376820478294,165.10430474587744,0.0906655671064533,0.39470718168070795
PA-Philadelphia,303.3880529434897,925.6158751828681,0.9930748890002922,0.9975080630785023,569.1282729510028,1446.3037560714704,430.23484112896136,1174.5225572895147,0.3343792404468234,0.7603626374770619
RI-Providence,223.96515957444524,254.23774207644556,0.9907066739022298,0.9932465438229683,294.1527213746279,287.10831804997974,197.26005268240095,161.5337446872117,0.17220411178504388,0.12161717970683332
SD-Minnehaha,85.24393738051774,123.62948407855772,0.9871187999228631,0.9915775286910825,116.96475994331956,154.38559479548132,96.03077571285009,117.94321855601726,0.2711323611664122,0.26716684602014845
TN-Davidson,85.64042261099253,138.60809075253806,0.9797183380782822,0.9943702943268627,181.09559048948552,251.5273459263494,134.7347822082467,200.43354803136384,0.5944313765274872,0.7283200190401856
TN-Shelby,73.66937515460125,164.89434933333658,0.9861369752391104,0.9954469336065788,141.42290297936714,263.11042177036927,114.44601679391107,223.4437343712132,0.45120960394372206,0.7125448270663489
TX-Dallas,241.5077718784222,318.05966783098114,0.9638159591348576,0.9848908658323571,411.71340544532075,504.3679456094132,339.29839581490955,417.21645101697345,0.7422772138335695,0.7932989698762432
TX-Harris,161.2775633095918,617.6504019713633,0.9933315353588053,0.9962924285719318,245.65846657233686,1018.1660026872869,192.5302604842922,748.508469844639,0.21242121695847122,0.648899128661915
TX-Tarrant,120.69611079783144,171.8728955167599,0.9792100344836856,0.989374410738259,184.98063572853764,277.91270343333184,155.52443243392625,226.81485084504573,0.6493789940100908,0.8499755544230969
UT-Salt Lake,59.653621898492766,110.52851749421674,0.9927536265840022,0.9969993412034169,101.86667307691401,169.62463651072756,82.59552460172706,140.27722512141497,0.17627064523917244,0.25416891419147436
VA-Fairfax,93.11257185546673,149.44808106290097,0.9955028403406345,0.997895390549351,149.1654000838974,211.32887122833932,116.5553713407726,166.18100934103714,0.24951592570383208,0.2710143060187541
VA-Prince William,40.21343009635442,40.15309750142745,0.9976478548506169,0.998293700095522,50.794907457796576,50.88088262308742,38.11111986935807,36.2369913322133,0.0937216805755948,0.08427958114076416
WA-King,47.59234616066158,255.1361699473373,0.9985694328932597,0.9995526463144219,98.46060871132315,441.2707486556107,77.00864170551257,362.3260957701048,0.1719647334370841,0.5207695615530784
WA-Snohomish,20.513994231372703,90.45661169543106,0.9979401664988689,0.9994111249534388,43.54751992570405,154.06783605891636,32.607628963727606,131.22569833322794,0.05640753456111157,0.2664557767685899
WI-Milwaukee,142.85857842136605,274.0624492956048,0.970735273168636,0.9877403184106279,246.6546406149151,407.75345774151714,207.31774990693106,340.45956909681354,0.55225533867542,0.8423397290309499
