state,AIC_SD,AIC_SEIR_SD,MSE_SD,MSE_SEIR_SD,sample size
AZ-Maricopa,749.9500320538302,718.7252581923508,168041.74986072577,111128.98754725869,61
CA-Los Angeles,1039.7391975186247,943.5772083461042,1231599.9119533128,358157.77530990663,73
CA-Orange,736.5977566387096,695.6004626424839,46872.68604086411,27801.429688693646,67
CA-Riverside,569.6267500207967,555.7292979823258,4395.269338708705,3899.5862120129764,66
CA-San Bernardino,577.8366045587375,545.8751942340134,16104.242243243025,10293.083942503192,58
CA-San Diego,750.6155684837305,707.3848790688523,80965.46434898244,45660.92322882783,65
CO-Adams,539.9965430893803,456.3752372639424,4094.522753825928,1194.3068167702343,63
CO-Arapahoe,580.1517584771815,469.475976196825,6733.6405923410975,1312.005456056964,64
CO-Denver,669.8688157264346,589.4182368698856,20072.44521265782,6496.794594859971,66
CT-Fairfield,746.3438455714743,703.0220483803316,90365.92929896884,50436.45499275176,64
CT-Hartford,576.9631821217308,539.0007685869384,11491.769571579276,6745.82771494151,60
CT-New Haven,530.183564496259,525.975635909257,5269.686093379085,5429.454414999769,60
DC-District of Columbia,661.7141154390715,559.1229622306817,39556.18329857674,8119.43438957622,61
DE-New Castle,543.300220890268,479.94637177808204,4314.9662245493855,1736.2210476322512,63
DE-Sussex,552.8104565336852,470.85365760036274,12304.585879527902,3245.9128124785007,57
FL-Broward,536.529822020118,534.8488999694558,3005.3553954169856,3211.8374319522422,65
FL-Miami-Dade,600.4264963413511,598.062153265201,10685.159050444057,11319.926888219095,63
FL-Palm Beach,640.8613713161571,597.4990096746219,20301.183530710536,11219.191368618589,63
GA-DeKalb,495.43395683244177,446.2194977253795,1792.1218278348733,912.2642099027889,64
GA-Fulton,564.6053362691742,507.2700729995652,3189.8383910100933,1499.3623416941234,68
GA-Gwinnett,536.5269205890386,479.11957417715337,5080.821328678776,2187.434822974629,61
IA-Polk,524.8042426046258,497.1040449910438,6454.203748555589,4439.715617639834,58
IL-Cook,1129.7928076220842,981.5536588414527,5226981.666913337,724908.5712345144,72
IL-DuPage,623.9228636544843,583.8925189823765,25135.78300384284,14255.175551779006,60
IL-Kane,583.2792672853234,554.473312534844,17688.62439076018,11937.86912495556,58
IL-Lake,686.6012422625769,616.4012117962161,71445.29786481948,24506.333253499914,60
IL-Will,641.3337170549587,594.5372322561559,48127.82693119921,23818.74470569616,58
IN-Lake,491.2912195651069,406.28520949078006,4181.571653497748,1045.627116962374,57
IN-Marion,742.4140066720906,677.1917281082118,122559.87270307611,47153.188245073856,62
LA-East Baton Rouge,578.4850957943848,567.4853382692047,16285.312272694213,14940.27965504191,58
LA-Jefferson,680.6561318202693,664.7429895506086,38181.154321053014,32622.120033153693,63
LA-Orleans,725.2522405068712,706.1079851712292,46455.31065540313,38066.5295080173,66
MA-Bristol,668.7529027255047,564.2854852160384,37356.88924682791,7631.87222687584,62
MA-Essex,755.2675693978123,653.5103588827536,86972.49702464463,19933.54694319475,65
MA-Hampden,653.2214423841308,552.9183027400593,29078.815540371677,6353.409128086206,62
MA-Middlesex,809.0796269438883,770.1117879467374,60778.70857209159,38449.77664433416,72
MA-Norfolk,603.3814283243792,593.3899022512578,3916.594729203509,3702.4838589696974,71
MA-Plymouth,626.8996500515784,543.1471284076372,16265.797056269479,4734.6014540537035,63
MA-Suffolk,931.546424313033,725.7858734469885,398323.6165353254,23896.59299648472,71
MA-Worcester,742.704422843623,603.6701589139834,60516.60525522295,8062.689041102704,66
MD-Anne Arundel,522.0264092794844,447.5410930893616,6152.373759219261,1889.0171565710773,58
MD-Baltimore,600.6461952976409,528.4332191007713,17053.37235031345,5656.460666606244,60
MD-Baltimore City,594.7706637707573,544.6505684589567,21564.517783735646,10078.031645491877,58
MD-Montgomery,734.2342796642068,625.571742533977,53227.87853417092,11235.622427575381,66
MD-Prince George's,737.7242030375259,650.85871027647,78979.26846067085,22323.99411007055,64
MI-Kent,484.8480117170822,477.18304590345565,2177.718349398535,2119.082428934682,61
MI-Macomb,496.44047149004064,492.197722548759,2633.5112297735136,2710.4791260326533,61
MI-Oakland,611.8637845129659,609.065626430953,11052.054674067418,11619.040025209179,64
