series,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19
S,7319.0711977284745,7317.146992924084,7314.963900587108,7312.4873979501845,7309.678447454147,7306.492931900923,7302.8810263537025,7298.786501902702,7294.145956747522,7288.887970679213,7282.932180076214,7276.188272082042,7268.554898860647,7259.918515910983,7250.1521525828175,7239.114128422884,7226.646736078083,7212.574920498114,7196.704995429245,7178.823451969601,7158.695930496527,7136.06644668236,7110.6569844703345,7082.167593329255,7050.277152886283,7014.644993506894,6974.913584009764,6930.71251383452,6881.6640017368745,6827.39015030818,6767.522128065838,6701.7113907633275,6629.642943638346,6551.050491360777,6465.733121550579,6373.572926909986,6274.55270579546,6168.772618426231,6056.464454467474,5938.002034895163,5813.906276750978,5684.843635800806,5551.617031042173,5415.148935788076,5276.457041946382,5136.62367749118,4996.760865840902,4857.973439799784,4721.322865437885,4587.794344685256,4458.269363248111,4333.505205637499,4214.1221854387,4100.598563273187,3993.2724586113736,3892.349579858285,3797.9153303692096,3709.9497855020063,3628.344137493208,3552.9174166989387,3483.4325648155414,3419.6112121296337,3361.146764005361,3307.7156128396796,3258.9864533773243,3214.627792690954,3174.3138174236637,3137.728818444709,3104.5703855872503,3074.551580475305,3047.4022800651283,3022.869862356068,3000.7193822886593,2980.73336248697,2962.711301648815,2946.468983807408,2931.8376546906147,2918.6631170044084,2906.8047845057813,2896.1347249565692,2886.536714176673,2877.9053171549454,2870.145007258843,2863.169330768553,2856.90012103852,2851.2667643818504,2846.2055181334363,2841.6588801546095,2837.5750081973893,2833.9071869707373,2830.6133403815547,2827.655586209424,2824.9998303768953,2822.6153979656538,2820.4746981792555,2818.5529205467324,2816.827759784157,2815.2791668723853,2813.889124060599,2812.641441660925,2811.5215746549,2810.516457284742,2809.614353949078
I,5.0,5.674204804390922,6.438745940268997,7.305562092125225,8.288122065131468,9.401607102072562,10.663110873775214,12.091857606332189,13.709438359928834,15.540064838256049,17.610839231691376,19.95203741794026,22.59740128485082,25.58443391330188,28.95468876314147,32.754040732289155,37.03292289401766,41.846507750483106,47.25480588173109,53.32264787094323,60.11950737628132,67.71911434637775,76.19879797180887,85.63848961993561,96.11930765792422,107.72164012283184,120.52263958925388,134.5930498671844,149.99329949803393,166.76882605222,184.94464178150633,204.51921863864038,225.45786110396182,247.68584810553995,271.0817558893533,295.47151155760855,320.62385478273234,346.24797845627774,371.99414780096504,397.45803042303424,422.18928096146135,445.704601671268,467.5050560120836,487.0968872631597,504.01455928906455,517.8442839219995,528.2460245917779,534.9719444849515,537.879532725612,536.9381702968387,532.2286091597739,523.9356144804433,512.3347310591312,497.7746704598617,480.6571075067101,461.41570938312134,440.49603152641635,418.3375685120154,395.35882439280977,371.94583908887694,348.444231200055,325.1545260859491,302.33034268873433,280.1789081822321,258.86334059902924,238.50616613564247,219.19359986902202,200.98019888072142,183.89358201799965,167.93899162544525,153.1035441292607,139.36007580600557,126.67053692191286,114.9889224931243,104.2637527079978,94.44013237240532,85.4614283960973,77.27060898327942,69.81128923608651,63.02852647627691,56.869405637104016,51.28345124955544,46.22289833326878,41.64285024024141,37.50134741021442,33.75936721433048,30.38077165916211,27.332216723198542,24.583034499618933,22.105097101366237,19.87266941520733,17.86225623353581,16.0524480076807,14.423768417001885,12.95852609914974,11.640672206885553,10.45566491773951,9.390341600076466,8.432799011843848,7.57228165855702,6.799078249942626,6.104426057615264,5.480422878875497
R,0.0,1.25,2.6685512010977304,4.27823768616498,6.104628209196286,8.176658725479154,10.527060500997294,13.192838219441096,16.215802621024142,19.643162211006352,23.528178420570363,27.930888228493206,32.918897582978275,38.56824790419098,44.964356382516456,52.20302857330182,60.39153875637411,69.64976947987853,80.11139641749931,91.92509788793208,105.25575985566789,120.28563669973822,137.21541528633264,156.26511477928486,177.67473718426876,201.7045640987498,228.63497412945776,258.76563402677124,292.41389649356734,329.91222136807585,371.60442788113085,417.84058832650743,468.97039298616755,525.334858262158,587.2563202885431,655.0267592608814,728.8946371502835,809.0506008459666,895.6125954600361,988.6111324102774,1087.9756400160359,1193.5229602564011,1304.9491106742182,1421.825374677239,1543.599596493029,1669.6032363152951,1799.064307295795,1931.1258134437396,2064.8687995649775,2199.3386827463805,2333.57322532059,2466.6303776105337,2597.6142812306443,2725.697963995427,2850.1416316103923,2970.3059084870697,3085.65983583285,3195.783843714454,3300.368235842458,3399.2079419406605,3492.19440171288,3579.305459512894,3660.594091034381,3736.1766767065646,3806.2214037521226,3870.93723890188,3930.5637804357907,3985.3621804030463,4035.6072301232266,4081.5806256277265,4123.5653735340875,4161.841259566403,4196.6812785179045,4228.348912748383,4257.096143371664,4283.162081548663,4306.772114641764,4328.137471740789,4347.455123986609,4364.907946295631,4380.665077914699,4394.882429323975,4407.703292136363,4419.25901671968,4429.669729279741,4439.045066132295,4447.484907935877,4455.080100850668,4461.913155031468,4468.058913656372,4473.585187931713,4478.553355285515,4483.018919343899,4487.03203134582,4490.63797345007,4493.877604974857,4496.787773026578,4499.401689256013,4501.749274656032,4503.857474408993,4505.7505448236325,4507.450314386118,4508.9764209005225
G,5.0,6.924204804390922,9.107297141366727,11.583799778290205,14.392750274327753,17.578265827551714,21.190171374772504,25.284695825773284,29.925240980952974,35.1832270492624,41.13901765226174,47.88292564643347,55.51629886782909,64.15268181749286,73.91904514565792,84.95706930559096,97.42446165039175,111.49627723036161,127.36620229923037,145.24774575887528,165.37526723194918,188.00475104611593,213.41421325814147,241.90360439922043,273.79404484219293,309.4262042215816,349.1576137187116,393.35868389395563,442.40719599160127,496.68104742029584,556.5490696626372,622.3598069651478,694.4282540901293,773.0207063676978,858.3380761778961,950.4982708184898,1049.5184919330156,1155.2985793022442,1267.606743261001,1386.0691628333113,1510.1649209774969,1639.2275619276688,1772.4541666863015,1908.9222619403986,2047.6141557820933,2187.4475202372946,2327.310331887573,2466.097757928691,2602.748332290589,2736.276853043219,2865.801834480364,2990.565992090977,3109.9490122897755,3223.4726344552887,3330.7987391171023,3431.721617870191,3526.1558673592663,3614.1214122264696,3695.727060235268,3771.1537810295376,3840.638632912935,3904.4599855988426,3962.9244337231153,4016.355584888797,4065.084744351152,4109.443405037523,4149.7573803048135,4186.342379283768,4219.500812141227,4249.519617253172,4276.668917663349,4301.201335372409,4323.351815439817,4343.337835241507,4361.359896079661,4377.602213921068,4392.233543037862,4405.408080724068,4417.266413222695,4427.936472771907,4437.534483551803,4446.16588057353,4453.926190469632,4460.901866959922,4467.171076689955,4472.804433346625,4477.865679595039,4482.412317573866,4486.496189531086,4490.164010757739,4493.457857346922,4496.415611519052,4499.07136735158,4501.455799762822,4503.59649954922,4505.5182771817435,4507.243437944319,4508.7920308560915,4510.182073667878,4511.429756067552,4512.549623073577,4513.554740443736,4514.4568437794
