series,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29
S,17075.45041570306,17072.50734944042,17069.217911919095,17065.54162174183,17061.433337063892,17056.84273672831,17051.713748071907,17045.9839170555,17039.583716324763,17032.43578686267,17024.45410908563,17015.543099606806,17005.596630494765,16994.49696875942,16982.11363507801,16968.302182526077,16952.902898411958,16935.73943535714,16916.617381664833,16895.322785939603,16871.620657039875,16845.25346794944,16815.939701229785,16783.372484532385,16747.21837734038,16707.11638473587,16662.677290503394,16613.48342006904,16559.08896318998,16499.021006189327,16432.78144270606,16359.849948727608,16279.688219828593,16191.745673135438,16095.466809990636,15990.300413436307,15875.710712936207,15751.19058268968,15616.27674557284,15470.566829768417,15313.737969673786,15145.566460638573,14965.947777368134,14774.916063165378,14572.66201236094,14359.547927322441,14136.118663365067,13903.107207975565,13661.433797410376,13412.197764688088,13156.661732062428,12896.22828170865,12632.40981376144,12366.79286824426,12100.998676765295,11836.6420553956,11575.290902720852,11318.428503923387,11067.420571477665,10823.488514034052,10587.689878006935,10360.906322577579,10143.838937383285,9937.010249062854,9740.771923965292,9555.316973468724,9380.695199417843,9216.83065947363,9063.540056785989,8920.551134329477,8787.520353031196,8664.049331482309,8549.699707225984,8444.006235526345,8346.488066835069,8256.658238724753,8174.031484438512,8098.130502523833,8028.490854964998
I,8.0,8.943066262639658,9.99673721830347,11.173843090992197,12.488666996184595,13.957100582719203,15.596814093444426,17.427441586491618,19.470781920604722,21.75101590254985,24.29493970395064,27.132214256786888,30.29562980462995,33.82138408881821,37.749371748021616,42.12348136295196,46.991895136334705,52.4073844070673,58.42759199760761,65.11528972343748,72.5385961923039,80.77113623466413,89.89211889565132,99.98630586913924,111.14383659385678,123.45987004990272,137.0339967699013,151.96936801177992,168.3714828878911,186.34656916657315,205.99949035819793,227.43111174709924,250.73506270933925,275.99384372515965,303.2742459386722,332.6220810083319,364.056261256349,397.56232618878806,433.08558175843035,470.5241021232468,509.7219366870664,550.4629615505136,592.4659044333237,635.3811425277486,678.7899077002492,722.2065158136844,765.084150817637,806.8245685027291,846.7918369422349,884.3299104289656,918.7834654473832,949.5210494393144,975.9592550266963,997.5863867872021,1013.9839815693662,1024.8446075467202,1029.984608334788,1029.3508550485558,1023.0210737321394,1011.1978627427181,994.1970330841558,972.4313302424735,946.3908828761482,916.6218504775429,883.7047129557197,848.233485213359,810.7968879608986,771.9622059148871,732.2622571238053,692.1856152993665,652.1699927728059,612.5985161284907,573.7985113526936,536.0423552141585,499.5499351018957,464.492279436737,430.9959638637932,399.1479548125243,369.0006136682273
R,0.0,2.0,4.235766565659914,6.734950870235782,9.52841164298383,12.650578392029978,16.13985353770978,20.039057061070885,24.39591745769379,29.26361293784497,34.70136691348243,40.77510183947009,47.55815540366681,55.1320628548243,63.58740887702885,73.02475181403426,83.55562215477225,95.30359593885592,108.40544204062275,123.01234004002464,139.29116247088402,157.42581151896,177.61859557762602,200.09162530153884,225.08820176882364,252.87416091728784,283.7391284297635,317.99762762223884,355.9899696251838,398.08284034715655,444.6694826387998,496.16935522834933,553.0271331651242,615.710898842459,684.7093597737489,760.527921258417,843.6834415105,934.6975068245872,1034.0880883717841,1142.3594838113918,1259.9905093422035,1387.4209935139702,1525.0367339015986,1673.1532100099296,1831.9984956418666,2001.695972566929,2182.24760152035,2373.518639224759,2575.2247813504414,2786.922740586,3008.0052181932415,3237.701084555087,3475.0813469149157,3719.07116067159,3968.4677573683903,4221.963752760732,4478.174904647412,4735.671056731109,4993.008770493248,5248.764038926283,5501.563504611963,5750.112762883002,5993.22059544362,6229.8183161626575,6458.973778782043,6679.8999570209735,6891.958328324314,7094.657550314539,7287.64810179326,7470.713666074212,7643.760069899054,7806.802568092255,7959.952197124378,8103.401824962551,8237.412413766091,8362.299897541565,8478.42296740075,8586.171958366698,8685.958947069828
G,8.0,10.943066262639658,14.232503783963384,17.90879396122798,22.017078639168425,26.60767897474918,31.736667631154205,37.4664986475625,43.86669937829851,51.01462884039482,58.99630661743308,67.90731609625699,77.85378520829677,88.95344694364252,101.33678062505048,115.14823317698624,130.54751729110697,147.71098034592325,166.83303403823038,188.12762976346215,211.82975866318793,238.19694775362413,267.51071447327735,300.0779311706781,336.23203836268044,376.3340309671906,420.7731251996649,469.9669956340189,524.361452513075,584.4294095137299,650.6689729969979,723.6004669754487,803.7621958744636,891.7047425676188,987.9836057124213,1093.150002266749,1207.739702766849,1332.2598330133753,1467.1736701302148,1612.8835859346389,1769.7124460292703,1937.883955064484,2117.5026383349227,2308.5343525376784,2510.788403342116,2723.9024883806137,2947.3317523379874,3180.343207727489,3422.016618292677,3671.2526510149664,3926.7886836406255,4187.222133994403,4451.040601941613,4716.6575474587935,4982.451738937758,5246.808360307454,5508.159512982202,5765.021911779667,6016.02984422539,6259.961901669003,6495.76053769612,6722.544093125477,6939.61147831977,7146.440166640202,7342.6784917377645,7528.133442234333,7702.755216285213,7866.619756229426,8019.910358917065,8162.899281373578,8295.930062671858,8419.401084220744,8533.75070847707,8639.444180176708,8736.962348867984,8826.7921769783,8909.418931264541,8985.31991317922,9054.959560738054
