series,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15
S0,15224501.877271123,15144912.399662165,15072774.715425478,15001406.880494718,14926825.890595974,14846515.936516844,14758792.699590838,14662466.771369547,14556665.530310515,14440741.291944468,14314226.60836466,14176814.668519638,14028352.024294956,13868836.130427653,13698413.314834341,13517374.750638463,13326149.278427787,13125292.782433901,12915474.389965631,12697460.113301864,12472094.735795677,12240282.797978336,12002969.499846749,11761122.233911749,11515713.327334384,11267704.422556078,11018032.780384336,10767599.658152303,10517260.804253213,10267819.021354798,10020018.68366844,9725669.336684208,9436925.38897702,9154268.478957832,8878105.444053154,8608772.844426136,8346541.464790109,8091620.897349077,7844164.218902696,7604272.728396738,7372000.690260798,7147360.023045494,6930324.875559611,6720836.039860668,6518805.1595951645,6324118.701828912,6136641.669786003,5956221.042350807,5782688.933551137,5615865.471456168,5455561.401007517,5301580.419328867,5153721.255131178,5011779.506062768,4875549.249365062,4744824.442100343,4619400.12762445,4499073.464981844,4383644.597588787,4272917.377017211,4166699.956961049,4064805.271612191,3967051.411739259,3873261.91078534,3783265.9523096695,3696898.509115701,3614000.4234513263,3534418.436749055,3458005.1765036806,3384619.107068379,3314124.4503906732,3246391.0820087907,3181294.406986551,3118715.2198798195,3058539.5522976685,3000658.5111439694,2944968.110197113,2891369.097303557,2839766.779121452,2790070.845050236,2742195.191717405,2696057.7491613147,2651580.3096457855,2608688.359865427,2567310.9171472695,2527380.3701219065,2488832.3242235743,2451605.4522812623,2415641.3503801706,2380884.3991027535,2347281.6301997257,2314782.5986922793,2283339.2603661185,2252905.8545846334,2223438.7923216224,2194896.5492925216,2167239.564046345,2140430.140867818,2114432.357329842,2089211.976330021,2064736.3624409467,2040974.402401996,2017896.4295800943,1995474.1522280215,1973680.5853710813,1952489.986156109,1931877.7925006915,1911820.564884909,1892295.9311327976,1873282.5340359167,1854759.9816768037,1836708.8003156402,1819110.3897090433,1801946.9807355076,1785201.5952075794,1768858.0077563415,1752900.70967916,1737314.8746468993,1722086.3261719097,1707201.506743031,1692647.4485386198,1678411.74563319,1664482.5276176678,1650848.434557464,1637498.5932166097,1624422.5944800435,1611610.4719098061,1599052.6813743857,1586740.0816937792,1574663.9162459804,1562815.795483595,1551187.6803121152,1539771.8662840715,1528560.968565811,1517547.9076360606,2325935.9046042333
E0,0.0,79589.47760895864,135806.00368401821,180007.07073403985,218579.2673919357,255164.40769482907,291844.30303631746,329789.40697276295,369619.2474624823,411604.48440242,455781.39805234276,502018.37427751964,550056.7642284692,599538.7565769985,650029.2437488736,701035.3123143975,752024.9842716566,802445.6553828684,851742.0218336728,899372.9783662837,944826.8918820072,987634.7196972558,1027380.5874271488,1063709.6200979475,1096332.9976279628,1125030.3605111667,1149649.8118099363,1170105.8436752963,1186375.5622732332,1198493.5992005318,1206546.0867713045,1210664.0457927077,1209803.8195354193,1204449.0225876572,1195059.2833702825,1182070.8717845308,1165897.2005898382,1146929.1223287478,1125535.0491871359,1102060.9646252072,1076830.4030587021,1050144.4647442142,1022281.9171912284,993499.4172583271,964031.8723239474,934092.9457591423,903875.7017194538,873553.3769050202,843280.2620790557,813192.6733649226,783409.992231258,754035.7532236726,725158.7595606634,696854.2083868214,669184.8095298634,642201.8838520636,615946.4295787567,590450.1472222181,565736.4158253954,541821.2151790865,518713.99039065326,496418.4566900263,474933.34364885895,454253.07906870637,434368.413677161,415266.9884736331,396933.84710754704,379351.89607049257,362502.3157595294,346364.9256398078,330918.5068181403,316141.08535087365,302010.1795634864,288503.01456824644,275596.70704086235,263268.4231666549,251495.51249922256,240255.62029643566,229526.78071523324,219287.49306244423,209516.78311712493,200194.25136333102,191300.1098027868,182815.20885597984,174721.05570873347,166999.82531985012,159634.3651742224,152608.19474488677,145905.500516664,139511.12732296623,133410.56665563025,127589.94252475619,122035.99537094925,116736.06446550865,111678.0691744031,106850.48940874325,102242.34553734699,97843.17799535612,93643.02678618742,89632.41104190772,85802.30877895677,82144.1369615868,78649.73196405666,75311.3305041568,72121.55110472754,69073.3761261711,66160.1344012851,63375.48449381982,60713.39859377067,58168.147055367,55734.28357783837,53406.63102417579,51180.26786912388,49050.515264419184,47012.924706725265,45063.26629171309,43197.51753621309,41411.852749252954,39702.632932028086,38066.39618637689,36499.848611101705,34999.85566544793,33563.43397919278,32187.743589070044,30870.08058164262,29607.87012320657,28398.659857851027,27240.113655389592,26130.005691508097,25066.214843128255,24046.719382657146,23069.59195547053,22132.994825656675,21235.17537572119,20374.461846617687,19549.259305120366
I0,41664.44658620926,34564.734972115555,31763.315831608154,31620.758587755983,33217.725039634104,36039.367104856465,39799.88927929542,44342.9813552012,49584.38841614032,55478.25367701684,61997.03746167885,69119.3007772776,76822.15056764084,85076.55788017705,93844.55541518089,103077.76114250819,112716.9098258306,122692.19163557695,132924.2485649894,143325.69670248934,153803.0448411313,164258.87884819933,174594.18287017316,184710.67547634008,194513.05160644627,203911.03866462212,212821.19560352014,221168.40551796203,228887.03343559214,235921.7403249828,242227.96093143098,247772.06639824001,252531.24258824057,256446.06362523022,259485.9966956071,261643.5478199174,262929.4295535666,263368.5715778291,262996.8226169921,261858.21900713758,260002.71915804065,257484.32327917567,254359.5140860959,250685.9671491268,246521.48961991482,241923.153816569,236946.59806274058,231645.47168651523,226071.00454100408,220271.6840870636,214293.02519320243,208177.41951892103,201964.0527731107,195688.8793627325,189384.64502710127,183080.9490288393,176804.33836911368,170578.42732749414,164424.036404346,158359.34547048173,152400.05660661106,146559.56274436708,140849.11880120236,135278.0125331092,129853.73281209111,124582.133470254,119467.59124048201,114513.15666662423,109720.69715611241,105091.03160750128,100624.0562673971,96318.8616586288,92173.84057742755,88186.7872849424,84354.9881207102,80675.30384569106,77144.24408300716,73758.03426823238,70512.67555042985,67403.99810236695,64427.708305483684,61579.430274066646,58854.74217529704,56249.207788807325,53758.40373232398,51377.94275994452,49103.49351749173,46930.79711595837,44855.680859926055,42874.0694435232,40981.99390239058,39175.59858657331,37451.14639650502,35805.022502480264,34233.736747356415,32733.924912774666,31302.3490109907,29935.89674747973,28631.58028382289,27386.534415969392,26198.014269762833,25063.39260357139,23980.156796913252,22945.905594058175,21958.345662647767,21015.288019344694,20114.644367326837,19254.423384021422,18432.726991762112,17647.746638987635,16897.7596151256,16181.125418364627,15496.282192060007,14841.743242495035,14216.093648087193,13617.986967844581,13046.142054905593,12499.3399792996,11976.421062616751,11476.282026042685,10997.873252173167,10540.196160151248,10102.300692944726,9683.282914985732,9282.282717910562,8898.481631751521,8531.100738630375,8179.3986857732725,7842.669794499392,7520.242261720902,7211.476450422118,6915.763265553954,6632.5226117796465,6361.2019295340415,6101.274805906639,5852.239656924166
A0,173115.92831269058,165490.59958291592,171033.81960413454,185396.99017501736,206254.29231188833,232412.1002374881,263316.5551832877,298773.856983925,338787.46088979056,383460.5600324828,432935.4422020747,487353.97743934655,546830.5658521812,611432.8650563019,681167.8605264539,755972.0751333658,835705.3524748242,920147.9358011577,1009000.6485264604,1101887.957207718,1198363.6241910325,1297918.5739240383,1399990.5279090023,1503974.9207934162,1609236.5982893412,1715121.8149527493,1820970.0913726264,1926125.5494015063,2029947.4137779824,2131819.4425017387,2231158.1213620096,2327419.526117915,2420104.8162895413,2508568.8492754535,2592272.87538871,2670775.9840834485,2743727.028153327,2810856.984489102,2871971.6992008784,2926944.971625545,2975711.944841923,3018262.7840412664,3054636.6357499626,3084915.8694847906,3109220.6088588866,3127703.5618126267,3140545.1600603536,3147949.016595989,3150137.707719637,3147348.8829878177,3139831.703118619,3127843.602481143,3111647.3695705617,3091508.535955012,3067693.0616640104,3040465.302913455,3010086.246440871,2976811.993544141,2940892.4761489797,2902570.386835898,2862080.3046912337,2819647.999061709,2775489.893740396,2729812.674748734,2682813.0256620212,2634677.4753165375,2585582.3437012346,2535693.772846462,2485167.8305515684,2434150.675821666,2382778.7758946014,2331179.165718825,2279469.7416812717,2227759.5822740193,2176149.2892242996,2124731.343391184,2073590.4704524733,2022804.0120667894,1972442.2987994812,1922569.0216483981,1873241.599499234,1824511.540282727,1776424.7940006258,1729022.0961372554,1682339.3002820688,1636407.699059124,1591254.332695237,1546902.2847628386,1503370.9648093577,1460676.3777351084,1418831.3799089314,1377845.922117702,1337727.279534611,1298480.2689639905,1260107.4536793227,1222609.336217722,1185984.539530214,1150229.97691398,1115341.0111716837,1081311.6034552052,1048134.4522575777,1015801.1230185699,984302.168806977,953627.2425369608,923765.2011673399,894704.202322092,866431.7937579595,838934.9960913424,812200.3791819563,786214.1325553237,760962.1302302994,736429.990301713,712603.1296120193,689466.8138297299,667006.2032364672,645206.394508841,624052.4587660746,603529.4761394582,583622.5671053338,564316.9208094531,545597.8205972217,527450.6669515589,509860.9980278859,492814.5079640919,476297.0631322249,460294.71648810385,444793.7201650367,429780.5364483473,415241.8472584448,401164.5622616945,387535.82572035753,374343.02218533057,361573.78112832503,349215.98060345405,337257.7500219269,325687.4721176655
IH0,0.0,2357.957306095744,3771.1951475082965,4700.492217342053,5407.751233804369,6042.542931928462,6690.862154681613,7402.729168757343,8207.800881838966,9124.137391979644,10163.045250516989,11331.669101008543,12634.29521836171,14072.927355491787,15647.465037965534,17355.68220452644,19193.127211203726,21153.019346511515,23226.188337427648,25401.08417525066,27663.870830526543,29998.606971927784,32387.508696896737,34811.2831349466,37249.51745066479,39681.10515974059,42084.69064850842,44439.1131604471,46723.83302684829,48919.32528208735,51007.428717148774,52971.641606392404,54797.35854677196,56472.04587867514,57982.69266364732,59317.555751316846,60467.1717314116,61424.86240524541,62186.898096080244,62752.43670569128,63123.32222053307,63303.801395914415,63300.199261286485,63120.581093621826,62774.41923473397,62272.276562037114,61625.51380612526,60846.024690020786,59946.0006427466,58937.72532492898,57833.398189596555,56644.98564007225,55384.09793468569,54061.88975143467,52688.98221284939,51275.404145555935,49830.55038442912,48363.155009208895,46881.27750860956,45392.29999344023,43902.93371875286,42419.23332000331,40946.617315412455,39489.893572875924,38053.288582368325,36640.4795118852,35254.62815511188,33898.416001152335,32574.079770080716,31283.446862369132,30027.97026521273,28808.762544437333,27626.628627219754,26482.097148595087,25375.450194090616,24306.751322311524,23275.87179546171,22282.51498319923,21326.238936500726,20406.477153943975,19522.557583602458,18673.719920149182,17859.131269329995,17077.900261196497,16329.089699855616,15611.72784142865,14924.81839380856,14267.349332012642,13638.300621762171,13036.650941657856,12461.383491201783,11911.490968152795,11385.97979447213,10883.87366557251,10404.216492854244,9946.074804702412,9508.539666316172,9090.728174014243,8691.784575063983,8310.88105965721,7947.21826743458,7600.0255469636395,7268.561002817248,6952.111361386532,6649.991683297742,6361.544947283575,6086.141527581125,5823.178584382875,5572.079384544082,5332.292567638544,5103.291370542835,4884.572822004186,4675.656917096426,4476.085780078993,4285.422822933435,4103.251905747903,3929.1765041410827,3762.8188880518396,3603.8193154588635,3451.835243926081,3306.5405622852327,3167.6248442582996,3034.7926253815203,2907.7627042122813,2786.2674684735957,2670.052246512131,2558.874684209301,2452.5041472858416,2350.7211487740374,2253.31680129429,2160.0922936604306,2070.85839124778,1985.4349594865928,1903.650509788563,1825.3417671732725,1750.3532588327503
IN0,4741.7543079979605,8766.37619085955,11374.31800187362,13269.016088111033,14860.940051253017,16393.85278325692,18016.0570991971,19820.90096213054,21869.8252175417,24205.389635823944,26858.498465236637,29852.247823871232,33203.80089155978,36925.11971004205,41023.053476450994,45499.094541709455,50349.00328670871,55562.43641501737,61122.669998696525,67006.47781033788,73184.20130292332,79620.02735951106,86272.47263577465,93095.05882373171,100037.15166230404,107044.92820973134,114062.43182812771,121032.6723649777,127898.72981496579,134604.82283246628,141097.30828534006,147325.58402004416,153242.87360217454,158806.87852658148,163974.9342703402,168707.3539149714,172969.59982762777,176733.5769468987,179978.27644760735,182689.94671040267,184861.92757510816,186494.25182448764,187593.092948187,188170.11896528563,188241.7972004432,187828.68342257646,186954.71988754187,185646.55997306597,183932.93179073517,181844.04905182653,179411.0742818627,176665.6370187584,173639.40773620663,170363.72678927897,166869.28659228425,163185.8644393111,159342.1028102383,155365.3336252416,151281.44268327174,147114.77041533642,142888.0450773171,138622.34457901583,134337.08327881858,130050.02025205341,125777.28575329538,121533.42282792168,117331.44127722304,113182.88143689002,109097.88548459389,105085.27424372322,101152.6276932069,97306.36762475615,93551.8411065891,89893.40361524746,86334.50088354593,82877.74868257181,79525.00990894159,76277.46848551552,73135.69970502147,70099.73675229216,67169.13323296429,64343.02161551052,61620.167560417896,58999.0201662598,56477.75820839845,54054.33248314896,51726.504399439866,49491.88098227712,47347.94646855496,45292.09068679249,43321.63441897322,41433.85194552286,39625.990974206696,37895.29015092239,36238.99434550553,34654.36789919099,33138.70601266371,31689.344445018716,30303.66768471192,28979.115743960752,27713.189718246067,26503.456242739347,25347.55096776702,24243.181165934206,23188.12757434811,22180.245566570517,21217.46574053646,20297.7940007343,19419.31120547088,18580.172443053874,17778.605994212703,17012.912032044325,16281.461105199125,15582.6924449003,14915.11213169866,14277.29115358336,13667.863383175112,13085.523498199025,12529.024866245545,11997.177411956683,11488.845482197334,11002.94572246549,10538.44497573867,10094.358213125777,9669.746504074394,9263.715032453856,8875.411163577304,8504.02256612431,8148.775391964634,7808.932516048884,7483.791837810209,7172.684644900807,6874.974039556837,6590.053427435272,6317.34506838732,6056.298688316807
D0,51718.0,51718.0,51759.24376401565,51825.206910302775,51907.424680432996,52002.01333781274,52107.70533405653,52224.737283301554,52354.22071971437,52497.78591565022,52657.379038251864,52835.14402106519,53033.34976681691,53254.34015080013,53500.49409657293,53774.18877026384,54077.762401272164,54413.47535390909,54783.46938895399,55189.725867090994,55634.02412421267,56117.901485920636,56642.61644303621,57209.11642261444,57818.0113941171,58469.554279758144,59163.628821675244,59899.74522433083,60677.043562818966,61494.30464650529,62349.967767514,63242.15455461848,64168.69799978078,65127.175627319375,66114.94573141744,67129.13902789023,68166.68082946051,69224.33092140105,70298.73227853604,71386.46263875478,72484.08501054482,73588.19465613384,74695.46111906639,75802.66457594273,76906.7262756291,78004.73315066607,79093.95689216565,80171.8679053092,81236.14463208368,82284.67875854974,83315.5768280934,84327.15876852481,85317.95381573339,86286.69428424508,87232.30759852519,88153.90696039388,89050.78098899449,89922.38263144672,90768.31760537328,91588.3325994186,92382.3034250214,93150.22328226811,93892.19127475555,94608.4012830666,95299.13128369565,95964.73317998667,96605.62319377178,97222.27285079905,97815.20057957577,98384.96393177514,98932.15242269995,99457.3809823035,99961.28400077375,100444.50994753004,100907.71653851138,101351.56642370239,101776.72336481104,102183.84887175249,102573.59926598838,102946.62313871268,103303.55917226689,103645.03429392345,103971.66213221803,104284.04174727405,104582.7566079862,104868.37379046451,105141.44337374486,105402.49801040826,105652.05265139228,105890.60440589787,106118.63251887605,106336.59845010431,106544.9460403236,106744.10175129265,106934.47496792322,107116.45835188427,107290.42823720266,107456.74505944416,107615.75381103189,107767.78451615197,107913.15271951193,108052.15998395882,108185.09439263599,108312.23105196335,108433.83259227041,108550.14966339926,108661.42142302885,108767.87601585819,108869.73104212791,108967.19401425998,109060.46280065978,109149.72605595521,109235.1636371477,109316.94700532334,109395.23961272133,109470.19727508418,109541.96852932188,109610.69497661322,109676.51161114313,109739.54713473703,109799.92425770416,109857.75998624196,109913.16589678536,109966.24839770855,110017.1089788039,110065.84444897425,110112.54716258145,110157.30523489612,110200.20274709303,110241.31994123221,110280.73340565959,110318.51625125286,110354.73827892811,110389.46613881167,110422.76348146966,110454.69110157482
R0,0.0,8342.461154911018,17459.395019385433,27515.591270735767,38688.71517309884,51171.78587100675,65173.93480034974,80920.62238239817,98653.53257999902,118630.1034781805,141122.5976432607,166416.62451829508,194809.0556580375,226605.30932055778,262116.019342182,301653.1417327881,345525.58857873955,394034.51010907994,447468.36986219086,506097.9730469874,570171.6135105112,639910.5002128334,715504.6106492407,797109.097817275,884841.3511128013,978778.7821441754,1078957.3760092915,1185371.018981198,1297971.5863333675,1416669.7503349115,1541336.4489748338,1671804.9410693015,1807873.3630814797,1949307.6970011871,2095836.44411053,2247155.154428109,2402931.4563399237,2562810.2742524957,2726419.012893119,2893372.5541427312,3063277.9621272576,3235738.8292408655,3410359.2231685985,3586747.2152698385,3764517.985676544,3943296.511468769,4122719.852281356,4302439.053382224,4482120.690172999,4661448.080593317,4840122.193362347,5017862.280597718,5194406.263296085,5369510.897587426,5542951.748705776,5714522.998350484,5884037.10962563,6051324.372109123,6216232.347873949,6378625.237509662,6538383.183411398,6695401.525848676,6849590.025622271,7000872.0654847,7149183.84095326,7294473.54969485,7436700.587316076,7575834.756154217,7711855.492535859,7844751.116949355,7974518.11066214,8101160.421500286,8224688.800790373,8345120.172837002,8462477.03776678,8576786.908104736,8688081.779055182,8796397.632129457,8901773.971491126,9004253.392169049,9103881.1791141,9200704.9359409,9294774.242096387,9386140.337127656,9474855.830678059,9560974.436818868,9644550.731320616,9725639.930480143,9804297.690143768,9880579.923601324,9954542.637067914,10026241.78151829,10095733.11969119,10163072.107136315,10228313.78623383,10291512.69217431,10352722.76994516,10411997.301427009,10469388.841759987,10524949.164194584,10578729.212694764,10630779.061611924,10681147.881796833,10729883.912562959,10777034.438958416,10822645.773845037,10866763.244322067,10909431.182068398,10950692.917211475,10990590.775362825,11029166.077489916,11066459.142321603,11102509.291010067,11137354.853795858,11171033.178444624,11203580.640244363,11235032.653370732,11265423.683445211,11294787.261126732,11323155.99659201,11350561.594773171,11377034.871233607,11402605.7685742,11427303.37327247,11451155.932866571,11474190.873404812,11496434.817089193,11517913.600048762,11538652.290185183,11558675.20503891,11578005.929629901,11596667.3342318,11614681.592043113,11632070.196723046,11648853.979763467,11665053.12767192
G0,1413410.0,1413410.0,1416498.4862926977,1421768.4666147816,1428753.6785705914,1437235.6926695497,1447137.4007750081,1458462.479876019,1471260.0266562186,1485603.1787109901,1501575.5766495175,1519262.268944038,1538743.1967528167,1560088.2643115222,1583353.4909125408,1608578.0114080128,1635781.8330415448,1664964.3195393304,1696103.3907047615,1729155.4176607954,1764055.773827907,1800719.9785973742,1839045.3500612273,1878913.0682191784,1920190.542073504,1962733.9729029215,2006391.0108895162,2051003.4118230017,2096409.6133431622,2142447.164689774,2188954.9589889566,2235775.231749257,2282755.3027689955,2329701.99252925,2376440.888276148,2422815.413232634,2468685.9201662396,2513928.8044129265,2558435.628423158,2602112.250959176,2644877.956743619,2686664.585319664,2727415.6604887997,2767085.5236839126,2805638.4759608624,2843047.9340053652,2879295.605754853,2914370.691041616,2948269.112184253,2980992.77878664,3012548.890228275,3042949.2785114665,3072209.7933181776,3100349.7303578034,3127391.303380632,3153359.159604906,3178279.9377656425,3202181.8675425504,3225094.408760335,3247047.928472343,3268073.4138310393,3288202.2185082515,3307465.8403460803,3325895.727887389,3343523.1134447167,3360378.870410657,3376493.392584205,3391896.49338005,3406617.3228957187,3420684.3009301177,3434125.0641722856,3446966.4259076817,3459234.3467182945,3470953.9147800407,3482149.3344845637,3492843.9222313305,3503060.1083488637,3512819.444210385,3522142.6137086805,3531049.448347412,3539558.9452913543,3547689.2877962603,3555457.8675104077,3562881.308204671,3569975.490546494,3576755.5775858057,3583236.0406680917,3589430.6855319072,3595352.678385519,3601014.5717904354,3606428.330208763,3611605.3550969195,3616556.509450638,3621292.1417256827,3625822.1090755956,3630155.7998623946,3634302.155408643,3638269.690970025,3642066.515916626,3645700.353118785,3649178.557539783,3652508.134042944,3655695.754425098,3658747.7736918763,3661670.245593121,3664468.937438913,3667149.3442183645,3669716.7020445503,3672176.0009497893,3674531.997055974,3676789.2241448965,3678952.004653511,3681024.46011889,3683010.52109729,3684913.9365812843,3686738.282938346,3688486.9723936273,3690163.2610789817,3691770.2566695255,3693310.925628267,3694788.100078534,3696204.4843231295,3697562.66102835,3698865.0970901856,3700114.1491992613,3701312.0691202753,3702461.008700967,3703563.024624892,3704620.0829215874,3705634.0632470124,3706606.762946503,3707539.9009118327,3708435.1212433777,3709293.9967277884,3710118.032141027,3710908.6673860974
H0,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26006477.36657807,25876444.97974518,25747062.754846454,25618327.44107222,25490235.80386686,25362784.624847524,25235970.701723285,25109790.848214667,24984241.893973593,24859320.684503723,24735024.081081204,24611348.9606758,24488292.215872418,24365850.754793055,24244021.50101909,24122801.393513996,24002187.386546426,23882176.449613694,23762765.567365624,23643951.739528798,23525731.980831154,23408103.320926998,23291062.804322362,23174607.49030075,23058734.452849247,22943440.780585002,22828723.576682076,22714579.958798666,22601007.059004672,22488002.023709647,22375562.0135911,22263684.203523144,22152365.782505527,22041603.953593,21931395.933825035,21821738.95415591,21712630.25938513,21604067.108088206,21496046.772547767,21388566.538685028,21281623.705991603,21175215.587461647,21069339.509524338,20963992.811976716,20859172.847916834,20754876.98367725,20651102.59875886,20547847.085765067,20445107.850336242,20342882.31108456,20241167.899529137,20139962.060031492,20039262.249731336,19939065.93848268,19839370.608790267,19740173.755746316,19641472.886967584,19543265.522532746,19445549.19492008,19348321.44894548,19251579.841700755,19155321.94249225,19059545.332779787,18964247.60611589,18869426.36808531,18775079.236244883,18681203.840063658,18587797.82086334,18494858.831759024,18402384.53760023,18310372.61491223,18218820.75183767,18127726.648078483,18037088.014838092,17946902.5747639,17857168.06189008,17767882.221580632,17679042.81047273,17590647.596420366,17502694.358438265,17415180.886646073,17328104.98221284,17241464.457301777,17155257.135015268,17069480.849340193,16984133.44509349,16899212.77786802,16814716.71397868,16730643.130408788,16646989.914756743,16563754.96518296,16480936.190357044,16398531.509405259,16316538.851858232,16234956.15759894,16153781.376810946,16073012.46992689,15992647.407577256,15912684.17053937,15833120.749686673,15753955.14593824,15675185.370208548,15596809.443357505,15518825.396140717,14622021.26023348
S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48872.71023459401,91677.48315343808,128995.60624590746,161365.45494484704,189284.00079865044,213208.53569340665,233558.5545716218,250717.7488646987,265036.0696331481,276831.8248284521,286393.77990625345,293983.23553267156,299836.06041583617,304164.6613498899,307159.8763338574,308992.78007714695,309816.3942934936,309767.29789850814,308967.13456086477,307524.0170248196,305533.82924332016,303081.42866433156,300241.7520300805,297080.8288134026,293656.7069610521,290020.29597326746,286216.1325526054,282283.07413096726,278254.9255568706,274161.0041173944,270026.64789993456,265873.67228423647,261720.77910880875,257583.9227890987,253476.63738696105,249410.3283493697,245394.53235481126,241437.14843280736,237544.64325884904,233722.2332760506,229974.0460576255,226303.26310181076,222712.2460435728,219202.64807538618,215775.51219234976,212431.35771444018,209170.25639018192,205991.89925071213,202895.65526034182,199880.6226984344,196945.67410689284,194089.49554693868,191310.6208273615,188607.46129324433,185978.33169857893,183421.47262748794,180935.06987630803,178517.2711619643,176166.2004803167,173879.97040097995,171656.69255203407,169494.48651863603,167391.4873534186,165345.8518733795,163355.76389739744,161419.43856028604,159535.1258231475,157701.11328549378,155915.72839195223,154177.3401151845,152484.36018675694,150835.2439389624,149228.4908128735,147662.64458109377,146136.29332766024,144648.06922224676,143196.64812114075,141780.74902334507,140399.13340652644,139050.60446433487,137734.006263806,136448.22283908326,135192.17723552292,133964.8305163324,132765.18074221542,131592.26193302512,130445.14301913515,129322.92678910836,128224.74883925254,127149.7765297879,126097.20795159412,125066.27090684653,124056.22190627524,123066.34518528204,122095.95174071555,121144.37838972862,120210.98685181649,119295.16285485342,118396.31526570342,117513.87524577313,116647.29543169797,115796.04914120062,114959.62960403382,114137.54921781074,174946.7364849111
