series,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,5205.73834186379,5202.970921901926,5199.664656902722,5195.715733067262,5191.000808897097,5185.373544507657,5178.660601383891,5170.6570705262075,5161.1213028790335,5149.769143745526,5136.267617548496,5120.228177193071,5101.1997312855465,5078.661801662388,5052.018352619436,5020.593080132675,4983.627257912199,4940.281601090481,4889.644003444592,4830.745377009597,4762.586078661056,4684.175398585823,4594.586106879123,4493.02486600961,4378.917195616948,4252.002522360352,4112.430839497531,3960.8482616073434,3798.455447065733
I,7.0,8.36741996186435,10.000200968695731,11.949084610416726,14.274191858498094,17.04661787623858,20.350237424757065,24.283720797489032,28.962744285165112,34.52235456163926,41.11940984634203,48.934968232497965,58.17642049352291,69.07906601797661,81.90670185733323,96.95063397262768,114.5263293985781,134.96672034058076,158.6109739183531,185.7874055696774,216.78922280428378,251.84205831865978,291.0629383616284,334.4115915588148,381.6369436397141,432.2242281683686,485.3510653975153,539.8634302082004,594.2835587081707
R,0.0,1.4000000000000001,3.0734839923728705,5.073524186112017,7.463341108195363,10.318179479894981,13.727503055142698,17.79755054009411,22.65429469959192,28.44684355662494,35.35131446895279,43.5751964382212,53.362190084720794,64.99747418342538,78.81328738702071,95.19462775848736,114.5847545530129,137.49002043272853,164.4833645008447,196.20555928451532,233.3630403984508,276.72088495930757,327.08929662303956,385.30188429536526,452.1842026071282,528.511591335071,614.9564369687447,712.0266500482478,819.999336089888
G,7.0,9.767419961864348,13.0736849610686,17.022608796528743,21.737532966693458,27.364797356133565,34.07774047989977,42.081271337583146,51.61703898475703,62.9691981182642,76.47072431529482,92.51016467071915,111.53861057824369,134.07654020140197,160.7199892443539,192.145261731115,229.11108395159096,272.45674077330926,323.09433841919775,381.9929648541927,450.15226320273456,528.5629432779673,618.1522349846679,719.7134758541799,833.8211462468422,960.7358195034395,1100.30750236626,1251.890080256448,1414.2828947980586
